,0,1
0,一张龙椅678斤，俩少爷给拉起来，谁信,曦曦球球妈咪
1,都是老戏骨，演技很好[色],不吃折耳根～💤
2,福建莆田有好多做家具 木柴生意的 很多他们的衣柜都是自己做的  去我前男友家的时候见过 那衣柜是真高 真大 第一次见 真的是开了眼了[捂脸笑],超爱吃麻辣烫的🐷💦
3,手势不对,雪山飞小狐
4,真是佩服那会儿的匠师,猫爱上老鼠🌻
5,内容不错。有文化底蕴。[大拇指],jinmeng19920505
6,有点烂剧的感觉,宝宝抱抱丶
7,还是年代剧好看多了,Angel2🌟
8,特意来看[大拇指],爱吃火腿の亓官安平
9,老成这样了还大少爷？没有年轻人了吗？,1003957249
10,看了这部剧，真的很感慨中国的匠人手艺和匠心。[大拇指][大拇指][大拇指],棒棒哒1🌟
11,匠人精神，非常好的题材，演技好,爱赛跑の公祖经纬
12,开始写老手艺了，中医等传下来的葵宝,哈哈哈哈伟伟1
13,非物质文化遗产 真的很不错,pp0811
14,后来做手串的都是他们人吧,风吹屁股冰凉
15,就怕这侯勇拍完片又离异再婚了[捂脸笑],一条直线19791204
16,别吹，这个剧真不咋地，对不起他的剧名,喜欢跨栏の公孙碧莹
17,这部剧题材是好题材，只是拍得真心不咋样！,@hy...
18,非常好的题材，中国的非物质文化遗产，很多都要失传了，刺绣，陶瓷，剪纸，工匠，笔墨纸砚等等,张🌻℘࿐
19,请看电视剧的内容，看清楚了内容再说话。,山东靑岛
20,这剧情好多太假了 看不下去,x349282811
21,过去的老头凶的不得了,在路上有事请留言
22,很好看的一部剧,天青色等烟👌
23,一代匠师[大拇指],奋斗吧，青春💞
24,会不会像大染发一样好看呀，看侯勇来了,一起旅行@
25,非常好看[应援],木木哒258963
26,非常好看,越努力越幸yun
27,老戏骨们扛大旗，小鲜肉们的表现也越来越可圈可点了[大拇指],长女弓长
28,都是老戏骨，演技不错不错[色],麦克斯坦森
29,匠神制作[大拇指],Jc.敷衍丶
30,看了片尾，感觉太惨了，不想看了瞬间,清璃516
31,好看 好评！！，,用户4bcad6df
32,值得推荐[色][色][色],追风的爺们
33,莆田的爷爷叫阿公，如果能在称呼上再贴近点会更有味,奕辰星海
34,好看的电视剧，[大拇指][大拇指][大拇指],闫永🍓
35,可歌可泣的工匠精神[大拇指][大拇指][大拇指],《锁》5412
36,终于有一部讲述我们莆仙的电视剧了[应援][应援],丫头家的灬笨蛋
37,挺好的一部电视剧,后天的阳光
38,好看的剧值得推荐,宝的温柔相濡以沫啊
39,这部《一代匠师》一定要去看,温馨的老家
40,伟大的中国人民啊！,285494673
41,一代匠师，不错,名字是很难取的都被占用了
42,一个妾室   还想和正室争,怺不逝紶菂微笑
43,这样的电视该多拍点,喜欢懒床的仲孙阳云
44,好看，有意思，很喜欢,爱你曾不改变
45,评论区的帅哥美女有多少？让我看看,曹丞相💝
46,非常好的电视剧,贾国泓
47,讲非遗的啊,爱拉小提琴の刘傅天韵
48,感觉没什么人看的[捂脸笑],等闲谈笑👌
49,非常好的题材,爱唱歌の宰父秋寒
50,狗剧烂剧一部,笑看人做戏
51,想到了侯勇老师主演的电视剧《大染坊》,孙晗
52,很好的题材好看,esksk🤗
