,0,1
0,跑男过来的有没有[666][应援],看星空的丢猫少年
1,看跑男过来的。这部剧宣传不到位啊，根本就不知道。,ღ微风挽笑ꦿ࿐
2,欢迎大家来马鞍山学院！！！,今天想近近了吗
3,欢迎来到马鞍山,拾贰a！
4,看跑男易大千这姿势太标准，原来是拍过剧。。。,AirbusZ
5,看跑男来的[应援][应援],壳儿🎋
6,突然发现这个剧，不错哦，怎么没热度？这才是现在需要积极阳光☀的偶像剧，几个男孩阳刚阳光帅气，这才是男孩子该有的样子，男孩子们没有浓妆艳抹，看着舒服多了，剧情也紧凑不夸张，希望大家多多宣传吧，不错[大拇指],William~华
7,这种耍帅装酷的剧最恶心了，青春是懵懂，暗恋互生情愫最美好的年纪。耍帅装酷，表演痕迹过重，真的难受[微笑][微笑][微笑],您受罪民俗
8,看跑男还以为是电影呢，结果居然是电视剧[捂脸笑],月亮号飞船🎉
9,马鞍山学院宣传片之《不就是拔河么》[应援],废仙女昂
10,看跑男来的有吗[应援][应援][应援][应援],倩儿哟！
11,剧很精彩很热血，值得一看的剧，看了跑男宣传冲着易大千来的，结果发现了优秀的陈靖可。[666][666][666],8️⃣🅱️Q了Q
12,感谢导演剧组拍摄一部这样有意义 又精彩的剧 ！真的教会了我们成长 ！,狂风赶路人
13,从跑男来的，全都看完了好好看，有一说一，这句宣传的不到位呀，我都之前没有听说过这个剧,浅夏~梦淇
14,通过跑男知道的 宣传不到位根本就不知道,萌小咪34
15,有没有路人说下好不好看…,shdiebfjeksnd
16,没想到拔河也可以这么热血！[应援],透乜乜
17,看跑男来的[害羞],沐沐Yy🍄
18,欢迎来到明城大学（马鞍山学院）[应援][应援][应援],漢8188
19,从跑男来的，看起来像双男主，请问有感情戏吗？（我是说和女生）,my玉磬
20,看跑男来的有吗[应援][应援][应援]，喜欢易大千,倩儿哟！
21,电视剧《不就是拔河么》收官时间 2023年4月27日收官,云亭其乐
22,都是跑男过来的吗[呲牙][呲牙][呲牙],TiAmo狗子
23,跑男来的[应援],～～～～🍇👍🌟☁🙏
24,这部剧看着好热血，我决定了，追下去！[应援],奔跑在孤傲的路上😚😚
25,看了跑男过来的,开开心心Ccc🤗
26,跑男来的，以为还没播呢，没想到更完了,一颗fan⭐
27,热血题材我喜欢,小兔子乖乖1！
28,跑男来的，原来大千跟热巴搭档了几次了才发现[捂脸笑],倪珍123456
29,跑男来的[色][色][色]郭炎和薛天是cp吗 双男主吗[色][色][色][色],Hdywbu.
30,喜欢这部剧的题材  真的好精彩,yuan yuan m
31,突然发现这个剧，不错哦，怎么没热度？这才是现在需要积极阳光☀的偶像剧，几个男孩阳刚阳光帅气，这才是男孩子该有的样子，男孩子们没有浓妆艳抹，看着舒服多了，剧情也紧凑不夸张，希望大家多多宣传吧，不错[大拇指][大拇指][大拇指][大拇指],海水與她漸退
32,[应援][应援]看完跑男过来的，凯凯真的是很拼啊，沙爹也是下了大力气，可惜毕竟没有演过拔河，不算专业,小小鱼喵
33,第一次追一部以拔河为题材的剧！拔河有如人生！不管什么年纪 都需要拥有这种不放弃的精神！,狂风赶路人
34,跑男来的,一缕清风
35,哪一集有肌肉看啊？,叶子20060223
36,原来拔河有这么多讲究啊，每个位置都有他的作用,肉顿顿🤙
37,跑男来的太好看了,疙瘩1234
38,"我就是拔河队的6绳，看见这个题材的电视非常的亲切
",瞅你那死出yy
