,0,1
0,看女主演的   古相思曲   贼好看,簌花落雨
1,女主才显老气，而且自从扶摇红了后就胖了，脸圆润的无法直视，已经没有当初的灵气啦，显得很老气，特别是眼睛，原来灵气的眼睛，正是她老气的特写啊。,2003089349
2,少年游之一寸相思，就特别喜欢他们两个，现在二搭，这部剧可太期待啦！,翩然入君怀
3,男主是他的原声的？声音好雄厚哦 跟他本人长像好不配套[捂脸笑] 不好意思没别的意思 就单纯的好奇  女主也显的很成熟  ,下一页ノ回忆
4,这不就是李师傅和黄澄澄吗？？？侯明昊主演的剧里的男二和女二[捂脸笑][狗头][狗头],纳奇欧
5,居然播了，咋一点都不知道啊,臣妾只想搞钱
6,就喜欢放全集的[色][色],我妈妈说我名字太长会有傻子跟着念
7,男主是那个奶油味暗恋的男主,158****3538_m1799
8,如果男女不是剧里两位就好了，张亦诚的扮演者感觉长得过于焦急了[捂脸笑][捂脸笑]看样子起码三十以上[捂脸笑],ellachat
9,是悲剧不，想看他们甜甜的恋爱,一米幸运⭐
10,啊啊啊，我看到了什么？？？竟然上来就是全集！！！[应援][应援][应援],lawyer  liusy
11,古相思曲过来,笑容里
12,hiahiahia看我发现了什么 全集诶,佐鸣啦啦啦
13,我看到了什么 都放出来了,夏时眠
14,哇塞，直接看全集,+.数
15,鱼在水中游，是尾也是头,是刘子润呐
16,期待已久的CP二搭竟然是现实题材，迫不及待的想看后续的剧情,发型像个狮子头
17,空降吗？这是,我想与太阳相称
18,少年游太虐了，希望这部剧可以甜一点[色][色][色],一点点（QQ联系）
19,笑死，我本来就觉得陆鸢好像雪花女神龙，没想到张雅钦居然跟董璇一起拍过剧哈哈哈,红红红的红豆
20,别又 be 了 一寸相思已经难过死了,echen.🐰
21,古相思曲来的,丶南北😍
22,我发现这个男主每演一部剧都会和女主二搭一部，这对cpf很友好,困得晕呼呼🎀
23,开始是奔着一寸相思今生前世来的，但后来纯纯被这部剧的内容吸引了。真的很推荐。也很希望导演可以进步一下,莫卡贝贝
24,看了古相思曲来的,只对你任性@
25,三搭吧，张哥张姐下次来部甜甜偶像剧，这剧结局感觉还不如小相思圆满，好歹云落和左郎中还有个乖崽崽呢！求求了，三搭叭,L&绮梦
26,这么大方，直接全集[捂脸笑],wangxlntong
27,开始是奔着一寸相思今生前世来的，但后来纯纯被这部剧的内容吸引了。,莫卡贝贝
28,突然就全更了，太棒了,全世界最耀眼
29,张耀再拍个仙侠就可以剪出个三生三世啦[应援][色],LJF小芳子_1538
30,哇，这么不准时,喜相逢0830
31,总算有时间来看我们小相思二搭，虽然看起来这部剧还是很虐的样子,兵城战友
32,竟然偷偷开播了！！！,杨杨小号啊
33,欢喜冤家小甜剧，可以说是尽可能还原了,有个栗子掉了
34,十年，人生，有多少年。最美的十年，与爱的人在一起，多幸福！,火星吃火锅
35,女主演的好想和你在一起也很好看,喝点有缘人一身疙瘩4
36,画面让人很舒服，火速一起看起来 也太甜了吧,阿武睡不着
37,演员阵容强大都是妥妥的演技派，给我一直甜下去！,daisy不爱喝奶茶
38,从开头三分钟感觉就要虐死人了，难道又是一部“一寸相思”？,夹雪清风
39,从古相思曲过来的爱了爱了,笑容里
40,好本子技巧上成熟老练，这部剧就是我的心头好,三十岁的孩子A
41,拍的明明很好，男主很棒，喜欢看小甜剧的值得一刷,自作多情的霸王花
42,超级喜欢郎中和云落！！！！可不可以三搭哈哈哈哈哈哈哈[应援],攬月shmily.
43,是不是缺把斧子哦[捂脸笑][捂脸笑]，这样更有感觉[应援],情意失眠
44,女主演技自然不拖沓，剧情跌宕起伏真好看啊,全力飞奔向前的冲冲
45,真的好好看 很搞笑，真的太让人期待了，磕到上头了呀,不想上班的sleep
46,我简单看了简介，意思好像是，男女主没在一起！各子过自己的生活,晨沁、
47,"老搭档了
",尼尼爱干饭
48,俩人颜值都挺高啊，甜甜的校园剧安排起来,请叫我肖夫人A
49,感觉这部剧的风格挺大胆的，道化服太真实了,chindroid yeah
50,最近张耀都是在分别和女主二搭的路上，说真的，见不得他红眼圈和流眼泪，会跟着难过…最先喜欢的，是他的声音，然后是浅笑一下的模样。希望这部剧不是虐剧，坚持到看完。,手可摘烟火
51,我居然才知道这剧，前世今生啊！少年游之一寸相思，很好看！,木母yy
52,表白好甜啊，这个电视剧也太甜了吧,狮子座的射手座A
53,为导演爆灯，为张雅钦爆灯，很精彩的分享好喜欢,若心向阳A
54,现在越来越多的人都开始喜欢上男女主强强联手了。,白开水好好闻
55,古相思曲女主！！！好好看,千秋功名
56,张耀可以啊，体验了大悲大喜！,擎天一猪
57,林亦诚的人物形象比较有意，细节上没有瑕疵,爱自己更爱购物
58,一寸相思刚看完，呜呜呜呜呜,🍍 菠萝 蜜🍍
59,现在的电视剧怎么都这么短，无语,橘子味的软糖_
60,真的挺不错张耀电视剧非常好，严谨真实,吃货的人生不解释A
61,信任张耀的演技来看的剧，看到我也紧张刺激起来了,每天八杯奶茶A
62,别犹豫赶紧顶顶青春励志网剧《与你十年，予我半生》。,小杨喜气洋洋@
63,张雅钦又有演技又有美貌，人物设计合理,克劳帝斯大公
64,群像演技都十分精彩，少见的好剧情的恋爱剧,可爱的辛巴A
