,0,1
0,推荐一下古装好看的剧，谢谢了[愉快][愉快][愉快],思漠
1,为什么总要在悬疑破案剧里面探亲说爱？ 我是来看破案的，真的烦死了,打不动的黄小贱
2,此时，京海一位纯爱交警应声倒地,是橘子不是橘子皮
3,这个夏天因为这个剧去追了李一桐的剧和综艺，眼睛笑起来太美，太治愈,0茉莉0😘
4,#九霄寒夜暖剧评征集#“你负责查明真相，我负责让真相见到太阳”九霄寒夜暖真的太棒了，我最爱的悬疑言情[应援]剧情环环相扣，结局也是反转的猝不及防，还有打戏！我真爱了。好多都是拉进度条回放，一遍根本不够看！愿星辰保佑，玖儿寒狰未来更加美好多彩。谢谢雯珺、一桐等众多演员及创作团队，带给我们这么好的一部作品。希望你们也有越来越多的好作品。最后的最后，希望九霄寒夜暖大火[应援]，希望好的作品被大家看到，九霄值得！[爱心][爱心][爱心],三 千 ㄨ
5,从半妖倾城里面认识李一桐的，一直觉得长的很好看。,哈赫吧唧
6,狂飙被李一桐圈粉的有没有，新剧播了感觉她古装真的好美,飘到了彼岸去
7,这部剧虐吗,小孟吖🥝
8,男主是不是穿古装显不出他的帅[捂脸笑],锦晟工程机械
9,不知为何就是喜欢不起李一桐演的戏,楚河遇见你
10,我不是李一桐的粉，但我看了好多她的剧啊，聂倾城，晚媚，顾海棠，陆文昔，艾情，傅柔，艾千雪，孟钰，还有司命星君，陆可，还有个电影我在时间的尽头等你,林深时见鹿zh
11,看下去！嘎嘎好看嘎嘎甜！,晴天里的木橙子
12,结局是he还是be还是oe啊,爱喝丞丞汁儿
13,二刷了我都，剧荒,苏涵雁
14,求种草啊 姐妹们！还有什么侦探剧吗 我好想知道[应援] ,芝士小奶瓜
15,绝了好嘛，看见男主就垂直入坑了，男主演的好又帅绝鲨了！！！,壁咚了个雯珺
16,李一桐剧我没怎么我看过。但就是蛮喜欢她。干干净净的脸蛋，相由心生。今天我来看她第一部剧。,乐乐小博yyds
17,男主好丑，女主好美，差别也太大了[捂脸笑],凤颖龙峰
18,来看寒狰啦[色],oVolta
19,别人推荐过来的,ZT桃姐姐
20,个人认为近乎完美的剧，自古男二最深情现在我信了，男二人设太完美了，一桐饰演的玖儿也很完美，剧情环环相扣也很好，总之一句话：极力推荐[应援][大拇指][应援][大拇指][应援][大拇指],遗忘 zai 角落
21,今天刚开始看，这部剧好看吗，值不值得追,林army🌼
22,有谁和我一样是来看李一桐的，举小手吧,奔跑在孤傲的路上😚😚
23,男主蒙面好像向佐[捂脸笑],🤞🏻苦行僧
24,雯珺最好看最帅的,太卡阿佳OK了
25,这男的拍一部糊一部,九顆草莓
26,李一桐真的越看越好看！终于要🔥了呜呜呜,飘到了彼岸去
27,真的很好看！对毕雯珺垂直入坑，看我的头像就知道了。刚开始觉得男主妆造有点问题，脸上的黑粉感觉没抹匀，但是后来越看越顺眼，越看越帅。我现在完全是毕雯珺颜粉了。[大哭][大哭],Bicibici～
28,我就问问好看嘛，好看的话我就办个会员[捂脸笑][捂脸笑][捂脸笑][呲牙],呼噜呼噜？？
29,来看雯珺了，期待雯珺在这部剧的表现，造型非常好看[色],Biiiii-鱼
30,这个剧我好像看过！特别的好看,chiara.L🇻樱雨.星辰＆巍澜
31,李一桐的演技真是越来越差[捂脸笑],小云的犄角
32,什么让你第一时间追剧[应援],猫小姐有一只大猫
33,谁懂啊三刷了，太喜欢毕雯珺了,布兰布里亚
34,这简介不如不介……[冷汗],喜欢喝纯净水的长孙一璇
35,男女主一些互动好可爱啊！看到有说男女主像流氓兔×灰太狼，有那味儿了,Sthel_
36,李一桐五官还不错，但说话发嗲表情单一，表演痕迹明显。可爱灵气是气质，是演不出来的。难大红~,永远的大呆
37,我爱李一桐她演的剧真的好看桐姐加油哦祝你能大火最喜欢你演的剧了嘿嘿嘿,QC.浮生
38,"#说出你最喜欢的台词#苏玖儿:爹爹跟我说过，我们都是普通人，很多大事情都掌控不了，只有把自己的事情做好，所以既然我当了巡卫，我的职责就是查出真相
寒狰:好啊，那你就查好你的真相，而我负责让真相见到太阳",耑耑i
39,太好看了，最近看完，可惜热度不是很高，没破8000,Biiiii小杨苏西Q
40,有鞠婧祎的新剧吗,爱吃绿豆沙的颛孙雅珺
41,桐啊，我才进去几天啊？,lokakao
42,请问这个好看吗？我剧荒才看这个,哥哥😃✌
43,男女主角都挺好看的，演的很好👍👍,沈梦溪的日常
44,乾祺两族族人都有些不喜欢对方，祺人不喜欢体弱的乾人，乾人也不喜欢凶残的祺人。当玖儿和寒狰假扮情侣时，周围的人明显排斥这种“乾祺爱侣”，看来两人后面的感情发展会有较大阻碍。,乔巴的小帽子
45,超级好看，因为这部剧粉上了毕雯珺[色][色],雯雯wen珺
46,这部剧里的女主真是吵的让人烦……,永远怀念的妈妈
47,人物关系图上 他是“无虐单相思”哈，emm，连虐都称不上，小可怜,JAYCYT
48,这个倭风服装我真是服了,阿丽松鼠
49,五感 味觉听觉嗅觉痛觉还有啥？, 斌 ⃢👁-👁⃢
50,为李一桐而来的请举手，看看有多少人啊！她的剧感觉都很好看呢！,翩然入君怀
51,大家好，我是来自星糖的剧粉，看完之后久久出不来，然后就被其他剧粉安利了这部剧，看过的能说说看法嘛,Echo😜1024☀
52,九霄是我最喜欢的剧，没有之一,懵懂的清风👍😝Hailey
53,现在苏玖儿在九霄城督查卫担任巡卫，由于身体弱，所以主要负责打杂，别人拿铁刀她拿木刀。(其实玖儿因为体弱要隐藏自己，所以把功劳让给了义父，她本人还是特别聪明的)。,as_np
54,蛮喜欢李一桐的，但是好几个电视剧都是友情客串，专门来看看她，笑起来很可爱,西西爱我我爱西西
55,男主不是开头那个撕咬官员的人吗,仍是童心未泯
56,目前苏玖儿的任务是破案抓住凶手，保住饭碗，拿到赏金还债。由于凶手还把玖儿当成了目标，所以玖儿正在努力保命还债中……,这是薇仔小号
57,好看吗这剧？,WAY😘
58,很好看的一部作品 演员的演技都很在线 剧组也非常好 真的非常感谢制作组们的人员创作出这么惊人好看到爆的一部电视剧 在我低落的时候看看它我一下子就开心起来了[色],温柔鑫
59,案件没那么容易直接找出凶手，看到第四集也猜不到下一步要如何发展，等着继续看下去吧,午夜出動
60,有点无语，这女主，是怎么都不红，合作过好多大明星,小蒋Makenzie
61,真的巨巨巨巨巨好看，我n刷了，看了这部剧，我已经是毕雯珺的粉了[大哭],Bicibici～
62,对不起，是我偏见了！好上头！设定蛮新颖的，而且男女主没有尴尬地一开始就是无节制撒糖，而是循序渐进的，看到女主被困冰窖，男主为了就她甘愿化形的时候，我简直发出尖叫！,chicsity
63,真的好看，桐人雯绝配[色][色][色],Hero不开心
64,零落成泥碾作尘，只有香如故,小樱LA0401
65,有谁和我一样为了李一桐，毕雯珺而来的有吗？新剧一堆快乐加倍。重紫这两天断更了。星落凝成糖。光渊断更。目前只更了8级。还有一些以上不怎么完全。,七宝茶
66,这个剧除了别家的小黑粉带节奏说不好看，说男主丑，说女主装。但是路人盘真的非常认可这部剧的，好看不老套。希望以后多拍这种类型。,彤墨宝贝^O^
67,就是吃我的鸡蛋羹的事，所以被全国网友社死啊！,司如玉7279315
68,寒狰：毕雯珺会唱歌吗，反正我会。,小帆要
69,片头曲好听，刘宇宁的声音。他的声音还挺有辨识度的。前几天刚看他视频段子，谈片头曲，片尾曲和插曲的梗，超有趣，又很对，哈哈,花漾情感说
70,期待下一季[爱心][爱心][大拇指][大拇指],我弄下来了
71,来了来了，寒狰来了,王一宝an
72,太可爱了[色][色],Biiiii小杨苏西Q
73,求第二季《朔北夏夜凉》[色][大哭],Biiiii小杨苏西Q
74,提问，寒狰爱的魔力转了多少圈圈？[狗头],桃桃酥子🍑
75,男主真的古装巨丑,九顆草莓
76,喜欢毕雯珺，演技很自然[大拇指],玲玲玲玲玲玲12358
77,我特别喜欢女主体质嘛总要贴贴男主，但男主又是个高冷单纯大直男，总是一副良家妇男要被占便宜的感觉，你又要碰我？你别碰我？hhhh真的很有意思，看得我嘴角上扬,一颗西兰花菜籽
78,第一集我都没坚持看完。。实在看不下去了，这台词。。。,cm0081
79,我的天，为什么热度这么低？,阿杰🎄12
80,这剧案子很和我口味，不会前面一对云里雾里，最后给你道真相，而且主角会一步一步分析，第一个案子同时结合男女主相识，很自然，不突兀强撒糖，而且探案小分队其他人上线后男女主相处更有趣了，笑的我嘴都放不下来,林卿uski
81,剧情一般,满目余灰
82,玖儿今天还要健康长寿吗[愉快],ᶫᵒᵛᵉ.毕雯珺.😃
83,九霄的世界设定有乾族和祺族，乾族是人族，祺族是类似狼人设定，可化形，速度快，感官敏锐，寿命较长。九霄城是乾人地盘，但祺人有通关文牒也可在九霄城居住，由于近期的童谣案，疑似祺人杀乾人，两族正相互敌视。,早川津津子
84,男主为什么要杀开头那几个人？,仍是童心未泯
85,换个男主就好了，看不下去,奶盖.🧀
86,寒狰我可以摸摸你的爪子吗，我也想长命百岁😍,吃炒菜
87,谁知道延禧宫略电视剧为什么看不了了呢,落日美人
88,痛来了来了预计默,爱弹钢琴de公广乐怡
89,我感觉最好的地方，就是剧情发展和人设是一致的，女主重心在探案，所以实际去分析案件，查案推进的，是女主这个巡卫，这也是她的亮点，而男主其实更倾向找朋友，而不是查案，所以优点也体现在他的身手不凡。两个人相辅相成，各有各的高光，暂时也没有出现一方过于强一方过于弱的情况,梦念8次
90,星落结局太悲惨了，来看九霄。最近男主好看的剧太少了，陈星旭哭起来的表情，也辣眼。[捂脸笑],永远的大呆
91,我三刷了，说实话我很喜欢李一桐，但是她的原声配这部剧第一次看还好，后面越听越难受，配的声音太多语调高昂，且每一句结尾都是尾调很高，这部一剧她的演技也有些五官乱飞，可能是好久没演这种活泼怂怂的角色，演技也有些退了，但是总体来说剧情不错，好看,WODEAI💋L
92,#说出你最喜欢的台词#苏玖儿：我从来没想过在我这短短的一生中能遇到一个他也喜欢我也喜欢他的人,李一桐不喝奶茶
93,你摸摸我的衣服，看看是不是做你对象的料子,Tina👧🏻baby💕
94,哈哈，又回头来看了,小小老大52
95,提早了耶 来看九霄寒夜暖寒狰啦！,婷萌于我
96,里面的服饰搭配全是日本的吧！！！,瀟宇锦锦
97,n刷n刷n刷雯珺的小表情我能看一辈子,Bicibici～
98,"#说出你最喜欢的台词#你负责找真相，我负责让真相见太阳 
                                      –寒狰",是张不是脏🌈
99,真的好看，刷了n遍了，很喜欢这种风格[大拇指][大拇指][大拇指][色][应援][应援][应援][应援],哈哈哈﹊
100,女主让我再不喜欢桐,永远怀念的妈妈
101,#说出你最喜欢的台词#与我共事者，势必专心。你明面上是在查案，看见美色就沉迷。你这叫专心吗？赶快把那个拖油瓶给我支走 -寒狰\^O^/,sweet仙阙
102,毕雯珺也算是演员里的新人吧应该？？演技算还行吧，还有上升空间的感觉～之前看过他的淑女飘飘拳跟墨白～还是很有进步的～未来可期哦～,二姑凉の
103,李一桐和他这个义父在半妖倾城里合作过了吧？也是演父女,💎雯雯💫⛄
104,哭了  娱乐圈是没人了吗  怎么都要李一桐当女主？我真的不喜欢她啊  崩溃,高山流水问知音
105,都给我去看，不看你们会后悔的,小熊软泡
106,案件都挺好看的，主演cp感很强，很好磕，人设很新颖[爱心][爱心][爱心][爱心],琉璃鲈鱼🐠
107,这么早的吗？还以为要等到20点,xxxaaa123456
108,#说出你最喜欢的台词#太好看了我决定一年看一次[应援][应援][色][色][爱心],美女本女.💋
109,探案剧情很精彩，也有搞笑片段[爱心][爱心][爱心],沦陷于你幺
110,哇，提前了诶。来看李一桐破案~,蓝蓝胖胖子2000
111,这男主长得像我一个高中同学[捂脸笑] 还比较熟,彼岸525
112,男主就像暖心大狗狗，女主古灵精怪，有男女主的感情线，也有探案的有趣，“我觉得”喜欢《锦衣之下》和《卿卿日常》的，“应该”也会喜欢这部剧吧！[色],极其紧张
113,毕雯珺和寒狰打架谁能赢？毕雯珺申请加入查案小分队和寒狰殿下一起查案！,吃炒菜
114,奔着男主来的，女主的剧看了很多，差一点点意思！,轮回的隐密
115,啊？是谁说男主古装丑啊？我看他越看越帅[捂脸笑],Bicibici～
116,我发现李一桐不红就是因为每次演一部好点的剧都没有配一个好的男主 男主怎么又不认识又不帅啊[捂脸笑],如沐春风≤
117,毕雯珺演绎的寒狰眼神戏特别戏腻，他的表情拿捏的很好，好喜欢这个角色，这部剧剧情很吸引人，好久没这么上头了。,海之言梦之蓝
118,我觉得还能多看几遍,Snow_Carver
119,为一桐而来，太爱看她演的戏了[色][色][色],不吃香菇too
120,好看吗 甜不甜？？？,pool日
121,自从追了这剧，一遍一遍刷，出不来了，一个月了，都对其他的剧不感兴趣,Luyyer
122,#说出你最喜欢的台词#寒狰：我能救得了她一次，就能救第二次，哈哈哈好霸气,闪耀天空💞
123,香港导演的运镜我真的累了…,老胡爱生活
124,我最近挣了三个亿，一个回忆，一个失忆，还有一个是对你一心一意[爱心],Bicibici～
125,"#说出你最喜欢的台词#苏玖儿:你扶我一把
寒狰:休想擅自碰我。",酥脆酥脆小面包
126,这剧是悬疑探案题材吗好看吗？,鬼魅之2017
127,讨厌那个什么毕的  换个男主多好[捂脸笑],可鲁可亚
128,#说出你最喜欢的台词#你这么一个天不怕地不怕的人，会把我们乾国一个手无缚鸡之力的王爷放在眼里，你是当我傻呀，,@ 虚无 @
129,啊我的毕雯珺为什么古装完全没显出他的颜值来。哈哈哈哈哈哈,小舟123🍡
130,老胡好眼熟,妞妞好嗨
131,"超级侦探寒狰，认真办案！
",舟亢爱珺珺
132,[捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑]再看一眼[666],榜一大表哥
133,爱看 二刷[应援][应援][应援],安溪璐
134,这种女主也能成演员真是可悲随便大街上拉个都比她演的好,yasjqklsw
135,挺好看的[色],巧克力过来了
136,雯珺最帅的,太卡阿佳OK了
137,#说出你最喜欢的台词#有苏玖儿一个拖油瓶就够了，我可不想再给自己找麻烦。,梦以醒卍
138,剧情奇葩，看第一集感觉不好看,夏夜奶茶VIP
139,看到男主瞬间不想看,凤颖龙峰
140,#说出你最喜欢的台词#你负责找出真相，我负责让真相见到太阳。我做你背后的那个人,珊恋
141,就不该看张无季的电视剧，追得又累，第二季还遥遥无期[捂脸笑][捂脸笑][捂脸笑],悻鍢々快楽
142,我又剧荒了,念念²⁰¹⁸
