,0,1
0,表示专门为了毛晓彤和云襄而来得不说再一次的合作两个人真的很自然，每一个眼神都充满感情，今天就把他追完，看看究竟会是怎样一个故事哦,小伙伴本人
1,云襄也在上网课，最后才知道老师是福王，所以说福王一开始把云襄收入云台是为了什么，他灭了人家骆家庄所有的人，到最后他又让闻老救云襄？还不惜做他的师父？最后没想到云襄一身反骨，也因为云襄，他的大业未成,池塘得水满了
2,#闯荡江湖最重要的是#闯荡江湖最重要的首先是实力，实力包括脑力和武力，其次第二重要的就是义气，侠肝义胆才能结交更多同样的好友，而且江湖通常以武力排名，所以如果你武力值为零，那你再多的义气也生存不下去，你正义的抱负和理想也没办法实现，所以要实力和侠义并存，方为江湖侠之大者[狗头],L.金帛
3,大家说句实话，这部剧好看嘛,达奚子ru
4,又回过头来看一遍第一集，发现的细节又不同了，知道了舒亚男去赌坊和云襄两个的相遇又是故意为之，但是云襄心动却是真的，两个人在白驹镇赌坊相遇的画面，云襄很明显就一见钟情了，对后面他明明很直球，但是就对亚男撒娇，原来是云襄先喜欢亚男的,吃红烧肉吗我请客
5,绝对的神仙剧！开场就是给人一种很强大的气场，云台之人本就断绝世间感情，现在云襄遇见让自己心动的人，是会忍痛割爱继续完成自己的复仇任务。还是说在复仇的道路上为爱破解呢！家人们，赶紧的和我一起嗑起来！,小小西啊哦
6,现在看剧，先看演员，看剧情，看评论，最后再决定看或不看，有一样的嘛，举个小手看看吧！,翩然入君怀
7,看完这部戏后，我面色凝重，深深地低下头，默默的关掉电脑，起身打开冰箱，拿出一瓶伊利酸酸乳，紧紧地握在手里，细细的回忆着刚才的剧情，慢慢的走向窗前，外面的景色有些暗淡，就像我的心情一样，沉重。。。很沉重！渐渐的，外面灰蒙蒙的下起了小雨，为什么会这样？我的视线开始模糊了……不知道是我 流泪了、还是雨太大了！可能都有吧…… 我的心情更忧郁了，我再也无法抑制内心的情感！导演和编剧真的太侮辱观众智商啦！我缓缓的仰起头。。。对着窗外大喊了一声：这到底演的神马玩意啊？,无人汲你·
8,全剧配音真的不想看,喜欢喝纯净水の即墨小谷
9,什么时候我也能有云襄这样的胆识和智商啊，遇到歹徒行凶居然可以那么淡定，实在是让人佩服,素来不予人
