,0,1
0,李沁为啥怪怪的，是不是戏曲出来的都有那么一股劲儿？就那种不自然的表演你们懂吧？就好像在演戏剧演话剧那种用力过猛的感觉，我个人觉得演电视剧电影还是自然流露的比较好一点,DeanChang
1,"“人人都骂高加林，人人都是高加林”
人往高处走，有理想，有想法，追求自己的幸福有错吗？高加林的困惑，不管那个时代都雷同的存在。如果是你，你会怎么选？
",是菲林君
2,我是为路遥的这部小说《人生》而来的，原著十几年以前就看过了,lososososos
3,那年代那有画了线的柏油马路,登峰者HD
4,一个初中未毕业的村姑 ，加一个开修理铺的农民 ，就能组成一个上市公司 ，真的太无语 ，那这么想 我也能组成一个郭沫若先生的  天上的街市 ，那我就在天上上市喽 。[捂脸笑],C可欣X
5,不现实，一是车太新，二是那个年代那么浪费自行车的,fsyatt
6,为什么老演员都是方言，入戏！几个年轻主演普通话一说跳戏。还是佩服平凡世界的几个主演,巴巴得得得💦
7,[大拇指][大拇指]这剧真的好看，追这部剧的时候，真心觉得巧珍实在是真多灾多难啊！最开始的时候喜欢加林，被抛弃了，然后又嫁给了栓，丈夫还没了，不过还好，自己有较好的心理状态，否则早撑不下去了，无论是那个年代还是现在都要像刘巧珍一样，坚韧，热烈，赤诚，大爱……,Joey45🔥
8,搞不明白为什么总把结局写那么美好，那么伟大，要是我，我要告他坐牢，他毁了不是一个人的人生，而且一个家庭的全部希望，一个家庭的未来,余生爱ZJ🤟
9,喜欢李沁饰演的姑娘，金子一般的女生[大拇指][大拇指][大拇指]青涩到成熟，拥有到失去….失去到重生，从未放弃[大拇指],妞妞是我的妞妞美眉
10,为了陈晓和李沁来的有没有，男女主演技颜值都在线的剧必须追起来[应援][应援],木木木木木木木木宁
11,同样题材的电视剧，还是人世间好看，人世间这部剧真的是近10年yyda的作品，一手片尾曲人世间更是把整部剧拉满了,毛毛可爱鸭
12,这个开头就有bug了，在那个年代，自行车多珍贵，普通家庭谁会这么糟蹋车，还有拖拉机这种更是稀有，想开可是很难的,超爱吃葡萄的由由
13,我92年的，到98年村里的自行车还不是每家都有，这自行车都这么多了吗,爱吃火腿的闾丘雨燕
14,有谁我一样为了陈晓和李沁而来的举爪爪集合了。激动哇。终于等到了。[大拇指][大拇指],七宝茶
15,看过平凡的世界，再看这个，陈晓差点意思，李沁语速慢点还是不错的,发财的小貔貅
16,这导演看过原著没有？[捂脸笑],美丽而苍凉的手势
17,什么年代这地方都有柏油路了？,周宇_qq3542
18,总体挺好看的 男女主其实都挺好的 但是因为文化不同可能注定不会走到最后 巧珍跟马栓挺好的其实。高加林希望他能顺利复读考到自己的理想院校。,早川津津子
19,陈晓是新一代高加林,楠木长青🎄
20,好奇怪 就算那个时期没电脑查分。他们县好容易出大学生 肯定县里都会知道，一般都会召见撒。怎么这么容易混过,喜欢吃汉堡的太叔秋阳
21,一群群中年人演高中生[捂脸笑][捂脸笑],只要天天快乐
