,0,1
0,我那么大的个陈鑫海呢？[捂脸笑],大红袍不是绿茶嘿
1,陈鑫海演哪个角色,老鹰――樱
2,热评都是陈鑫海啊哈哈哈,半夏萧萧
3,20分钟了还没有鑫海大宝贝，我还是等着看古装吧,用户5e04619b
4,有谁和我一样为了陈鑫海弟弟过来的[应援],是露露啊啊啊啊
5,打开看简介陈鑫海排最后面肯定不是主角！还是最食人间烟火色好看！被陈鑫海圈粉了！,百友走召火页
6,尚鑫：编剧给我写什么台词，你问他啊,除了坚强别无选择🤞
7,最食人间烟火色被陈鑫海圈粉了，这片陈鑫海排在后面，没几个镜头！,百友走召火页
8,真的上头这部电视剧里面的梗太多了吧？好好看,追剧小箱子
9,好家伙，爱奇艺你是懂会员的，直接全集,会不会觉得不快乐
10,陈鑫海在哪里？,@林小白
11,陈鑫海是主演不？,▼.听说你妈中意我
12,这不是沈腾表弟，月歌行的老草吗？,卜汝猪猪
13,可以说每个人在互联网上都有自己的人设，突然间人设崩了，你是啥滋味[捂脸笑],一直精致的小猪～
14,有人在线吗[应援],aicg
15,看他们打游戏的状态也太真实了吧哈哈哈哈这个哔掉了好多话,甜度爆表🎪
16,有谁和我一样是来追剧的,懒公子⛄
17,好看，好久没看见这么喜欢的剧了。,喜欢吃龙虾の延陵盼波
18,尚鑫乐死我了 别的演员也很有趣,Krisliw
19,哪有那么多对错，都是对的合理,zhenli🍑
20,宝子们 海子在哪集哪个时段,今生记得你_wx1823
21,什么最真实娱乐圈!!!最真实的是资本，没钱你拿什么拍电视，娱乐，电影？,XXF😁
22,cxh在哪里 奔着他来的戏份有点少[捂脸笑],Mi_jichi
23,我那么大的个陈鑫海呢？[捂脸笑],zero baby.
24,这部剧的导演是？,笙007☀
25,人间烟火色过来的，我那么大的个陈鑫海呢？[爱心][爱心],用户@58cf3d15
26,是不是戏份都比较少的演员还行啊？,你小妹吃肯德基
27,孙总有点儿像龚汉林老师呢,浅夏半岛
28,人设不应该是定义的，是人在不同阶段不同场合的外在表现，是动态的而不是一成不变的,众小二🌸
29,看他们打游戏的状态也太真实了吧哈哈哈哈[应援][应援][爱心]很惊喜的剧，剧情有趣人设有趣棒棒哒[大拇指][大拇指],爱喝粥de公孙迎彤张林
30,看他们打游戏的状态也太真实了吧哈哈哈哈这个哔掉了好多话[应援][应援][爱心],Abraham·J
31,陈鑫海演哪个角色,爱游泳de公羊夏容
32,真的上头这部电视剧里面的梗太多了吧？好好看,呱李激推
33,感觉他小时候也还是蛮可怜的，从小就失去了他的父母,是心情复杂
34,好看，有多少人在看？举下手[呲牙],༄ঞ᭄凉辰栀心ღ᭄࿐
35,最后一个是海子哥不理解,爱她｡ò
36,尚鑫对自己的认知很清晰，自己怎么能被选上太不可思议了,fekdmd
37,人间烟火过来的,A 海狸
38,你的人设崩塌了吗,  独角戏 
39,第一集马拉松场景是哪啊，好漂亮,soso123💪
40,人间烟火色过来的,秋秋@翔翔
41,看他们打游戏的状态也太真实了吧哈哈哈哈[应援][应援][爱心]很惊喜的剧，剧情有趣人设有趣，男主是沈腾表弟，演技很不错，棒棒哒[大拇指][大拇指],你好ggggg🤟
42,女主角是演过恋综怦然心动的那个吧,惜缘      ～ 张～
43,齐有倜傥生，鲁连特高妙。明月出海底，一朝开光曜。 却秦振英声，后世仰末照。意轻千金赠，顾向平原笑。吾亦澹荡人，拂衣可同调。,ほ頾骺䙸€肄嘧ほ
44,你的人设崩了吗,明天、将来
45,很惊喜的剧，剧情有趣人设有趣，男主是沈腾表弟，演技很不错，棒棒哒[大拇指][大拇指]耐人寻味[大拇指][大拇指],小白兔大白鸽
46,人间烟火色过来的,Rêverie-
47,都是看陈鑫海吗,진지한 사랑 당로
48,要不是尚鑫出名了，雨婷能看上他？,1050283372
49,人间烟火色过来的,霞新👍
50,这部剧怎么样,舔狗一号🐾
51,真的爱了，我就喜欢追有大结局的电视。,糊里糊涂 糊糊涂涂
52,人间烟火色过来的,行羽😀
53,陈鑫海在哪里？,Jaffe1🎁
54,看了半天没看到海子[捂脸笑]已疯,嗯啦🎐
55,剧情怎么样,琳珊妈咪琳琳珊珊
56,陈鑫海在哪里？,zg123sjy
57,其实姐弟恋也是挺甜的，啥时候我的好姐姐来到我身边啊,名额给个
58,在这个假面横行的时代，我们都需要一场“崩塌”，摆脱桎梏的“人设”，然后去和那个渐行渐远的自己，见上一面。,👑  花 妖  👑
59,什么人设啊,奋斗青年有好多
60,打游戏的时候碰到这种队友谁都会来两句国粹吧哈哈,鲜花盛开的地方
61,人间烟火色过来的,natur🤙
62,人间烟火色过来的,刘畅畅儿啊
63,打游戏的时候骂人也太真实了吧，感觉像我队友似的,虽死魂犹在
64,陈鑫海演哪个角色,青青*🍂
65,我好久前也和别人谈论过这个词，要说人设我觉得它应用最多的地方，应该是网络，面对的群体应该是陌生人吧，现实生活中即便是搭建一个完善的人设，维持其实挺累的，还是遵从内心吧。简单点。个人观点。,无心解毒
66,陈鑫海在哪啊,wqf1223
67,陈鑫海是主演不？,赵泽菊💪
68,都是什么人设[呲牙],今年好运呀
69,就喜欢看青春有活力的剧,三月里来
70,陈鑫海是打酱油的吗？,彬彬爱马
71,人间烟火色过来的,Hua.r🍦
72,感觉这会是我今年第一部追完的电视剧,愿逐月华流照君:
73,这打游戏的情景跟我对象打游戏有的一拼，打到高兴的时候会手舞足蹈，不高兴时会大声叫骂，这情节太真实了[爱心][大拇指][666],玖蓉🎀
74,是新剧吗,好好来了👍
75,是真的挺好看的，越看越上头啊，这部剧太上头,池塘得水满了
76,什么人设,红领巾111👍
77,很惊喜的剧，剧情有趣人设有趣，男主是沈腾表弟，演技很不错，棒棒哒[大拇指][大拇指]耐人寻味[大拇指][大拇指],宁吖. ゞ
78,白雯：什么意思？我没签上，尚鑫签上了,水不转山转
79,我的陈海鑫呢[疑问],exo--小卞卞
80,这个剧怎么样,fyzq758
81,真的搞笑，尚鑫对白雯真是一心一意,大姐一枚
82,人间烟火色过来的,您吗🙊
83,好看，有多少人在看？[应援],猫小咪～123
84,打游戏就怕遇到猪队友，骂人这像极了打游戏的我,哇哇1026
85,人间烟火色过来的,＂沈公子
86,是陈鑫海主演吗？[大拇指][大拇指],凯迪仕 德施曼 高端智能锁
87,这戏要火,Krisliw
88,有多少的期待,wangyu shan 888
89,人间烟火色过来的,天真无邪吖🌙
90,啊哈哈尚鑫这个真的是太文明了吧，在宿舍就是要文明用语,易决别离
91,人间烟火色过来的,晚－风
92,人间烟火色过来的[色],银河旅客🥰
93,做内娱太难了，我们的瓜都是内娱这些打工人一张照片一张照片拍出来了的呀哈哈哈,檐叶
94,人间烟火色过来的,💃妹子妹子
95,人间烟火色过来的,月光故事馆
96,天上没有掉馅饼的事，我总觉得事情没有这么简单，签合同的时候一定要看清楚细则再签,漠北🌈❄
97,好看的吗。刚刚看,唯一的一个我😍
98,讲什么的,★。成ル..
99,看你们这么说不看了陈都看不见,笨小孩的love.🎀
100,好看吗？搞笑的吗？,萌小狐
101,有多少人在看？[色][色],888行者888😝
102,人间烟火色过来的,用户59227ee403cc0
103,很不错的剧，演员很努力，剧情也不错，力推！,·唐果
104,做真实的自己，真诚最能打动人,不知2💯
105,看他们打游戏的状态也太真实了吧哈哈哈哈这个哔掉了好多话,天不黑烟花不美
106,好看，喜欢看这剧，喜剧呀，哈哈，解压剧！！[呲牙][呲牙][大拇指][大拇指][666][666],水滴中的琥珀
107,娱乐圈的八卦喜欢看呢,潘颉jerry
