,0,1
0,我与我女朋友登着同一个账号，我希望你们能点赞，她能收到通知消息，通知我女朋友，我爱她，我真的很爱她!谢谢了[爱心][爱心][爱心],·H·草莓🍓
1,抖音推送来的，冲着八百万看点来的，[捂脸笑]乐死我了,落花……无情
2,"河堤真的表演有天赋 ，白马帅是白马帅，呆萌的和东方兰花不像，也看不到他本体的影子
河堤有点天赋的",芝士小奶瓜
3,啥时候出第二季,kooto8848
4,哎，看这部，我真的是犹豫了很久才点开。超级不喜欢郑凯，但是又想看王鹤棣[微笑]希望这个剧情能吸引我吧。,上上谦君子
5,这也是借鉴了韩剧啊[捂脸笑][捂脸笑][捂脸笑]我说那诡异的发型怎么这么熟悉，连名字都一样[捂脸笑][捂脸笑][捂脸笑],噗噗嘛麻
6,点赞今年考试都过！,X1aohuihui
7,刷视频被吸引来的  然后发现是棣棣的剧  更期待了[应援],CFBDSIR✨
8,白马帅有肖掌印那么帅吗,兰馨仪💝
9,我与我女朋友登着同一个账号，我希望你们能点赞，她能收到通知消息，通知我女朋友，我爱她，我真的很爱她!谢谢了[爱心][爱心][爱心],我在人间捡故事♥🙏
10,为王鹤棣而来的请举手，看看有多少人啊！这部剧感觉会很好看啊！,翩然入君怀
11,又是陈钰琪啊？二搭了,sweet dream and
12,现在只要有流量明星评论区全是控评没有几个讨论剧情什么的,会飞的刃鱼
13,怎么突然这么多人看,橘子爱吃鱼💦
14,考完试出来就追你白马帅[捂脸笑],帕提麦☁
15,这个剧好像韩剧【高斯电子】呀，不论是镜头感还是主角的造型（那一戳呆毛）都好像[捂脸笑],捡个饼干
16,和破事精英好像,的地方换个号哈哈哈
17,这是这几年除了一起同过窗之外，第二部让我笑的电视剧了,倪霸霸噢
18,家人们这不是翻拍，买的漫画版权，中国先拍的，但是韩国边播边拍播的快，中国的要拍完审核,芝士小奶瓜
19,抖音看到的片段 想看的。。结果发现女主又是这个人，不喜不厌只是不想看，没感觉 走了走了,耳边856
20,"桃桃你是懂简介的，""逃出皇城职场二搭""爱了爱了",飞奔的大肥鹅👌
21,有没有因为王鹤棣主演来看电视剧的，有的话点个赞呗！,帅哥是渣男！
22,只要是郑恺的剧一律不看,婷2169
23,为什么不能只观看谁的了呢 ,郭菁虫你
24,耶，呆毛白马帅[应援]入职开心哦,王鹤棣的unique
25,富二代有这么白痴的？,隔壁老汉不姓王
26,月尊的戏一点倍速都不需要[色]爱死了[色],🎀 X.M.M💕
27,"白马帅可爱鼠我了啊啊啊，第一天上班就差点被门夹到！初生牛犊不怕虎，一脸无辜怼领导，太好笑了哈哈哈，我宣布今日宜加油成为我新的下饭剧！
",白月光与朱砂痣💜🆔
28,第一集还没一半 就开始打广告呢 演的个二 五 六百,衣服浪了
29,找一些之前没有看过的老剧来看一下，新剧，实在是不忍直视,梧桐苑子艺💝
30,让我看看你这个小荸荠究竟有多可爱[应援][应援],棣柒篇
31,这是发生啥啦   人气变这么高,歌尽桃花
32,都是我喜欢的演员，几年没追剧了。我又来啦哈哈哈哈哈哈哈[色],包容，感恩。
33,期待陈钰琪,爱越野de南宫孤容
34,原版叫什么啊，郑恺太出戏了,YF？！。，
35,怎么突然这么多人看啊[捂脸笑],欢欣的喵
36,河堤的原声真的好棒啊！！！就喜欢演员自己的原声，不喜欢后期那些大牌的配音演员，演员自己的声音多贴合多真啊！虽然有口音,芝士小奶瓜
