,0,1
0,"如果可以的话，我也希望可以回到过去，找到妈妈然后告诉她:  千万千万不要嫁给我爸！她是你所有苦难所有悲剧所有可怕的根源…
即使世界上再没有我，也要拼劲全力阻止[流泪]

",吴颖希☞
1,最食人间烟火色过来的[应援][应援],段嘉许:🏝
2,很喜欢一些全集播放,小熊先生的在逃公主
3,最差的剧,ylsb0721
4,好多评论都是希望穿越回去让妈妈远离爸爸的——男人们，你们为啥那么让人失望呢[捂脸笑],撒娇到底
5,#妈妈我想对你说#想告诉你，我其实很爱你很爱你，往后的日子开开心心的,一闪 一闪 亮晶晶🤗
6,只要是全集上线的，必须支持点赞[大拇指][大拇指][大拇指],余生请多多关照ǎ
7,女主是真好看，身材好衣品也好,Gangsterss4
8,如果我能时空旅行 我想回去阻止妈妈这段不美好的婚姻[囧]让妈妈能有重新选择自己相伴一生爱人的权利 可能我没有时空旅行这样的超能力[大哭][大哭][大哭],你放开我的小狗
9,#妈妈我想对你说#妈妈我想对你说，妈妈我爱你，谢谢你把我带到这个世界，给我生命，让我看到这个美丽的世界,珊恋
10,“你幸福的话，我消失了也没关系”妈妈去世后，意外回到她的少年时期，决定改变她的命运，不让她悲剧重演，为她选择好的丈夫，自己却永远消失……,戏江.⭐
11,第二刷，这个剧真的超级好看！[应援],彩虹糖女神😁
12,#如果你能时空旅行#如果能时空旅行，想去看看未来的世界。,珊恋
13,开局就那么难看，看不下去。,小楼@丶
14,来了，就喜欢这样全集的,backlight逆光飞翔
15,这部剧因为这个封面容易错过,春种一粒粟👍
16,现在看剧先看演员，看剧情，看评论，再决定看或不看，有和我一样的吗？举个小手看看吧！🐰,꧁遇见꧂
17,如果可以，我想穿越回妈妈还活着的时候，我肯定会多回家，多拿钱给妈妈用，带她去旅游，听她话早点结婚。节约点早点买房接妈妈进城一起住。妈妈是世界上最爱我对我最好的人，我好想她，她去天堂五年了，愿来世她还做我的妈妈，想她。,很乖的美猴王🎈
18,我去，我是第一人看到上线的[呲牙],春秋漫漫
19,这个剧情设定和“我才不要和你做朋友呢”有点相似啊,周游Caleb
20,我要能穿越时空我绝对不会再相信爱情，只有物质才是最真实的,爱摔跤de哥舒念文
21,"#他跨越山海而来抓马名场面大赏#我觉得抓马名场面必须有初见时的一声：“妈”
我真的要笑死[捂脸笑]",勿言大大~
22,其实如果真的可以，我也希望妈妈过的更好，希望即使自己能消失,搬砖老王—
23,我就问一句儿子不会和他妈结婚了吧，现在的国产电视剧不敢信啊,晗哥最帅5最帅20
24,#高分追爱手册#未来儿子戚烁穿越时空，助力老妈开挂追爱[应援],🎈My欧气满满🐮
25,开头有点懵逼，看了简介有点不明白明明婚姻不幸，为什么还要追陆晓,小🍎.♥
26,宝们 是小说改的吗 有知道吗想看小说了,哈哈哈哈吼吼吼吼耶
27,这么刺激的吗直接全集,明玉玥里亮，龙枭是三郎
28,#妈妈我想对你说#想跟妈妈说谢谢妈妈，在我每次遇到困难的时候都会坚定的支持我的选择,cici欧尼＆
29,我觉得这样对陆晓未来的妻子不公平，本来陆晓未来的妻子很幸福的，一个人改变了很多人的未来,吴wyf
30,儿子穿越帮妈追他爸，还和他妈处成闺蜜，太抓马了吧～[应援][应援][应援][应援][应援][应援],潘土土～
31,如果可以只想我未来的女儿穿越过来告诉我何时能怀上她[捂脸笑]避免以后意外怀孕把我宝贝女儿给打掉了[捂脸笑]毕竟她已经有两个哥哥了[害羞],柏贤果业jessie女神
32,最喜欢剧里的一句话：所以的爱都是为了相聚，只有父母跟子女的爱是为了分离。这也是最令人感触的一句话,潇潇羽惜
33,#高分追爱手册#女追男隔层纱，室友的帮助，未来儿子的帮助其实都是在戚玥的高分追爱手册里,彩虹の晴天💕💕💘
34,#如果你能时空旅行#如果能回去，我也希望回到过去，去我爸妈开始的那段时间说希望，我爸可以在考一次试或者爸爸可以对待有些人稍微强势下，话可以多点，希望我妈妈可以改变下性格，强势一下，别人说的不要在意，不要放在心上，放宽心，放轻松。不管怎样我们都要好好的[爱心][爱心][爱心],炽爱1.11
35,戚烁有点丑，女主还行就是眼睛无神，陆晓颜值不错，演技不做评价，剧情不错，总体还行,放空_qq1570
