,0,1
0,一次更完，大爱[大拇指][大拇指][大拇指][大拇指],jgffjdj
1,我现在看电视剧，我得首先看看是哪个人在领街主演我才看这部剧,姐看不懂
2,这部剧，有几个女演员是遇见你之后的[应援],用户4a606ef1
3,现在看剧先看演员，看剧情，看评论，再决定看或不看，有和我一样的吗？举个小手看看吧！🐰,佳瑞寰
4,现在看剧先看演员，看剧情，看评论，再决定看或不看，有和我一样的吗？举个小手看看吧！🐰,★樊星★
5,"这个是什么类型的电视剧啊
",哦是吗我还好随便
6,归路为什么也不一次性更完了[流泪],小系解说
7,这女主？？长相？？,好心情_qq7133
8,嘉羿在爱豆里算演技不错的了，后面病弱我哭死,★樊星★
9,真好，一次更新完[色][色][色]最爱这样的了,昊皇轩辕——小隋
10,为什么封面男主和女二坐一起，女主和男二站后面？还以为……,6480雯
11,看完了，还可以，不虐，男主好温柔，好深情。帅帅的。[大拇指][大拇指],冬月枫…
12,这女的带资进组吧？能演女一？女二更是平板，这阵容，除了三个男的能看。自制剧一次性播完也是给面子了,一只西瓜鞋
13,宝子们，爱奇艺会员群加一下啊,少女吖~☀
14,烈火军校,这个蛋糕好的喝咖啡
15,这是被对象强制要求看的第n部霸总剧[捂脸笑],辉煌已不见
16,好爱全更,꧁༺琦林༒小鞠颖༻꧂
17,那面试之前怎么不说？人家通过了又来撤条件,坦诚的学习时刻
18,超级喜欢一部剧全更新完的[色][色][色][色]爱奇艺[大拇指][大拇指][大拇指][大拇指][666],Shilimy🤩
19,谁知道这个手环是哪个牌子的,啦啦啦小公举🎋
20,他奶奶的谁选的角啊？这简直就是灾难,奈何桥上忘
21,十个总裁九个病[捂脸笑],🍊一今橘子！
22,这部剧和（看见味道的你）太像了吧都是品酒[捂脸笑],华佗再造丸😋
23,有谁知道这部剧在哪个城市拍摄的？,用户90c2c838
24,嘉羿好适合偶像剧！！！帅哥多拍点！,Atuuuuuu_
25,为什么又是短剧[捂脸笑]，好看,少女心满满抓不住
26,陆纷纷和白冰两个人好像,少女心满满抓不住
27,感觉挺尬的，男主需要和女主接吻，而且还是湿吻通过女主的唾液才能活下去……这设定我怎么总觉得有种色色的感觉？这编剧是从哪里请来的？我对编剧原来是写什么深表怀疑哦,倚樓小札
28,演员我都不认识，好看吗,齐天大胖胖
29,已阅，剧情太拉,白隐😘
30,好看好看好看好看好看，又可以看到嘉羿电视剧作品了，开心开心开心开心,（张倩）宝铮宝莹妈妈
31,可以可以,王建杭
32,你打进那个,现实太狗･ω･
33,是短集吗,呵呵😞😞Anthony4651
34,我们都没出门啊,黄金岛😆
35,"感觉挺尬的，男主需要和女主接吻，而且还是湿吻通过女主的唾液才能活下去……这设定我怎么总觉得有种色色的感觉？这编剧是从哪里请来的？我对编剧原来是写什么深表怀疑哦
",用户87009b73
36,喜欢小甜剧，甜甜的剧情可太喜欢啦！有一样的嘛，举个小手看看吧！,翩然入君怀
37,作为一个刚刚从心衰病症中缓过来，现在走路还摇晃的人来说，这个剧情[捂脸笑][捂脸笑][捂脸笑],用户524ee8e400814
38,嘉羿在爱豆里算演技不错的了，后面病弱我哭死,Atuuuuuu_
39,嘉羿没想到演得那么好,淀粉血沉
40,女主是关系户哦。,♥ ．晓晓娅  ^o^
41,这……男主为什么身体不行，女主后面为什么和男主的症状一样，都没有说，这都什么鬼，而且，搞不懂，简一江他在最后两集凭什么指责女主，还冷血，这都什么鬼,鸭吖～🎪
42,男主还可以，女主能不能选个漂亮点的？,爱钓鱼的狂魔
43,咨询你一下,用户67981d15人生
44,背台词的感觉,Carol潘
45,说实话，这个女主在我看见后面那几集的时候，真觉得他配不上男主，当然不是物质方面，是人心。[微笑]看这个剧最好不要看后面那几集真的气死。求婚之后就别看了。,敏猪的阿达西
46,请问一下，好不好看呢？,゛初见
47,女主不好看，也太老了,用户a8b67a641ff40
48,王子璇的剧都是一次性更完的喜欢喜欢,Ice莎莎🐇🐇
49,救命啊 编剧、导演你们好能编啊哈哈哈哈真的笑死了,柠小萌🌻🏵️🏵️
50,全集就是爽[色][色],lbo舟
51,感觉女二的颜值更适合演女一,逝去的青春321
52,真好，全集更完，爱了爱了[色][色][色],莫名😋🍑7890
53,只要是全集上线的，必须支持点赞[大拇指][大拇指][大拇指],余生请多多关照ǎ
54,虽然是王子和灰姑娘的故事,洞冰虹f
55,我靠，刚才那么多记者，现在救命了，没有一个人来[捂脸笑][捂脸笑][捂脸笑][捂脸笑][666][666][666][666][666][666],余贝泷
56,爱了一次性,菲菲不是狒狒🎪
57,男主虚弱的表情很到位,热光度法15
58,男主很帅！！！！,爱笑小熊🐻
59,看着有点尬，评酒师在条件齐备的情况下会单手佩戴白色手套以此来判断酒的色泽，还有就是评酒师一般不会把酒吞下去，因为那样会影响之后的品鉴，只能说为了艺术这些专业部分就只能省掉了。。。。,爱吃冰激凌的东门熙怡
60,哈哈哈女主进🚹男女主要遇见了,笑呵呵的暮雪流年
61,来啦，要亲亲,笑呵呵的暮雪流年
62,红酒大师是什么职业哈哈哈,d3a8xde8
63,第一次听说品酒师这个职业,出口这款
64,期待后续的剧情发展啦,花开富贵九个1
65,女主真心不好看,秋夜凉如水
66,演员全员演技在线，越往后看越好看，超喜欢何乐 乔一cp，开头第一集真不该搞那些特效整的像玄幻 科幻片一样[微笑],洛涵芳华
67,最后一集大结局最后几分钟那看哭我了，差点以为男主去世了女主要一个人生活了😭,Holly❤️
68,女主金紫璇好看好看好看好看好看，上次看她作品是和周峻纬主演的遇见你之后,（张倩）宝铮宝莹妈妈
69,许明辰的姐姐叫什么名字,木子秋蝉
70,虽然能猜到剧情但还是很期待,名俱扬
71,总裁一般都去私人医院,我是蚂蚁哟
72,导演是让看的人找不同吗？把三位长得像的女演员放一部剧[捂脸笑],果粒橙帅
73,一口气全看完了，剧情还不错，男主身材真好，演技也都在线，大家可以放心追！（女二太讨厌了！）,我就是小圆本圆
74,剧情紧凑 题材新颖 男主真的太好看了 虽然女主颜值有点普通 [呲牙],软糖贩售
75,一个看似平凡的女孩靠着天赋聪明不屈不挠的斗志勇气的女品酒师，却遇上患有怪病性格也古怪逆龄霸总，之后便开启了一段既有别扭和搞笑的也有浪漫和心动的恋爱喜剧！[爱心][应援],*魚恋海.l
76,女主太显老了，男主很帅,晨晨晨 
77,男主的演技真的可以,倒萨发3313
78,嘉羿新剧上线了[色][色],花是花月非月
79,怎么感觉那两个女的是一个脸[捂脸笑],杰艾雪
80,苍白的嘴唇演的到位嘉羿,墨墨是墨爷
81,这个电视剧会🔥吗！一次性更完！,我是你认识的柔柔
82,哈哈哈虽然有槽点但是也很好看,敢佟長江
83,必须在女主嘴里才有活性哈哈哈,奇图视觉
84,为什么不能要这种酶呢,智孟智孟
85,返老还童也不是一件好事,影坛魅紫女
86,开头的故事就是寓意啊,妃子败国
87,男主整集都在不舒服哈哈,酷哦噢没
88,从期待到开始看这部剧,酷哦噢没
89,谢谢平台给提供精彩的影片,成武白公子
90,最嗑的竟然是女二的颜值,问情飞刀
91,男主演技还是不错的啊,诗水蛇山神
92,确实有点科幻的味道了。,爱吃提拉米苏的小博
93,"[色][色]，刚好隔壁理科生停更了
太及时了",喜欢旅游の褚师北嘉
94,就是喜欢一次性大结局哈哈终于不会剧荒了,哈哈哈就刚回家
95,体裁暂且不说，麻烦怎么样事先请学学品酒，连拿杯子都不会,哎卧槽嘿
96,后面男主和女主住一起，男主这么明显身体很不舒服，女主没感觉么，太奇怪了。,§深思§
97,来了来了,每天都想去海边
98,喜欢类似人物剧集，虽然不是流量大牌，至少不是恶心短剧杂牌,心*星*
99,男主女主虽然颜值不是很高，但发型很搭脸，服装也特别帅[应援][色],唠嗑泡
100,哎呀，全集都看完了，剧情紧凑，前期轻松甜蜜，后期赚我眼泪，很好看的一部剧,榕澤
101,爱奇艺最有味，剧也多，一次更完，大爱，会员充得最多的视频平台[色][爱心],DanDan丹👏
102,很好，好看[666][应援],Marsぞ柠檬
103,女主的性格很可爱,淀粉光法费
104,跨不去的坎啊,万人敬仰韩天尊-
105,导演的水平还是在线的,刘楚c皓
106,前方高能预警！来啦来啦,笑呵呵的暮雪流年
107,一次看全集不错,笑呵呵的暮雪流年
108,看了第一集的开幕，特别开心都给了一分。[应援],匿名用户
109,木偶复活后，就是疯狂杀人么？,勿忘我颠覆了
110,柳拂晖没有死啊，那为什么不给张麓之报信呢,勿忘我颠覆了
