,0,1
0,大半夜看笑死！根本合不拢嘴！为什么马桶还要打蜡啊哈哈哈哈哈哈！,啦228
1,追剧的你和追剧的我的状态[微笑],欧叭&quot;&quot;
2,给女朋友看了柳轩铭给三妹讲了一夜大道理的片段，笑傻了哈哈哈哈哈哈,外公说回家
3,小学生也爱看！,巨巨巨无敌
4,有多少人是被吉吉国王吸引进来的，结果就演个爹啊，还有巩汉林，就这么挂了，真谢谢了！再见！,yiyi@Joe
5,有多少是被吉吉国王吸引来的。反正我是[呲牙],逻辑设计
6,就喜欢这种VIP看全集的剧！[爱心],潇歌家的小二十
7,李莲花没更新气死人只能到处找剧了,︶ㄣ狼魂乄
8,我是冲着吉吉国王来的,vip.点点点点
9,真的好看吗？看了半集看不下去,挑灯忆朝夕
10,[色][色][色]太给力了！！最喜欢这种一次性上完的电视剧！！[呲牙][呲牙][呲牙]太赞啦~[大拇指][大拇指][大拇指],比个啵最赞💚哟
11,这是女女吗，我看封面是的,墨琳墨宇
12,什么鬼啊？两个有实力派演员出场还不到一分钟，却用他们来做封面。要不是封面上有个实力派演员，我才不会点进来呢😠😠😠😒😒😒😒😒😒 😒,雨落秋风秋落雨
13,一大帮人说后面巨好看，我一集都坚持不下去了，能告诉我从第几集开始进入主题的,沉默寡言0511
14,有谁是浮图缘没更新来找剧看的,悲伤葱油饼-
15,生孩子能生到吐血也是绝了,聆听随风110
16,我是看到吉吉国王才来看的,接受普通
17,我就喜欢吉吉，咋一集都没活过就下线了[捂脸笑],玲儿～泉泉
18,我去，刚上映就全集,生生~🍓
19,_拍个电视剧都那么难看[应援],[爱心]全村我最美
20,生孩子能生到吐血，什么逻辑？,彩虹鸟111
21,没得看了，都在更新，这部好看吗,开心宝贝鑫鑫
22,一上映就更新完了，真的很喜欢这个速度好吧[应援],🍍菠萝味的凤梨.
23,吉吉国王一个经典的画面把我骗过来的[捂脸笑][捂脸笑]5分钟俩所谓的老戏骨都领盒饭了[捂脸笑][捂脸笑]骗子！！！,菜不咸·佳妍
24,看半集就不愿意看了，演的啥,山东智义恒黄国强
25,有没有两男追一女的古装电视推荐,一直在😍624
26,明天要二刷！今天一口气看完了24集，搞笑中又有智慧，好看！全员颜值智商在线！2023年第一部电视剧，好看！,起10
27,这种电视剧真的有人看吗？我只是来看评论  看看真的有没有人在看,︶你与时光皆薄凉
28,难得没有明星还让我们看得轻松惬意的剧，喜剧氛围足，看起来特别有意思。[大拇指],vachel_x
29,看着真尬啊,神野`匪稚
30,这么牛逼，直接全集啊[666],丹丹的小天地
31,我一个想法是古代竟然有烤面筋,爱喝龙井de东方安宜
32,冲吉吉国王来的，结果开局就领盒饭了哈哈哈，看热度还是选择垂死挣扎一下，到底还是没有撑过第一集...再见了，铁子们...,SALANG_qq1916
33,啥玩意拍的是，差评差评差评,轩轩惹人爱
34,特别好看，大家一定要看，真的好看，有很多套路反转，一部剧就是一个小品，我都看了有好几遍了，剧情是真好，颜值也好，小成本网剧拍成这样，真的很不错，剧情不雷，男主爱女主，但有脑子并不是恋爱脑失去理智的那种，可以让自己的好友一起来看，放松心情[呲牙],用陌陌310
35,期待女主男主你们俩个人二搭三搭，爱了爱了[大拇指][大拇指][大拇指][玫瑰花][玫瑰花][玫瑰花][爱心][爱心][爱心][火][火][火][666][666][666][拍手][拍手][拍手],zbzy123
36,就为了看吉吉，结果吉吉就这么死了,岛上的鲸
37,让我来看看有没有帅哥美女？,桃桃子666
38,我感受到了VIP的尊贵了啊哈哈哈哈,源爱客厅狂欢
39,看到巩汉林才看的局，结果10分钟不到就杀青了[捂脸笑],用户@d907cec419a80
40,这能看吗？好歹找个名人[呲牙],月亮上的超🌙
41,老奴，我谢谢你,青柠萌宝🍋🐛
42,终于不是强行降智女主然后让男主来救赎的傻白甜戏码了，[666]男女主在各自城邦危急时刻相互支持同仇敌忾真地太温馨了，宝藏剧推荐推荐！！！[666][奋斗][奋斗][666][奋斗][666],Haa66
43,老三当了皇帝，老三终于翻了身。,么么🌹✨
