,0,1
0,这个是那个江忍孟听那个小说翻拍的吗,哈哈镜丶丶灬
1,吓我一跳，我以为是我想的那个偏偏宠爱,治拾
2,就喜欢这种一次性更新完的剧！,奔跑在孤傲的路上😚😚
3,真不明白了，这现在的短剧质量真的是一个比一个低，没有正能量，没有营养，剧情里脚指头都能抠出一幢别墅了,欧阳玉清
4,看见名字以为被翻拍了  差点哭出来了[大哭],荔枝🍦🍬🎉
5,蛮喜欢这类的剧情，久别重逢感觉会有有趣的事情发生，有一样的嘛，举个小手看看吧！,翩然入君怀
6,看到这个名字吓到我了[微笑] 还真以为是江忍和孟听呢[微笑],有空不如睡觉
7,男主救女主的片段好假啊[捂脸笑]男主👀先看到了从天而降的石头，本可以拉着女主一起向前跑，男主非的抱着女主原地转一圈，有这闲功夫两人早躲开了，剧情显然是为了虐而虐啊[捂脸笑],无聊的时候无聊玩
8,女二好piu亮[色],玖·情·拾忆
9,谁知道这部剧的片头曲叫什么名字啊[应援],浅夏微颖🎐
10,为什么要改名叫偏偏宠爱 让人误会。。。[捂脸笑][微笑][微笑][微笑][微笑],曜nnnn
11,被剧名骗进来了[微笑]不是我全世界最好的江忍,甘甘甘甘甘子🧁💘
12,这个名字吓到我了 还以为是我想的那个偏偏宠爱,初玥儿
13,就喜欢这种直接完结的[666],奶茶不能喝！真的
14,终于来了[应援][应援][色][色]追起来[色],肉团子小白白
15,现在都这么卷了吗？直接上线全集,我家的仓鼠🐹
16,女二登场，好戏要开始了,醒落325
17,富二代女人争富二代男人[呲牙],火星吃火锅
18,是江忍孟听吗？,乱了青春的梦ᝰ
19,剧情题材不错，合我的口味,莱刚
20,浅浅来看一下，在家太无聊了[色][色][色][色],开朗的小孙同学
21,偏偏宠爱是什么小说翻拍的,এyℒ
22,哎呀缘分就是很奇怪，有些人兜兜转转还是会再度重逢,王👑6861
23,名字为什么要是偏偏宠爱，打擦边球吗真无语死了,用户4a46d68403f6e
24,有谁知道主题曲是什么吗,庞小魔神
25,可乐这个聪明的孩子，希望他早日康复吧,漫画无🤞
26,好喜欢晋江文学照进现实的小土剧hhh演员演技和颜值都好棒[色],Praha-
27,缘分就是很奇怪，有时兜兜转转两个人还是会再度重逢[呲牙],菲姐妞
28,感觉女主长的有点像王鹤润，就是知否里的盛华兰还有莲花楼的圣女,皮卡嘤嘤怪
29,六年前钟灵离开自己，韩东来应该困惑，也很恨她吧，她也是没办法呀,鸿雁🧡💙❤️
30,消失的人心,火星吃火锅
31,我居然在期待江忍孟听[捂脸笑][捂脸笑],bigfjbDIYday🍓
32,啊！我还以为江忍被翻拍了呢[捂脸笑],望戚悠心
33,我还以为是网文偏偏宠爱翻拍了[捂脸笑],好运常伴zcx
34,就这个剧 热度评分超越了知否？？？？,喜欢游泳的公祖宇航
35,我靠吓死我了 我以为是江忍[捂脸笑][捂脸笑][捂脸笑],十枧
36,缘分很奇怪哦，有些人兜兜转转还是会再见。,永湖公园道🎉
37,好吧 我一直以为是江忍和孟听[捂脸笑],宝贝叶🙊
38,个人视角比较喜欢女二，不喜欢女一颜控没办法,八角的是主人七角
39,多年以后重逢的人，是不是会给人很不一样的感觉[捂脸笑],清新脱俗668
40,"缘分很奇怪，有些人兜兜转转还是会再度重逢
",a猜谜语
41,"缘分真的很奇怪，有些人兜兜转转还是会再度重逢
",漂亮的比塔恰
42,还是爱奇艺给力一次全播[呲牙],时间煮鱼223
43,就因为小可乐，你们就应该再续前缘,姚冬梅
44,男女主好般配啊，超级养眼[爱心],陈/而非哼哼唧唧就
45,该说不说猕猴桃还是好的,Little beast💓🌙
46,喜欢这个类型的剧，拍的太精彩了。点赞,小细脖儿
47,他家条件应该不错吧，治疗腿上应该不是问题，还要依仗女二,最初的梦想Evan
48,师兄请按剧本来迟迟没有2，你却在这开新号了啊呜呜呜……,听说 是无
49,这剧是真的好看呀 男女主角演绎的太棒了 必须支持呀,sjmzcy8789
50,多久没看到这么好看的剧了，连各个演员都很赞，导演棒棒的,飞燕9844
51,就是这么的好看啊！喜欢的剧，看不够，精彩绝伦，无与伦比,静6447静
52,可乐是个非常聪明可爱的孩子，真心希望他早点康复，恢复快乐[大拇指][大拇指][大拇指],把握当下🍧
53,有些时候有些事情都是上天安排好的，总之你相隔再远也会不期而遇,钕钕399
54,因为小可乐，希望你们再续前缘，误会能早点解开。,盛世传媒🌟湖北武汉汉阳区中心
55,好戏开始了，缘分很奇怪，血缘关系很神奇，总会给人很不一样的感觉。,超爱吃水果の澹台觅松
56,有谁知道这部电视剧的片头曲叫什么名字挺好听的,唐洪梅🏝
57,血缘关系非常神奇，什么时候都有牵连，好像都在冥冥之中,开心快乐就好68888🍀
58,可乐是个非常聪明可爱的孩子，真心希望他早点康复，恢复快乐,凉凉a66
59,缘分这些东西有时候很奇怪，兜兜转转又回到自己身边了,如梦之华🧀
60,"感觉血缘关系真的很神奇，仿佛冥冥之中自有牵连啊
",奥特曼格斗进化🌼者
61,可乐是个非常聪明可爱的孩子真心希望他早点康复，恢复往日的快乐,凉凉a66
62,缘分这个东西真的好美妙哦，相信有缘之人一定会再重逢的,勇敢的心@11
63,六年前，钟离离开了自己韩东来，应该困惑也很恨他爸，应该相信自己，不要恨他,周川页
64,可乐是个非常聪明可爱的孩子真心希望他早日康复，回复往日的快乐,凉凉a66
