,0,1
0,男主不好看,喜欢玩台球de尉迟丽容
1,虽然可能男主是在娱乐圈不咋样，但是我觉得他挺厉害的，自己喜欢拍戏所以就全资进组，播了也一次性播完，根本不在意反响怎么样，就是完成自己的心愿，让自己开心，很豁达，我喜欢，而且演技真的不错诶[应援],王俊凯LP诶
2,哈哈哈、这个剧悄悄的上线了，一次性更新完了,大哥的烤羊腿啊啊啊
3,出乎意料的好看！！支持陈腾跃！,谁占用我id
4,"致这部剧导演，演员
不驰于空想不骛于虚声，这才是文艺工作者最美的样子。我很喜欢这部剧，我看到的是你们一颗颗赤诚而又热烈的心。希望每一个努力生活的人都可以不被辜负♥——2023.6.6",℡无✘言☜♞汪↣
5,我不喜欢他赔钱，我觉得真的比大部分的剧好太多了，演技不错,公主是天仙
6,全资进组就是牛……一次更全集完全不在乎流量和热度啊……[捂脸笑],361436618
7,这剧的评分低，应该是因为很多人aoe到破防了,爱理的好爸爸
8,两分钟就追不下去了，导演下次选角要靠谱些,youy1012
9,为什么我不觉得男主丑啊？我觉得男主一点都不油啊，要不是去看了男主其他影视完全没想到那个油男是他演的，估计是得罪化妆师了吧，反正我觉得男主很帅啊！,物哲唯一
10,感觉看着还不错，希望你这部剧可以爆，这样你的钱就可以回本了[捂脸笑],朵朵加果果
11,呆若木鸡动若抽风[捂脸笑]，笑死了,一只朱小曜
12,我一直认为在古代接吻这种事真的是闺房中情到深处才会做的事，甚至出于羞涩内敛可能一些夫妻一辈子都不会接吻，可是那些古装剧动不动就接吻不分场合的接真的挺尬的，有些剧没有任何亲密镜头却能让人感觉爱的深沉这种才是厉害的。,Zvemi_9.
13,我就想给他评论一下，告诉他我很喜欢这部剧，希望他越来越好,啥子意思啊啊啊啊啊
14,男主真的长得挺好看的，就是沙雕毁了点感觉……真的挺帅的,二次元的死肥宅～.
15,"手机壳亮了
",维乐
16,为了会本，就不能让所有人都在同一天来拉热度吗？这样必然就有4500了,兮夜归去
17,好看吗？各位同仁们[呲牙],朵朵0555
18,大家加油啊[捂脸笑]听说这部剧热度破4500，男主才刚刚回本，因为这部剧从导演制片到主角和投资，都是他的钱，如果热度不破4500的话，他就亏本了，就没钱拍下一部了哈哈哈[捂脸笑]因为他把自己的钱全砸里边了[笑哭][笑哭][笑哭],芦苇沛儿＆百里芷珊
19,看到说抠图才想起为啥绿布蒙脸,姑娘我永远18
20,这热度，血本无归啊，哈哈哈，功德都笑没了,A南宁桂铃汽配--江铃-全顺-长城-滕
21,笑死我了 全资进组圆满也太帅了,🎀Chris～💗
22,这部剧反套路，剧情新颖，感觉会很好看呢！,翩然入君怀
23,这啥名字呀,爱动漫的初墨
24,这剧就是搞笑的，[应援][666]应该真好笑,蓝蓝蓝蓝蓝雨聆
25,这个剧值得开会员吗,星轨4634
26,男主他本人因形象普通 没流量，所以自己花钱全资拍这部《全资进组》。这种情况你们还要攻击人家长相，那只能说影视行业变成现在，这部分观众有很大责任！！！,小月姑娘啊啊啊
27,挺搞笑的啊，无厘头下饭神剧[应援],张久久9999
28,结尾那个iPad上放的啥剧啊友友们？就是最后一集吐槽原著魔改那个,改变现状666
29,挺好看的 来加一下热度,乄夵 
30,这也太快了吧  上次看到消息还是在选角 这才多久啊就上线了,浅唱雪忧殇
31,希望有第二季[应援],琉璃繁缕丶
32,为男主自己攒钱制作点赞 哥们加油加油,^Meiguibaicha_
33,烂剧尬的很男主还是虾粉去糊一辈子吧！希望他亏钱。[大拇指],ζ補愛❤️
34,前面卖油这里是呼应之前别人说他油吧哈哈哈,。。。🍉7920
35,加油加油，很喜欢，[应援][应援][应援][应援],A        ----Cི༼Jྀ----💋Do
36,这有点太搞笑了吧？闹着玩呢，看不下去[捂脸笑],小明！啊啊啊啊啊啊啊啊
37,这男主的玻璃蓝眼球，加上呆滞表情，真够让人看的。,Judy G4
