,0,1
0,超级好看的，演员全员演技在线[应援][应援][应援],余囔囔囔
1,你们说原声的，确定这是热巴原声？听着就像配音,Zero 8023
2,来啦来啦[应援],卢贝贝～
3,看到有佟大为就没有兴趣看下去了,刘一守12588
4,迪丽热巴让我弃剧了,Gentlemanᥬ ᥬ🤪᭄᭄
5,换个女主，好多了，没那个实力别揽瓷器活,132****0683_m1837
6,开始了！开始了！,每天都念迪
7,管帖子的是不是迪丽热巴的黑粉啊，说热巴好的，马上就沉了，,大海Mia
8,不知道是这部剧的演员演技的问题还是演员没有进入角色，真是演啥不像啥。,好看的怀疑人生
9,有没有二刷的[应援][应援][应援][应援],鲶渔鲶渔
10,草莓蓝莓蔓越莓，小心骗子听到没！,迪醉饮桃花酿
11,我基本不看正剧，因为条条框框太多，会拍的枯燥。因为热巴在演来看几眼，估计不会看完，佟大为是很不错的演员，演戏一直被人坑，机会被抢，他以前演戏和黄晓明胡歌是一个级别的，,大海Mia
12,"好看好看 全员 颜值高 演技好 台词棒！
重点 主演是原声！
       女主淡妆或无妆！
尬黑的省省吧 热巴正在越来越好中  会陪她一起走下去！
你担呢  啥 也 不 是！！！ 所以你急！！！",一起加油吧～
13,这部剧的现实意义就是你看了，知道这个世界千奇百怪的诈骗手段，当你在现实世界里遇到时你会有所警惕，不上当、不吃亏。如果你还是不小心上当吃亏了，那你应该及时的找哪些部门来帮忙解决问题。最最主要的是不要贪心，不要虚荣，不要攀比，应该有怎样的三观。期待能有第二部,老玲🎐🌻
14,我来也！！！热巴我来了！！！[色],spade LI
15,热巴演得很好，台词功底不错，要多拍点这样的题材，让大家不要上当受骗。,可爱德程子Lily
16,前面都接受不了，后面有啥好看的，第一集弃剧,い杨先生 ジ
17,为了热巴看的剧，全员演技在线,嚯嚯666💫
18,为热巴而来的请举手，看看有多少人啊！,翩然入君怀
19,二刷了家人们 真的很好看,老聂1号NIE
20,一点也不好看,S宋小胖儿
21,为啥要配音？,186****0583_m1472
22,我来了[应援][应援][应援]热巴女神[爱心][爱心][爱心],小李哥哥！！！
23,现在的片子拍的是越来越敷衍了，真的是让人感觉吐到无力,冰封了的热血
24,这部剧是真的不错，演员的演技在线，而且剧情很有意义，即可以看剧又可以学法，而且最让我意外的是热巴的演技很棒，进步了很多，强烈推荐[大拇指],小白惹
25,怎么觉得热巴皱了很多,KAKA_HE
26,冬瓜西瓜哈密瓜，不做被骗小傻瓜！,迪醉饮桃花酿
27,难看死了 侮辱了我的眼睛[捂脸笑],炒炒炒炒
28,台词功底不错，要多拍点这样的题材，让大家不要上当受骗,爱吃零食的主父沛柔
29,太好看了，二刷走起,蓝静萱好
30,哈哈哈，有热巴的剧必看，我是她的忠实剧粉[呲牙],小面包GXQ
31,[应援][应援][应援][应援]很好看，剧本很棒，演员演技也很好，很舒服，爱了爱了，热巴好美啊,唐小虎的女人👩
32,女主演技很拉跨,祎 微~
33,公诉第二部有吗,硕硕在家
34,电视上看完，网上再来一遍,cv迪
35,太棒了吧，涨了很多知识[应援][应援][应援],誩誩y
36,是谁在推女主，找谁不行,送你一朵小红花2023
37,真不好看，故事情节拖沓,孙大浪666
38,充个会员的功夫就有好多评论了[应援][应援][应援],别枝惊鹊aa
39,"公诉太好看了，剧情紧凑，演技在线[应援][应援][应援]
",！哇  噻
40,公诉品质好剧！演员也很棒，二刷啦[应援][应援][应援],南风如期过境
41,好看呀，某些人别急了,奔赴d8
42,如果你是蒂娜，你会怎么做,猫小姐有一只大猫
43,小娘惹里的大坏蛋演警官我适应不了啊[捂脸笑],公主宝宝小天使
44,全是热巴热巴的，有没有个正常人客观评价一下好看不,吴小杰2282
45,看了几集了，实在看不下去了！太没意思啦！只好弃剧啦！女主演技差距太大啦！,尔馨
46,已经把安旎安利给老师了,迪醉饮桃花酿
47,太好看了！！！,想你想你想我～🍧
48,本心思佟大为就看了，为啥用娜扎，辉了整个剧,喜欢吃菠萝de呼延青旋
49,怎么看热巴都像个老爷们[呲牙],ly2021...
50,热巴热巴爱你[色][应援],一只羊驼🍰🦙⭐
51,来了热巴,小幸运🌈0106
52,女主角选的个假人？,我我我我我2021
53,只有我一个人觉得热巴不在我审美上吗,小垚撞着李先生
