,0,1
0,这电视剧搞笑吧，明明是几年前的电视剧，换个名字就敢放出了，这电视剧原名女匪首传奇,洪滚滚滚
1,这背景音乐，把人能吵死。这能标榜第一？大家省美有问题，还是给钱买的第一？,天古泉王
2,看这个服饰就知道应该是神剧，弃了,超爱潜水de仲长景铄
3,这剧情是匪夷所思，毁三观[大拇指][大拇指][大拇指],用户67f24f2a
4,开头这个女的真是神了，自古就有秀才遇到兵有理说不清，她居然要跟土匪头子讲道理，神脑洞[大拇指],翩若JH
5,好几年前都看过了，现在怎么又成新片了,听@风的诺言（^_^）平
6,这剧看了一分钟，实在看不下去，不知道怎么烂的剧为什么有人花钱拍,有智慧的噹噹
7,这叫什么电视剧男女如同在舞台上演话剧，男女服装又如同在过年，演的是什么年代？,🎀 ༺非͈̎賣͈̎品͈̎༻🎀
8,女匪首传奇，2017年豆瓣播出,老黄说☀
9,这剧都好几年以前的了，早就看完了,无所畏惧的坑神
10,这个剧早就看过了啊，怎么才今年的呢,~离沐倾城
11,这是专业演员吗？这就是我去拍最多也就这样不会更烂吧。,喜欢越野的闾丘飞羽
12,我看到电视剧飙升第一名才进来的呀  ,安安是个乖小孩
13,爱奇艺这是彻底落地了，服装是捡来的，造型是闭着眼设计的，口型和声音对不上，背景音乐弄的听不懂对白，镜头场景全靠猜测，对白是我上初中大外甥写的，这句居然是年代剧第一名！,忧郁的老霍
14,赞同太烂了,用户92fa616b
15,名字跟简介完全不一样,小白船2565
16,这土匪头子像不像郭德纲？,泰兴娱乐
17,对呀，一看服装，演员的神态，就没那个味儿,桃～喵🍑
18,早几年的电视剧了，还播，有病吗？,一人一城ིྀ🧸ིྀ
19,看到片头男主的发蜡了，拜拜了您嘞,低调的磊磊1988
20,一看演员阵容， 二看评论，否则不要浪费时间,我是沙_qq1595
21,高低打10分，能骗一个是一个[捂脸笑][捂脸笑],那一抹妖娆😚
22,不知道是人不好看，还是演的不好看！放弃了,楚源⭐
23,我怎么看是第一名呢,相信自己为你加油
24,看了不到3分钟，果断弃之，效果花里胡哨，内容空空洞洞！,北大风之歌
25,我想問下楚雲鶴是哪個,海上陽光
26,真他妈假的要死的烂剧，一点也不符合常理，设伏好了，怎么不让枪法准的士兵先打死指挥官?,泰兴娱乐
27,到底是楚云鹤，还是楚玉荷,小白船2565
28,好看不错,表弟小主播
29,看片头就不想看了,冰魂雪魄雨雾
30,这个不是拍过了吗？以前那部电视剧,燕子Strive
31,楚云飞是她哥不[应援][应援][应援][应援],钓鱼直播鬼哥
32,这个剧啊，不知道从何评价！拍的是什么东西？[捂脸笑]这个行业门槛真的这么低了么？,最帅气的王子0212
