,0,1
0,体育生毕业就当警察？,雾中雨520
1,看了不到三分钟，果断放弃了，27岁毕业生？年龄不大吗？27岁刑侦大队副队长？年龄不小吗？符合逻辑吗？命案现场，法医一副小迷妹的状态？搞笑呢？一个开头，没兴趣了，不浪费时间了,阳阳🎁🎆Brayden
2,喜欢悬疑推理或有些烧脑的剧情，有一样的嘛，举个小手看看吧！,翩然入君怀
3,这付队演些啥呀？无语，弃剧,墨鱼丸子爱章鱼
4,一开头就直接不想看了[吐][吐][吐],越狱者💤
5,不严谨，在户体旁唠嗑，没演技，而且也没有服化道，废话也多，不带手套，看不下去，拜拜,泡茶茶杯
6,"只有我一个人觉得演的很烂吗
",🔸🔹秦氏明月白月光（秦）🔹🔸
7,这玩孩子开局就是副队？[微笑]还是体校毕业生[微笑]？ 脑子是个好东西[微笑],王小杜🌈
8,尸体面前鼓掌欢迎副手 么也没谁了[大拇指],都还行！
9,一个案发现场死人了，居然有说有笑，导演您觉得很合适？,灵圣🍓
10,就喜欢这种一次性更新完的剧！,奔跑在孤傲的路上😚😚
11,江左岸，应该找个帅哥。,用户@e77424241dcc0
12,这也能叫好看，都是电脑人吧,刊刊刊刊
13,毕竟发生命案，感觉开头就有点不严谨，果断弃剧,不要吓到小雨
14,怎么感觉这部剧智商有点。。,喵！公主殿下驾到
15,小说好看,Andrew · Portnoy
16,同学关系，也不可以参与案件吗？,183****1963_m1578
17,能不能选些看起来成熟一些的演员？,用户@794c050c
18,在案发现场谈笑风生，能不能有点常识,陌殇万叶
19,为什么会有7.7分啊！！！！[发怒][发怒][发怒],神雪葛
20,哈哈！这是开玩笑呢？喜剧片？,天天向上666999
21,不合理  还是法医秦明好看  让导演多看看法医秦明吧[捂脸笑][捂脸笑],樱ʕ̯•͡ˑ͓•̯᷅ʔ
22,虽然是新人都不认识，但是打算支持一下，喜欢这个类型的剧,再嗦ʸⁱ口粉
23,这个女警走T台呢，这么装，还穿这身出现场，看了她就不想看下去了,福尔摩斯.z小姐
24,后面真的很好看啊，少见的精彩探案剧集了，主角配角演技都很在线,喜欢柔道的太史丹亦
25,[微笑]都卷起来学学人家，直接放全集,🌸咕呱
26,这部剧的剧情和演技都突出一个随便……,林小可🎪
27,希望不会让我失望吧,小北川⚽️
28,这个设定真的笑死？体育毕业，当警队队长，还27,始上三月
29,这都什么呀，一群实习生。,傲娇蛋黄
30,有差不多的现代悬疑剧吗，这种一个单元一个单元的,★無殇
31,《刑侦笔记》改编自爱奇艺签约作者初墨不姓熊同名原著小说，新书即将由盛世肯特出版，敬请期待，欢迎关注～[666][666][应援],盛世肯特
32,又不是亲人为啥不能查案,LUCKY PADDY
33,刑侦剧能不能严谨点不是拍喜剧,爪巴啊啊
34,看杨昊铭的戏不会出戏哎[色][色]不愧是一出道就挑任男主的[色]爱了！这部剧追了[应援],一只颜值居
35,这么年轻的刑警队长，导演也是真有才,30字以
36,回避原则都不知道要遵守吗？,芸芸白白
37,杨昊铭还有别的剧吗，有被帅到,喜欢喝牛奶de乐正谷云
38,什么剧啊？！剧情、服化道、演技都不行,啥玩意儿也不该花钱
39,想问一下，真的会有这么年轻就当队长副队长的吗？[捂脸笑],蚊迷
40,喜爱《刑侦笔记》的家人们，《刑侦笔记》原著小说也即将由盛世肯特出版哦，感兴趣的欢迎关注[色][色][应援][应援],盛世肯特
41,付队能不能换个成熟点的,飒飒飒怕
42,付队像巩新亮喔，尖嘴猴腮,流星1660
43,感觉还不错诶，女主酷酷的男主憨憨的哈哈，演技也在线,花³
44,案件很烧脑，我喜欢这种,喜欢举重de太叔如意
45,第二个案件更精彩，不错,韩陌子非
46,就喜欢这种一次性更完的,同来大酒店
47,女主出场一言难尽,化名苏哲*
48,男主声音好好听,略略略略略略略略略略略略625
49,都是原声，支持！！！！不喜欢配音！虽然都是不知名的演员,车车777777
50,演技有待提高，但是剧情真的挺不错，反转在反转，看第一遍我没猜到凶手,橘🍊可好
51,就这体能？,好看的酱油泡饭
52,这个法医是我看过最搞笑的一个,哈哈现在哈哈
53,开头挺猛，接着像是出来一群毕业生，有点浪费好剧,那些画面/…
54,这化妆师想狮王,飒飒飒怕
55,辣鸡电视,盾勇士杰
56,7.7分怎么来的,kamila.wang
57,才看，想问问吓人吗,木也…
58,演员都不认识 但是非常喜欢这种类型的剧 希望剧情好看,偷一个开心R
59,琅琊榜的靖王妃,喜还不行
60,19分10秒，女一给副队派任务时说话表情，语速听起来不像悬疑剧，像偶像剧说台词[捂脸笑],姐在等传说
61,虽然演员都不认识但是喜欢这种悬疑犯罪的剧[应援][应援],不看莲花楼是你的损失
62,演的啥啊，警察是这样啊？,高冷D逗比✌
63,看了6分钟，看不下去，太儿戏了,🎈十七°
64,女主是琅琊榜的太子妃，不容易吖终于有机会做女一了,焰雨桑桥
65,这手下小伙反应太慢了,玉百合🍓
66,一群生瓜蛋子演的电视剧，除了装蒜还是装蒜,Lcl126
67,看杨昊铭演的剧不会有错，演技非常在线，而且这次还是原声 非常不错,不爱吃香菜的仔仔
68,前10分钟淘汰了太多的观众,爱吃生蚝de东方英纵
69,这个刑侦队长身手，还不如嫌疑人呢。,《心里只有尼》
70,这种12集的是不是都有第二季,可冻
71,就这烂剧还收vip好意思啊,爪巴啊啊
72,剧情太差了，这种智商，算了,顽皮的西
73,杨昊铭怎么不唱个主题曲,白露树一
74,你长志气了，进入电视剧页推荐封面了,用户8db046a1
75,女主演技不行，脾气有点大,很难理解123
76,非常好看我感觉这个剧迟早要火[色],暗号1✌
77,只有我一个人觉得女主有点,jiweixin12138
78,开局就感觉这个女队长耍大牌加不专业,呱唧呱唧🐸💫
79,我来看仔仔了 终于等到小笔记了 ,颗粒豆豆🍂
80,这女主演的，直接退出了[捂脸笑],大虎二虎
81,女主好眼熟，不记得是那部剧的小配角了,迷失的cavers
82,几年前从上海卫视一个节目认识的杨昊铭，不错的一个男孩，都长大了,金名吉力
83,两个字：无语,闲来耍耍_qq1282
84,看一集就没意思了[捂脸笑],蹉跎哦热ROM
85,终于等到刑侦笔记上映啦~！还一次性全集。钟申镐等到你啦,爱吃橙子的慕容平凡
86,刑侦笔记精彩,奋斗吧，青春💞
87,看六分钟就。。。[微笑][微笑][微笑]走了,逐风飞扬
88,这个案件很可以，不到最后猜不出来,白露树一
89,真是灾难啊,smallsnowgirl
90,好难看  无语了  ,开心女孩-♡
91,原声好评 最讨厌配音了,喜欢唱歌の慕容自强
92,可以，好看,卖卖萌无所不能521
93,该睡觉了Z❤️,zyz520🧁
94,"挺好看的,案情有点複杂",喜欢唱歌の刘傅成和
95,女主不太会演,158****1413_m1922
96,一开始就会飞，弃,子穆3196
97,超爱这类剧，最近剧荒了，多更点啊,幽幽_qq1724
98,结婚关系,爱吃大闸蟹的诸葛醉蝶
99,加油吧，上封面了哈哈,用户8db046a1
100,危险爱人都比这个好看多了，这个剧拍的太随意了，有点尬，走了,好运快来～
101,有点拉，不看了,雨里无瓜🍉
102,一群小朋友过家家呢,蹦仔儿
103,这是在重庆拍的吗？那两栋金色建筑是喜来登吗？,幸运苹🍎
104,拍的有点智商弱,喜欢逛街de公户乐咏
105,果断弃剧,用户@794c050c
106,第二个案件有点美人为馅里那个出来打cs的那个案件的赶脚[应援][应援][应援],浩羽赵赵
107,这演员演技业余的吧,吉祥123☀
108,27岁毕业 也是人才,太仓华永装饰
109,编剧有点不严谨，但不妨碍真的很好看,hirakichen
110,选角不行,品如的大衣柜
111,这部剧有点怪，[捂脸笑][捂脸笑][捂脸笑][捂脸笑],忻城棒棒糖
112,这个男主憨憨的还挺帅的  垂直入坑[应援],阳光微量2333
113,完咯，口型没对上,张二美！
114,小说看过,轮回转人亦忘
115,杨昊铭啊，我很喜欢他演的剧,喜欢打台球de太史怡然
116,过来瞧瞧新上的悬疑,温柔甜酷酱
117,开头就看不下去,A.  宁 宁 💕
118,剧情很儿戏，不好看，人设有问题[冷汗],¥＃心
119,感觉啰里八嗦的，破案就破案[捂脸笑]，有没有干净破案的剧呀，没有过多的感情线，推荐一下[微笑],用户a0cd16e7
120,恐怖吗？家人们,用户@c58eebe413800
