,0,1
0,这是拜托了别宠我里面，丑帅丑帅的皇帝哎[呲牙],爱看电视の万俟苑博
1,我来看王润泽啦。,小孩的Love不值得。
2,这咋不是一集一集更新，怎么一下子22集全有。[微笑],帅哥2022☀
3,非常喜欢王润泽,我不怕谁
4,肖旭！我们都爱笑！,馨蒅回忆
5,我来看王润泽啦，新剧啊。,孤唯九
6,终于出来了，已经期待好久了，看这部剧真的好搞笑,翎妍li
7,重刷看姜杉[应援],吳佳悅.🖤
8,这是一部沙雕甜甜大喜剧！强烈推荐观看！生活那么苦就喜欢看这种沙雕大喜剧,沉不下的鱼
9,手机不设置密码吗，那么傻，还放桌子上,安心930
10,每个人的创业史都是这样走过来的么,过得更好💞
11,是我笑点太高了吗  看了一集了  完全不知道哪里搞笑了 一点都没笑 就是看的有点尴尬 好中二啊,丅絆裑丶
12,希望大家都能创业顺利,梓瑜涵
13,来找快递员马瑞的[应援],用户b1a077841af80
14,"陪着爸妈一块看的,看到每个演员的努力付出，真好",小新蜡笔去哪了🖍️
15,千万别喝水 要不然会笑喷,drikfd
16,就喜欢这种喜剧风格的剧，接地气,悠然如初见
17,剧情挺不错的，已经推荐给朋友了,余光 ʚɞ
18,这个剧好多我喜欢的演员,麓甯i
19,细腻之处足见导演和演员的用心，好看,这个世界最末日
20,不管是剧的质感还是节奏称得上是优秀,某某某6
21,很有趣是我喜欢的女主,Ella 88
22,来啦，终于播了，等得我花都谢了,亲爱的你在哪里😄
23,整个剧的节奏和氛围就让人看着很舒服,951817264爱多一点
24,工作第一年，努力挣大钱,珍惜生命加油哦
25,这个剧，真的，超出我预期啊，太搞笑了,在想你的时候给我打电话
26,开篇音乐没跳过的举手,j.tpmgw
27,好好看的一部剧，太喜欢了,罗又熙1122
28,富二代穿的像买保险的哈哈哈哈笑死我了,吕奉先不打工
29,特怕他突然啃西瓜，第一局就决定了，我要把这个电视剧看到底，哈哈，太好看了,旺旺碎碎冰NGY
30,场景造型什么的都能感觉到用心，一些高远景镜头也很大气,亲爱的你在哪里😄
31,这部剧值得这么多夸赞,霓裳⁣羽衣
32,布景，配乐，转场厉害,小米子逸
33,心跳加速了,hqqqq777😃
34,罗总终于进了ceo退休俱乐部,又作的阔来里
35,戏剧张力满满，可看性较强,蒹葭1021💤
36,编剧很厉害，故事环环相扣过渡的流畅顺滑,枫林残忆晚
37,男主演得很不错，挺好看的,地方呀功夫
38,汤总是完全的小狼狗呀,最爱陈怼怼
39,一开始以为不好看，原来这么搞笑,叮咚叮咚叮咚叮咚叮咚🐾
40,终于出来了，期待了好久好久才来了,清风宛若依旧
41,你俩的年龄都进退休俱乐部？？,阿小孩不吃糖✌
42,罗总你这几步是认真的么,小土豆啦啦1
43,感情酝酿好了被你唱没了,真与城
44,最搞笑的莫过你真的认真了,请结束这一切
45,他们凑在一起真的是非常期待的组合,l69753375
46,当了领导以后啥都不会了,记忆7秒
47,"没错就是按照美剧硅谷改的。
",Tyrantaoi
48,哪里都需要有一台游戏机,Yjm123456
49,期待了超级久的一部剧，跌宕起伏,梦想家鍀圆
50,这是什么沙雕剧情太好看了,岁月静好0605
51,一定可以实现最后的成功,白龙下的彩虹
52,男二真的有点太自信了,南柯一梦的南
53,这个公司氛围真的很不错,瞬间感觉凄凉
54,黎明前带宁静就是老板不在公司,林大锅真厉害
55,终于又有搞笑剧可以看了哈哈哈哈哈哈哈,玖玖垠燚
56,我老公最帅啦！解锁新角色啦！,初弦月竹
57,我是无脑自来水，笑喷的氛围,嗷嗷影
58,现在是我爸妈看得比我起劲，拍的挺好的呀,南柯一梦的南
59,国产剧的良心之作，叙事的节奏很有沉浸式,其其儿🍇
60,叙事的节奏很有沉浸式,淡然静默
61,细节要素众多，希望能继续保持,飞雪碧连天
62,每个重要的点都演的很细节,薇妹永存
63,终于知道为啥中午播，早晚会笑死,顾玖很甜🍡
64,每个演员演的都很棒，很贴近现实,酷噢影
65,下饭剧，搞笑，喜欢这样的。,诚实的趁早
66,对方多少人是我没有想到的,A郭皓
67,肉眼可见见到喜欢的人真的会紧张,人之初，你好
68,哈哈哈哈他为什么不给女生留面子,萱朝
69,特别搞笑，温暖，大家都给我看,小飞霞呀1
70,没人扶的时候，自己要站稳,枫念灵
71,很推荐的剧，值得一追，很下饭,曾经拥有5201314
72,日子在穷，不要挂嘴边，没人给你钱,三江月色
73,自己开心就好 心态要好自己卷起来,ζ靜靜dē
74,工作再累，不要抱怨，没人替你干,春生万物311
75,哈哈哈哈 兄弟你这就不厚道了,独家星劫炖牛腩
76,我以为你是总裁结果你就是自荐,还得多久时间简史
77,男主的手机没密码吗？这还是程序员,品貌非凡的平凡之路
78,好喜欢这种群像轻喜剧，生活就要多笑笑嘛,爱跨栏的北堂冰真
79,绝了真的很喜欢这种类型的剧,爱吃香蕉子书秋彤
80,好久没看过这样的职场喜剧了,喜欢吃橘子的公上驰鸿
81,程序员哪里有这么多复杂,贝尔加湖的话事人
82,我就出来透个气你就不认识我了,↜小东↝
83,我谁也不为，我就想知道这个搞笑吗？,七八c
84,还是要多看看喜剧 不然都是悲剧 悲得没意思了,方钢会回复
85,掌握“智慧摸鱼”的小技巧,阳光女孩（☆_☆）
86,反内卷前，先学会自我分化,有才的心晴
87,要用积极正确的信念去思考,桐猪猪
88,哎、总会遇到比较困难的时刻,柚爱～
89,首先是要接纳自己的情绪，,懒啦鹿~
90,出入职场的小白好可爱,好听的歌曲66
91,男生在女主面前好幼稚啊,夏柿🍭
92,哈哈哈哈哈真的要被他们的台词功底笑晕了,新事所向
93,天选演员加上又努力上进,黑挑A路易十三
94,好看的都在爱奇艺了下饭剧，超级好看、,绝世铭龙
95,中午没看完，晚上继续追，太搞笑了,其其儿🍇
96,不适合吃饭看，因为会喷,薇妹永存
97,这个怎么说呢？音乐真魔性。,诚实的趁早
98,弟弟你知道你输在哪了么 输在太不会说话着,哈哈哈小妖精
99,男二你的表情很危险呀,嗷嗷影
100,刚入社会就是这样勇往直前,爱喝橙汁的芷
101,这个踹们是我没有想到的啊,过得更好💞
102,男二真是搬起石头砸自己的脚,贰拾又零
103,一集要结束了 意犹未尽,龘靐奢华
104,男主为什么总是这么听话啊,怡娘娘u
105,这老板是来搞笑的吧。怎么在练瑜伽,曾经的你999
106,感觉这部剧的风格挺大胆的，,埃勒里奎因11
107,做好自己分内事情，开心最重要,淡然静默
108,罗总旁边的男生好像一个李敏稿。,诚实的趁早
109,上来就破产也太搞笑了吧,初弦月竹
110,轻喜剧 下饭 社会压力太大了！,蓝蓝的天空任我行
111,重要情节一点都没落下,A你好吗
112,哈哈哈哈哈哈哈这真是互联网上的梗,乱星海散修厉某
113,小小的冒个泡泡希望男主下集可以好好反击,小辉呀呀🎪
114,我还以为明总要当红娘撮合他俩,罗又熙1122
115,扮猪吃老虎的样子我学到了,杀人放火厉飞雨
116,这样出去创业真的会被骗惨吧好心疼,爱清平乐
117,不行了不行了男主人设可不可有点智商。,花花草草的时候就可以
118,真的不知道自己开发的app的价值么,萌萌张慧
119,不得不说爱奇艺的剧总是有一些新题材,我看你很行啊
120,完美的诠释了什么叫老板的我行我素,人之初，你好
121,男主的智商这么高为什么看起来呆呆的,麓甯i
122,富二代出场就是这么拉风,爱旅行的百里承天
123,男主绝对是有一些谐星在身上的,tenson1314
124,许总这样子好吸引眼球,余光 ʚɞ
125,总感觉男主智商不是很在线,陆煜宇
126,男主就是这样成长起来的呀,籽籽儿426
127,一个学霸男主在线求职,新新心想事成
128,马瑞这个可能比较难找，因为他只有四句台词，[呲牙][呲牙][呲牙][呲牙][呲牙],用户7a5c986406a80
129,来看姜杉了[色][色],町章鱼
130,:导，演不让手机有密码,星星啊星星就是我
131,国产硅谷？,156****8111😁
132,一开始就开挂，真不想看。,封雪梅子
133,下饭剧好好玩，好有意思,修白修叮当
134,朱蒙真的好可爱,晋幵
135,上班静音一刷，下班二刷,张昭浩
136,是好看的没错,爱吃香蕉子书秋彤
137,被剧情深深吸引了,乐乐滴滴答答
138,哈哈哈哈 求职暧昧期,落泪溅涟漪1
139,完了小奶狗要被攻略了,腻盘
140,终于出来了，期待好久了,四月海阔
141,48妹妹可以配一个更,童童宝贝儿🍂
142,哈哈哈哈哈 小奶狗,林彦俊别待了
143,开开心心上班，开开心心下班,不见星空夜无月
144,终于出片了，期待了好久,清风宛若依旧
145,你俩老少俱乐部,超爱吃牛排的鬼
146,Ceo退休俱乐部可还行,万人敬仰韩天尊-
147,别唱了 我快没了,华仔6💪
148,落下了 我快没了,孤独树立
149,你在认真的搞笑,乏叶_
150,哈哈哈哈怪人的拥抱,小路ii
151,游戏机玩起来！,懒啦鹿~
152,罗总还是年轻的,阳光女孩（☆_☆）
153,一口气刷到现在,阿狸姐姐～～
