,0,1
0,不知道是剧情问题还是女主演技问题，我看不下去了，第一集就把我给打败了[捂脸笑][捂脸笑][捂脸笑],超爱吃豆包的东里盼兰
1,男主角有点冲动 不稳定,宝贝七岁！！！
2,#剧中令你难忘的情节#肖燕所饰演的欧阳天晴作为一个成功女性的那一股子坚韧劲儿，成为所有人的领头人的那一刻，真的好让人难忘,彩虹の晴天💕💕💘
3,不看了，逃票还这么有理？白莲花？,李鑫1590
4,可算有个能看得下去的剧，比那些千篇一律的先婚后爱强多了,圆月弯溪
5,比隔壁古装一堆红嘴白脸顺眼多了,顾德王
6,#你心中排前三的历史剧#我心中排前三的历史剧是:大秦帝国，琅琊榜，觉醒年底[应援],小王要开心鸭
7,首先一个女的不买船票被抓住在南洋是什么下场。一个最底层的打工妹还敢跟地头蛇或者管理叫板，编剧真的了解那个社会吗？,别问了马上改啊
8,扯淡，退了退了，女主初来乍到，也没有什么背景，就一底层打工人，上来就惹了当地势力老大，还给了人一拳，有几条命都不够死的，即使后面再好，第一印象给我的感觉就是女主做事冲动,悠悠1355
9,弱弱问一句，好看吗,小娟 🐯
10,来追菊香和洋介了二搭啊[应援],woshizhongguoren
11,洋介先生,番石榴大王
12,这还有一个穿现代衣服的[捂脸笑][捂脸笑],黄豆豆3338
13,看第一集就提不起兴趣看了，女主在别人的地盘耍威风，还叫嚣要干架，也就是电视剧，现实早起八百次了,悠悠1355
14,#你心中排前三的历史剧#闯关东、战长沙、无心法师，历史剧前三。现在南洋女儿情给他排第四。,狗🐶里狗🐶气
15,我也喜欢在床边吃饭,抓管理  創品牌
16,这个连续剧好看吗？,123_qq5urh1
17,这不就是小娘惹吗,丑弟的小鸟
18,"#你心中排前三的历史剧#我心目中前三的历史剧是

康熙王朝

芈月传

汉武大帝",我本无意怎奈何
19,女主太事了，存在感太强了,乖乖এ ້໌ᮨ
20,评论里面托儿太多 不知道好不好看,用户9150dd64
21,演员一个都不认识，这…到底要不要看啊？啊啊啊啊啊[捂脸笑][捂脸笑][捂脸笑][捂脸笑],不要不要的好吗
22,啊自从我看了小娘惹，我真的超级期待这部剧[应援],BEAKHSY
23,"小娘惹半原版人马言的很好看,但比不上小娘惹，这部剧有点拖拉我是快进看的。荒剧的情况下可以看",喜欢逛街の公孟寄春
24,坐船不买票原本就是错的还那么理直气壮[666],坏蛋会听话嘛.
25,鞠婧祎演了谁吗？我怎么认不出来,午还好哈哈哈
26,#剧中令你难忘的情节#首先[应援]肖燕挺喜歡她，笑起來眼睛彎彎，而且她經常做公益，剧也不经常拍，期待一下她和翟子路那个古装剧[应援]最后说一下这剧和男主刚刚见面时候说眼熟就想起小娘惹，两个人上个剧是be希望这个he,為靈一笑，換你天真無邪
27,不是会员，看了头看不到结局，那看了有啥意思呢？,用户@e840732411780
28,北方人演南洋女儿情，口音全部都是北方口音，行为也是北方，不合适，看不下去,用户549a302b
29,刚从隔壁的花戎过来，说实话，这个好看多了，隔壁的山鸡凤凰里面都是流量脸，演技都不大好。还有隔壁的隔壁，谪仙，眼神什么浮夸的不行，[捂脸笑]，这个南兰很有历史底蕴，剧情都是很有逻辑性和考究的。[大拇指][大拇指][大拇指]非常值得一看，,爱唱歌的宗政月怡
30,#你心中排前三的历史剧#我心目中的前三是，伪装者  战长沙  小娘惹。希望南洋女儿情可以冲上去，好期待。,Unique ۶•͈⚇•͈ა
31,这个小蚕以后是个狠角色   ,Seven~~~😀
32,#剧中令你难忘的情节#这剧上头了，剧情新颖节奏紧凑，每个人物性格都刻画鲜明，越追越喜欢[爱心][爱心][爱心][爱心][爱心],喜欢吃冰激凌的到猛兽
33,南洋是哪儿,彤彤彤话里没有大舌头
34,#你心中排前三的历史剧#我心目中的前三是，恰同学少年、潜伏、像雾像雨又像风。希望南洋女儿情可以冲上去，好期待。,喜欢白宇的小宇宙
35,太好看了，已经看的第二遍女主角实在太给力啦,平平淡淡6153
36,那个男人为什么还没老,草莓emm
