,0,1
0,这女的谁呀，长的也太随意了吧，也能当演员，这后台不得了吧,策马扬鞭5168
1,第一集就看不下去,L.哦哦哦哦
2,这主角不捣乱是不可以吗？上级让他撤退，她死活不撤，她是一名交警，就要该做交警应该做的事情。,我又何尝不想心动了
3,第一集退，主角都是从不服从命令，坏事才能成长？？,凝枫霜颖
4,高亚麟是怎么啦？不是很有才华一人吗？怎么显得这么低能了呢？,预应力A
5,三年前小孩，三年后就交警了？,182****3621_m1116
6,夏海荣让我弃剧,关注1562
7,真服了，怎么什么电视剧都得有个搞破坏的角色呢，着人恨哎, 叶子
8,太哈咯，这个女主。第一集就告诉大众，有关系就是牛，任何纪律都是白搭，警察局她家开的。拜拜呢。这评分怎么拉上去的哦,喜欢玩乒乓球de公良丝娜
9,"改编没毛病，就是希望改的稍微真实一点点就有人看了
",美好未来阿文
10,最近追了好几部刑侦剧，最差的一部，你看都看不进去怎么让人往下追，真是醉了,陌路人 GXY
11,第二遍了,小猪佳白
12,三年前小女孩5岁，，，三年后小女孩当交警了[捂脸笑][捂脸笑][捂脸笑]能不能再假一点,HUANGLIANGDI
13,这算不算越权行为？拍戏也要有个度 行政处分应该还是需要吧？还不反醒！己通知她撤 还不撤退 这是不是违抗命令？难道这些就不追究责任了？拍的什么？没法看下去……！别为了标题去符合这个不成章的内容。,ZXYZXY_qq1232
14,看了预告片段，感觉演员阵容和剧情应该很不错，但看了第一集一小段，这部剧可以定义扯淡剧，一个交警可以跨警种去参与执法行动，就因为他父亲和其他警察熟悉，他就有特权，拍戏可以扯淡，但别过分，观众不傻，剧情合不合理难道看不出来。,心随之所欲
15,微博来的，不听命令，闫妮女儿，服了,小明DE时代
16,看呢就好好看，不然就别看，后面很精彩的  ,小野猫喵喵喵Sydney
17,这部剧最大的问题就是女主拉低了档次,ღ᭄追風ꦿ꯭蹤夢꧔ꦿ᭄࿐
18,这什么东西 女主真的一言难尽,张麟，
19,女交警让我弃剧,谁爱吃小糯米了
20,看了第一集，搅和了这么大的事情居然连个处分都没有，而且是后来明知是嫌疑人车辆，正在报案，她居然追着处理违章。现实中怕也就只有一集了，女主第一集就被开除了,每天看灰机
21,支撑我看这几分钟的动力是为了给它评个一星[捂脸笑],雷恩🇨🇳😆
22,作为警察，不是最主要的是服从命令吗？这女主拿生命开玩笑，这编剧真的是编的太离谱了,黎花😘
23,看了10分钟，看不下去了,桃桃大仙🍡
24,在他爸是英雄，作为交警缉毒警在执行那么重要的任务…我靠，没法看啦！,曹世进是猪
25,这样冲动，不听上级多次命令，破坏了部署两年的计划，她还可以这么轻松不受任何处罚？太不严谨了,幸运@A位之人生
26,闫妮的闺女主演啊,循环太阳VS
27,把警察那种威严演成了儿戏，哪找的女主,坚守一份执着🌟
28,浪费我流量一个夏海榕，毁了一部电视剧，一集都没看完，果断弃剧,玩命王子殿下
29,再好的电视剧总有人说不行…也是醉了,炜大爷🌈
30,女主要是不是这样的性格就好了[捂脸笑],养糖富婆
31,看了评论一片到啊，按理说应该排名很靠后啊为什么居然排在狂飙的后面尘封十三载的前面，这就很让人深思啊，就这剧名直接劝退,皇庭彡骑士
32,一句信号不好听不清，这电视剧看到这为止了。,lì－國
33,真的弃剧了，不好意思，本来很想看，女主我真得看不下去，不是漂不漂亮的问题，就是跳戏,123好运连连A🧀
34,没有想到导演竟然是家有儿女里的夏爸爸哎[应援],刘子涵0914
35,女主不适合演戏可以做别的，不要为了当明星去演戏！演员也要有天赋，不是阿猫阿狗都可以去演戏,奇思妙想一路长红
36,看了第一集，这女的主角光环，只能在电视剧演吧，现实中有这种不听指挥的吗[大拇指][大拇指][大拇指],向日倾葵
37,这样早就开除了,孙悟空和猪八戒🎐
38,这个女交警，如果受到惩罚，我就看所有的片集，可惜他没有受到惩罚，一点惩罚都没有，,冰的人
39,女主还是不要再拍电影了。真是一个人耽误一部戏。拉低了那么多老戏骨的演技,☞吳先生☜🎫
40,一个女主毁一部剧‘果断放弃,爱喝茶的百里凡阳_1077
41,海容拉底了整部电视剧的评分，第一集看完直接不看了[捂脸笑][捂脸笑][捂脸笑]差评,匿名用户
42,很好看呢，剧情和演员都挺不错的，虽然没有大牌但是故事很好👍,肖步活了的
43,一看到骑行服套扣式肩章就不想再看一秒，这些基本的常识都不懂就别出来丢人现眼。,凯迪要拉客
44,这剧编剧好，不得不偑服。我只能束起中指[捂脸笑],哈啰士
45,"有好评这剧？
",严娟869
46,就想问一下评论区的大佬，有钱大家一起挣啊，别忘了小弟[吐],梦中摸鱼
47,这女1[捂脸笑]中国没有女演员了哈,沈阳迷迭香1981
48,现在的电视拍的真的没有啥看点。一点挣扎激烈的举动都没有，,玄门梓龙🏖
49,就这居然第二名，太离谱了吧,皇庭彡骑士
50,这女主拉低了这部电视剧,68Gor
51,犯了这么大的错，居然不开除,182****3621_m1116
52,太不真实 瞎演 不符合要求,mc果果mc
53,为什么要出现这个女的．好讨厌,andejiancai
54,女交警破坏缉毒行动，不需要写报告?不需要停职处分？编剧是为了让她继续破坏行动吧，女主光环,Ｍīｙūｋī
55,什么电视剧导演美有脑筋吧,爱吃苹果の延陵米琪
56,这剧应该叫.《实习卧底警花》[捂脸笑],雪玛丽
57,我本来挺喜欢这部电视剧的，但是女主实在是一言难尽[捂脸笑][捂脸笑][捂脸笑][捂脸笑],喜欢健身の南门乐语
58,奔着鲁诺来的·但这女主，我放弃了,肉酸托腮!-^
59,这是有真实案例的,林丽伟🎊
60,作为合格的交警 就可以骑自行车不戴头盔啦？[呲牙][呲牙][呲牙],狂人DJ
61,秦琼的傻儿子吗，又来现代变黑帮了,狼族🌼
62,光头局长换成丁勇岱，女一号换成景甜。,尼鲁豆
63,我没看  准备看  一看评论  我也不咋想看了,一点点光捧在手里像太阳
64,这部剧刘华强和高启强来演会是什么样子呢？[呲牙][呲牙][呲牙],A锋利的👠鞋摇晃的红酒🍷
65,闫妮的女儿演技太差了，根本进入不了角色里！这剧第一集就止步了，可惜了那么多实力派老演员了！,浪里个浪兔兔🍑
66,我怎么感觉华叔有可能与海蓉爸爸有联系啊！,6699米多
67,确实没见过这么没有城府的卧底，编剧太低了,宇哥1121
68,冲着高亚麟导演去的。,尼鲁豆
69,犯了这么严重的错误，一点处罚都没有。假的不行,M辣辣💘
70,干嘛还拍后面第一集都没看完,新移动号码😗
71,看了第一集女警花追匪徒，我过来看看评论区都是咋骂她的[捂脸笑][捂脸笑][捂脸笑][捂脸笑],Veilahill
72,太假了，这么远离现实生活，果断弃剧,燕子k k
73,我想说，不是我对星二代有啥意见，我是觉得这个女主真的太张扬了，完全不听命令，这样的事情，在现实生活中，恐怕压根不行吧，还是我格局太小了！,榴莲卷妈
74,如果是你们啊多少老戏骨都挑不起来的，别在那里说风凉话了啊！不想看可以退出！[闭嘴][闭嘴][闭嘴][惊恐][惊恐][惊恐]闭嘴,林丽伟🎊
75,支持宣传缉毒影视作品,养糖富婆
76,看得两集就不想看了，一个女交警哪里那么多事，上级的命令老是不听。他爸是市委书记吗？好多次都不够死。,风(*^ω^*)不再温柔
77,夏海容让我不想追了…什么玩意…这要是现实不给处分吗,爱吃红豆沙的侍其琼音
78,因为女主的演技，成功的让我弃剧了，白浪费了那么多老演员的演出,_木凉心
79,请问一下这是不是抖音刷到的那个女交警[666][666],迷茫
80,这是在我们常州拍摄啊！,熙儿🐾🤙
81,哟，高亚麟老师当导演了？,尉迟浩澜
82,：夏东海，你不找个像刘星的，不会拍电视，是吧？[捂脸笑],风为衣丶🤙
83,这女主是我一个人觉得难看吗？还是我审美出问题了[捂脸笑],yycyjjwq
84,电视真是啥都敢演，真扯淡,一江春水1991
85,想来想去还是编剧让女主背了个大锅，第一集看完实在看不下去了,布丁的二舅
86,根据真实事件改编的，大家要理智，这是真实事件,爱吃甜品de羊舌白竹
87,女主居然没有名字，此剧就是她也扑街啦,悦悦悦悦悦。
88,这女主啥意思？导演是看不起追剧的[微笑],郭什么睿i
89,听说被吐槽的很厉害，所以来看看,菲份护眼0212
90,什么玩意儿，女主傻了吧唧的,助梦时代
91,除女警察，都是俺喜欢好几位男主角,国甜田
92,女交警这颜值如果不是闫妮的女儿，估计很难当女一号吧[呲牙],JOYJOY狮子座
93,什么玩意儿？,🍦糯米糍🌈🎨❤
94,剧情还是不错的，女主演的还可以，给她成长锻炼的机会，她会成为一个好演员演的。,Abby颖颖
95,群众的眼睛是雪亮的，这么多人不喜欢女主夏海荣说明大家不喜欢看她，很捣胃口，有些电视剧大家一看就会喜欢上了演员，难怪介绍里没她名字,袁依然
96,导演是刘星他爸吗,谢美云😃
97,这也太烂了吧？第一次搅局没处分，第二次搅局咋滴没咋滴，看完第一集都是我的极限,赫巍巍
98,一个女交警添乱，跑去捣乱了，都在那里低着头躲着干什么，写的什么剧本,玲玲萌萌的！
99,男女主有点眼熟啊，这个剧好看么,DR.GGGT
100,别看，会被气死[微笑],旺仔小赵º
101,父亲就死了，还仗着父亲是官儿啊，这个女自己从小那么冲动，把自己父亲害死了，现在又来害别人,达哥燕妹
102,特意过来给大家推荐的！支持新人[大拇指]。本人从来没评论过电视剧，这部局属实不错[大拇指],孙晓珊98
103,会员已经追到25集了，海蓉越演越精彩[大拇指]超级喜欢了！强烈推荐这部电视剧,孙晓珊98
104,女主就不能换换？,氟西酊Nathan
105,看到这女的不想继续看了,药给😚
106,这比样的交警还不开除？,爱玩爱喝爱吃
107,让宋轶主演该有多好看啊,🕊꧔ꦿ归᭄ꦿ꯭零꧔ꦿ℘⸙
108,几年前？打激素了吗？,玄 奘
109,这种神级剧情是一般网红剧的惯用搭配，接着看着一本正经的胡说八道，下饭挺不错，我一评论就晓得资本方的目的就达到了,穿过时间看你
110,这么多老戏骨衬一个夏海荣，夏海荣骨子里有星二代的影子。编剧不错，换个女主会更好,清晨的一缕阳光🌞🌞🌞🌞🌞🌞
111,女主是个铅笔？？,不烦宝宝
112,感觉还不错，先看看[爱心][爱心][爱心],养糖富婆
113,第一集就看不下去了！女主无论颜值还是演技都不太行啊！可惜这么多老演员出场！,JOYJOY狮子座
114,感觉还不错,养糖富婆
115,好喜欢这个男主呀！好像跟王志文合作那个电视《风雨送春归》里面的那个反派！[色],啦啦，1234
116,"这导演编剧怎么会找这样一女来·演技颜值太差了    一部好剧就坏在这女人身上
",爱吹笛子de呼延寻琴
117,怎么会叫这女的来演,搞笑吧……滚开我的生活
118,这怎么看 不够生气的,很能吃的小小
119,这什么shab剧情 ,随意club_qq1869
120,剧情所致，导演安排的，她也没办法[呲牙],凯撒和王子
121,只有我觉得这女主的嘴有点出戏  总是嘟嘴,哭、囿谁心疼🍀
122,好好的剧本，给女主演砸了,寒烟灵境
123,这编剧[呲牙]，三年前？,卫丹城
124,能不能让这女的死啊,阿辉爱上了阿蒋
125,主角光环太严重，看两分钟都觉得浪费时间,¹⁹₀₄   ¹⁴₂₄
126,"其实并不会，还是认识到很多。如果是真实改的话确实也就是这样，不拘一格降人才也正常，我是跟着追完了。
",爸妈万福1314
127,怎么找个这么难看的女主呢？[捂脸笑][捂脸笑][捂脸笑],上帝D左手
128,想好好看，结果这女的演技，毁了一部剧,被烤的鱿鱼
129,什么乱七八糟的,摩卡小文世界
130,鲁诺演什么片为什么都刻意拖慢说话速度呢？？？,阿里噜呀😆
131,夏海荣让我不想看这部剧了，这女主拉低了这剧档次，不喜欢女主长相，,袁依然
132,整个中国找不到女演员了？,喜欢骑自行车de谷梁刚洁
133,女交警捣乱竟然没有责任还一顿好几个菜，这这是神剧,大魔魔魔魔魔王王
134,江苏省常州市的车牌,高大上_wx182265
135,毒品交易用练功卷，导演走点心吧,太阳雨141009
136,看了十分钟，果断弃了，三年小女孩妙变交警,超爱吃沙拉的仲长诗双
137,看呢就好好看，不然就别看，后面很精彩的,林丽伟🎊
138,这片本来挺好的，这女的一出现这片就没了味道[捂脸笑],Sybiao
139,看了第一集就不想在往下看了[捂脸笑],过去是用来回忆
140,这导演也不知道咋个想的，这女演员有可能是他家亲戚！直接拉低了这部电视剧的GTP,爱拉小提琴的哥舒飞翰
141,啊啊啊啊，题材我是喜欢的，但是看了吐槽，就不想看了,lucky.three.y
142,剧名叫卧底女警不得了，还精华呢,师夷长技以制夷^
143,缉毒警很危险，所以让她去做交警吗？没用且比缉毒警安全多了。其他例如刑警很苦也很危险。,汉堡店89564
144,第一集的剧情就失败了,徐卿9401
145,评论都说女主太xx，我还应该进去看第一集嘛,风光灿烂傅
146,好久没有这种类型的电视剧了，之前拍的有一些不太一样，这种类型的我特别喜欢看 ,做个吃不胖的瘦子呀
147,那桥不就是宜宾长江大桥啊,💞LᴍɪᴇxW⁹🥰
148,这是缉毒啊 弄的跟开玩笑一样,我有乛壶酒
149,剧情确实有一部分不合，但是我看了22分钟，就看见剧情被黑成这样，有点不合理,奉先 何是我
