,0,1
0,能不能专业一点，刚起床就带那么浓的妆，要装也要把眼影给去掉啊,life.孤独
1,就喜欢这种一次性更新完的,진지한 사랑 당로
2,有谁和我一样是来看张逸杰的吗？举小手吧,奔跑在孤傲的路上😚😚
3,谁懂 我是为了那只宠物来的😂😂,是姜屿吖.
4,这是张逸杰吗？没看出来啊,山有扶苏ing💘
5,好看，爱看[色],说好不哭i👏
6,就喜欢这种一次性更完的剧！,奔跑在孤傲的路上😚😚
7,这剧情和我的反派男友的区别大不大？,睢冉.
8,他为什么没有之前可爱了啊，脸怎么变了啊，眉毛那边的那颗痣都看不见了 ，，突然没认出来,半美^半萌^半温柔
9,一次更新完的最好，不用天天等着更新,你是祖宗啊🥝
10,希望之后所有的电视剧都能如此一次性出全集，这样就可以一次性看完，也不用麻烦我们每周追剧了[应援],情有轲缘🤞
11,忽然很符合改变的是细菌学家xjmx,火龙果你个陪忒呀
12,我也是来看张逸杰的。,曌曌527🎐
13,这也太好看了,a北巷不弃
14,有谁和我一样喜欢爱奇艺的,😁大圣哦哦哦
15,挺好看的,雪gril
16,路过的握个手，交个朋友,七彩人生229
17,好剧推荐,墨蓝iiii
18,和我的反派男友差不多吗？,༺ཌༀཉི刪除*記憶༃ༀད༻
19,刚找到这个电视剧,爆竹岁岁
20,喜欢爱奇艺,🌟 雨儿
21,喜欢小甜剧，有一样的嘛，举个小手看看吧！,翩然入君怀
22,广告太多,北辰忘忧君
23,好看，追剧,139****9030_m2761随缘
24,张逸杰是整了吗，完全没辨识度了,爱吃披萨de宗政凯泽
25,点赞今年考试全过  ,吕金宝了
26,烂尾，勿进,爪。的猫
27,女主第一眼差点看成是邢菲了[捂脸笑],上额oez
28,少年追剧,雪中漫步，
29,这个挺好看,永..🧀
30,男主是整了吗，没有以前好看了吗,哇丫丫丫哈哈
31,我又来贡献播放量了,第二十五次下雨
32,女主的妆造看着怎么这么像刑菲[愉快],王甜甜超有钱💖
33,张逸杰不是动了双眼皮吗？什么时候拍的这部剧？拍这部剧之前是整容前还是整容后啊？,漩渺
34,我来追剧啦,爸爸爱抽烟啊
35,"
为啥张逸杰脸全僵了呢……看得和尬啊……还是喜欢以前那灵动感",喵咪咪喵咪咪king
36,喜欢爱奇艺的准时，只有爱奇艺会员才有的专利一次性更新完[应援][应援][应援][应援],舞动的茶叶🍂
37,有谁和我一样是来看张逸杰的吗？,爱+我
38,超级好看，爱了爱了,喜欢吹笛子的延陵靖柏
39,张逸杰变化好多啊！越来越帅了，好喜欢他，支持他,陈逸真
40,男主现在健身效果非常好啊！！,喜欢喝茶の东宫韶容
41,有谁和我一样是来看张逸杰的吗？举小手吧,心满事成
