,0,1
0,尘封十三载追完来看这，好看吗[呲牙],人间清醒°🍁
1,任素汐演女一会不会更出彩！,🦋蝴蝶夫人🦋
2,如果把包××换一下应该会更吸粉！！[捂脸笑][捂脸笑],猫儿侠客
3,这剧居然有包贝尔，这么倒胃口的,137****5955_m1865
4,闪耀的她追完 来补王阳的男主角剧,李小沁的嘎嘎嘎嘎
5,这是冯小刚导演的？第一集三分钟我就看不下去了，凶手劫持人质，两个公安系统人员从车上闲聊天，语气一点不像在现场的感觉，怎么着，对面被劫持的不是你家亲戚呗，然后跟绑架犯谈判的那个男的，看到绑架犯情绪激动捅女生胳膊的时候，什么语气，就像念台词，没有任何情绪波动，演技太差了点，然后紧接着车上聊天的俩警察下来一个，直接拿枪走到绑架犯脸跟前两枪给打死了，警察面不改色，杀完直接扭头走了，这是在开玩笑呢？演007特工片吗,恭迎老婆大人😉
6,现在看剧，先看演员，看剧情，看评论，最后再决定看或不看，有一样的嘛，举个小手看看吧！,翩然入君怀
7,别看啦别看啦 浪费时间不值得～,卷土重来马太目
8,太烂了真滴，从来没打过一分评价！感觉一分都打高了！,宇_在瀋陽天气晴💫
9,尘封十三载追完来看这，好看吗[呲牙],用户94b9f9e7
10,有谁跟我一样先看看评论区,ღ汝阳💖
11,啊啊啊，这不是砸迷雾剧场的口碑嘛,喜欢玩排球の司寇问夏
12,非常烂。谁看谁后悔,喜欢探险de司徒安志
13,现在看剧，先看演员，看剧情，看评论，最后再决定看或不看，有一样的嘛，举个小手看看吧！,Vincentttt1
14,开车撞人了，不报保险公司赔，自己私了，这两夫妻白活了几十年！,👼蓉蓉💃💃8888
15,字怎么变颜色了,蝈蝈051111
16,王阳现在牛逼了都和大牌演员合作演电视剧终于红了,九ૢ天ૢ云ૢ绕ૢ月ૢ
17,看完《尘封十三载》过来的，这部剧好不好看啊。,天下无敌的小鱼
18,#猜猜剧情走向和凶手#我感觉最后的幕后黑手可能是徐山川，因为他出现的频率很高，而且好像很多事情都跟他有关系。至于凶手嘛，有可能是雇凶啊！应该会慢慢解开的，或许是情人和其他人在一起了,狗🐶里狗🐶气
19,好看非常好看,ks3224gut71
20,这电视剧本来应该很好看的，可当知道男主角是王阳时，就放弃看了，真可惜,红军草鞋
21,结局没看懂……这男主有外遇还是没有啊？[捂脸笑][捂脸笑],倾城舞天下
22,第9集22分50秒。吴文超爸爸带儿子去做亲子鉴定跟我小时候被我爸带去做亲子鉴定一模一样。我爸也是猜忌导致了跟我妈离婚。这是我无法忘记的[微笑],Lindsa
23,好看，真好看！,马矢虫
24,怎么谈骄傲呢？骄傲就是，老板把你的面子放地下使劲儿踩，而你还不能反驳[微笑],1257631706
25,看到电视剧简介我就没兴趣看[捂脸笑],你来打我呀☀
26,有谁和我一样是来看王阳的，举小手吧！,奔跑在孤傲的路上😚😚
27,休息了一个多月了，感觉很累,蝈蝈051111
28,结局好拉胯  白看那么久一点悬疑都没有,A梦亿万富豪的梦
29,瀑布旁边没有监控 我怎么不信呢,"空白
空白的地方"
30,#猜猜剧情走向和凶手#一起看回响，一起猜剧情。或许行凶之人是易春阳，但是肯定背后还有其他人在指使。受害人也许是遭受了生活的打击，背后肯定有隐情，会引起一个新的故事,喜欢你🌸我也好🌸甜🌸
31,哇冯导的电视剧，必须好好看～,Ane_king
32,直呼看不懂，不知道干什么,山有扶苏ing💘
33,宋佳演的怎么有气无力的呢，瞬间没有想看的欲望了,天天欠欠的
34,这难道就是男人的嘴最不可信嘛？撒谎一次就算了，居然撒谎6次，那肯定是有问题的,年与糕
35,做为看完全集的人，回到第一集来评论，就是为了告诉你们赶紧弃剧，因为看完会让你很后悔，浪费了大好时光在这么一部滥剧上。,旬猫
36,特别喜欢宋佳，演什么像什么，一点儿也不会出戏[应援][应援][应援],阿哦呃咦呜鱼
37,最喜欢《沉默的真相》《隐秘的角落》,安妮名优
38,这应该是迷雾剧场最低级的剧了吧！退步了！,Shadow   lover丶
39,说实话，有包就不想看了，,追逐＃🇨🇳
40,#猜猜剧情走向和凶手#上面除了咚咚，其他人的颜色都不太一样。或许后面会发现，每个人都有自己的不得已，都做错事情。或许凶手也是一个不得已的，或许是易春阳,喜欢白宇的小宇宙
41,烂剧情，第一集就没法往下看,郝老师说事
42,这第一集就是根据真实案例改编的，我们辛苦的付出只要广大人民群众平安就是我们最大的满意。,桃子六
43,哈哈，我一边看一边惋惜受害者，骂她的父母连累孩子，然后跟老公说：看看，家庭条件多重要！不然以后闺女在外面会被欺负😂,减肥成功的小白
44,你能根据法医的报告推断？难道不是法师解剖推断出来的？你刑警能干法医的活？,钢筋混剪视频
45,这个电视剧好不好看,梓萱儿啊😝
46,女特警做的对，第一枪也许不能保证完全可以击毙歹徒，但是任何情况都可能发生，也许第一枪打出来时，歹徒还有一线生机，可以垂死挣扎给受害者一刀。补上几枪是为了给罪犯丧失行动能力。做的好。处理得当,㐈戯粏罙怪畠誋
47,演的是刑警队长了，各种表现怎么看像才上班的新长,今天这么开心
48,演员太棒了[大拇指],爱喝橙汁の胡母长文
49,宋佳演啥都那么强势，感觉没有突破自己,897521458
50,末日第一先杀这种圣母男,"空白
空白的地方"
51,为什么评论都很不好,阿庆嫂
52,你觉得冉咚咚应该补后面这两枪吗,猫小姐有一只大猫
53,凶手的手还在动，人质很危险，必须补几枪,不顺心就滚
54,有谁跟我一样，看剧先看演员的,liyh8755
55,这就是高手吵架吗？冉咚咚和慕达夫这段吵架，看似平静，实则暗潮汹涌，看的人快窒息了。,是橘子不是橘子皮
56,有包什么东西演绝对没法看,平凡就好331
57,不简单女侦探，顾家是空话，老公怎么过,国魂气
58,刚追完女士的品格，心想事成看了两集看不下去了，这部剧咋样呀，臭宝们,Ronnie1111111–
59,为了确保人质的安全补枪是非常必要的，正确的是只补了2枪而不是打光弹夹。,_Mr田
60,本来想看这部剧的，看完评论果断放弃[捂脸笑],鱼儿 兴来每独往
61,真凶一般不会那么容易出现的，也不会那么早就出现的，想知道真凶估计至少得看到最后几集才知道！,Rafael雲NADAL
62,医院大夫护士工资都很高，经济不会这么拮据吧,W微笑向暖Y
63,看评论就发现现在的人是真没耐心好好跟着节奏看一部剧了。十三集讲一个案子嫌磨叽，破案过程中有对生活婚姻的思考嫌啰嗦，结局出乎意料嫌烂尾。本来人物都塑造的很立体真实，心理活动也很丰富细腻，不明白为什么有那么多挑刺抱怨的。,Duang丿
64,#猜猜剧情走向和凶手#感觉咚咚的婚姻危机应该会解开，然后全身心的去侦破凶案。至于凶手，其实我感觉有可能是易春阳，吴文超可能也参与其中呢,见笑啦🥰
65,大家不要看此剧啊，纯是浪费时间，不知所云的一个剧，结局看着脑袋疼，最后所有的人跟他犯的罪都对不上,meqtameqta
66,看了评论，看第一集宋佳演刑警总感觉有点跳戏，自从看了人世间总感觉她还是哪个自私自大目中无人的感觉,够钟樱花再开
67,怎么这也有吉吉国王啊    是不是又演坏人[捂脸笑],流浪帅锅锅
68,慕达夫明明是被妻子查到了开房记录，但是却说是为了让妻子心里舒服才承认开房以及按摩的。这种自以为是的善意其实就是对婚姻的傲慢和对伴侣的不尊重吧。 ​,轮回空白
69,前面女警刻画的还行，后面剧情越来越离谱，坑很多，人物莫名其妙就转变了性情，最后凶手既然是路人甲，离大谱[捂脸笑][捂脸笑],爱困的姐姐儿
70,我还以为他第一次开枪是新警察，没想到她还是队长？[疑问]我觉得刑警队长是男人更好一些。王阳除了演叛逆者那角色很讨厌，其他角色还是不错的,玲九儿♛
71,包贝尔，劝退。选他干啥,沈富贵..
72,看了很多评论，为什么没有人看见最后凶手承认杀人，但给锤子那个镜头穿的是风衣，和凶手当时穿的衣服不符吗,187****1916_m1245
73,没次看迷雾剧场，首先被这滤镜就带入了，然后一直是瑟瑟发抖的看剧,'  老太太  __
74,案子为什么会社会都知道,袁扬_qq1853
75,弹幕咋消除？,喜欢玩排球de万俟运洁
76,#猜猜剧情走向和凶手#徐山川是有钱人，但是应该不会允许夏冰清绿了自己，所以我感觉凶手应该是他。或许后面会有一些细节啊！也会出现一些角色会慢慢揭开真相的,尘缘火火火火火
77,有个问题，女主都做到刑警队队长了，居然第一次开枪对真人…？而且为什么表现像个新人…,安梨是一个好梨
78,你们的屏幕暗吗，我的好暗,爱吃橘子de钟离紫杉
79,大家真别看了，历史最烂悬疑剧，结局真拉啊，故作玄虚了半天，凶手是个前十二集没出现过的人，女主和丈夫疯了半天竟然莫名其妙都变正常人还和好了，真离谱她妈给离谱开门，服,风一样的姐哥
80,这老公不会安慰人,大尹Yin
81,怎么才13集啊,亲爱的公主殿下~
82,情绪稳定的人怼起人来那是句句扎心专戳命门。我的暗恋之光蔡晓光一下子变成出轨之夫慕达夫了。。。,林卿uski
83,巨烂 我是来看悬疑推理的 不是来看家庭狗血的,追剧的西生菜
84,我看是冯导有精神分裂症吧？,lanelife
85,宋佳为什么总是哪张，好像别人欠她二百掉钱的表情,孬仔の憨仔姥姥
86,这部剧真的好好看啊啊啊[爱心],今天再也不熬夜啦啦啦啦啦啦
87,冯导拍这部剧时脸不红吗？[666],lanelife
88,宋佳的剧从来不让人失望，好看啊[大拇指][大拇指]喜欢,木子雨林2018
89,我怎么突然觉得？，对话就是什么什么就是那个审讯那个老婆的那个段话像是小宋佳他们入局三儿感悟出来的呀，特别真感觉,爱爬山de高堂曼语
90,只有我感觉滤镜太过了吗？人都看不清 什么都发绿,用户901d302e
91,#猜猜剧情走向和凶手#徐山川的女儿似乎不是徐山川的女儿，所以我觉得凶手应该是徐山川。剧情走向嘛，最后肯定是让罪犯绳之以法，正义得到伸张,彩虹の晴天💕💕💘
92,又是一部励志作品，值得大家去看看哦,李军华💞
93,这个电视剧还可以，良心剧,蓉儿看视频
94,做为看完全集的人，回到第一集来评论，就是为了告诉你们赶紧弃剧，因为看完会让你很后悔，浪费了大好时光在这么一部滥剧上。,好好就是我呀
95,又有电视看了[应援][应援][应援][应援][应援]，就喜欢看这种悬疑推理破案的电视剧了[666][666][666][666][666],虽然我人很好v
96,还没看，到底好不好看啊，朋友都说好看，但是看评价都说不好[捂脸笑],雨樱花822
97,#猜猜剧情走向和凶手#剧情感觉后面应该会离婚，也会找出凶手，凶手可能是徐山川吧。,闪耀天空之城
98,真是浪费时间，5.5分都嫌多了,阳光沙滩＆贝壳珍珠
99,这部剧的台词水平让我第一集20分钟都看不下去了,医医V∧
100,这部剧重在推理和解剖人性，画面一点也不可怕，适合我这种胆小又喜欢看悬疑的,时菊耀秋华_
101,我还是喜欢这种正能量的电视,小全|全友家居|商务
102,因为这部剧手快充了值，又因为看了评论决定不看了，去看尘封。谢谢大家的评论,icancye
103,慕达夫明明是被妻子查到了开房记录，但是却说是为了让妻子心里舒服才承认开房以及按摩的。这种自以为是的善意其实就是对婚姻的傲慢和对伴侣的不尊重吧。 ​,早川津津子
104,有好剧推荐吗？,妮宝5555
105,十三载的小明怎么跑这里来了,許凯_qq1023
106,看剧先看谁主演，不喜欢的不爱看[捂脸笑]有一样的吗？为王阳 宋佳而来,HeiCoffee☕️
107,我考你们一个问题，打一枪已经失去反抗应该在开第二枪第三枪吗？我的答案应该用机关枪突突不存在第二枪第三枪的问题,素质低了点的
108,我佳砰砰两枪动作潇洒，爱了爱了,方言说话
109,觉得很好看，拍的很真实，画面、剧情、演员演技方方面面都很好，bbe我选择性忽视，不影响我追剧,在黑暗里起舞
110,我就想知道 第一集 女儿遇害 父母为啥那么待定？[捂脸笑],超爱唱歌的羊舌烨烁
111,优质片子，不错，让我也带入进去了，力推,奔跑的索尼克🍡
112,宋佳感觉几个剧演的都一样，都是表情不动声色，台词慢条斯理，特别冷静冷漠的感觉，和海清的忙忙叨叨叽叽喳喳一样，都形式化了,清晨晨曦🌈
113,先看演员质量 看评论口碑 这两个没问题就可以看了，表示很少看剧情介绍 总感觉知道的太多就变得没意思了[尴尬],༄༊࿆俗生ོྂཾ࿆࿐
114,支持宋佳，剧情挺好，演的很真实[大拇指][大拇指][大拇指],YHCS🎀
115,夏冰清真有意思，为什么你去应聘就得录用你，你就是奔着当小三儿去的吧[应援],麟麟的妈妈粉
116,别看朋友们 没有一点亮点[捂脸笑],固执的鱼_。。
117,悬疑剧拍摄咋都这么黑呀,→_→〒天罪〒←_←
118,#猜猜剧情走向和凶手#咚咚有着敏锐的思维去侦破案情，最后肯定咚咚用了某种方式把坏人给抓出来。凶手有可能是易春阳，毕竟他真的很需要钱,余音绕梁梁
119,宋佳胆子够大，拍这种片子[捂脸笑][捂脸笑][捂脸笑],星与辰💖
120,很喜欢男主角的为人处世,本是后山人1
121,喜欢的演员都在了，除了包贝尔[捂脸笑][捂脸笑],泓小满
122,第一次看到这么反感的剧，全剧还压低嗓子说话，看的好压抑！搞不懂为什么有这么高的评分！,（）顺其自然）
123,这里面人物名字跟我一样[应援],尊敬的李先生爱奇艺版
124,是没出轨，但还是be。感觉女方有些强势，多疑，夫妻之间长期缺少沟通，出现矛盾都闷在心里。即便男方坦白了但女方还是会怀疑，长期以往必然会出现问题,好基友140
125,好不好看啊？？ 有包贝尔我不想看了… 真的是… 下头啊,我就喜欢见识一下饭圈的攻击
126,可笑，既然是击毙犯罪，还分有没有第一第二枪？什么逻辑？,北方的岛
127,这句话说得好:如果被刀挟持的是你的女儿，你还会这样说吗？网上那些喷子管他干嘛？,有米铺的小BB
128,这部电视剧真不怎么样，看时就睡了。,飞哥(张跃飞)
129,25一个月啊……感觉开不起了，,优良 优秀
130,站着说话不腰疼，换你你早尿了，最讨厌这种事后诸葛亮，好为人师的人了。,4-5-101
131,这么烂的片子我居然看完了[捂脸笑],样7筒
132,"宋佳的电视都看着太压抑
",北望星尘
133,冲着迷雾剧场来看的有没有，希望好看！真的很爱悬疑剧,飘到了彼岸去
134,本来想看的，那就先不看了，等剧荒的时候再来看,随缘枪神盒子獾
135,女主是刑警，以前没开过枪吗？,闪闪水晶blingbling
136,你是老公吗，有你这么安慰人的吗，你不想想你老婆心理压力有多大，她万一TPSD怎么办。,4-5-101
137,我是第一次看冯小刚导演的电视剧，而且还是我喜欢的刑侦局。,sunny一米橘阳
138,如果人性中只有优点，那么他是圣人。谁的人生不是黑与白并存，如果总是用考验去探究人性中的黑，那么你就只能看到黑暗,榆木1988
139,节奏拖拉 剧情烂 每一帧都有女主 基本上都是两人吵架自白 要不就别往迷雾剧场靠 靠的太勉强 引人反感,小鲁班没我阔耐
140,剧情怎么样,Ys^la
141,我要是慕达夫，必须去做案才能停止折腾[色],kana瑜
142,劝你们不要浪费时间了，刚看完结局，一个案件查了13集，感情戏，家庭戏太多，结局太迷,蜜雪冰城yyds⿻
143,悬疑剧吗,用户94938609
144,我靠你懂现场吗？别问我怎么懂的,喜东东顺
145,"因为我朋友也参演了，所以特别期待这部戏的上映！她是一个很有梦想的女孩子，虽然她在这部剧里演的只是配角，但是真的很期待，很希望她能成功，从一个做销售的女孩子到美女主播再转型到演员，她都付出很多很多，经历许多次失败自然在为自己的梦想坚持着，作为她的朋友我支持她的所有梦想，愿她所有努力都能有所回报，愿她所有的梦想都能实现，因为我真的很喜欢这个女孩子！
如果连自己的追求都不知道的人，
命运又怎会给予她想要的东西呢？
祝愿她能够因为自己的付出与努力而感到骄傲自豪！",优雅恋人Katherine
146,神剧，看完第一集建议直接看最后一集[微笑],黄淑芬sh
147,挺好的剧 为啥要有包XX[捂脸笑]，不看了不看了[流汗],随便起个名字叫什么呢
148,看见包贝尔我就不想看了[捂脸笑],A雨恨云愁，江一色
149,确实不太好看，宋佳说话一直很平，对什么人说话都一个语调,dsjjkzsf
150,看见王阳进来的，宋佳演戏总是看着让人压抑，所以弃剧,汇姐说电影
151,包贝尔人品太差了！！伙同别人把柳岩扔水里。[捂脸笑],光的延长线
152,先看一下剧情，再来评价,情青💝
153,现在看剧，先看演员，看剧情，看评论，最后再决定看或不看,你是祖宗啊🥝
154,为什么宋佳的表情那部剧里都是这样，让人看了很压抑,用户8f94143c
155,从此迷上冯小刚，太喜欢了，演员们也完美演绎,婧_qq2007
156,王阳是不是程仁清？？？,宝啊，我想你啦
157,"剧情走向可能是冉冬冬最后用某种方式炸出了凶手吧
至于凶手我认为徐山川和慕达夫之间必有一个是凶手",卤煮～
158,#猜猜剧情走向和凶手#我感觉凶手是徐山川，有和我猜的一样的吗？,奔跑在孤傲的路上😚😚
159,#猜猜剧情走向和凶手#我感觉凶手是徐山川，有和我一样的友友吗？,奔跑在孤傲的路上😚😚
160,如果不是情节需要，那么多家庭、爱情戏份就显得太繁杂了，个人认为，破案剧还是激烈、紧凑点好。另外，主角也显得太深沉了，真正的破案会这么慢条斯理吗？,东方欲晓i
161,有没有喜欢看悬疑剧的女生,为什么总删掉我的播放记录
162,女主这种处理家庭矛盾的方式让人窒息，让人讨厌。,手可摘棉花吖✨
163,开头第一幕，闭眼的女生是假鼻子么，看着不舒服,Kearol
164,有谁跟我一样看剧之前先看演员表的[应援],闹人精XS
165,要是宋佳和朱亚文就好了[呲牙],刘大美82
166,太假了，知识分子家庭一个医生一个护士长发生车祸后，会稀里糊涂的选择私了，让人讹上[捂脸笑][捂脸笑][捂脸笑],勿扰．念2017．
167,宋佳咋啥时候都是一副更年期妇女的样子   呛呛个没完,半  糖🍂
168,牵强的结局，故作姿态的悬疑！每一集多出一个嫌疑人，为了所谓的道德观念不得不把徐山川作为最后的凶手。每一集多一个嫌疑犯，鬼猜得到是谁啊！因为疑心病引发的离婚，后面因为破了案件来从归于好，这种理由未免太牵强了！,爱吃栗子の上官智鑫
169,等我看完另一个电视剧就追这个，我真是特别喜欢王阳和宋佳演戏[呲牙],这是谁呀 啦啦
170,再多搞几次，非跟你离不可。老婆是拿来呵护的，不是拿来讲道理的。,4-5-101
171,为什么这个剧看不下去，一开始漏洞连篇，直面枪击罪犯就不合理[捂脸笑]，为啥不用隐蔽的狙击手,喜欢奔跑の壤驷安宜
172,吓人吗  吓人我白天再看我害怕[捂脸笑],MXAphra
173,#猜猜剧情走向和凶手#小说结局幕后boss是徐山川，冉咚咚通过伪造的夏冰清带血的内衣诱使徐山川承认了自己的强奸行为，同时冉咚咚通过点出徐山川的女儿实际是他的妻子和健身教练出轨生下的事实，将沈小迎的心理彻底击溃，并最终交出了自己丈夫的犯罪证据。,笨蛋123.
174,国产剧滤镜为什么要瞎用…,qq1480🎆💯
175,刚刚看完宋佳的《小舍得》很不错，接着看《回响》看了一眼我就不敢看了，还是白天看吧，夜晚看悬疑剧容易做噩梦[捂脸笑],爱赛跑的的仲长项明
176,迷雾剧场觉得只有《淘金者》差点意思其他还行，看看导演希望这剧不负所望,灰与青OL
177,刚子导演请的打酱油都是有演技的,陈鹏辉🎊4523
178,明星没有滤精化妆的时候，跟我们一样,爱玩传奇的小黑
179,为什么不能横屏,一只小灯灯灯
180,我是上班时候追的剧，感觉一点都没漏，可是看完结局居然没看懂，那女的到底谁杀的，看电视剧是那个农民工杀的，看到结局判刑的时候又感觉是他情人雇人杀的，还有穆教授开了两次房都干嘛了，好像也没说出来吧,喜欢举重的公仲和安
181,宋佳演技那么好，还有人喷，果然网友的要求才是最高的，,烜姐姐加油哦
182,可惜了这一帮演员了,墨人 
