,0,1
0,这剧真的太带坏三观了！怎么什么事都埋怨外婆，有点看不下去,Fiona猫
1,看了评论不想追了，有好剧推荐吗？近期的,你不知道3569
2,现在看剧，先看演员，看剧情，看评论，最后再决定看或不看，有一样的嘛，举个小手看看吧！,翩然入君怀
3,这个爸爸也是不靠谱的[捂脸笑],无限的大青春
4,我突然想起，我们村里有个老人，一辈子没出过村，，可能那一年她觉得她自己不行了吧，自己坐车到了县城。然后省，然后一个人到海边，，然后回去后没多久就走了，，，,moon.leo
5,请问这个电视剧是完结了吗？,荷霞平
6,我都领悟了，窦绮在各式各样人口中聆听外婆的故事,老板子龙
7,好看，短视频过来的,打赤脚的妹子
8,心梗是不会康复的，梗死的面积就坏了,自愈系猫王莫妮卡
9,什么叫做外婆留的疤痕，那不是你自己烫伤的吗,今朝少年bad
10,真不懂，无私奉献的妈妈怎么能养出这样冷漠的女儿,大可以🤞
11,就喜欢这种家庭剧，女性为主更喜欢了,兔子给我发光！
12,看了第一集就不想再看了，这外婆就算了,江湖人称关
13,从第一集开始外婆失踪，我猜接下来的剧情都是在想法寻找外婆吧。最后外婆也找到了，外婆和女儿的关系也缓解了，我猜应该是这样吧。按照以往的剧情发展来说。,小哆啦A梦🌸
14,71的闫妮已经演奶奶了 66的雯丽还在隔壁洗澡不关门[666],打小是祖宗.🌚
15,[呲牙]八百顾家的味道 ,Knight~Z💯
16,这剧好有年代感，都能看到自己的童年[呲牙][呲牙],涵涵岚岚🌸
17,整体还是不错的，这种类型的剧还是第一次看到，希望我们老了能有这样的勇气，独自一人去旅行，来一场年轻时羡慕的说走就走的旅行，真好,单城艳
18,这剧三观不正，又要用外婆的钱，又觉得外婆是累赘，不跟着住还松了口气,羊肉粉001
19,为什么很多孩子觉得爸妈在学校门口摆摊很丢脸[捂脸笑][捂脸笑][捂脸笑],无限的大青春
20,这剧情太棒了！生动，很有代入感！[大拇指][色]值得看，关键是还很有哲理性，特别是外婆孙玉萍变得不再沉默，变得特立独行，后来改变了自己，也改变了家人和生活在阴暗里的人们,陪小陳长大
21,从钱三一过来的，不知道好不好看，闫妮演技还是很不错的[大拇指],雷梦梦之旅
22,各位有没有什么好看的剧推荐一下谢谢,活着就是修行
23,现实版的生活也真的是这样的。妈妈付出了她认为的一切。但是孩子确实是一肚子的埋怨 w,小小鸟姐姐
24,人还是要懂得满足,萌萌の小小毛
25,这剧太棒了！,茹影随荇_
26,有谁和我一样是来看闫妮的，举小手吧！,奔跑在孤傲的路上😚😚
27,一人分下两角,☞西＆楚￡霸€王☜
28,这种都是提前准备的，以防人没了啥都没有,天空飘过的鱼☁
29,我不信有些人从成年之后对父母都是态度特别好，一分钱不花他们的。现在就是这样，宅在家里啃老父母又不愿意特别听话，这才是社会[微笑]有些人不懂在杠啥，你没到40岁没感同身受就别说话了，心疼外婆是真的，但是想想自己40岁是不是这样再说吧,许墨的霏儿
30,看见是闫妮演的，于是便来看看，好久没有追到好剧了,惜晨^O^
31,不能快进是什么鬼,戒酒的《李白》！
32,其实是这样的，我爷爷身体不好，有时候叫他老是叫不动，坐在那里睡着了会给你一种很不好的感觉，我有时候都不敢碰他，只敢叫他，实在叫不动才特别忐忑的去推醒他。我那天晚上因为叫不动我爷爷心里特别害怕，居然跑去我奶奶那屋跟我奶奶说了几句话提胆，然后转回来推我爷爷的……[捂脸笑],托托和乔尔
33,闫妮是的好演员，不会像某些演员，已经老了还要装嫩,139****5196_m1299
34,人真是冷漠，这么仁慈的妈妈，生出冷血的女儿，报答在哪里,夜月冰梦
35,很多人很好的，为家庭做一辈子的家庭主妇，到头来他们都会觉得家庭主妇最轻松，所以就算付出的多 也不一定会得到家里人的心疼和理解，所以她可能很好，但是子女不一定，甚至子女会全部怪给作为家庭主妇的母亲,喜欢玩帆船的青阳和泽
36,剧慌中，不知道好不好看,࿆²⁰22淡然
37,这种剧有必要一人分饰两角吗，是剧组缺钱还是演员秀演技？,大唐天空
38,竟然还有这样的事情~高压锅突然爆炸炸伤窦绮脖子,常德可看出
39,闫妮都演外婆了，雯丽那丫头还在恋爱呢,柚子柚白
40,真期待后续的剧情如何发展,小哆啦A梦🌸
41,为了闫妮来的，其他演员都看不上，尤其是她女儿。,爱墨_wx1425
42,我想说闫妮演的外婆真是共情了,▼劳资这么好一爷们/＆
43,怎么感觉第一集就把整部剧演完了[捂脸笑],觅宝宝(づ￣ ³￣)づ
44,男人女人之间就那么点事，就是情债,《莫凡》😜
45,那么多老演员，主角居然是个新人，生捧啊,刘好看no.1
46,这部先锋国剧经典简直没的说,嘎嘎是打发
47,所以结局是什么啊[可怜][可怜]期待外婆的结局没懂[囧],A-呓语
48,不敢看容易想起我的外婆,坑帝万岁
49,什么呀！孙玉萍摆起小吃摊养女儿,莫高窟发帖
50,后几集没外婆啥事了！跑题了 最后一集 狗尾续貂,玉珑霄歌
51,养这么个闺女真是冤家，付出那么多，醒了整个立遗嘱,深邃的星
52,她这个女，我觉得真的傻,℡适可而止°
53,挺有意思的,音符555
54,外婆总是不断隐忍自己，女儿对待自己母亲态度太恶劣了。,爱看书的海馨
55,评论挺精彩的，不敢看,桐～桐～
56,已经累觉不爱了，有需要照顾的病人很难找到另一半,真羡慕无缝
57,这剧压抑不？压抑就不看了,对我的世界浅搁
58,所有宝贝看下去，特别好看，幸好我以前特别喜欢武林外传，因为闫妮坚持下去了，差点被第一集的评论误导[捂脸笑]，这部剧特别好[大拇指][大拇指][大拇指],盼盼盼盼泮
59,这看着像贵州的粉啊，真的是南方小城？南方广西么？,抔土1387
60,闫妮分饰两角演绎另类外婆引网友追捧，果然是呢。,名字好难取婷婷
61,我也找了个闪婚的老公，老公没钱，在家带孩子。我挣钱养家[捂脸笑],果果_qqzlmz1
62,感觉外婆有点固执！不该管的事情就别多操心吧,麻麻很爱我
63,就十八集还是不开这个会员了,😓😓月华
64,很赞~，字字说到心坎里去了，王向明在各方面都混得开,肚饿偶尔
65,……各种好感不断递增啊~~~，剧情很紧凑外婆的新世界,欧日疯狂的
66,电视剧得看进去才行，开头真的很关键,糖KISS果
67,现在的电视我都不看了，应该没有好看的，不过这电视是我从第一集追到大结局的，好剧，都是好演员[大拇指],将心比心521i
68,看到梅婷和姚晨出现在同一个剧中，有点好奇和震惊,sherrygirl可可
69,不假思索滴喜欢六十岁的孙玉萍勇敢出发，祝更加强大。,         秋
70,这个外婆女儿的演员是从哪里扒出的？难道没有演员了吗？太倒胃口了。,莫荷552
71,我与我女朋友登着同一个账号，我希望你们能点赞，她能收到通知消息，通知我女朋友，我爱她，我真的很爱她!谢谢了[爱心][爱心][爱心],·H·草莓🍓
72,只要🈶️闫妮的剧必看，因为演技太好了👍…每个角色都很有带入感[大拇指],克尔州
73,窦绮居然不是闫妮演的？？？？国产剧居然不用三四十岁以上的人演少女了吗？？？,突然累了w
74,对电影级色调很满意,天生购物狂小当家
75,奔着姚晨来的，从《都挺好》就挺喜欢她的,可乐铃
76,心居来的,贷入情感
77,怎么和小黄鸭一个配音，真的很难听,我的妈呀哈哈哈🤩
78,说句实话哈，外婆改变了很多人的人生,名字好难取婷婷
79,第一集看到一小部分就没有看下去的必要了！,俺叫袁大龙！农村人！！
80,第一集那个年代能有智能手机？,囚鸟…🎀
81,的确很不错，外婆和姨婆二人在剧中性格反差极大,TekShawn
82,闫妮很内什么，就是棒啊！,及我梗扑
83,我都等不及了，有谁能给个答案吧。,原生态逗
84,网友们打心眼儿里支持为观众带来高品质追剧体验。,莱莱爱你
85,这么好的事情可不是天天都能有的。,背影难忘a
86,喜了呢，闫妮的实力招嫉妒哇。,匿名用户
87,闫妮饰演的姨婆孙玉兰和外婆性格大相径庭，一点都不一样,依格巴尔
88,不错的，现在是个什么趋势啊？,及我梗扑
89,我是OUT了么，家庭都市剧都不知道。,呀雅ac
90,"
晓得外婆喜怒哀乐的情绪。",CHAIM😝
91,小伙伴们，对这个事情你有啥看法不啦？,上上网我齐全
92,有颜值，还辣么暖，等啥子,波林牛
93,看了这个想我的奶奶爷爷，外公外婆，老妈了愿他她们在天堂一切安好,宇宙星海何
94,说来说去还是闫妮最给力么。,匿名用户
95,这么值得信赖的内容，一定给转了。,色o亲笔
96,被外婆的新世界全方面展现独特高级审美秒到。,安园春晓
97,难怪会有这么多人喜欢,呀雅ac
98,闫妮，这么鼎鼎有名呀，现在就在你的眼前了。,顺f是冉
99,中考后不是应该高中了吗？怎么是中学,Shelly_1109
100,超级无敌的，也是这么做自己,完为止
101,赶脚还没看过瘾怎么就没了呢,凡良哉
102,这我都发现了哈，外婆不告而别离家消失活出自我,永恒之恋1975
103,不错的很呀，闫妮这么多好评呢。,青旅半
104,外婆：遗嘱？我还好好的呢。让我立遗嘱，啥意思呀？,小哆啦A梦🌸
105,听说特别好看，特意过来看看,藏弃疾
106,不管怎么样，我都会一直支持下去,双芹战场
107,我会被深深的征服的，一个赞，怎么够。,山中闲逛
108,朋友们都信得过舒适的镜头语言，太好了。,宇宙流2021
109,这么给力的家庭都市剧哦！,恋上另一个人139
110,这么好的一般我是不会告诉大家的。,像是恐惧
111,跑来看看外婆酸甜苦辣的生活，确实啊！,坚哥🍄
112,感觉是影视剧很可以的哦。,如此如此zx
113,外婆得到了这么多的好评，顶起来！,雾里愉快
114,这女儿年纪有点大吧[捂脸笑],彬彬有礼1104
115,呼呼，着的给力的呢，看起来的额。,唯有路
116,不得不让你佩服的，影视剧真的是很给力,嘻嘻哈哈iiiiii
117,又有新剧追了,骑着摩托🏍️抓兔子🐰
118,这影视剧简直就是酷毙了。,医圣语
119,扩散一下，稀罕闫妮毫无疑问。,椛火新娚
120,都是我喜欢的演员  大爱[爱心][爱心][爱心][爱心],叽里咕噜123@632
121,牛掰，影视剧怎么这么赞呐。,你我新郎
122,外婆，让多少人真是羡慕嫉妒恨,谶髭f頭
123,真是服了啊，外婆一辈子沉默寡言倾尽半生为家庭付出,近和
124,还有什么消息能有这个更让我心动的？,愿蓝担访
125,祝福哦?家庭都市剧真是让我们无比震撼呀。,想回头难
126,跑来围观跟随外婆出发寻找属于自己的“新世界”。,我的最爱是你啊
127,闫妮没有让我么失望，继续支持你。,舒适三室
128,让人大吃一惊啊，闫妮怎么会这么的牛性啊,姐般骄傲
129,我现在要看00年前的，要么看有实力的演员拍的。导致我看剧荒了[捂脸笑],green包子
130,亲，你怎么看，给闫妮点赞，真心喜欢呢,一刻春宵b7
131,不错要就要这么华丽丽的节奏，嗨起来,桂辉宇哥
132,可以说，外婆宛如城市游侠利刃般刺入无数人生活,TekShawn
133,怎么个事，什么剧啊，这么面子，让我女朋友这么上头,深手拥抱
134,呵呵~~我已经喜欢了呢，应该去看外婆的新世界,时光倒流hj
135,还得是我张瑶姐[捂脸笑][捂脸笑][捂脸笑]。,二蛋的mom
136,哇哈哈，要多更新一些剧情才行,耍小妹妹
