,0,1
0,[色][色]有点短，但是好看,落叶🍂知秋❤️
1,看了开头，恭喜你，已经引起我的注意,梧桐苑子艺💝
2,爱奇艺的会员好贵啊，本想着充个会员追新剧的[微笑],俞佳梦🎀
3,短剧里也算是上乘了，无论制作还是演员还是演技都算不错的了。加油！[微笑],klxz5555
4,看了开头，已经引起我的注意喜欢,用户5d614fbb
5,有点太短了 但是好看,用户@deb36d6402140
6,看着感觉还不错,李颐和
7,短剧里面制作算可以的了,JINLI-YANG
8,虐不虐,爱追剧的吖妞
9,？评论区里面全是上海的评论，也不带这样刷的吧,是南栀(｡･ω･｡)ﾉ♡
10,不知道什么时候开始，喽啰比男主更有男子汉气概了[捂脸笑],爸爸回来了🤩
11,喜欢古装小甜剧的请举手，看看有多少人啊！,翩然入君怀
12,男主有点像师尊呢，有没有觉得？,꧁ᝰBubbleᝰ꧂
13,这个短剧可以耶,美的电器邱妹儿
14,"看封面还以为肖战呢 搞得那么像干嘛 浪费我手
",亮晶晶19821101
15,来看王轩啦[应援][应援][应援],士多啤梨熊🐻
16,视频有此短,用户5783dd29
17,我开始还以为男主是李俊辰呢，结果不是[捂脸笑],南朝四百八十寺🐾
18,最讨厌看短剧还老是放在上面烦不烦,爱吃瓜的liuliuliuliu
19,女主一哭😭整容非常明显,公诉😝
20,爱奇艺短剧也多起来了,以后的以后🎆🍦😘1993
21,好看啊[应援][应援]剧情很不错,木子、、🧀
22,少林寺传奇,。。借问酒家何处有💝
23,好像许凯！, 雪菲
24,很喜欢这部剧的台词和背景设定，这个剧完全满足了我小时候的幻想的呀,萤火末日光~丿
25,主题曲不错…[应援],ZYX331
26,全是上海的评论 刷的吧[捂脸笑][捂脸笑],狗子。。！
27,直接霸榜啊。[爱心][爱心][爱心],奶茶_qq1118
28,要求长多点[色],🙏幸运☁
29,[666]好好看呀,小象。🍂
30,王轩电视剧进步不少，这几年很少看到他的消息，原来是在磨炼电视剧啊，入股不亏,病态女王^★
31,短剧不错,王建杭
32,好精彩啊，我喜欢看[大拇指],啊红 一 大角鹿🦌
33,蛮有意思的，看着也不累,kyletowong
34,找个爷们演爷们吧，,爸爸回来了🤩
35,搞笑又甜宠，看的我上头，就喜欢这种有点小心思的恋爱模式,怪我过分美丽^★
36,少有的不无脑的恋爱剧，这两个人是怎么做到又甜又好笑的,想要珍惜~丿
37,编剧的立意还是蛮好的，演员跟角色也太贴合了,乖娘^★
38,哈哈果然人类的本质还是喜欢无脑爽剧啊，开播就觉得很上头了,泪ぴ湿了眼眶^★
39,王轩电视剧真挺好的，反正就是好好看！看他就完事，高颜值的表白没人会拒绝吧,情话情歌︶
40,很喜欢这部剧的台词和背景设定，恰到好处的纠葛，观剧感一流,lilycagu2
41,这部剧很精彩，甜宠我最爱了，编剧写的剧情人物有血有肉,爱的刚刚好i︶
42,电视挺好看的，太好看了，男主女主都挺好,不值得啊，永儿
43,编剧很用心，小甜剧就该这样,失心疯丶女人︶
44,细腻之处足见导演和演员的用心，这部剧已经完成得很好了,大号萝莉~丿
45,王轩电视剧真是非常的棒，大家可以去看看，我的姨母笑就没停过,时光请你善待我︶
46,对王轩路转粉。电视剧丝毫不尬，高颜值的表白没人会拒绝吧,关键我是女爷~丿
47,让人感觉到曹塞亚和角色之间的共鸣和联系，物理诠释半糖是蜜糖半是伤,奶油甜蜜兹兹少女i^★
48,王轩电视剧一直不错，主要也是长得帅，我是挺喜欢的，道化服太真实了,奇女子~丿
49,王轩眼神里还能闪耀着初入职场立志大干一场的兴奋，真了不起，一开播就抓住了我的心,我不是白富美啊i~丿
50,王轩的演技能赋予她不同的气质，看男女主甜甜的恋爱就行,伤不起女孩^★
51,王轩的肉体和电视剧都属于巅峰，甜爽剧，日常解压看看,姑娘长的好罪过︶
52,曹塞亚对角色和剧情的深入理解和把握，感谢拯救了我的剧荒！,半个人@~丿
53,我觉得曹塞亚真的太让我惊艳了，看的我嘴角一直上扬,单眼皮菇凉︶
54,曹塞亚的演技让人感到非常深刻和独特，感谢拯救了我的剧荒！,社会有形姐有样ゆ~丿
55,曹塞亚的演技非常独特，这两部剧简直了太完美了,╰放任的撒娇。︶
56,曹塞亚好几个小动作！我都觉得还挺好的，少见的好剧情的恋爱剧,挺ok.的小女人^★
57,曹塞亚是当之无愧的一位演技派女演员，这剧真上头啊,哇塞姑娘@︶
58,惊喜的是王轩，已经超其他流量小生好几条街了，好久没看过搞笑剧情的甜宠剧了,此人、已审核^★
59,王轩从偶像转变成演员了。有些慢镜头的拍摄我很喜欢，基本和原著一样,你的笑，真的很美︶
