,0,1
0,哈哈哈可以啊 那边种地这边霸道总裁,今天很乖~LI
1,现实种地，剧里霸总，这就是反差萌吗[呲牙],树妖柳苏苏
2,种地之前就拍好了嘛？,萌萌的酷比
3,赵一博是一个很踏实的演员，在种地吧里面他的人格魅力感染了我，期待赵一博在妈咪的反攻里的精彩演出,吴大胖啊啦
4,一博演霸总还挺像回事，女生也挺好看，有点姐弟恋的意思，还挺好磕的[应援][应援]就是这婆婆怎么想的到底,x在七年
5,期待已久，终于可以看了[应援],小木土🚶🏻🏁
6,一博，点进来已经是我最大的努力了，我祝你成功吧[大拇指],别的宿舍必备的
7,演的净是这种剧你不迷茫谁迷茫啊赵啾咪[大哭],歪到超级欧不二大葱
8,姜翎是一个口嫌体直的豪门霸道总裁，五年后遇到昔日旧爱云轻轻，两人即将上演一段抓马大戏。姜总就是用最虐的刀，撒最甜的糖，他嘴上说着拒绝，心里其实很诚实，我希望大家不仅仅能看出他霸道总裁工作狂的一面，还能看到他背后反差萌的一面。,种地吧-赵一博
9,有一种看熟人演戏的尴尬。,满弋
10,拍那么潮的剧，赵一博你不要命啦[捂脸笑][捂脸笑][捂脸笑][捂脸笑],找不到对方呀
11,救命啊，赵总你要不还是种地吧哈哈哈哈哈哈哈哈哈哈哈哈哈，赵一博你敢不敢把这个放到种地吧里面啊？哈哈哈哈哈哈和哈哈哈哈救命，我真的要笑抽了,有本事你再说一遍？！
12,哈哈哈哈哈哈哈哈哈哈哈 赵一博你敢不敢让哥几个看你的电视剧！！！！！还是种地适合你[捂脸笑]以后别拍戏了 算我求你 [微笑],"— 🍊 —
XXL西柚"
13,为啥呀赵啾咪为啥呀,木缄
14,有一种熟人上电视的感觉[捂脸笑],爱喝果汁的夏侯若华
15,赵哥 迷茫的开端吗,懒亻☀
16,"赵师傅，今天的vlog,我要看见九个兄弟坐一起看这部剧的场景！",小狗野心家
17,啾咪啊，你现在还迷不迷茫我不知道，但我快看迷茫了。,刨杨梅冰
18,不是，为啥其他演员的介绍图片都是形象照一类的，赵一博的介绍图片就是蹲地上种地的照片啊,夏晨无心
19,看过一博种地，咋感觉总裁怪怪的[捂脸笑][捂脸笑],温文尔雅的爽朗的栗子
20,“十个勤天“公司新项目:农作结束后每晚十位董事长一起看赵董事长主演的《妈咪的反攻》[偷笑][偷笑],官腾的小迷妹
21,为啥呀 赵一博 到底为啥呀,蓝色小蟹☁
22,hhh我来看赵一博这个脚趾抓地的剧了,骆骆☀️
23,又土又尬赵一博你不迷茫谁迷茫。但还是支持一把一博。,。。。🍉7920
24,赵一博你看看，为啥别人演员简介里照片都精致，就你的在种地[捂脸笑],rrrrrr费劲起名字
25,为啥呢 赵啾咪 为啥呢,用户85206823
26,禾伙人的支持就到这了,好呢hhc
27,十个勤天一人挣钱，九个人被扒黑历史[捂脸笑],皛 甯lj
28,从种地吧来的，替一博尬的脚趾头抠地[捂脸笑],Ash lover😃
29,赵一博为啥啊 为啥啊,后陡门小朝
30,我就说之前为啥老推这玩意给我[捂脸笑]原来是你小子,小米Rifle
31,赵一博 拍这剧 你不迷茫谁迷茫啊哈哈哈哈哈咱还是好好种地吧,凉酒不暖
32,哈哈哈！非常理解新人时期没的选择，有啥活就演啥。希望节目结束后能接到更适合的剧吧！加油！,Aobbbb💯
33,我说怎么给我推荐这种剧，原来是赵秘书,山木有
34,啊哈哈哈哈哈哈哈哈今天点开电视剧合集页面 第一个就是这部剧哈哈哈哈哈哈哈哈哈爱奇艺你是会推剧的（doge,璇Xuannn
35,赵啾咪啊你不迷茫谁迷茫,留言条🐣
36,云轻轻是一个命运多舛的女人，五年前因打击绝望出走，五年后她换了一个身份复仇归来。让人欲罢不能的绝美前妻云轻轻遇到冷面霸道总裁，开启一场拉丝互撩的抓马大戏！她手能撕绿茶，还能吊打渣男，刚一上来就这么刺激？保准你们看了以后就上头！,李博洋_
37,为啥啊赵一博[捂脸笑]有种看熟人演戏的尴尬[色],可乐cola🤙
38,啾咪你不迷茫谁迷茫[捂脸笑],睨NI🌈
39,种地就是男人最好的医美[色],跪在之自知明
40,种地里面确实赵一博最帅，为什么是角色定位这么成熟的霸总，有没有他要学院派的？本来就好年轻,温柔梦想家果果
41,在这迷茫无助找不到自我，种地吧:我是董事长的狗[狗头],红鼻子小熊
42,赵一博在这里面这就当爸爸了？[捂脸笑],用户7be80535
43,你小子！还演过这个呢哈哈哈哈哈哈哈哈哈@种地吧-赵一博 ,小林爱睡觉🍂
44,不管咋样，这种一次性出全集的我佩服,【    梦幻の蝴蝶】
45,家人们我感觉我的脚趾要扣烂了[微笑][微笑],ʚ 歡 ɞ
