,0,1
0,看到女主就不想看了,一工乙c0
1,好好的古装剧，加了现代词就变味了，作剧的幕后者能不能尊重一下这么好的演员阵容,十字街口的孤影
2,好家伙 一下子放全集 如果所有的电视剧都这样多好[色][色][色][色],喜欢喝酸奶ii
3,没有敖瑞鹏我估计这剧8.1的评分都没有[捂脸笑][捂脸笑],曾经拥有过yl
4,敖瑞鹏的电视剧已全部追完[色][色][色]，少年歌行，漏电男友，张昊天，食梦君，看见缘分少女，少年江湖[大拇指][大拇指][大拇指],萍*^_^*ImmanueI God with us
5,突然发现这部剧居然是我初中最喜欢的小说《清河公主洙宛传》改的，到现在都还超级喜欢这部小说，敖瑞鹏也是我很喜欢的演员，真的超级激动的好嘛[色][捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑],笙笙 and soso
6,有谁和我一样是来看敖瑞鹏的，举小手吧！,奔跑在孤傲的路上😚😚
7,受不了啊，好好的清河公主改的不伦不类的,DreamDawnYou
8,这部戏是意林小小姐公主朱宛改的吗[色],银河湾下冰雹了
9,不是不会真的有人觉得这种坑蒙拐骗的女主很可爱吧，现在看剧真的不能带脑子,随心就好1026
10,我去，全集！！！ 希望所有的电视剧都可以这样，一上来就全集！！,🦁赚钱多多
11,看女主说话好像是现代穿越的？好好的古装武侠，说现代的网络词，好出戏啊,铃家小女
12,为什么很多喜欢的都要会员，并且还是独播，几个会员养不起呀[捂脸笑],★無殇
13,女主是带资进组吗？长相一般般呐,自由随行-MY
14,在座的各位有谁跟我一样 1.先看演员 2.看简介 3.看评论，跟我一样的话，来这里集合,巷后酒肆
15,这女主太普通了,尹广宇_qq1611
16,咱就是说这么光明正大的抄山河令真的好吗………………,复暄雪
17,大家看完这个可以看全世界都在等你们分手 感兴趣的可以看一下 也是会员全集可看 谢谢啦 我也是看全世界的时候看见这个的,热水。
18,放全集的戏都是质量不咋地的,A小魔女
19,窝趣我小时候看到清河公主啊[大哭],ohhluuu
20,而且剧情太烂了，跟少年歌行不是一个级别，敖瑞鹏以后不要接烂路了，还是雷无杰适合你,叮当猫314
21,差评，什么导演什么剧情。没法看下去,86`梦多啦
22,看完熬瑞鹏少年歌行雷无桀过来的,不看莲花楼是你的损失
23,改编太多，从小就看过原著的原著粉表示不太喜欢这些改编的设定[流泪][流泪],Hermione Eyre
24,怎么看不到简介？,皮皮我们🙊
25,这女主的设定真是无语了，靠坑蒙拐骗吃香喝辣[傲慢],爱涮火锅の延陵文景
26,就喜欢这种一次性更新完的剧,奔跑在孤傲的路上😚😚
27,哈哈，这是古代剧吗？,初夏阡陌九月
28,把女主名字改了，还把女主先前的身份弄的不伦不类，硬是加入江湖的老套剧情[流泪][流泪],Hermione Eyre
29,这女的谁啊！演短剧都不找好点女演员吗,最末_
30,一看就是舔宠剧 啊，跟少年歌行没法比,~吾责天~
31,这是什么乱七八糟的,",.,.,,.............."
32,现在的都些什么啊[捂脸笑],A   ℡不良 人
33,女主换个漂亮点的就好看点了,飘摇谋虑
34,就是个人绝的女主不好看，也不喜欢,💍芬🌹
35,牛肉做成香肠的有吗？,古宗族伊裔小康食膳堂
36,记不得之前是哪部剧跟这个雷同了，也是夺秘笈然后灭门,九天战祖
37,电视剧越来越差了演技都是小鲜肉,忘了名字😘
38,全集666[应援]今天一口气看完,為靈一笑，換你天真無邪
39,秘杀名单,小斌🌙005
40,好看吗 我是看到男主才来的,i我是读书人
41,为什么每部剧都要VIP才能看[呲牙]，,洛小草
42,台词这么浮夸，还有，哪有这样的剧情，一开场骗人钱财，还打人有理，男主表现还可以,爱喝矿泉水之管闲居士
43,老太婆太狠了 ，居然以命换命，,龙城、飞将
44,女主活泼可爱，挺有意思的[爱心]继续追,雷梦梦之旅
45,不错哦，蛮精彩的，值得一看！,285494673
46,好家伙我就喜欢爱奇艺的大气[应援][应援][应援],诗荟花礼猪猪
47,女主不好看,星川落子＆🏖
48,"男主角一点都不帅
武戏能不能不要靠特效
[捂脸笑]",好好好吃饭过
49,许久未看古装剧啦！还不错[应援],☀小雨 ✨(^з^)
50,还以为江山代有人才出，结果是一代不如一代。对于现在的古代电影电视剧彻底是报废了,℡佛主
51,"跑个路害了多少人的东西  三观不正
",三声话衷肠
52,直接就是这部剧改的是不是有点太大了[捂脸笑][捂脸笑][捂脸笑],银川川
53,刚看完少年歌行 好看  刚好看到这个剧[呲牙],加菲猫Y(_)Y&#61;@~@&#61;
54,这个女主到底是谁？我都不认识，听都没听说过,夜风冷冷💯
55,好烂的局,南小天
56,喜欢古装小甜剧，江湖历练闯天下一类的，有一样的嘛，举个小手看看吧！,翩然入君怀
57,好家伙，这竟然播了，我才知道,南朝四百八十寺🐾
58,[色] 就喜欢这种一次性更新完的剧,军师6666
59,敖瑞鹏这个剧里的扮相没有少年歌行里雷无桀的好看,戴燕妮冲呀！
60,这还是沧海镜的清河公主吗？怎么拍成了这样子？,小鹿麋鹿啦😄
61,好看，好久没看到这么好看的剧了,huafans0134440722
62,看名字我以为是五代十国的背景，慕容冲和前秦皇帝苻坚历史上有一一段[应援],努力的张建中
63,为什么感觉是穿越剧,轩辕世子
64,"头一回看到结局女主男主男二幸福快乐生活在一起的，这部剧情特别好[应援]
",麦克斯坦森
65,这次爱奇艺这波操作，太爱了，一下子全集,宣萱1207
66,丫头比小姐有气质,舒凡1121
67,很好看啊,萘靑
68,一下子放全集，这么厉害👍🏻,晶晶玲珑08
69,这是穿越剧吗？,忆往昔回首i
70,女主不好看,丽丽54846
71,第一次见一上线就放全集的[大拇指],林辞甜😘
72,小如的师父是谁,兔宝宝护花
73,[应援][应援][应援]才想起来,淼淼º
74,一下子放没热度啊啊啊,祺tong话
75,蛙趣，太好看了吧,史峰0402
76,大家放心进来看，入股不亏[呲牙]绝对是部喜剧，建议在人少的地方观看，不要学我笑出鹅叫的声音影响形象[捂脸笑],柠羽0.0
77,男女主是谁啊,永远陪我⁸
78,我觉得还行吧,雨后的誓言
79,搞笑吗这剧  [坏笑],Nai_何
80,他和王鹤立他们两个真的好像呀,懒羊羊˙Ⱉ˙ฅ
81,啥时候播的,喜欢喝黄酒的漆雕鹏涛
82,轮鼓沙吓了？,石头布丁！
83,一口气追完简直不要太爽!,今天不敖了
84,老婆不服？,石头布丁！
85,太好看了,HCChn
86,还以为是少年歌行第二部才开的会员，这都什么呀，感觉不好看啊，跟少年歌行差远了去了[捂脸笑],奋斗者征途
87,看封面因为王鹤棣呢[捂脸笑],80後追忆青春
88,低配永远是低配[呲牙],Lilliana·娟
89,就喜欢这种一次性放全集的[色][色]看完少年歌行之后为敖瑞鹏而来[色][色],我的未来_qq2316
90,真他娘的手一拿手机换片了,昨天是历史¥
91,简介中的鸡毛蒜皮的武艺[微笑],斤斤计较哈哈哈🎊
92,现在的电视剧女主是真的越来越没有颜值担当了,高姿態的_小女人
93,看到慕容冲打戏，我就绷不住了,Yubo.💘
94,一个老演员都没有，辣眼睛,娟娟子呀🍂
95,先问一下是两男挣一女么？喜欢敖瑞鹏但是不想看俗气的两男挣一女[捂脸笑],滚滚女神
96,敖瑞鹏的电视剧已全部追完[色][色][色],奋斗吧，青春💞
97,要是白鹿，赵思露肯定好看,点痣祛斑
98,直接放全集  我爱了！！！,🐑🐑YYZ
99,跟原著全改了 好像就用了名字完全不是原小说,很行🍑
100,看了简介，3人行注定一人孤独终老,喜欢吃橘子的尉迟越泽
101,头一回看到结局女主男主男二幸福快乐生活在一起的，这部剧情特别好,曾经的superstar
102,开头感觉女主人品不大行啊,🦅二月天
103,打开简介导演照片泰酷辣[捂脸笑][捂脸笑],熬夜追剧到天亮😍
104,额……看了几集，还行，就是男一男二的关系演得有点过，基情四射[捂脸笑],一路向前1117
105,我还以为是虞书欣跟王鹤隶,抱走千玺ฅ
106,还是去看看90年代的武侠剧算了,恋爱中的前任攻略
107,是放弃热度吗哈哈一次全集,嘻嘻哈哈呵呵嚯嚯呵呵哈哈
108,一听台词，就不想看了，放弃,A~上了贼船就跟贼走
109,想念李宏毅的少年歌行,江南七夏
110,好家伙，裤子你该学学爱奇艺这波操作[捂脸笑][捂脸笑][捂脸笑][捂脸笑]不要太感动好不,狐狸尾巴猫🎐
111,这也叫古装电视剧，多看一下以前的古装电视剧吧,ღ᭄💞黄盖打周瑜໑ຼ₀₂₃💕
112,别管！熬瑞鹏拉爆你们所有人！！！[色][色][色],Cat☝☝
113,一次性放全集[应援][应援]来看敖瑞鹏啦[色][色][应援],一束阳光sunshine
114,明明可以抢，偏要搭上一本书[捂脸笑][捂脸笑][捂脸笑],余仕青
115,前面还可以，后面那剧情混乱的都跳着看,林林子子芊芊
116,现代的营销手段都穿越波及到古代了。不要998，不要668！好熟悉的超市味道。！[捂脸笑],(๑•́ ₃ •̀๑)。。。。
117,就喜欢这种一下子放全集的[色],黎艳萍🌟
118,女主瘦点可能会好看些，看脸觉得整个人都好壮。,好运年年888
119,"我想知道女主的身份啊[应援][应援][应援]
有不有知道的",盛世繁花🍁
120,又是武侠亲嘴儿睡觉的剧，辣眼睛,奋发图强 迎难而上
121,女主好看的啊只是放在娱乐圈普了点,金渣.
122,今天才开播的么？,古月乔花坊
