,0,1
0,迷雾已经有三年了，看看什么时候才能再拍出像 沉默的真相 。,丰海通
1,沉默的真相，隐蔽的角落，回来的女儿，无证之罪，值得二刷,пань 先森
2,在座的各位有谁跟我一样 1.先看演员 2.看简介 3.看评论，跟我一样的话，来这里集合,冰淇淋雪花。
3,开始三分钟，这么大的雨，突然就凭空来个穿白大褂的法医。还浑身干的。。时空门来的？,前进前进向钱进😉
4,我与我女朋友登着同一个账号，我希望你们能点赞，她能收到通知消息，通知我女朋友，我爱她，我真的很爱她!谢谢了[捂脸笑][捂脸笑][捂脸笑]^_^,胡萝卜Ding
5,沉默的真相，隐秘的角落，八角亭迷雾，都可以看。,闲步信庭
6,陈晓头发这么一剔，怎么有点像谢霆锋呢[捂脸笑][捂脸笑][捂脸笑],爱骑行de独孤康德
7,今年迷雾剧场最佳,楠木长青🎄
8,评论翻完了，也没告诉我到底好不好看，烂尾不？,香蕉你个卜那那😊
9,陈建斌演啥都一个调调,爱吃甜食的姐姐🌟
10,迷雾已经有三年了，看看什么时候才能再拍出像 沉默的真相 这样的神作,何涛_qq5700
11,很有看头[爱心],用户363f3f2408814
12,这个好看不？想看白夜追凶第二部,小莫_qq4198
13,前面讲了那么多，结局给我烂尾了,一颗星😝797
14,有谁和我一样是来看陈晓的，举小手吧！,奔跑在孤傲的路上😚😚
15,请问看过的朋友这个是不是单元剧,九九我呀
16,不好 陈建斌啥也不是 根本不会拍片子，演啥都不行,ha亚泰
17,云襄传快结局了，不知道这个好看不,喜欢吃甜橙的叔孙星瑶
18,#猜猜凶手和案件走向#凶手是白小夫老公吧。当年白在化验室的一些结果可能隐约感觉到自己老公跟杀人案有关，他老公也怕暴露，白后来因为车祸身亡。他们的儿子也从此没有家了，所以改名吴家（谐音）。后来儿子可能也继承了父亲嗜血的基因，开始模仿当年父亲作案。尸体摆出的姿势好像都是失乐园就是人间乐园里面的样子。他们一直在追寻自己的精神乐园吧。,珏珏🌈
19,这部剧好看吗？第一次看  想问问,万里寻鹤🕊️
20,凶手竟然是杨漫的学生和他爸,就爱闹闹
21,陈晓真的是老老实实拍戏，没啥绯闻的,扛刀姚妹儿
22,我想知道有没有恐怖镜头  一个人不敢看,滥情哇哦
23,第一次看悬疑，没想到这么好看，娘娘的男人威武，四爷和沈星移锁死[色][色][色],五ANN
24,都去看超级好看！,The missing person
25,要是黄景瑜来演，就完美了,踏雪寻梅75
26,有人发现，点赞按钮变成“放大镜”了吗？好细节，爱了！！,麥ラ嘜
27,非常不错，很好看,蹦迪中的八爪鱼
28,大家，是一个案子一部剧还是一部剧好多小案子？,e是王胖子
29,沉默的真相，隐蔽的角落，回来的女儿，无证之罪，值得细细观看[应援],終歸于暮😀
30,#尘封十三载沉浸式追凶#杨哲的手表和凶手的手表一样一样的呀,珏珏🌈
31,好棒！陈晓,清清丫头👄
32,好看不。好看我就追了，最近剧荒,喜欢健身の太公雨星
33,实话实说 第一次看陈晓演戏，又瘦又高，帅[大拇指],乐滋滋的西红柿
34,诶嘿，原著叫《黯夜之光》，这个剧的编剧就是作者本人，应该没问题吧！迷雾剧场冲！,megaZ
35,故弄玄虚，把我们刑警拍的这么平庸。,用户11e1054402865
36,陈晓真的眼里没光了，是因为不再年轻了吗？以前他的眼里好有神，神采奕奕的,2023一切顺心
37,想看 怕吓人，看过的说一下呗,TT20150001
38,来了来了来了！重庆人必须要来支持一下！ 很多场景都在巴南的影视城拍的,coralsea7777777
39,不晓得这个好看不[色],A清尘雅琴
40,简直是一幅上等油画，请用两字形容此幅画？,小の孩
41,我贼爱看迷雾剧，期待值已经拉满了 ，希望好看，不辜负我的流量哈哈，陈晓还是不错的演员，让我们一起期待好的开头也要有一个好的结尾吧！！？,cocoH辣
42,朋友们，好不好看啊？,丫头加油💝
43,看过结局的我告诉你们：凶手就是白小芙的前夫和他儿子,小王爷.@
44,高加林，你挺忙啊，人生之路还没播完呢，又出来新电视剧了[惊讶],不败颜王🎋
45,这个光线带墨镜能看到吗,心随^5^动
46,我还没看这部呢  大伙说一下有没有隐秘的角落好看？剧,被时光掩埋的秘密6
47,从人生之路高加林来的有没有[应援],圆滚滚布迪熊
48,结局意料之中，不算烂尾吧,insight_
49,所以白晓夫是被他丈夫追杀吗？他老公下得去手,噬魂_羽墨
50,高加林什么时候有的大学文凭？,猫小姐有一只大猫
51,"凶手是白小芙：前夫和儿子
",小王爷.@
52,兄弟们点赞有用，麻烦点一下谢谢,风少。。
53,先来占个位，我去把人生之路更新的看完再来看尘封十三载[捂脸笑],『陈晓的迷妹』
54,这里是有一个坏警察吗？,楼兰姑娘.
55,我问一下，我准备要看。打开发现一集大概30多分钟，这是删减了吗？看刑侦探案剧最怕这样了！都连不上！[捂脸笑],执著的微蓝99
56,陈晓为了演40岁的陆行知，把自己发际线都剃了[捂脸笑],只只椰星
57,我是先看简介，再看演员，然后看评论[捂脸笑]一遍看完再来看是否要看剧[捂脸笑],岳娟_qq1220
58,怎么现在的悬疑剧都跟十几年前的案件有关系，就不能换个剧情吗[捂脸笑],我在火中种金莲
59,这是在重庆拍摄的去年有幸在拍摄现场好激动啊[色],敏姐姐S💯
60,这个电视刚刚上市吗[应援][应援][应援][应援][应援],龙少孤独黑暗
61,太有意思了,yksjnfrjs
62,自从上次看了 他是谁 被难看到后。。都有点不敢尝试新悬疑剧了 再等等口碑 他是谁真是难看。。。避雷避雷,漂亮的漂🍓
63,播放不了,真的是太卡了
64,有漫长的季节好吗？,用户4413c4d1
65,凶手为什么要把尸体这样摆放,猫小姐有一只大猫
66,这又一个“他是谁”嘛[捂脸笑],誠信✨
67,陈晓演技爆炸，演什么都演得太好了，真正实力派演员，给陈晓点赞,超爰探险的东宫熙星
68,为什么办公桌上不能放家人的照片啊？,这是薇仔小号
69,23集凶手出来了，是杨漫的学生吴嘉，13年前的凶手是吴嘉他爸,就爱闹闹
70,第一 漫长的季节 第二沉默的真相，其他的还没发现,䱘xxx
71,加林，好好练身体，师傅以后就靠你了,蓝胖子周末不学习
72,就想知道有没有烂尾,请叫我姑奶奶🎐
73,这取景地一会儿重庆 一会儿又是其他地方,XiaoWang0925
74,我来审判了！做了功课，导演刘海波获过白玉兰最佳导演，之前就和陈建斌老师合作过《三叉戟》！带着期待来了，小十三我劝你好好播！期待各位老戏骨之间的对手戏！,芋头圆子酱
75,直接封神[色][色],半棵树🚦
76,一摸一样,撒娇狂魔小胖子
77,不要让我失望[捂脸笑],巧克力味的牛油果🍧
78,陆队有点帅啊[色][色][爱心],纯欲迪丽冷巴
79,怎么老是重复呢,超爱喝牛奶de女娲安晏
80,#猜猜凶手和案件走向#现场被刻意布置，留下部分线索！！凶手是个具有反侦察意识很强且智商很高，受过良好教育的人！！！为什么间隔十几年后又案发？？可能凶手不是同一个人，但可能是知道当年案情的人，故意模仿把警方引向十几年前的案子上，让警方调查当年的案子，为当年的受害人复仇！！！！,g123hhgh
81,一台黑色警车用了十三年，一张手巾用了十三年[呲牙][呲牙][呲牙][呲牙]穷啊！,二姑娘她爸
82,陈晓现在演技杠杠滴，今年好多他的剧[大拇指],meowmeow611
83,人生之路过来的举手,时光背面_默然
84,[应援][应援][应援]猜猜凶手是谁,CcIlil
85,吓人吗姐妹们,桦雪雪最好了
86,#尘封十三载沉浸式追凶#我觉得凶手是陆行知老婆的发小[呲牙][呲牙],天空不会掉眼泪
87,跑尘封十三载来吹某个剧的这还说没买水军，真的是此地无银三百两。,迂回曲线
88,剧情不错，好看！,风力机🍑
89,剧情又是“十几年前的悬案再现”。,ZQYolanda
90,8.5的评分 太低了,Sincere nini
91,戴个墨镜装酷吗,21老达子
92,为陈晓来的，这种剧情紧张的我得看两遍，第一遍看脸，第二遍补剧情[666]期待陆行知,听晓幸福
93,陈建斌演的真假，怎么让他来演？,爱打高尔夫球的秃发坚白
94,曹啊满，脾气还是和以前一样,2285541893
95,看了20分钟   一猜就绝对不好看  ,康凯_qq1231
96,为什么不能播放啊,michelle怜🍒
97,好看🤩推荐❤️[应援],牛蛙0928
98,希望不要重蹈《我是谁》覆辙，相信海波导演,凡星点点白
99,怎么办，主演都好喜欢，好期待呀！,爱吃甜食的小美🍰
100,回忆太多有点受不了 不过还是看完了,@5                             7
101,真不错真不错 ,泼墨小鸟
102,总得来说不错，内容能量正，引导人积极向上，故事情结不是特别紧凑，也还说的过去，可以看出只是虚构，并非实事改编,风轻云飘渺💯
103,陈建斌为什么要留长发？,138****1228_m1316
104,陈晓的演技一直都是可以的！！！而且还有陈建斌老师，这部剧很期待了。,妍妍夏日✨
105,"是不是整据都在破一个案子？
",seven——liufei
106,这个剧不错，看得我头皮发麻！,西门爱小佳馨
107,朋友们，给你们推荐台湾犯罪剧《逆局》《模仿犯》不打码的尸体特别下饭[呲牙],赵壮实🍑🌈
108,"本次#尘封十三载沉浸式追凶#话题活动圆满结束啦！按照互动数（点赞+回复）排名如下，恭喜以下用户抱走我们的奖品！

按照规则带图评论中互动量排名前10位的用户将会获得爱奇艺黄金VIP月卡：
1.	猫小姐有一只大猫
2.	LUCKY·小狗
3.	云上有座山
4.	流浪地球出列
5.	珏珏
6.	喜欢吃肉夹馍の叱利欣怿
7.	香茗烟雨
8.	༺端木绿夏༻
9.	美人只为自己落泪
10.	余音绕梁梁

领奖流程：私聊官方账号“评论小桃君”发送“领取奖品”即可领取。奖品将在7个工作日内陆续发放，请大家耐心等待。
❗注意：7天内未主动联系“评论小桃君”领取奖励，则视为放弃哦！

谢谢大家支持，希望大家能在这里收获开心！常来互动
",评论小桃君
109,吃着炸肉看着电视剧，滋润,花提
110,等这部剧等了31年不容易啊[大拇指][大拇指],九年义务教育的漏网之鱼🧀
111,看会儿电视📺你们这个闹挺,战麒西风烈
112,别叫尘封十三载了  叫配乐十三载吧,旧世界的幻想
113,陈晓哥的现代剧居然火了，我还以为他真的是古装男神。,Plum小李
114,迷雾剧场用点心吧越来越差劲,好大哥的大哥
115,年轻时的陆行知那种感觉演的真好，剧里的老婆也太好了[应援][应援][应援],ter-ing
116,希望不要跟你是谁一样,Keen🍓
117,刚有个汽车倒着开,小羽的麻麻
118,女大十三，石头变砖,qiqi980605
119,最近好剧扎堆，追完人生之路再追迷雾[666][666][666],托米的欢喜
120,陈晓又出来拍戏了？,灵宝珠海子
121,听说有恐怖镜头 还是算了 我自己看有点怕,硬辅得加钱
122,现在探案的电视为什么都那么暗，迷雾剧场重要的是对剧情的悬疑，而不是色彩暗了，就有悬疑了，导演什么想的。要吸引观众靠的是剧情和演技而不是故弄玄虚，看了都伤眼睛。,琼叶儿🎡
123,辉叔吗，林耀东来了没,光明顶上
124,值得追吗,嘵时候可亲了
125,晓哥新剧追起来,宵夜James
126,原来是蓝冰,喜欢玩排球的秃发伟志
127,就喜欢追迷雾剧场的剧，虽然每个剧水平不一，总体都拍的还不错，期待有更好的剧呈现给喜爱迷雾剧场的粉丝儿们！,chowxl
128,电脑看陆行知队长，两手机看人生之路高加林，可把晓迷累坏了,心云517
129,都去看，真的很好看[大拇指][大拇指]值得推荐,虚空的火焰
130,怎么投屏没弹幕了,追剧小王子11
131,很担心又像《他是谁》，高开低走，最后烂尾。,安心雪花❄️
132,又没有看完的，告诉我好看不好看？,幸运常伴~~~
133,所有的迷雾剧场都全是晚上拍的吗？白天也黑麻麻的,喜欢吹口琴の东郭景中
134,陈晓我一直觉得演技不怎么地，这部剧是我看过陈晓演技最好的一部剧。看了第一集觉得不错，很多内心戏都是靠眼神去传递的。目测这剧质量应该值得追，期待喻恩泰的戏份。,2楼-雅座
135,有位演员说陈晓这长相，戏路太窄了，只适合演男一号[捂脸笑]，事实证明他讲的对，开始的笑傲江湖除外，陆贞传奇，神雕侠侣，红蔷薇，遇见爱情的利先生，人生之路，那年花开月正圆，宫锁沉香，独孤皇后，冰雨火，都是大男主剧本[捂脸笑][捂脸笑][捂脸笑][捂脸笑]，主要是陈晓还是实力派,执笔绘苍生
136,非常棒的剧，确实好看[爱心][爱心][爱心],xy0311
137,先看人生再看三十吧。最近晓哥的剧挺多。有点忙[666],较瘦热搜
138,这部剧拍的真是太好啦！二刷,是陈陈呀123
139,我有点想知道，张司诚当年是单纯没发现安宁？还是故意放走了她？又或者是其他人经过，怕暴露所以没继续找？,墨染卿裎2
140,希望这部剧好看[应援],港圈玉女周惠敏
141,喜欢看迷雾，希望值得一看，今天才看，剧情怎么样等看几集再来评论,暮霭沉沉楚天阔four
142,我就问，有没有谈恋爱的剧情，有就不看了,花少北の歌单
143,陈晓早就该火🔥了！长的帅气，演技一流，不火🔥也太不像话了吧！👍👍👍,墨～晨曦
144,平字是哪个城市的车牌啊，好像没有吧[捂脸笑],LY的小怪兽
145,我也是先看演员，在看简介[捂脸笑],Aperson🌼
146,难看要死,执念不仅是看海
147,"看了评论我才追的，别骗我呀
",阳光很暖、就像你在我身边
148,发觉陈晓演技挺好，最近看了他不少电视剧,流泪的香烟＃$＆♥
149,#猜猜凶手和案件走向#尘封十三载，故事从头到尾似乎都透露了一个关键词：传承。 十三年前，陆行知24岁，刚刚转入刑警队，他碰上的第一案便是铅笔杀人案，而带他的师傅正是当时的刑警队长老卫，卫峥嵘； 十三年后，尘封多年的铅笔杀人案再度出现，陆行知已由当年在凶案现场忍不住呕吐的菜鸟变成了陆队长，而他身边带的新人赵正明正好也是24岁。 十三年前，卫峥嵘离婚寡居，陆行知家有娇妻。 十三年后，当卫峥嵘回到这个案件时发现，他的徒弟也离婚了。 卫峥嵘后来复婚了，陆行知也复婚了。 十三年前共赴这个系列杀人案的那些“老家伙”，十三年后又是他们站在了一起。 甚至连当年经历过恶魔的小女孩，十三年后依旧被恶魔盯上；包括恶魔本身，追寻所谓的“人间乐园”，一代又一代，不能剧透了。,左耳右东😃
150,非常好看的电视剧，强烈推荐,LEE_LSC
151,很不错的电视剧，一直在看。,倪斌哦豁
152,这个小学没读完就读初中了吗！？,春晓绿地
