,0,1
0,#盘点菜鸟逆袭仙侠剧#盘点菜鸟逆袭仙侠剧，青云志（已塌）、古剑奇谭（已塌），忽然发现塌的还是挺多的。不过挺好的，也多，花戎，尘缘肯定也是。必须好好的，大火起来。[应援],小阳好自恋🕶
1,#你会选择尘缘or仙缘？#[微笑]我会选择尘缘，谪仙与青石的99世仙缘，抵不过女二在人间爱上纪若尘的一世尘缘，男二与女二的99世仙缘，也没有像纪若尘，张殷殷这般凡人的一世尘缘令人动容。仙缘就像是上天安排好的，这是不得已的羁绊，而尘缘，是自己抗争来的，自己的选择，是自己的心之所向[爱心][爱心][大拇指],wkjshsishs
2,#盘点菜鸟逆袭仙侠剧#哈哈哈哈哈我不管 我觉得尘缘就是下一个🔥的[色]我是预言家,夏了个legacy
3,完了杨颖又成功的悔了一部好剧，果然不负重望加油[捂脸笑][捂脸笑][捂脸笑],我本•幽默
4,#你会选择尘缘or仙缘？#选择尘缘[应援]相识相知相恋，出场的先后顺序挺重要的，纪若尘心怀大义，心胸宽广，心系苍生，而女主本身就是青石仙，正是因为受到宽容庇护才得以修炼成长，在青石仙下凡后，她失去了仙识，只记得记忆中守护自己的人是宽广善良的人，正因为如此，再加上青石信物，才将纪若尘认错，男二开始就是滥杀无辜，目中无人的形象。,谁不看尘缘我都会伤心的OK？
5,"#你会选择尘缘or仙缘？#张殷殷师姐我来啦
🌟亮点推荐：
首先剧情不老套，男女主都不按套路出牌，特别是殷殷师姐妖化后，疯批美人我真的很爱[舔屏]

🌟亮点推荐：
男女主颜值高看上去赏心悦目，里面也没有什么奇奇怪怪的滤镜，节奏很好，不拖拉，前期有点偏喜剧，后期男女主都嘎嘎猛的感觉

🌟亮点推荐：
好久没看仙侠剧了，殷殷师姐真的很符合我心中的女主，咱就是说一整个被殷殷师姐迷住了[抱一抱]",邓雪梨
6,张殷殷我来了，刚发评论说怎么那么准时不能提前放，结果一分钟后就更新了[狗头],躺平i
7,就因为不想看某个小三，舍弃这么好的剧,姠祐趉
8,"#你会选择尘缘or仙缘？#尘缘吧，尘世一世间，我们好像都是修炼者，修炼自己内心，
难得一知己缘分足够，相知相爱相守白头，也是一种幸福。虽然这种幸福有点痛，但是又有其中滋味。★像极了生活中你我他的模样。愿我们都能找到属于自己今生的成长的尘世情缘。",大笑的二师兄
9,#你会选择尘缘or仙缘？#选尘缘。来人间走这一遭，是真的爱了一人一生。石头仙与谪仙虽然仙界相识九十九世，但是最后一世贬下凡间时，石头仙只认仙石，不认人。后来哪怕想起了这个谪仙，但是仍然不愿意接受，还是爱上了男主。九十九世的仙缘比不过一世的尘缘啊。,_阿晨.
10,提前了吗！！angelababy[色][色],萝莉的花裤衩
11,杨颖哭起来都感觉在笑，演技还是一样差,用户4f2270ed
12,"杨颖会有人找她拍电视？是不是找不到人了
",🌸  勿忘初心
13,女主演戏超烂的好吧😊,噿清风
14,#盘点菜鸟逆袭仙侠剧# 世事百转轮回，却逃不过尘缘，@angelababy 与张殷殷的遇见，是缘分亦是注定[应援][应援][应援][应援][应援],月光寒啵啵
15,baby真的有很大的进步，希望各位家人们能用一个全新的眼光去看这部剧,维尔粗布
16,我就讨厌bdby 她的剧从不看,____不争炎凉🍧
17,追不下去尬姐这演技,想做天上月🌙
18,我来为鼻姐打call[爱心][爱心]，暮色和尘缘两手抓[色]，我好快乐啊谁懂[呲牙],T听雨落
19,我就看了一集、开局在客栈就杀人越货还悬崖抛尸、这是事实吧最后因为吊坠去了修仙、说白了就是无耻顶替了别人的身份、我可以这么理解吗,外卖小哥来啦
20,看了两三集，这个剧真的喜欢不起来，，不知道是演技还是剧情，就总感觉很浮夸的感觉，还有男主，冒领身份，baby演的还算不错.就是看不下去了,沅沅呀🍧
21,#你会选择尘缘or仙缘？#选择尘缘。谪仙确实拥有仙缘，看起来也挺厉害的，但是慢慢的在追求仙缘的过程之中，已经有一些违背本心，有一些违背底线。比起这样子的仙缘，纪若尘所拥有的尘缘虽然普通，但是可以让人感受到这其中的温暖和温情,🌸奢😄🌷
22,"喜欢帅哥美女的组合[爱心]

喜欢我的大漂亮张殷殷[爱心][爱心]

希望我们的尘缘能被大家喜欢[爱心][爱心][爱心]",T听雨落
23,各位，请你们们不要用对baby的死板印象去评论这部戏和她，baby的演技提升了很多，不要吃不到葡萄就说酸，好吗？[微笑][鄙视],得不到的某某🐾
24,你们不尴尬吗，我就想问问,小黑_qq1039
25,觉得这部戏杨颖演技在线，比玉骨遥里面的女主强多了,自信的凡凡
26,我鼻姐 剧根本追不完我k 太爱了,爆爆炒花蛤
27,可惜马天宇了，换个女主这剧就好了,150****5755_m1142
28,一个不会哭！假笑的人！也能演电影,好客的人cium
29,如坐针毡，如芒刺背，如鲠在喉，，，，真希望我从来没看过这电视剧，，，,楼上叫什么
30,#你期待结局be还是he#其实吧我更喜欢先虐后甜的，结局最好是he，不然的话全是甜或者全是虐，感觉从头到尾都是一个样，感觉没有乐趣， 如果要是先甜后虐的话，就感觉好遗憾,尘缘火火火火火
31,不管怎么说，有马天宇的我就该捧场,庄惠茹我爱你
32,可能我有点病 只要是杨幂 baby 热巴他们演的剧我都觉得没得看没意思,我美最帅
33,女主差评[鄙视][鄙视],阿尔法(反迷你)
34,#盘点菜鸟逆袭仙侠剧#最近比较热的菜鸟逆袭仙侠剧应该是花戎、重紫、护心。很快，尘缘也应该要火起来了吧？,朝歌✨✨✨
35,评论区  不好说   看起来像水军 故意黑[冷汗],TX玉💝
