,0,1
0,有会员的时候感觉没电视可看，没会员的时候又感觉有好多电视可看，可全部都要会员,爱吃豆包の羊角尔容
1,#山河之影剧评征集#好看吗？看简介是双男主设定，有没有男女感情线?没有男女感情戏吧？没有就追了[色],"清酒深杯,"
2,现在看剧，先看演员，看剧情，看评论，最后再决定看或不看，有一样的嘛，举个小手看看吧！,翩然入君怀
3,原来民国奇探还有一部叫民国大侦探，2022年的，你们看了没？,大脸猫和小小老鼠
4,烂剧，千万不要看，浪费时间，情节完全无厘头，也不符合历史,苏先生-OK
5,有谁和我一样为了张云龙而来？终于等到了。激动哇。等了好久了，终于等到了。,乌拉乌拉？？？
6,#山河之影剧评征集#张云龙所饰演的李雾虽然最初是一个小贼，但是有着自己的特点，有着正义感，这部剧里的很多人其实都有着自己的特点,狗🐶里狗🐶气
7,建文的时候哪里还有锦衣卫啊，[疑问],丷锦瑟丷
8,两个超级优秀的男主角也救不了这糟糕的剧情[大哭][大哭][大哭][大哭],🍑小埋🍧🍉🍭
9,没开会员的时候，什么电视都觉得好看。开了会员，发现都是不正经的电视。,138****1613_m1555
10,有谁和我一样是来看张云龙的，举小手吧！,奔跑在孤傲的路上😚😚
11,这几根钉子一推就开了,莳一（莳一）
12,只有我是为陈若轩来看剧的吗？,简单的痘痘
13,这个电视剧比很多傻白甜，霸道总裁的流水剧好看太多了，有内容，有深度，有意义，角色性格丰富，而且张云龙真的演技太好了，把小偷的那种精髓演出来了，大家不要说他穿上飞鱼服仪态不好不像锦衣卫，要搞清楚所有演员是为角色服务的，不能光自己在那耍帅耍酷，他这个角色本身就是个不识字的小偷，我认为这个是张云龙演技非常有突破的一个作品！,一起飞翔20
14,有谁和我一样为了张云龙而来？终于等到了。激动哇。等了好久了，终于等到了。,七宝茶
15,张云龙怎么瘦这门多啊？？都快瘦脱相了,派大星╯^╰
