,0,1
0,这部剧真的好看吗？之前看过两次都弃剧了，现在实在没悬疑剧看了，有打算再看一下～,我是～小玥儿
1,"观感很不好，很装的一部电视剧，不推荐。
1.剧情推进非常慢，节奏拖沓。
2.很多长时间定格的镜头，故作高深，感觉很装。
3.演员各种口音，容易跳戏。
4.主线和主题都不突出，不知道想表达什么。",运动中的LJ1987
2,迷雾剧场，yyds，电影时长，真不错，有多少是看过回来的女儿，再来看平原上的摩西[捂脸笑],天若有情天易老TT
3,有老舅的表演为啥演员表没有他的介绍啊,🎈   2amor 。
4,从尘封十三载过来。,爱吃菠萝的太叔春冬
5,"结合小说补充电视里没有体现的剧情：
1、庄德增（装得真）文革时期把傅东心老爹打聋了，傅家两个女儿的事业前途也因此（家庭背景）受到影响，出身书香门第的傅东心放不下高傲心气，不甘蜗居于烟厂当个工人但又没法改变现实，只有埋头读书画画以解内心苦闷。
2、傅东心曾因落水被老李救了（据她讲的故事推测）爱上老李，也为爱情争取过（闹过）但没能如愿，于是心灰意冷接受相亲。
3、小树三岁时傅东心知道庄德增就是打聋她爸的仇人，为了小树她选择忍下去，可对于和仇人生的儿子，她也没有更多的感情给予。
4、庄德增一开始就知道老傅是他打聋的，一直有愧于心，所以他接受大三岁也不算很漂亮的傅东心，接受她对他的冷漠，坚持热脸贴冷屁股以此安抚自己的良心。他娶她就是赎罪，这就是为啥他能不找外遇的原因，很多不知道原著的看客只看到了他的表面。但无疑老庄也是时代背景之下的受害者。",C虎妞I趣叭C
6,最近真的好剧频出啊 刚看完《回来的女儿》接着《狂飙》就出来了 《三体》也紧接着播出 现在又来《平原上的摩西》 看不过来啦[应援][应援],LAYONE
7,[大拇指][大拇指]喜欢这种不急不躁的调调，很舒坦，最喜欢庄先生，性格真好，爱家爱孩子爱老婆[大拇指],杜甫不忙
8,来看老舅,发芽土豆～
9,看完回来评论。首先，这剧不应该进迷雾剧场，不是悬疑刑侦剧，悬疑剧迷可以撤退。其次，剧的节奏非常慢，都是具体生活场景，找人能从楼上拍到楼下这种，没有耐心的劝退。好的是：一集将近一小时，排成了连续电影，质感也很像电影。8090年代的生活场景历历在目，非常细腻，还原度高。导演的拍摄手法也很细腻，更像文艺片，喜欢文艺片，想回忆8090年代生活的可以看看。,你说啥就是啥1
10,迷雾太绝了，尤其《沉默的真相》,芸生匀升.
11,非常值得欣赏的一部电视剧。所有的情节和线索都在细节里隐藏。电影的质感，很生活，很细腻，很人性。每一个演员都非常到位，像这样高质量的国产片不多。[大拇指][大拇指][大拇指],小小腾🎡
12,不知道怎么回事就是看不下去，这也能进迷雾？奇了怪了,夜雨梧桐8935
13,为什么老舅的名字没有在简介上面？,ꦿ᭄雪ོ
14,看完第一集没看懂什么意思？,电视剧。迷
15,剧情精彩，值得关注,梦游娃娃1
16,看两集就一个感受，，这个剧好吵啊。  太多环境音了 ！！！ 烘托时代感的手法就这么单一吗？  搞得像埋彩蛋一样 反而让我有点出戏。,丶炽焱丶
17,这片就拍成个文艺电影就行了  非得拍成电视剧 是想把观众全部整抑郁吗？,爱唱歌の南门德元
18,虽然是迷雾剧场，但上的太不是时候了，狂飙和三体神仙打架，他收视高不了[捂脸笑],Way Back*
19,感觉还不错，一镜到底的。拍摄手法蛮新颖的，里面的宝石也是一个亮点,！！4419
20,时长1分半，这叫电视剧吗？商人,^大女人^
21,"看这部剧就像看书一样，节奏缓慢而真实，得自己去发现去思索。
      所有的事情平淡无奇的发生着，就像我们生活，没有刻意告知，没有强调戏剧冲突，一切都是淡然的发生",周烨_qq2561
22,沉默的真相yyds 不接受反驳,『零.2℃』
23,这个就是文艺片，有很多长镜头，可以说整部剧是文艺悬疑，喜欢自然喜欢，不喜欢的无所谓了,用户@e8eccc4413880
24,这是什么类型的剧啊，快看完一集了，不知道说啥的,常冰是个好人
25,这片就拍成个文艺电影就行了  非得拍成电视剧 是想把观众全部整抑郁吗？,爱喝茶的公冶芳馥
26,和《狂飙》谁好看？,吉祥的爱奇艺
27,我都不知道在放什么,X i a o จุ๊บ
28,不得不说迷雾剧场拍得是越来越差了,晴间多云有时阴
29,真没想到，老舅还有这一面呢[捂脸笑],生活充满阳光🍑
30,看了50分钟了 感觉看了个寂寞,不行街+组揍
31,像二一九公园,爱喝红酒de闾丘菁英
32,不是周冬雨演的吗？,嘿嘿哈哈哈吼吼
33,要文艺就好好文艺，要悬疑就正经悬疑，有文艺又悬疑的拖沓剧情，起个名字都这么文艺加悬疑,喜欢打台球de端木金鑫
34,喜欢悬疑、推理或有些烧脑的剧情，有一样的嘛，举个小手看看吧！,翩然入君怀
35,很好的电影，大家快来看看,石鑫杰爸爸
36,剧情很好看！,二小_qq2598
37,这么难看吗[捂脸笑]，刚追完十三载和回响过来的[捂脸笑][捂脸笑],愉快的幸运从你开始😜
38,这部剧和隐入尘烟太像了，更多镜头给了时代中普通人的日常和孩子成长的故事。而不是专门为了悬疑刑侦。最后在湖里小斐撩起自己假腿的裤脚时，她居然带着一种炫耀。因为她遇到了最爱在她面前调皮捣蛋求关注的小树。但内心极度渴望小树的悲悯和疼爱之心。当然这对父母算不算太惨？父亲深夜保护自己的女儿居然能干死不知身份的警察。当然警察错以为女儿怀里的汽油就是前面作案人使用的工具。这样双方误会导致的悲剧。执法者错误执法也会酿成悲剧，就如烈火灼心里四个青年误认为自己是杀人犯，追凶的人也认为这四个人是杀人犯。最终的真凶另有其人，那这一场追捕发生的悲剧谁来买单？这算不算寻找真相和真凶的成本！小斐一次断腿，一次被击毙都是为了这个真相付出的成本~~生命的代价！,享受中庸
39,最近真的好剧频出啊 刚看完《回来的女儿》接着《狂飙》就出来了 《三体》也紧接着播出 现在又来《平原上的摩西》 看不过来啦[应援][应援],城南以南不会蓝
40,海清这张脸看着40多 怎么演这个角色,么么哒哒嘛嘛呢
41,首先我很尊重这部剧的演员和导演老师们 但是我一看到划船 不知道怎么的 这脑袋瓜子里净是沈腾吃毛豆的画面[捂脸笑],诸葛嗒嗒抡铁锤
42,傅东心这个人物存在的目的是什么？我觉得导演是个傅东心式的人。,54刘帮主
