,0,1
0,这是不是冰山上来客？,我是真真正正的老顽童
1,这张小子多久没拍电视剧了，不就是为他来的！,咖啡咖喱吧
2,演技很生涩、情感很真挚！应该都是非著名群众演员表演的，土味十足，却很真实，蛮好看的…,橙大公子
3,库尔班大叔这个人物饰演的很好，越看越想看👍,WuYueShiLiu
4,张子健终于又演这剧情，可以[大拇指]，就是看有他才追的,虚构与现实
5,演技不是很好，感觉普通话怪怪的，我在新疆的时候，基本都是带着新疆口音的普通话。我觉得说维语或者疆普比较正宗。,会飞的鱼_qq4303
6,这部双鹰开挂吗[捂脸笑],冰封往事2285
7,好的电视剧作品，也无需多言。强列推荐 。从此你会了解人民的决心与意志。从新疆到首都北京至少3000多公里。路上你有可能还会遇到许多艰难险阻，包括新疆中国最大沙漠塔克拉玛干大沙漠。还会遇到新疆最大沙尘暴你无法阻挡任何人的决心当决定的事情，那股力量，无形之中已经在心里，生根发芽不到目标永远意志坚定。这也许就是中国人民的精神。,逆袭的饮料
8,阿凡提原型是库尔班大叔吗？,りblack先森い
9,值得看的好剧！年代剧就该是这样，真实，淳朴，厚重的一段真实历史！,喜欢弹钢琴de公坚问芙
10,冰山上来客再版？第一版是1963年，我在上电影学院（1977）老师讲了，那是文革前最好的电视剧，从导演，制片到编剧，音乐等都是中国巅峰人物。比如音乐是雷振邦…,我是真真正正的老顽童
11,一天两集不过瘾我们强烈建议会员看全集，这才是优秀电视剧,堆堆黄金
12,我是来看燕双鹰的,緣滅🍂
13,"

点吴彦祖
3",喜欢打篮球的谷梁浩荡
14,刚从于田回来,牛扒棚
15,为什么不反抗？,闲云悠悠0828
16,真的挺不错,小哆啦A梦🌸
17,喜欢看新疆的电视剧，很想看真人版阿凡提，记得以前有一部真人版阿凡提。,金色年阳光lyy
18,好好看呜呜呜,123Saniya
19,库尔班好像胡歌啊,美美美杨子
20,靠看电视剧旅游了。,享受中庸
21,奔着燕双鹰来的,特兰克斯💦❄️
22,西域风情,用户6865ea70
23,鬼使神差的点进来了，还不错,弋殊
24,看到燕双鹰，我才看这一部剧的[微笑][微笑][大拇指],等風來/
25,燕双鹰的电视我喜欢看，老了解气！,139****1216_m2820
26,库尔班大叔和他的子孙们,Dj-baturum
27,这剧很接地气！看着真是！,用户109d12640254b
28,我怎么不知道柳州还有个叫做青龙街小学的学校？,东边NO亮西边亮
29,中国万岁[666],大萝卜丸子💖
30,看燕双鹰的不然没法看,爱吃汉堡de百里萦思
31,燕双鹰,👌🏻llinnv
32,这部《库尔班和他的子孙们》终于开播了我等这部电视剧作品等了三年了终于可以看了,温馨的老家
33,我是因为陈丽娜点进来看的,Linda D
34,多多更新[爱心],霃sss.
35,元芳新剧，元芳你怎么看,叶名山
36,广西柳州市没有青龙街。只有广西最大的青云菜市……和广西最大的胜利烧烤市场,133****0485_m1370
37,中国万岁,李豪🌸落雪飞花🦋
38,我好像看到又是双鹰，但好像不是😂😂,☆陈情鬼笛☆
39,请问库尔班大叔是动画片买买提大叔吗？,りblack先森い
40,这剧好像以前在电视上播过,苟富贵ABCD
41,.剧中的场景设计和服装造型都非常精致，让人感觉仿佛穿越到了另一个时空  喜欢[爱心][大拇指][大拇指][大拇指][大拇指],小阿🌸🌸
42,没人，不好看吗？,喜欢吃冰激凌de公户莹莹
43,青年库尔班真帅！未来可期！,杜尚的小便池
