,0,1
0,我老公说我中毒了，我已经看了七遍了，我要看十遍！因为共鸣！立意无高低，品鉴有不同！我就是喜欢，就是喜欢，讨厌恶意评价！不懂的人你可以不懂，但不要妄评！,冉冉升起168
1,"想找电话号码要了两年没没打过  太假了
",一生放荡不羁回头太难
2,现在看剧先看演员，看剧情，看评论，再决定看或不看，有和我一样的吗？举个小手看看吧！,奔跑在孤傲的路上😚😚
3,谭松韵是女生吗？,樊飞宇
4,谭松韵，真剧抛脸，她会用心揣摩她所要饰演的每一个角色。所以喜欢她很值得，这个感受越来越深刻[爱心],YSYS都快乐
5,有谁我一样为了谭松韵井柏然而来的举爪爪集合了。激动哇。终于等到了。这部剧真的好上头，好好看。根本停不下来。,师傅胡晓
6,"这个故事的前半段，和我的很像...
有一个如春光一般明媚的少年，爱过我很多年。
后来我们都读大学，他去了北京，我留在了老家成都。
那时他常常为了回来看我，坐十几个小时的火车，到家脚都肿了。水木年华的在他乡，也是他唱给我听的。
大学四年，我不知道他在北京经历了什么，他也不懂我过得有多糟糕。
期间我们分了两次手，又再和好。直到大学毕业，他留在了北京，我留在了成都，终于再次分手。这次一别，又是好多年。
后来我结婚，他托一个老同学给我带了句话，让我结婚别请他。
看这部剧的一个瞬间，我突然想起，那时他真正想说的话，或许，不是“别请他”...
又过了几年，我产后40多天去医院复查，在医院的走廊上碰到了他带女朋友看病。我不知道他是哪一年回来的，像同学一样寒暄了几句。离开的时候我回头看了他，他也回过头看了我。那个眼神，让我恍惚了整整一下午。
那天晚上，我做了一个梦，给过我最多偏爱的少年，站在一群白鸽里，笑得很干净。",Sabrina1111😘
7,从隔壁人间炼狱来 这才是当兵的呀 不扭捏 分离多年再见 也不会让女主啃骨头🦴,微风掠过的夏
8,我和老公就高中处对象，大学不是一个城市，因为某些原因分开了，毕业后因为一句你回来找我，我看看你[捂脸笑][捂脸笑]又在一起很多年后结婚了[应援]，分分合合结局还不错,丽🍒1981
9,呢个机构，你还能在我心里有数就是这样吗。,皆大欢喜有很多话想说
10,大家好！我是谭松韵～那个曾经因为跑八百蹭破皮而哭唧唧的小姑娘归晓，如今也是可以独当一面事业成功的成熟姐姐了~ 初恋的时候，倔强任性，分手挂嘴边。如今再次相逢，希望归晓和路晨可以有个完满的结局。归晓的故事刚刚开始，这个春天一起来追《归路》吧~,谭松韵
11,很羡慕这种从校园走到最后的爱情，很难得[爱心][爱心][爱心]谭松韵演绎的很棒👍🏻她怎么可以30了还演高中生还不违和的。,春暖花开22222🍓
12,这部剧里面的好多细节都很真实，感情细腻，很喜欢，刚看完紧接着就重刷第一集了，就是没看够。很棒的剧。上次反复刷的剧是琅琊榜,放松吧大家
13,特别不喜欢女主角的演员,65736手机
14,大家好，我是路炎晨。路炎晨和归晓多年后偶然重逢，彼此都在漫长岁月中成长，心中百感交集。远赴他乡一路走来，也一直在寻找忠诚与信仰的归途之路！念念不忘必有回响，希望路炎晨的故事可以陪伴大家度过这个春天！,演员井柏然
15,本以为我不会哭。可是最后看到结局还是哭了,董a爱娟
16,女主无聊身材还是脸蛋都太一般了，走什么规则得到的主角？,Jessicaww
17,真的有分开八年还彼此想念的人吗，八年可不短……,A－筱瑜
