,0,1
0,看到女主就快进，真心不喜欢硬编出来的煽情剧,大淇732
1,我奶奶每晚在安徽卫视看这个电视剧，看过好几部这位女主王雅婕的剧了，还有那个养母的花样年华,是喜欢的许半夏雷初夏
2,就喜欢这种电视剧,念安
3,好看也得有随时观看的地方想看就能随时看到  接,追剧小界💋
4,滤镜太猛了,libra_zeenunew
5,太奇葩了，弃了,一米阳光20220222
6,感觉跟养母的花样年华有些像样的,感情流浪汉⭐
7,我是奔【王雅捷】来的，最喜欢她的电视剧,俺徐海亮
8,都看热门的片了这个没评论，等热门片子看完了都回来了。还有一样，热门片都流量明星,爱K歌の公山智敏
9,这电视拍得太有点做作了吧，看得人憋屈,请叫我雨神啊
10,起码电视剧真实些，,在饭里巴拉巴拉
11,喜欢这种剧，好看,"王
王前看"
12,惆怅长岑长错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错惆怅长岑长错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错惆怅长岑长错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错惆怅长岑长错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错错,我是小冠腾
13,小天太像小沈阳闺女了[666],翻眼猴厄
14,这种剧，美颜磨皮还这么重，没法看[捂脸笑][捂脸笑][捂脸笑],Ann_321
15,这部电视剧教育意义深远,勤劳的爱艺术💯
16,"有句歌词""社会需要热心肠″！希望章兰香黄大河这样善良大爱的人越多越好！这样社会和家庭就会和谐充满友爱了！🉑🉑💗💗",不要理我_qq1753
17,终于可以看了[呲牙],阡陌红尘_qq1039
18,演的太假了，沒兴趣了,武媚娘💝
19,"这俩总演夫妻，哈哈哈

",你个呆狗
20,你们不看就不要在那里说,阡陌红尘_qq1039
21,成年小天演技实在是.....五官表情太丰富太夸张，不过王挺的演技实在是好,用户9d1a74e41ab00
22,投屏为啥还有广告？,静初似玉小亚
23,怎么样这个电视剧[大拇指],爱之至伤
24,好好经营婚姻，好好善待婚姻，婚姻一辈子不容易，一定要学会包容，学会珍惜！婚姻要想顺利，得到一个美好的婚姻，就是好好对待婚姻，不破坏别人的婚姻，多帮助善待他人，多护生，多施，多发布一些正能量的有关婚姻方面的内容！对待婚姻忠贞不二，对待伴侣不离不弃！不宣传一些不堪色彩的内容！要有正能量，有道德修养，对人要真诚！不能伤害别人的感情，最重要的是要有慈悲心，善待身边的每一个人，每一件事，多帮助别人，把好的东西多分享给别人！这样婚姻才能慢慢幸福，好运才能慢慢降临！,安诚宁和一仁清慈
25,这是人世间姐妹篇吗,随意🎪
26,花海是铁血玫瑰里的佐佐木,斯利布拉德
27,这剧好看吗,幸福在-起
28,第三要会员卡呀，看看电视剧。[大拇指][大拇指][大拇指][捂脸笑][捂脸笑][捂脸笑][爱心],用户@cce818e41dcc0
29,不看就走,阡陌红尘_qq1039
30,太神奇了,小可爱红果果
31,不更新了吗,張Zhangs
32,这不是玉芬么[呲牙],好多鱼@。
33,脸 打🉐️破尿酸,邓加雨
34,小时候都这样，长大了更坏,傻傻程度
35,我觉得白小天挺好的，讨厌的是沈水月，气死人,一辈zi〆心愿🌻
36,穷人家的孩子这么的不懂事吗,用户@cdc213a41da00
37,这种剧本就是这样的，说句实话纯靠演技撑着的，以前就是,用户6c986cf7
38,你长得这样吧,吊针
39,交给谁都会笑 ,用户@cdc213a41da00
40,我活寡八年,我爱老妇😍
41,50集什么时候能播完,爱吃苹果的公玉笑卉
42,这帮人长期这样的片子,用户6c21c0f2
43,微笑妈妈电视剧删除自己自动天都没有自己自动天都没有自己自动天都没有自己自动上映开播岀[大拇指]不是自己自动天都没有自己自动天都没有自己自动,大宋少年志二部
44,又是原班人马[捂脸笑]我最爱的家人们过来的嘛,Oliviaᥫ᭡້໌ᮨ
45,这个白小天小时候好讨厌,阿白U🤞
46,微笑妈妈不拍个片删除不能看,大宋少年志二部
47,微笑妈妈电视剧删除自己自动天都没有自己天都没有自己自动天都没有自己自动加入自动爰艺演员表自动加入无广告片可看,大宋少年志二部
48,咋不更新了？,用户6e09486e
49,亚琴好可爱,斯利布拉德
50,题材是好题材，演员表演的太用力[捂脸笑],用户412ce6b0
51,原班人马，从我最爱的家庭过来的,Oliviaᥫ᭡້໌ᮨ
52,两个人的破事 还害其他人,用户@cdc213a41da00
53,重婚 在外面瞎胡闹的结果 厂长掰了,用户@cdc213a41da00
54,那个时候没有这种人这种小孩还是女孩,用户@cdc213a41da00
55,拜拜了 不看了,用户@cdc213a41da00
56,没有原则的人,用户@cdc213a41da00
57,没有看头了,用户@cdc213a41da00
58,不错,阡陌红尘_qq1039
59,黄金荣,？？？？？？？？821
60,哈哈,匿名用户
61,好看,我爱老妇😍
62,武忠义,斯利布拉德
63,堆雪人,夏目的廿九
64,玉芬呐,爱吃烤馒头の南门孤风
65,好看,夏满(๑• . •๑)
66,王挺演抗日的好看,用户6d43cb10
67,里面的都是前三部的主角，居然没有周场这个反派🦹‍♂️，太好了,刘亚俊🙂
68,林秋雯,喜欢柔道的闻人明凝
69,这部剧都是前面几部的原班人马,小圆圆爱吃圆圆的汤圆
70,好看,爱嗑瓜子の叔仲宜年
71,有病吧 沈水月,吃着薯片减肥
72,很好看,泽塔/受
73,坏女孩。[冷汗],西瓜汁水果茶
74,着急,西瓜汁水果茶
75,这一对甜的发腻让人羡慕,用户59112a77
76,你不愿意吗,喜欢喝纯净水の褚师安珊
