,0,1
0,人生之路，归路，心想事成大家推荐我看哪个啊,啊这个名字挺好☀
1,张凯丽一出就不想看了,大耳朵吃鸡
2,看到张凯丽就觉得这个剧肯定很闹腾[捂脸笑][捂脸笑][捂脸笑],EXPT🎉
3,好看个锤子，一天推推推你妹,看世间各大奇葩
4,挺理性讲道理的，有点温馨的家庭剧。,轩轩轩一人之下
5,为什么不是张俪女一号,我不胖只是瘦的不明显🍄
6,现在看剧，先看演员，看剧情，看评论，最后再决定看或不看，有一样的嘛，举个小手看看吧！,翩然入君怀
7,家庭背景不好的大多数人，品行都不是很好！,小龙虾66哒
8,这几天陪着老婆追剧[色]拍得挺好，故事情况细腻[666],半步颠   行  者
9,有点刻意营造胡同生活了...,JOYJOY狮子座
10,有谁和我一样是来看毛晓彤的，举小手吧！,奔跑在孤傲的路上😚😚
11,从人生之路来的，还是看这个欢快一点现实已经够苦的,chenglirong2
12,这剧太狗血了，这什么东西，就靠两个美女撑起来，,传说中的救世主_qq1953
13,毛晓彤张俪！两个女主都好有气质绝美😭😭演姐妹我真的太爱了！希望后面不要出现姐妹反目的戏码啊啊啊,飘到了彼岸去
14,"最好的办法就是报警，给这件事做个定性。
有了定性，如果这男的再闹事，那你就立于不败之地了。
如果没有定性，下次这男的继续闹事，你说不清，因为时间一长，你的证据可能会丢失，而你自己又承受你推了老太太，那时候会很被动。",天下大事来
15,你知道你住这胡同院子多少钱吗？,晒太阳的西瓜
16,台词水平太低，全是废话级别的！情节也太低俗,澜沁园春雪
17,挺好看的贴近生活,黄苏琴😝1970
18,不喜欢张凯丽。但超喜欢张俪。纠结，还是选择看！,用户8d669ee2
19,这部《心想事成》一定会非常好看的一部电视剧作品，孙俪的作品我都喜欢看,温馨的老家
20,姐姐的脸整的已经面目狰狞了,岚溪紫月
21,还是于非，褚晓宇看的顺眼，最后应该都在一起了吧,喜欢吃蛋糕de诸葛嘉淑
22,有谁和我一样是来看毛晓彤的，是的就来个赞吧,安安心心毛毛💫
23,好看也得有随时观看的地方想看就能随时看到  快要结尾了我这里接你,追剧小界💋
24,年代不对吧，都玩上智能手机了，怎么还骑单车呢？有电车的时候还没有智能手机呢？,聆听心声，！
25,一些演技好的，带王子异干嘛？？？ 因为他影响整部剧没意思,吃糖的咻咻
26,"什么玩意啊，全程假笑式表演
",暮血啊
27,看到现在觉得姐姐和姐夫的婚姻完全可以挽回，姐姐太任性，遇到问题为何都不好好沟通呢？双方家长也不劝和，只有妹妹说出了姐姐的痛点,珩荇123456
28,晓彤的新剧终于播了过来支持美女的剧了[应援][应援],欣酿虞薇
29,爸爸是樊胜美哥？,很努力墨水
30,好假现实谁不报警呀，超市负责人都没出现,安星m
31,好好看，王子异挺惊喜的，进步很大,夕希西Ny
32,两个女人都是花心大萝卜，没有一个好鸟，本来很喜欢张俪的，一下子就掉分了,喜欢吃火腿の太叔曼彤
33,浙江卫视二轮上星啦[爱心],李松_qq2716
34,为什么现在电视里早饭都是牛奶、面包什么的，传统的粥、包子、饼、油条、面条等等很难得出现。,97...2_bd2914
35,只想知道结局烂尾了吗  亲,薄情女子050527
36,1我看多少电视剧，这个电视剧越看越没劲,机灵的大佬😁
37,太假了，谁家有这俩闺女还不吃喝不愁，家庭生活质的飞跃,🐰👑🐰倪娟
38,自从看到张凯丽刮掌王祖蓝后，她演的剧就有点不想看了[捂脸笑],雪语5599
39,结尾太快，都没有太多过程,一个喵星人的小公举
40,这对姐妹也太养眼了！好喜欢看女孩子贴贴的剧，两个大美女在一起就是好[色],飘到了彼岸去
41,这个结局好莫名其妙哦，都不清不楚的就结束了。,小绵羊🐑桐
42,这台词功夫我也是没谁了 热搜是买的吧[捂脸笑],多多包晗
43,来看于非咯[应援],eElab
44,看不下去了，医美太出戏,喜欢玩台球の褚师高丽
45,这不是渴望剧中的王沪生和刘慧芳嘛[呲牙]又扮演两口子了[大拇指],习武之人🍭
