,0,1
0,换个男主就好了,BAOER_qq1459
1,为了女主来的 男主实在有点劝退,yinging2000
2,罗正爱演霸道总裁[捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑],超人总动员1986
3,罗正挺帅的啊。 棱角分明  还有点像言承旭,森鹿姑娘09
4,搭这个女主一分钟也看不去，本来想冲罗正来的，只有苏颜兮最搭,爱看偶像剧的小妞
5,男主怎么看起来怪怪的，是我审美出了问题？[捂脸笑],喜欢涮火锅的公仪安妮
6,罗正这类的剧快演腻了吧[捂脸笑],福昂布窝琳🌟
7,每次打开首页封面女主都是那么个模样[微笑][微笑][微笑]。。就没有睁开眼的照片吗,龙羽星蓝
8,男二是古相思曲的男主[应援],叭叭的小嘴
9,女主是不是演过九霄寒夜暖 难怪这么眼熟,娜娜来啦哈哈哈
10,要是换个男主就好了，这个男主一言难尽啊,◞辞忧◟
11,"看得我气死了
",吃了吗小羊
12,男主竟然把女主一晚上都放在外面，一大早还要女主爬山，天呐[捂脸笑][捂脸笑][捂脸笑],131****3383_m1776
13,这个女主演过半妖倾城的，那里面好讨厌她[捂脸笑],葳蕤如生
14,有谁和我一样是来看罗正的，举小手吧！,奔跑在孤傲的路上😚😚
15,男主脸像僵尸一样[捂脸笑],永不消失的友情
16,不明白为什么这么多人骂罗正，我觉得超帅。,Chrystal飞飞
17,看到评价是网络第一名！评论才两千多，也不可能是网络第一名！还是最食人间烟火色好看，评论六七千！,百友走召火页
18,个人喜好，一看到这男主，立马闪人，不知道现在人的审美有啥问题了，一个男人整成这样,悦悦宝贝💋🌟☀
19,张嘉译主演电视剧,逐光而行且向阳而生
20,看几分钟就知道难看,银河绘日…
21,这个大嘴男有什么背景，天啦这么大的嘴做男主是要吃人吗,喜欢喝黄酒的乐正平卉
22,大爱罗演员，气质超好啊,域无颜
23,颜值在线,Aડꪊꪕ໌້ᮨꦿ๑҉
24,为啥这么墨迹啊？[捂脸笑]我看不下去了，而且好假，男主角也不帅[睡],帕丽丽🎊
25,如果小说霸道总裁长这样，这爱情不要也罢[捂脸笑],十三月凉-.-🏝
26,我的天，就不能一次性更完，有什么分开更的必要吗[捂脸笑],funny003
27,罗正的下巴真是无敌了,虫虫点点和布丁
28,女主不好看，看不下去。,￣へ￣萌宝宝
29,女主是以家人之名的火山姐吧,135****7692_m1717
30,顾言洛，顾西城，顾译，顾氏三兄弟[捂脸笑][捂脸笑],MIMK的小世界
31,不，顾译所说的“这”样一板一眼的女人在任何方面都是有用的。都是有用的。,取个什么名字好呢2333
32,这个男主看着咋这么奇怪[捂脸笑][捂脸笑],守着猫睡觉的鱼
33,有人说说这剧值得看吗,啊忧℡⁷
34,罗正这个全新的角色，好喜欢的,低端小气档次
35,大下巴真厉害！[大拇指],诸葛亮晶晶💫
36,罗正那么像韩国里的李洙赫呢怎么,爱哟喵de哈士奇
37,喜欢罗正，剧里他穿的每套衣服都很帅气，太帅了好喜欢,我心向洋唯爱洋
38,男女主角的脸怎看都不舒服?做的?,精益文创
39,泰国电视剧,喜欢看电视的士孙飞扬
40,男主和女星张俪共用一张脸,刘谢飞
41,何瑞贤终于做女主了，他好美好高级的美,゛牽尔哒手▂
42,来看恩齐啦[色],C7.kk
43,还珠格格,明天更好的1
44,有谁和我一样是来看罗正的,1396419151
45,"罗正超帅！前三集霸总形象真的绝了！！可惜后面顾译性格转变，看不到霸总形象了哈哈哈！何瑞贤真的好美呀！！期待两个人在现实生活中，也可以成为情侣哈哈！
然后，值得一提的是，全员！全员！颜值在线！演技在线！里面很多角色我都喜欢！比如前期男二白，后期男二苏，还有公司员工项瑟瑟，躺平，还有杨洋！！哈哈这些角色我都好爱！
综上，值得一追，祝收视长虹啊！[应援][应援][色]",沉依儿
46,顾译这小子，是我喜欢的类型,夲菇涼
47,冲罗正来的演技有提升了！哭戏， 颓废的破碎感的时候就体现出来了，审美不同罗正在我眼中就很帅身材比例好五官立体，还有一双迷死人的眼睛！,用户@e821b2e411780
48,这个小说叫什么名字,伊伊伊伊✘
49,喜欢男女主，演技很好，可见演员们的努力，对比主演的别的剧，肉眼可见的进步，这些剧风格看似相同，但实际上还是不同的，演技上更加突破了[大拇指][大拇指][大拇指],卡路里zll
50,太过分了吧，把女生丢在门口一整晚，不担心吗是个人都不会,A我就是我
51,所以说看之前先看看简介有哪些演员，不认识的演员一般电视剧不会好看,用户9c382b6b
52,女主侧分的发型导致头老是歪到一边，难受，晚上睡觉也是大浓妆，难受，什么时候都端着，难受。,一个宁宁
53,"电视剧飙升第2名[衰]
这名次怎么来的
看不下去了",媚颜美妆【美甲减肥纹绣美容】
54,来了来了来看罗正的剧了[应援],眼角¤一滴泪
55,封面张彬彬怎么列表没有？挂羊头卖狗肉[发怒],你老祖@
56,这男的又演总裁,火锅我的最爱🏝
57,看见评论不想看了,喜欢吃橙子的馨儿
58,建议大家看一下韩剧《金秘书，为什么那样》,游客登录正在中
59,火山姐在这里当主角了[应援],用户4d71b144
60,谁的心脏？,A苏冰
61,第5集开始画风突变  好笑死了  都坚持看 入股不亏,耶耶耶耶+烨
62,罗正的剧就是牛上新一口气更新到八集[应援][应援][应援],幸运双儿💕
63,心脏是前男友滴？,陌上花
64,好喜欢罗正演的电视,ぷ 萍萍
65,看名字以为是悬疑爱情剧，看演员以为是甜宠爱情剧，点进去看，刚开始又以为是职场爱情剧，没想到最后却发现实际上只是个现代后宫剧，简直是不知所谓……,oo木易oo🐣
66,顾译才是我喜欢的大男主,转载自是
67,别拍这种霸道总裁宠妻的片子了，毒害社会,莫陌小小
68,我还没看 看到评论有点不想看了,夜猫EAN
69,罗总确实演技越来越棒了[大拇指][大拇指][大拇指],喜欢吃蛋糕の士孙问儿
70,十个霸道总裁就有九个姓顾的,浅水h
71,乔静，死鱼眼，确实说明眼睛是心灵的窗户！,润2020🌙
72,女主梳了个侧分发型，头就总是朝那边歪着，那边头发比较重吗？,一个宁宁
73,这个电视剧跟我现在有了老公一样 如今一个2岁孩子，只悔恨现在才明白 但凡都不能外表给欺骗 人品性格很重要 还有他家里又是些什么样的人,+夏丫
74,比心顾译，我又爱上了罗正新角色,一场剩世烟花
75,都演姓顾啊[捂脸笑],付姗姗龙女
76,21年的罗正感觉自然很多，这部片鼻子与嘴刻画得特别凌厉，有点怪怪的，换个男主就好了。,ellachat
77,罗正好帅啊，整个五官真立体，越看越帅[色][色][色],你好贞子阿
78,我就喜欢顾译这样的男主，带感又帅,河马换个
79,沈不言，我来了,听说 是无
80,看评论说男主不好看闪人，我本来不想看，但是看到罗正不会难看呀！挺喜欢罗正，长的挺帅呀！,百友走召火页
81,妈耶 何瑞贤演网剧？ 就不能来点赏识小姐姐盛世美颜的嘛[应援],凡饭次范范
82,喜欢甜甜的剧情，有一样的嘛，举个小手看看吧！,翩然入君怀
83,战争片，电视剧,用户6528680f
84,罗正不帅吗？为什么会有人说是整过的呢？我从来没有想过，我也不是粉丝，但我还是喜欢看他演的霸总，帅[爱心],爱玩网球的南荣秋颖
85,顾译再这么圣人蛋🥚啊！尤其是对乔静。,xinjian410
86,我有一个大胆的想法 男主换的心脏不会是女主白月光的吧 所以女主才和男主在一起的 ,呆呆_qq6036
87,看着这女主好难受[捂脸笑],携手走过四季-czy
88,一看到罗正这张脸，就感觉像看到了一具尸体,5E95017E-9E4B-4C58-B148-1DC6F79506C4
89,长得挺帅的  改编的金秘书为何那样吗,@命韵峋环
90,罗正这演技可以啊，有他的剧，我都会看,逆天_老
91,大雪无痕,逐光而行且向阳而生
92,这种剧进去马上出来！不想看,不会游泳🏊 的小鱼
93,太过分了，乔秘书那么好,夏若锦儿
94,男主改戏路了，以前都是霸总，和替身双胞胎的故事，这回成了男主替代品。,看综艺的春程
95,南洋女儿,小杏子！！！！！！
96,哎呀！！给爱奇艺打call[应援][应援][应援]多来几部全集放出的剧吧[色][色][色],の懒懒の
97,这男的妆容太重了，脸这么白脖子黄。。。欣赏不来,洋葱217
98,很喜欢女主，相信她能红起来,阿爱～明爱
99,男主女主都怪怪的：，看不顺眼,刘元秀L
100,女人这么卑微吗？,输赢都不是问题
101,我觉得好适合他霸道总裁[色],一直陪你的布朗熊
102,女主演的呆板,的回归
103,感觉很棒[大拇指][大拇指],用户@c7803ea41aa40
104,美女为什么不能配帅哥呢[微笑],染尽天下色，只为一人歌
105,这个男主整容整过头了吧[应援],星空玥
106,？？男主什么人设啊，无语，把女朋友丢在外面睡一夜，第二天一句关心的话没有，客户黄了还怪女主，后面有追妻火葬场我也不理解,很开朗的网友👌
107,这剧扑街了,看到什么
108,没有事找个班上不行吗？  何必当演员？,小虎牙儿
109,为什么他演的都姓顾,用户503c0db8
110,"啊啊啊，太好看了，特别是是男主穿着病服在街上跑的时候，音乐一响起，我都激动的留眼泪了，之前听说，蚀骨危情小说要改剧，我就在想这么狗血的都能演?
要不就让他她俩吧[应援]，之前看男主其它的剧没什么太大的感觉，但这次太有感觉了，我就喜欢这种剧情，特别是男主有点傻病的嘿嘿[呲牙]",剧迷＃(∗❛ั∀❛ั∗)✧*。
111,来看老郭[应援][应援][应援],182****9671_m1537
112,这娘么真不错,南宫扑燕
113,为啥是花容来的,♥小混球
114,看了罗正几部剧了，这女主好配，这剧必须追[微笑]前几部的女主太那啥了[捂脸笑],北风ort
115,"一一回复
回复一[捂脸笑][应援]
",六月寒良
116,在哪里都是霸道总裁[应援],朦胧的冰冷的冬天
117,我看到我们浅甜仙子了,慕白灬又双叒叕来了
118,看到男主，立马弃剧[微笑][微笑][微笑],墨淡于昔
119,看了男主一眼果断放弃！,呵呵佬
120,能不能别再找罗正演霸总了真的很不适合，害得我都没心思看了,浸染y花逝昧
121,我就问一句，你们真的不觉得这个男主，有点抱好看么[捂脸笑],tania塔尼亚
122,这剧男主就是变态吧，前三集的强势霸道，第四集突然毫无逻辑就变好了，后面就是死缠烂打了，关键是新人演员的演技有个习惯，表情都很夸张，来显示自己的演技，真的看下来的感受就是除了男主的颜，但是男主的三观不是一个正常人，要学韩剧的在乎却不想表现的朦胧感，就不要写的那么奇怪啊 前三集男主是变态的爱情，第四集以后180度转弯，中间的铺垫呢。其实可以学金秘书的么，工作的霸道，生活的小心意义，这是尊重人，不是女友就是你的工具可以为所欲为，还强吻强上，我真的服了，这个剧本的三观。,VINCEZHANG92
123,男二我喜欢,@CoCo@QQ
124,这男的照漫画里整得？,dama78🌟
125,"最近好几部片子里面都是姓顾的。古装现代都是一样
",静静魔茉莉22
126,顾译，你的一言一行，一举一动，都牵动着我的心,为她启
127,下饭剧又土又好看，中间爱而不得最好看[666][666][666]，周锐的背叛有点莫名其妙了，女配都进去了还打击报复[捂脸笑],戴草帽的汤姆猫喜欢我的小辛巴
128,明明男二是私生子，她妈是小三不知道哪里来的骨气[流汗][流汗][流汗],雪莱蒂
129,男主感觉下巴是方的，之前有几个这类型的他演的都没看，这个女主好喜欢，但是真就是硬头皮看的，咱要是个唱歌的咱好好唱好吧，咱不演戏了好不(･∀･),小鲁喂
130,罗正何德何能这么多漂亮女演员和他合作呀，什么背景呀，我看到他就出戏，刚想来看何瑞贤的，一看男主又是他,浅艺Ada
131,现在演员演戏都喜欢表现的很拽很拽的！有演技傲娇吗？拽的都不接地气了还能拍出啥好片,黑豆一切安好
132,罗正这个演员，没有让我失望,温和的曲调43
133,这个剧情怎么和看过的一个网剧一样？？不记得什么网剧了，也是乔秘书顾总[捂脸笑],哦哦哦哦哦哦莫哦⊙∀⊙！
134,没觉得哪里虐男主啊，那三年他跟女主不都挺爽的吗[微笑],爱奇艺用户12213
135,哈~~啦啦啦，罗正这次的霸总有点不一样,ℳ₯㎕.笑颜如花℡
136,怎么老演顾总啊？[大拇指][大拇指],040311🤨
137,罗正在偶像练习生里的状态最好，虽然成绩不太突出，但对他印象挺深刻，鼻子👃高高的好看，现在怎么这么瘦，脸上的胶原蛋白流失太快了。,hpwing88
138,家人们好看吗？,喜欢喝矿泉水的单于芷烟
139,土，女主演技很好，男主很难评，只能说好油腻，这年头为什么还有霸总啊[疑问]强制爱在古早言情漫画看看就好了,karecily_
140,罗正演愣子演的真挺好。 这部剧怎么这么可爱啊，导演和编剧都好棒,摘熊熊_
141,必须打分 乔净太符合我心目中的女主了 无论气质说话 姿态 啊啊啊啊啊太喜欢了[666][666],Gary宏峰酒业
142,这个比剧情有啥看头,超爱潜水的延陵嘉实
143,下巴好奇怪,132****3199_m1444
144,我也欣赏罗正，太有魅力了演技也好,无形的陌生人
145,很好看，很喜欢，演技也不错,单于芷萱の
146,我以为女主是安以轩，好像一模一样,那年腊梅花正开
147,比心老罗，这气场好强大,红云飘飘
148,这就拿下了？陈总不会私下打给客户确认吗 ？玩呢[捂脸笑],无敌小汤圆😄
149,不是吸血鬼吗，咋变成总裁了,婧祎起长歌
150,顾译好帅，我沦陷了，好带感,牛援婿奇缘
151,因为这个男演员我弃了多少剧,爱武术de南野仪芳
152,突然上线的吗？怎么一个评价都没有,予你一束光🎪
153,女主是谁,狙击美女小杨
154,说他帅的，什么眼神？看看那下巴,我心里都是杰哥
155,开局怎么给我一种金秘书的赶脚[捂脸笑],踩在影子上
156,预言一波：不是吧，感觉后面孩子掉了，然后男女主就又分开了，分开了之后发现什么都不能把他们分开，然后就又在一起了，还发现了女配和男配的阴谋，那爸爸要是没嘎的话，就会发现自己的错误，然后女配和男主的朋友在一起，男配入狱啥的,畋总
157,现在单纯的人活着真难,喜欢吃冰棍的谷利思敏
158,怎么什么电视都喜欢把主演门 姓氏取为：顾 [捂脸笑][捂脸笑],￼得知坦然，失之淡然
159,男主太帅啦[色],开心(∩_∩)3205
160,不喜欢女主角长相。。 没原因。。。,dolly_yip
161,看完这部戏后，我面色凝重，深深地低下头，默默的关掉电脑，起身打开冰箱，拿出一瓶伊利酸酸乳，紧紧地握在手里，细细的回忆着刚才的剧情，慢慢的走向窗前，外面的景色有些暗淡，就像我的心情一样，沉重。。。很沉重！渐渐的，外面灰蒙蒙的下起了小雨，为什么会这样？我的视线开始模糊了……不知道是我 流泪了、还是雨太大了！可能都有吧…… 我的心情更忧郁了，我再也无法抑制内心的情感！导演和编剧真的太侮辱观众智商啦！我缓缓的仰起头。。。对着窗外大喊了一声：这到底演的神马玩意啊？,郭＂冫氵
162,别管我了，高考完看看土霸总怎么了,荔枝山竹喵
163,女主是照哪个明星的样子整的吗？美是美，没有辨识度,～简 ～
164,男主医美了吗？怪怪的网红脸。,洛木土土
165,表示喜欢，罗正长了副总裁脸,2236367786
166,20集没结局？谁告诉我一声？如果是我就不看了,靖西哇
167,骑着鱼🐠的猫，罗正演的很好看[爱心],😍笑忘书不如无书
168,经典的让人惊叫不已呀，这种剧情就是要疯批一点才带感,abc梦幻
169,总裁专业户,倩女幽魂仙
170,这个跟骑着鱼的猫哪个好看,高兴好🍧
171,"觉得何瑞贤现代装比古装好看太多
",baoerzZ
172,罗正每一部戏都看过，超喜欢。,超爱吃冰棍的女神
173,罗正的戏每一部都要看[色],琳琳淋淋🍑
174,看到老罗的时候，我特别的激动,k新娘K
175,罗演员对角色的塑造和表达，更精彩呢,事务所无所谓
176,有一场戏是在我们小区门口的火锅串串拍的，男女主都见过真人,࿐ཉི༗࿆火乐༗ཉི࿐
177,给何瑞贤、罗正领衔主演心跳大声喝彩，赞一个再说了,Halleluyah🇨🇳
178,请问小说是什么？,dghjdrjkkkl
179,女主之前电视剧都驼背 这回气质上来啦。脸也精致了,怎么都重名😁
180,看了第一集感觉罗正这次的人设好渣啊  不过他有双向情感障碍 真的没有心  女主是为了男主的心脏跟男主在一起 把男主当替身了,Monody 02
181,超级好看啊，以前不觉得男主帅，感觉这个剧他真的把小说男主里面那种偏执霸道演出来了,江忍怀中人
182,罗正自信点真的蛮帅的,Tsing___
183,罗正这产量可以啊,哼哼唧唧2222
184,第一个是我 [色],黑天使-杰
185,这是什么小说改编的吗？,半声客
186,油头封面第一眼就反感,俊俊大哥
187,我不是故意的，正好卡住了[捂脸笑],爱丽428
188,第一次看罗正的剧没有一次性更完[捂脸笑][捂脸笑]以前他的剧都一次性更完的,Monody 02
189,男主好帅超喜欢看他的剧,小兰🍑
190,罗正这不就是总裁本人么,love新英鹏
191,罗正新剧作品开播开播了，远哥的嘉宾是片尾曲[大拇指][大拇指][大拇指][大拇指][应援][应援][应援][应援][666][666][666][666],（张倩）宝铮宝莹妈妈
192,罗正这个角色，让我太上头了,亮丽星之
193,刚刚从抖音过来，都是骂男主的和演员的，我来看看大嘴歌新剧,取个名称发评论
194,何瑞贤罗正上演甜虐反转大戏就是很吸引人呀。,你是我的小幸运435
195,偶感觉爱情剧心跳就是很给力，绝对的超级棒嘎,云开的时候
196,哈哈，感觉真是太疯狂了哈，喜欢女主这个轻欧美妆面,湖边一棵柳
197,完全给予何瑞贤、罗正领衔主演心跳充分肯定，果然很棒的。,甜儿甜儿🧀
198,这姐太美了,姜羡羡哦
199,肯定好看，大家冲吖！,゛味道
200,这鲶鱼嘴到出演霸总受不了,若若💯💯💯
201,真的是忍住前三集后面虐顾译那个过瘾啊,雪白小柠檬
202,罗霸总的剧，总是给人惊喜[色],云小乖😉🌟
203,看到罗正，感觉应该不错[呲牙][呲牙][呲牙],凌凌1234
204,很喜欢罗正主演的现代偶像剧,心*星*
205,女主真的很好看啊，而且跟安以轩气质有点像,大红袍 不是绿茶
