,0,1
0,哦，是叶世安呀,荠麦👄杨花
1,这女主长相显老，象大妈一样，不知道为什么能演女主角,蓝灵1202
2,这改的真人版，真的一言难尽,XXXYoungLion
3,啊啊啊啊我的两不疑阿呜呜呜感觉[流泪][大哭],辣死姐
4,徐钰人设不是这样的啊，她是爽朗调皮但识大体，她的理想就是保家卫国,超爱跨栏de仲孙清妍
5,家人们，从隔壁《长风渡》过来的，因为好像看到了叶世安[捂脸笑][捂脸笑]，希望好看吧，毕竟漫画我可是一篇不少地追呀[呲牙][呲牙][呲牙],李白遇上王维
6,动漫好看，过来看看不要让我失望呀[色],柔香梦境
7,没想到出电视剧了，不知道好不好看。,LDL=CHG！
8,这萧锦昀的扮演者是谁啊？为什么这么丑？,柔月星恒
9,导演，为什么不请王鹤棣和陈钰琪演,棉尾兔耳
10,气死个人，漫改改不好就不要改，别毁！！！选的都是什么人[微笑],a&prime;老鬼ゞ诚招合伙人
11,真人版真的不好看[大哭]第一集没有看完就不看了，好好看动漫漫画就好了，真人版大可不必,冬塞
12,我喜欢的动漫居然悄无声息翻拍了,某鱼开始啃菜
13,[微笑]我为什么会抱有一丝丝的幻想,用户48b032f3
14,说实话，真的是好难看啊，女主长得像个男人就算了，配音也像男人，演得那个辣眼睛啊，走了走了，看不下去,甜心巧克力兜
15,又再模仿庆余年！！！,天啊  起个名好难
16,请问一下怎么打分[微笑]我要评低分[微笑],我爱吃排骨你爱吃排骨吗
17,真辣眼睛[微笑],星光点缀
18,失望！男女选角不好看也就算了，连剧情也给改了，照着动画拍不好吗？我还是去追动画吧,糖果甜心喵🍡
19,真的不好看,叶缊祎
20,为什么要破坏我的恩爱两不疑啊  我不喜欢这个女主,马大勺子
21,男女主选角颜值一言难尽不说，剧情魔改，演技尴尬，依托答辩,土豆炖铁锅🥔
22,就四个字[捂脸笑]人丑剧烂[捂脸笑],殇ベ起床困难户
23,这是什么东西？这改的是什么？我的天，明明就是一部古言，好，给我改成穿越了。明明就是皇后和皇上，我的天，改的。这是什么东西啊，毁眼睛[微笑],南初.😙🤓
24,女主长得太路人了吧！而且演技好像也不好。太失望了，男主还可以挺帅的。,甘君💋
25,为什么…非得漫改剧，真的不好看[撇嘴][撇嘴][撇嘴],柳瞳溪
26,一看封面就知道是叶世安,祖国的老花朵🌺·
27,😹就……这和两不疑有关系吗？这什么,用户4d49f555
28,"
我为什么要看呢？
我是来看笑话的[微笑]",風月相知🍂
29,去看看女主和鹿晗的穿越火线挺好看的 女主适合都市剧,依然最爱小佳
30,喜欢动漫特意来看的真人版！除了名字差不多，剧情各方面完全不及动漫，主演更是不贴合角色，动漫女主俏皮可爱有胆识，这里除了任性、无脑、自以为是看不到优点，妆造也很随意，[微笑]浪费感情！一集都看不下去，还有一堆水军吹！,小白_qq6186
31,不是吧  我看过动漫 这就出了电视剧,七宝妈咪🌷
32,我的动漫被毁了,苏甜̶
33,这不就是灵魂互换吗，怎么还带穿越了,微微夏日里的一缕阳光
34,我来看看改成什么样子了[微笑],逗二，
35,我心目中的徐钰是卿卿日常里的丹川郡主。,kgjtqj
36,且试天下,程诺诺诺
37,换个女主就好了,科语科技
38,期待期待长风度 ，就是希望男女主不要因戏生情，我知道与我无关，只不过单纯不想再看到知否情景再现，最后他们分开时候我们也跟着心酸难受，只要两个人想好了 我们也支持[爱心],机敏的大门👑
39,来看男主的，这剧好看吗,流光夜幕
40,这女的不是综艺节目中一直耍大牌的吗？,A知心
41,咋选的女主，浪费了,用户9132880d
42,气死了 什么鬼东西啊,喜欢打乒乓球的百里运盛
43,真真真想法一样！！！高中追到工作，唯一花钱看的漫画，这选角！！！我不同意！！！不针对明星，只针对漫画！！！哭死,夜神圈圈💋
44,这城主夫人是带资进组的吗,用户不在线💖
45,是谁打的五分！都去给我看动漫再来评！！,蛋卷不吃蛋卷
46,姐妹们都给我去看大王不容易！老早的剧了！白鹿的！那个可比这个自然多了！！！这什么选角啊这是[微笑],揣着锅包肉环游世界🎐
47,这什么东西啊，真的是两不疑真人版吗？？？,Li佳瑶
48,什么鬼啊，为什么要毁我动漫,几一昂昂
49,这男主真的一言难尽[捂脸笑][捂脸笑],   爱不如久伴
50,这评价蹭蹭涨  什么时候播啊,Pluto⛸
51,好嘛，皇帝和皇后改成了城主和将军之女。这职位掉的真多。,苍神夜SKD
52,宋颜菲不适合演古装，她脸型不合适古装造型，演现代剧造型很美，可演古装剧那个脸显的好大[捂脸笑],明月清心  （淡网)
53,心脏骤停[应援],地渍
54,这演的啥呀[捂脸笑],L.Happy……
55,"为啥是宋妍霏来演啊  瞬间不想看了  
",淡淡_qq1093
56,叶世安跑到这里来了[微笑],喜欢看所有好看的人和风景
57,终于看到正常评论了，水军好多。[捂脸笑][捂脸笑]因为喜欢漫画来看真人，结果真的差强人意，服化道、选角、剧本都有很多问题。一整集都看不下去，女主飒爽的性格看不到，只看到冲动、任性、无脑！男主还没看到啥，但是看不下去了……。[微笑],小白_qq6186
58,看弹幕说漫改重在一个改字，可是改也得适当的改呀，哪里有改得面目全非的改的,風月相知🍂
59,鼻孔朝天 不要侮辱我们的眼睛  想看个古装剧 太委屈了 还是转身吧[吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐]受不了辣眼睛,萌虎虎💖
60,这几个妃子演得好浮夸呀,Viola鸭
61,看了长月烬明，那特效那颜值和演技一绝，一口气6集追完[色][色][色],小吴汐
62,这居然拍真人版了,谁愿陪我颠簸琉璃
63,这部剧真的是荒唐[捂脸笑]我没有看过什么动漫。但是就是侮辱我的智商。啥夫人能混进去上朝？还没人认出来？你旁边的同桌换人了你不知道呗？[捂脸笑],莫慌有我在你怕什么
64,害我之前还小小期待了一下，毕竟动画挺好看的！这改的什么玩意？选角也不行，演技也不行,糖果甜心喵🍡
65,会不会还是动漫的好一些,前世不欠，今生不见⭐
66,这么好的IP改成啥玩意了,爱喝龙井的公西寻绿
67,看不下去，动漫看了动漫，真人版看不下去[捂脸笑],爱玩网球の东方从霜
68,我还以为是叶世安和叶韵 吓死我了,爱喝汽水de公孟安国
69,毁了我心中的萧锦昀啊。 而且我看没有国师呢,沪白😄
70,女主非常无脑 本来后宫干政就是大忌 皇后咋还能变成任性公主的性格？？漫画里是聪明英勇 不拘小节但大气端庄得体啊啊！！！！,仓鼠大表妹丷
71,现在拍电视剧 选演员这么随意了吗….,性感洋柿子
72,我的天呐，这是什么东西啊？,南初.😙🤓
73,改成真人了，怎么说呢，一言难尽啊[捂脸笑],Σ、Rabbit ear male god
74,那么好的动漫，被改成什么样,把电话就是你
75,重拍重拍。让长月烬明的剧组重拍。,xtzz☔
76,女主成功的组阻止了我看这部剧的欲望[捂脸笑],姑凉蓝瘦
77,我的两不疑啊[捂脸笑],白桃西瓜
78,真是什么人都能演了,用户86950386
79,虽然翻拍不反感，但是这男主感觉不搭这人设[狗头][流汗],得不到的辣椒面
80,这啥时候改成电视剧了？漫画是真好看,璇璇沅菱
81,[应援][应援][应援][应援]啥时候可以上线[色][色],田埂上的小奶娃
82,还有类似互换但是比这部剧好看的么,吴露🉑桃🥰
83,演员不太贴合角色，还是动漫更好看,心跳iiiiii
84,不是说演员不好看只是不贴角而且不惊艳,森林格格巫－w
85,古装剧没见过这么油腻的大男主[捂脸笑][捂脸笑][捂脸笑]男女主真的不合适，配角阵容倒是挺强大很多老戏骨白瞎了[捂脸笑],Ann_321
86,依托答辩，这男主脸越看越别扭，尤其是下巴感觉像假的一样，就看了一点就看不下去了，剧情啥的跟漫画完全没得比，按照那个漫画那个故事情节开始不好吗？编剧导演偏要秀自己的能力，改的面目全非，依托答辩都是高估这部剧了。,夜
87,还是动漫版的好看呀,想念你的好的🔥😅
88,漫改就漫改，还非得弄这么个开头[捂脸笑],不费力气的兜兜
89,这女主贴上假胡子就妥妥的是个男人啊[捂脸笑][捂脸笑][捂脸笑],好运年年888
90,真的一言难尽，女主不太适合古装[捂脸笑],DEIUSIO
91,这剧怎么能和长月烬明比[呲牙],katterLu
92,这个女的一言难尽啊 [吐],萌虎虎💖
93,真的毁的一塌糊涂,油焖蜘蛛钢铁侠😗
94,看了一集好像还不错,晚桥上的风
95,动漫很好看,辰光之美
96,哇塞，几年前喜欢看的漫画拍电视剧了啊，后来因为各种续费没接着看，这下一定全刷完[色][应援][应援][应援],玲骨98
97,一样不知道和动画有没有可比性[呲牙],125435972
98,我真的会生气😠这合适吗？不是什么都适合拍真人！,半糖☕️
99,什么电视剧演的,yy3540163
100,改的好多啊,北℡辞
101,这女生演得一点将门之女的感觉都没有，更何况我本来就讨厌这个女的，单纯就是傻气极反笑，真棒[微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑],YY芜湖💞
102,进来不为别的，就看有没有吐槽到我心上的[微笑]吐槽就点赞[微笑],吱吱baby🧀
103,"就是说，一言难尽
",喜欢吃好多好吃的拉面
104,不知道动画版是怎样的，反正这个不好看,清愁2018
105,第一集就吐槽女主角。你自己是多年轻呀！,刘记强28
106,我以为是一次性更新的呢,雪夜星空等你到来
107,啊不是，我真的不理解，如果说皇后拿反圣旨是因为紧张，一点都看不出来她在紧张。如果因为她没有文化，但是她是有勇有谋的将门之女[困]真的栓Q,早睡:)
108,城主？这身份降了多少,白虎审判者
109,还是动漫好看，女主聪明又可爱,一起追剧吧^_^
110,完了，看评论我就没有看剧的欲望了，不至于这么差吧？？？,影子对面的猪
111,天啊 我从漫画来的 男女主颜值直接把我雷到了。。。这剧穿越了还！？毁了 女主霸气英武也没了omg,大眼仔ET
112,娱乐圈是没有女明星了吗？怎么请宋妍霏啊？,易夫人lgr
113,漫版女主人家是英气这个叫老气吗？[微笑]毁剧！，就是喜欢漫画才来勉强瞅一眼，不然谁来看？[微笑],宝贝贝䣷
114,我刚刷到 据说拍毁了[捂脸笑] 我花钱看的漫画屈指可数 倒是要看看把我从开始就开始追的漫画拍成啥样,攸梦22
115,一看是宋妍霏一点看的想法都没了,无私的尉迟丽容
116,这是什么鬼，好难看啊！他把剧情改了就算了，男女主还那么一言难尽,Pluto噢
117,真人版真不如我动漫版。看一集都不想看。动漫版两季都看完了一个多月。没想到这时候刷到电视剧版，还以为是同名，原来就是两不疑真人版而已,☂ 雨落弦断᭄ꦿ♀
118,宋妍霏的剧基本看不下去[捂脸笑],超爱玩皮化艇の宰父听云
119,大概也许改悔了呢,小橙橙啊a
120,我才知道原来长得这么难k的女z[捂脸笑],PEPSI218
121,宋完全毁了这部剧，这部小说,151****9571_m1584
122,[捂脸笑][捂脸笑][捂脸笑]剧荒来的，来了之后还是荒荒[捂脸笑][捂脸笑][捂脸笑]，能不能换个好点的yy[捂脸笑][捂脸笑][捂脸笑]。,PEPSI218
123,新人小白。想问哪里可以开原版的,爱喝可乐de鲜于银河
124,太差了！看到女主就得弃剧,悦悦520520
125,毁我动漫呀[捂脸笑][捂脸笑][捂脸笑],sui小然
126,漫画是真的很好看哦,一只乌鸦喝水
127,连看了8集 感觉不错 有意思[呲牙],怎么都重名😁
128,真是无语这都要魔改,超爱吃零食の独孤振海
129,毁我漫画[微笑],syx...💖
130,男主是不是杨洋演的且试天下里面那个坏的人,人鱼眼泪的眼泪
131,什么玩意？ 开局特工龙之戒穿越呢？,何先森……
132,我以为我想错了，结果真的是动漫两不疑拍真人版了[捂脸笑],家园希格拉
133,动漫和真人的肯定会不是还原的很到位可是你至于演成这样吗又没有让你100%的还原给我演成这样了你真的在毁[微笑],玘心
134,好烦，怎么选角的，有没有审美啊,Z.Hero.
135,这剧一言难尽啊，看10分钟顶天了。。。,Song_O0O
136,改的剧情也好烂，还是原本的漫画好看……怎么又是漫画又是城主的……原本的不是大宋吗……,媛跑天团
137,这开场……是“穿越剧”？,雪夜^.^梅影
138,怎么说呢 不要求一模一样 魔改还是还原心知肚明,柠渃
139,我在犹豫要不要看，还是再等等，看完动漫[捂脸笑],^O^猫 @南南
140,都说不好看，居然还有7.2的评分！？？,可可爱爱的睡大觉
141,还是动漫好看，电视剧简直了,莫曼茜
142,没看过动漫，刷短视频过来的,人生 如戏too
143,支持动漫，真人没啥感觉了,滴答的水
144,虽然又剧荒了，看了女主还是退吧[捂脸笑],想不出来叫什么9
145,啊，改成电视剧了,菲菲不是狒狒🎪
146,看到二十多集才发现每集都有小剧场[捂脸笑][捂脸笑][捂脸笑]又赶紧回来看后面结尾的现代剧场[应援][应援][应援][应援][应援],莋茧洎缚と後
147,为什么这么多人觉得不好看，我觉得还可以呀[应援],huying666
148,看到女主角就毁了一部剧,甜甜的女生
149,这个女的是不是请杨迪吃饭的那个,黑夜里的黑眼眸
150,女主实在看不下去，是我眼睛近视了吗？,寿司女孩🌻(๑• . •๑)
151,我的妈妈呀...这么烂的剧也能上架,一口蛋黄囌
152,我也是来吐槽的，看看到底有多离谱呀,Yanon🎉
153,动画片很好看，才来看剧，女主好像不适合这个古装造型,壹壹敦敦
154,"这个徐钰真的一点都不好看啊[捂脸笑][捂脸笑][捂脸笑]
我刚看完动画片来的",仙女菀菀🎁
155,宋妍霏的表演充满了感性和智慧，非常喜欢里面的剧情,流氓兔耍流氓e
156,6啊，到底是谁一直在删我评论[微笑]，回了4遍，“我动漫漫画都看过，这剧除了改了下称呼，加了段开头，剧情没改过”全被删了,晚桥上的风
