,0,1
0,小说都抄[大拇指][呲牙][呲牙]，也不知道什么看点[色][色][爱心],能胜任の佩特拉弘达
1,无语，连天官都抄[微笑],真－不健全
2,记得我小的时候，4399特别的火，那个时候就喜欢去同学朋友家一起用台式机玩森林冰火人，玩得生气还吵架，然后学校特别红火那种小磁铁小卡片，每天弹来弹去的特别有意思，那个年代没有手机但是每天都过得很开心，是现在想不到也回不去的纯粹日子。,肥仔小新.
3,电视剧《我们的日子》谢美琪饰杨静茹,可爱的小天使17
4,大雪花出来之后，快乐也消失了。剧情变的简直不要太烂。,天不黑烟花不美
5,#一句话告别我们的日子#看了最后两集，眼泪决堤。宋春丽老师的表演很自然，自然到真的看不出一点表演痕迹，我愿意相信这世界上，有这样一个无私奉献着的姥姥存在过。,是张不是脏🌈
6,#我们的日子剧评征集#我们的日子细节做得真到位啊，演技也都全员在线，期待李小冉，强烈推荐大家看，真的很好看，也可以和父母一起观看，剧荒的朋友，冲冲冲冲[应援][应援],🍍菠萝味的凤梨.
7,从开始看到最后，眼睛都快哭瞎了，不得奖对不住我的眼泪了,李正午_qq1344
8,“仙门百家对我喊打喊杀，对我的东西倒是照用不误”[微笑],柒星言💫
9,可惜了这部剧，小时候的雪花把你拉人剧情，长大后的雪花瞬间把你拉出剧,猫咪咕咪咕爱上老鼠
10,支持宋春丽，不愧是戏骨，演啥像啥[大拇指][大拇指][大拇指],爱吃豆包de东野弘图
11,大雪花出来之后，快乐也消失了。剧情变的简直不要太烂。,小小雪琪琪
12,我觉得这剧演员演的太平淡了，反正在女人生孩子的时候很难有这么平静地。,波宝🌸
13,#谈谈属于你的那个年代#作为00后的我们那个年代，是改革开放新时期、经济可持续发展的时代，我刚出生时，还有计划生育呢。网络迅速发展，我们面对的也越来越多，同时在教育上，我们的压力也越来越大。当然，也有童年的乐趣，其中大头儿子小头爸爸，喜羊羊与灰头狼，熊出没等动漫是我们这代人共同的回忆，前奏一响，DNA就动了。,左耳右东😃
14,现在电视剧都是小说改变而来的，不过还是不错的,懒公子⛄
15,#一句话告别我们的日子#他们一路走来，经历过风雨，也尝过甜蜜的滋味。他们青春无畏，寻求守护，与自己和解，在挫折中成长,左耳右东😃
16,第一集，他们这个服化道真的都挺用心的 ，而且也比较符合生活， 好真实啊,宅宅念
17,烂尾了，不知道之后编剧怎么想的。挺好的电视剧拍的瞎了,at粑粑晚安了
18,李小冉很漂亮，李乃文演技很自然，几个老戏骨演的也很好,超爱吃烤面包的公伯柔婉
19,目前是王宪平的大男子主义让我很心烦，但我觉得后面会改正的。生七个那里，我刚开始觉得有点无语了，但一想那时也挺正常的，而且王宪平后面说心疼媳妇，不生了，去结扎后我又觉得可以了,猫小姐有一只大猫
20,看了后悔，高开低走，全剧可分为三段，第一段父母爱情，第二段请回答1988，第三段郭敬明,"""葫芦岛吴奇隆"
21,李小冉很漂亮，李乃文演技很自然，几个老戏骨演的也很好,爱赛跑の公祖经纬
22,#谈谈属于你的那个年代#00后⽣活多姿多彩，有的早早结婚带娃，有的成为企业家功成名就，有的体味社会艰⾟，有的求学奔⾛东西，有的为偶像天天打call。,🍍菠萝味的凤梨.
23,这个房子好像（人世间）周秉昆家的,群子蓉儿
