,0,1
0,来了，很喜欢男女主[应援][应援][应援][应援],a草莓汁🌸
1,看完《对我而言危险的他》的男主再看其他都不是很帅[捂脸笑]有没有推荐帅的男主,爱懒床の猫咪520
2,男二是长风渡的范玉？？？？还挺帅的,小薛要努力啦
3,我的天，就喜欢这种男女主颜值在线，有一次性更完的剧[色][色][色][爱心],A细雨纷飞
4,副会长为何那样，金秘书为何那样,のx8510
5,这种剧看多了会不会影响智商？,最爱小鞠鞠
6,这是不是范玉啊,用户88b8d96d
7,男主好眼熟，演过什么剧来着,马康勇
8,为什么都开始演起了小短剧😂小短剧是成名路上是每个男演员必经之路,淑女路线我不走88
9,对呀，同道中人啊，都是看完长风渡剧荒了吧,喜欢甜品的单于慕希
10,看评论刷泡椒，泡椒是谁啊求告知[爱心],喜欢吃肉夹馍の刘傅蔓蔓
11,请问历来霸总除了晕红，还有什么奇奇怪怪的病没有，让我涨涨姿势！！,🎀Miya💋
12,不喜欢男儿二,小椰子呀丶
13,翻版《金秘书为何那样》,吃饱晒太阳☀
14,都有哪些傻子才看这种剧啊,135****5835_m1221
15,我来看泡椒的[色],喜欢跳远的闾丘芷琪
16,我就是刚看完金秘书，真的太好看了，齁甜，又美又帅,jyylc
17,男主在《满满喜欢你》中饰演男二，好像叫展越。在《陈情令》中也有饰演。,（风一样的女人）
18,为什么看不了全屏,mango  coco小雨  sago
19,一次性更完太爽了[应援],黄玫瑰＆🌹
20,战歌好像张予曦丁禹兮韫色正浓的主题曲了，,三生友幸宋三川
21,这种剧全一个套路，适合低智商小女生看！,⭐ 星空
22,为什么我看的好累呢,雷神引擎
23,看过狂飙后，这种演技的剧实在看不下去了[捂脸笑],花鸿太¹⁶¹³¹⁹-จุ๊บ
24,都是小鲜肉[应援],ai秋秋💘
25,真的很喜欢泡椒[色][色],Aylanliuo
26,现在看剧，先看演员，看剧情，看评论，最后再决定看或不看，有一样的嘛，举个小手看看吧！,帅哥是渣男！
27,哪里漂亮？,12345上山打老虎abc
28,模仿韩国 金秘书？,樹西州
29,爱奇艺网剧直接出全集啊[大拇指][大拇指],帅哥是渣男！
30,抄都不会抄！,曹鑫_qq2177
31,男主演过很多男二，总算熬到男一了[666],科语科技
32,男女主颜值可以，不需要有脑，有意思就行了[大拇指],只爱可乐的鸡翅
33,什么玩意尴尬死了,b两碗抄手x
34,不能看红色就别出门了，红绿灯不看死的快。,37008747
35,想问一下UU们这个好看吗，刚看完狂飙剧荒中[愉快],八倍浓缩咖啡
36,女主的手机铃声是什么,你的张七七🎈
37,为什么这一幕跟那个《骑着鱼的猫》里面一样，男主见血就晕，晕之前回忆的就是父母的车祸现场呢！,朱宝贝乖
38,有没有好看的网剧，求推荐[捂脸笑][捂脸笑],星滨💞
39,金秘书为何那样,迷 迭Wke
40,女主角不够漂亮[捂脸笑],psh13471792322
41,金秘书为何那样？,偏執这份情
42,这个剧真的太好看了，太期待女主男主你们俩个人二搭三搭，真的太喜欢女主男主你们俩个人了好吗，爱了爱了👍👍👍🌹🌹🌹❤️❤️❤️🙏🙏🙏🎂🎂🎂💐💐💐🎁🎁🎁🥂🥂🥂㊗️㊗️㊗️👏👏👏,zbzy123
43,这部剧简直太好看了，太甜了，我的嘴角已经笑到达太阳穴了,白衬衫的初恋
44,集数太少只有18集，等了几个月[捂脸笑],维维达
45,原来泡椒参演了这部剧[色][色],紫晶眼泪@
46,麻了麻了，好爱张沐兮，谁会不喜欢姐姐呢，这两个人是怎么做到又甜又好笑的,刘本秀秀秀秀
47,奈何boss又如何 的男二啊，好帅[色],追溯那个
48,泡椒在第几集,你听见了吗🐾
49,仿韩剧金秘书为何那样？,冬天的冬✌
50,"不愧是爱奇艺又一部开播即全集[应援][应援]
还有还有，主题曲不错哦！！！[应援][应援]",.阴晴只在一秒间-
51,换个男主就好了,哦呦噢噢噢哦哦💘
52,看了一会，看不下去了,不可不畏雨筹谋
53,这霸总好像还参演了什么剧，奈何boss还是什么？陈情令？？太眼熟了,🎀Miya💋
54,什么时候可以出第二季,宝贝๓̶
55,挺好看的，刘胤君演技不错，哪个男人不喜欢呢,吕吕吕小萌
56,泡椒泡椒泡椒[应援],四点托一木
57,前几集还挺上头的，磕死我了,一朵西兰花A
58,这种双倍甜蜜的感觉谁懂，段水流的一些金句,PolarisbaiA
59,土嗨甜就是最下饭的,潇湘妃子0106
60,为啥又翻拍韩剧啊，搞不明白[捂脸笑],额机构聆听你
61,太别扭了，霸总心目中就明道演得顺眼点，其他没这气质，尴尬的一比,最爱小鞠鞠
62,"金秘书为何那样    翻拍的
",天山血宝藏
63,那个，女主角也太像杨超越,Ke伊Yi琛
64,不好看人牛啊不好看,记忆摇晃着昨天的忧郁
65,为什么演员表介绍里面没有泡椒[得意][得意][疑问],"小鹿！
璐儿"
66,谁不想拥有一个张沐兮大大这样的女朋友呢，值得看起来,爱看花花的草草
67,谁不想拥有一个张沐兮大大这样的女朋友呢，太受欢迎了吧,曾经的superstar
68,男主太帅了[应援],夏予恋鑫♡
69,又美又帅，又御又可爱的，简直绝了，编剧写的剧情人物有血有肉,蜜桃加气泡
70,节奏特别好演技和台词都在线，这部剧已经完成得很好了,阿武睡不着
71,翻盘韩剧吧？我记得好像有一部,强嫣然
72,谁会拒绝甜甜的求婚呢，男主女互动的片段真的又好笑又甜,请叫我肖夫人A
73,刘胤君演愣子演的真挺好。 这部剧怎么这么可爱啊，演员都很在线,爱自己更爱购物
74,男女主颜值好看，VIP一次性更完，只要差不多剧情一定追，肯定差不了哪儿去，祝爆红[色][呲牙][大拇指],喜马拉雅 木
75,张沐兮好几个小动作！我都觉得还挺好的，太期待剧情了,xddiano
76,剧里的年轻演员们都表现的不错，这两个人是怎么做到又甜又好笑的,狂小柴
77,提前播出[应援]单柔丝[色],1昂阳ooo
78,场景造型什么的都能感觉到用心，继续散发魅力吧,小小沙漏A
79,我也有恋爱的冲动了，我的老板为何那样 看的我姨母笑都出来了,毛毛的下午茶A
80,当演员真好，钱多，还可以和那么多女生接吻[呲牙],皓宝儿😜☺
81,刘胤君台词好厉害啊 演的也不错，怎么那么可爱有趣呢,你才小可爱A
82,这部剧太符合张沐兮的气质了呢，细腻之处足见导演和演员的用心,常驻火星的火星君
83,这剧真尴尬啊,揽low
84,张沐兮又有演技又有美貌，我的老板为何那样 看的我姨母笑都出来了,众生膜拜永久
85,谁不想拥有一个张沐兮大大这样的女朋友呢，场景造型什么的都能感觉到用心,爱滑雪的猫
86,来看泡椒老婆啦[色],都稀碎
87,人物的台词和剧情也不错，期待后期的成长，这是什么神仙恋情,努力维持人形的香菇
88,看看危险的他，骑着鱼的猫包括这个等等，想要当霸总，小时候必遭车祸[捂脸笑][捂脸笑][捂脸笑],吼昔
89,有朋友知道弹幕开关在那里吗？,我炒甜的～
90,泡椒再哪里,懒大王あ
91,最后怎么样了,曼宁～心妍（冷漠）
92,主题曲听起来很有感觉，很贴剧,用户68126a94
93,金秘书为什么这样,爱优说电影
94,太搞笑了,爱看电视的怪兽
95,就喜欢这样一次性到大结局的 又有电视剧追了,余生再见Isabella
96,挺好看的[色],"狮子座
狮子座"
97,[应援][应援][应援]泡椒泡椒泡椒,✨现女友i✨
98,这电视剧真好看啊！看得出团队用心了！,高女士112233
99,讲真这部可以，怎么那么可爱有趣呢,弹钢琴的小女孩A
100,张沐兮太鲨我了，怎么会这么御，这剧真上头啊,单身狗的倔强A
101,提前啦真不错啊,yyyyyyDexter
102,谁会拒绝甜甜的求婚呢，特别期待后面的剧情,何梦小白白白
103,节奏把握的好，怎么那么可爱有趣呢,喜提新晋墙头
104,这是翻拍同名韩剧吧？,旧---忆
105,前几集还挺上头的，小甜剧就该这样,精致的不愿揭穿
106,不拖沓的恋爱剧少见了，怎么那么可爱有趣呢,五块钱的抄手
107,还是韩国那个好看,呵呵的卡
108,谁会拒绝甜甜的求婚呢，电视剧还是挺好看的,短野原美绪A
109,美女帅哥好般配，这简直就是今日份快乐源泉,landcruiseA
110,演技在线颜值在线，整部剧有种破碎的美感,鹿耳甜心_33
111,前几集还挺上头的，真的是非常的甜啊,怒罗为门
112,这个机器人我也有[爱心][爱心][大拇指][大拇指][大拇指][大拇指][拍手][拍手][拍手][拍手][666][666][666][666][笑哭][笑哭][笑哭][笑哭][应援][应援][应援][应援][爱心][爱心],喜欢喝白酒de哥舒鸿禧
113,这更新速度可以的[应援][应援],@Y14💞
114,龙马飞甲,A冰淇淋 
115,看封面有范玉那小子,💗O哈哈哈哈哈
116,好会演啊，男主车子里面都会红色都座椅还说看见红色哈哈哈,思萌🐣
117,这里面有范玉,傻子影视
118,这设定很有爱啊,爱吃提拉米苏的小博
119,来看泡椒的[色],白桃྅
120,"还不错哦
",爱吃提拉米苏的小博
121,爱了爱了[大拇指][大拇指][大拇指][玫瑰花][玫瑰花][玫瑰花][爱心][爱心][爱心][666][666][666][拍手][拍手][拍手][应援][应援][应援],zbzy123
122,泡椒是演的谁[捂脸笑],小欣饱🍧
123,为什么只有18集，应该更多一点,a鹿和晗
124,小狮子不重要，能治病才是难以置信。还好，不落俗套。,过尽千帆2020
125,看泡椒看泡椒！,嘦ོ姕ꦿ℘
126,晕红又晕nai[色][捂脸笑],87怀念过去
127,"最食人间烟火
",喜欢吃甜橙de南宫良平
128,为啥才18集不是24集吗？[呲牙],追起来🎂
129,为什么晕血老是车祸,艾启乙会员
130,"怎么觉得和某韩剧很像
也是差不多的名字
",135*****438_bd3306
131,好看男主帅气女主漂亮啊[大拇指][大拇指][大拇指][大拇指],刘要灵
132,触手可及,用户4b5015e4
133,电视剧起名字这麽随意吗,这颗
134,吃瓜少女李颂慈，职场小灵通上线啦[应援],徐以伟c
135,总裁气场好大呀,想不出来烦
136,张沐兮集美丽帅气御姐于一身了，稍有的不无脑的恋爱剧,睡个觉都是爱你的形状
137,太喜欢这种电视了 一下更完,没有心动ᵇᵒʸ.🌼
138,张沐兮集美丽帅气御姐于一身了，马上给我结婚,坚持不下去就算了吧
139,真的挺不错刘胤君电视剧非常好，主人公表演自然到位,肉肉肉我爱吃肉
140,又是一部下饭剧，我的电子榨菜,最温暖是你的笑
141,刘胤君电视剧真是非常的棒，大家可以去看看，真的是非常的甜啊,外卖被偷的小可怜
142,表白也太浪漫了吧，从主演到小配角演技都很不错,小怪兽喜欢奥特曼A
143,导演有点儿会啊，氛围感拿捏,匿名用户
144,我已经大概能够想象到后面的剧情发展能够有多甜了，开始期待后面的剧情了,一杯甜甜的蜜语奶油
145,刘胤君电视剧真是非常的棒，大家可以去看看，认可度还是很高,小仙女不怕
146,家人们 真香了 太好看了[色][应援]跟金秘书为何那样一点也不一样 连夜刷完了 全员美女帅哥[色] 我承认我之前喊的太大声了,虞日棣增👨‍👩‍👧‍👦
147,在一部小甜剧里算是比较有心的了，这碗糖我先干为敬,可爱的米妮A
148,就喜欢一次性全集[大拇指],。。。。😊AlexandeMia
149,女主这三观可以啊,潇湘妃子0106
150,绝了。[应援][应援]男主一碰红色就倒了！[呲牙][呲牙],小凇孑
