,0,1
0,王鹤棣不是很火吗 怎么这部剧热度好低好低啊,O啦de胖胖O
1,啥时候开播的都不知道[捂脸笑][捂脸笑][捂脸笑][捂脸笑]才发现，这热度也太低了吧,东方大强哥🏖
2,好多人问为什么要改名字，其实我感觉是官方想给单纯喜欢西南联大历史的人一些自留地，剧集永远只是依托历史的二次创作，而真正的西南联大应该属于历史本身。战火中的青春也很好，他们的战火青春，我们的和平年代。,白月光与朱砂痣💜🆔
3,还以为没播呢[捂脸笑][捂脸笑][捂脸笑][捂脸笑]怎么都结束了,丶野猫九月
4,[捂脸笑]还以为没上映呢…这都播完了啊,胖大海泡可乐
5,有人比我更晚知道这个剧播了吗[捂脸笑],宇日俱曾生八个双胞胎
6,看了预告觉得真的太燃了，致敬那个年代，致敬战火中的青春，致敬那段艰难又辉煌的日子！！,是个猪咪kk🐱
7,什么时候啊我丢怎么没热度,云隰公子
8,历史老师看了 还推荐我们来看 说很多语句很标准 都是很准确的历史名词,小劉不是劉總
9,还以为没播[捂脸笑][捂脸笑]都播完了才知道改名字了,Verona😎
10,有没有诀人们啊[应援][应援],A_95A9
11,真真不是很喜欢看战争的，为了棣棣冲了,：无味
12,打开这部剧之前，我真的没想到它能怎么深刻，男女主的爱情戏是变少了，但这部剧带给我的震撼没有少，我很喜欢里面年轻一代演员们那种意气风发，我也很难忘记闻一多等角色带给我的无限感悟，他们给我一种靠信仰活着的感觉，我一开始觉得不真实，后来我又觉得无比的真实，在那个战火纷飞国破家亡的年代，如果没有信仰，又如何坚持走下去呢，影视作品或许是加大了对他们情怀的渲染，但我相信那个年代的人一定是这般闪耀着信仰的光，一定是这般纯粹的爱着我们的祖国。,H逅D
13,什么时候播的啊啊啊啊啊啊等了好久！还是在抖音护心的评论区知道开播了，赶来一看，好家伙直接大结局了，藏得这么严实，首页一次都没给我推过，真行啊！,药药的小屁猪
14,有谁和我一样是来看王鹤棣的，举小手吧！,奔跑在孤傲的路上😚😚
15,他播的时候什么我都不知道啊。[捂脸笑][捂脸笑][捂脸笑]宣传做这么少的吗？[捂脸笑][捂脸笑][捂脸笑],欣鑫馨💖
16,苍兰诀浮图缘今日宜加油理智派生活桃花坞你好星期六元气满满的哥哥 密室 奔跑都看完了，现在来看战火，还差将夜遇龙和流星花园，目标全部刷完,美女.🍰😄829
17,看完苍兰诀看浮图缘，再接着看战火中的青春[应援],嗯嘻嘻嘻哈哈好🍭
18,东方青苍真的牛，白马帅是真的帅，程嘉树是真的爱国！[应援][应援],奔跑在孤傲的路上😚😚
19,才知道这剧播[捂脸笑],♡马呱呱
20,他为什么接戏这么频繁啊,宇智波！斑
21,奔着男主来的我家的棣。为什么喜欢不起来女主呢？,Z竹竹竹竹Z
22,刚看完江苏卫视的又来看第二遍的王鹤棣程嘉树，放心我不会路透，你们慢慢看[捂脸笑][捂脸笑][捂脸笑],凤凰涅槃2
23,唉，又是一部脱熟人现实的剧，衣服太干净，脸太干净，看了就没意思……拍现实一点行不行？走点心行不行？用心拍行不行？去考证一下行不行？………………………………………………,客-评
24,毕竟是演员，没有信仰就是没有灵魂，徒有其表,霜华夜阑
25,可惜了故事的本质[捂脸笑][捂脸笑][捂脸笑]为了演而演,wahaha101
26,西南联大，一个特殊年代出现的一所特殊学校，那一代的文人真的是铁骨铮铮不输于战场上的战士。,mllyzb
27,无意间翻到[捂脸笑]怎么回事，一点水花都没,UA花🌸
28,暂停还能看王鹤棣上汽大众新途岳品牌广告，很不错，第一次这么喜欢看广告。,BunnyDiDi
29,#战火中的青春观后感#程嘉树他们每一个人都在战火中努力的成长，办夜校可以让更多的人学到知识，夜校就是那个时代最真实的产物。这部剧让我们体现了怎么用知识救国？,j路过
30,啊啊啊原来我爷爷也逃不过被太爷劝学哈哈哈,白月光与朱砂痣💜🆔
31,为什么没热度？？？,太美的承诺因为太年轻℡
32,男女主不行,☞猫咪，没有了鱼☜
33,"好剧，节奏感强，台词经典，演技一流，故事感人的泪点很多。希望更多人来看剧，来了解这段历史，来重温高尚的家国情怀，来触摸曾经那些闪光的伟大灵魂…[大拇指][大拇指][大拇指][爱心][爱心][爱心]
感谢导演，剧组全体人员辛苦了，致敬！",雅荷的天使
34,呜呜呜终于等到了，程嘉树！林华珺！预告就看了好多遍，真的很有电影的质感！！,是个猪咪kk🐱
35,"本次#战火中的青春观后感#话题活动圆满结束啦！按照互动数（点赞+回复）排名如下，恭喜以下用户抱走我们的奖品！

互动量排名前10位的用户将会获得爱奇艺黄金VIP月卡：
1.	傻妮儿爸爸
2.	潺潺流水😗
3.	帕帕棣
4.	十二月的桔梗
5.	小呆桃Victoria
6.	奶油泡芙.....
7.	见笑啦🥰
8.	臣花
9.	喜欢白宇的小宇宙
10.	认真追剧ing🍧

领奖流程：私聊官方账号“评论小桃君”发送“领取奖品”即可领取。奖品将在7个工作日内陆续发放，请大家耐心等待。
❗注意：7天内未主动联系“评论小桃君”领取奖励，则视为放弃哦！

谢谢大家支持，希望大家能在这里收获开心！常来互动#战火中的青春观后感#",评论小桃君
36,这部剧讲的与初中历史一样 喜欢王鹤棣[应援][应援][应援][应援][应援],我love 棣
37,棣棣也在追吧[呲牙] 20岁的演员王鹤棣很好[色]以后会更好[应援],599公共狼
38,看微博上说宗璞先生为这部剧的主题曲命名，所以这部剧有没有像宗璞《野葫芦引》那样风骨的角色呀？如果能展现出一点精气神就想追剧了,朝曛
39,梅校长常说水木清华，下一句是,福尔摩鸡o
40,#战火中的青春观后感#（我是王鹤棣粉丝）看了几集觉得很好看，以前就很喜欢看这一类的电视剧，再加上喜欢的偶像在里面。热血少年，青少年可以都来看看。,幸运猫❄
41,桃李满天下，老师这个职业神圣而庄严，为救学生老师也是什么法都想出来了,可爱的花12
42,古装的王鹤棣超帅，现代剧一般[应援],锦龙荣生书店
43,就喜欢这么不准时的你,拾光晚风
44,最大的败笔就是王鹤棣的头型，咋看咋不像那个年代该有的样子。,仙儿仙x
45,王鹤棣为啥要配音啊,gaowenquan
46,程嘉树，终于和你见面了！,army413
47,应该多看看这种抗日剧，告诉我们要牢记历史，勿忘国耻！国仇家恨不能忘,喜欢吃烤馒头的东里建木
48,女主角好看，演技还可以更好[大拇指][大拇指][大拇指],58同城😝
49,"好感人的一段历史，好有意义的一部剧。王鹤棣程嘉树
",大家闺秀Katherine
50,请问 原著叫什么名字 顺带想去看下,方小淇🍄
51,周也看见她就不想看，假死了,'杨成
52,发现王鹤棣什么造型都能hold住诶，好强的可塑性，程嘉树真的有民国贵公子的气质。,Azure🍉97
53,把双喜发配去银湖拉纤,亲水泡泡：）
54,加油加油  越来越精彩了  为什么热度上不去[捂脸笑],爱吃螃蟹の司空睿才
55,来看四年前的程嘉树[爱心][爱心][爱心],～～嘘、别闹
56,追棣棣的剧停不下来[色],嘉人粉Cheng
57,剧情好看不,久伴我心Gabriel
58,刚看完江苏卫视2集  现在又刷一点  抗日精神达到巅峰了！程嘉树扮演者真的不错！[大拇指],丶抽象派
59,怎么感觉演的好假？是因为演技吗？,［玺夙］
