,0,1
0,#春荼蘼夜叉约会名场面#乞巧节那段到处是名场面，甜度超标！夜叉把他手上戴的红绳系在荼靡手上，在这之前夜叉从老板娘手里拿回了荼靡的手帕，这样算的话两人交换了信物！,3209雁🎊
1,#春荼蘼夜叉约会名场面#名场面必须是夜叉对荼靡说“从今以后，你的安危我来守护！”,同珠🤗
2,直接更全集，爱了爱了[色],大幂幂的小迷妹Y
3,听了双笙的片尾曲有一句歌词很像以前看的一部小说“美人谋律”，说的是春荼靡成长为成为讼师的事，小说很不错，就不知道拍的怎么样了，现在看来感觉还不错。,Ya.   lublu.   jiebya
4,给大家推荐一下刚才看的对我而言危险的他吧，双生花的设定,森岛听风～🌼
5,看完了，感觉这部剧拍的莫名其妙的，女主匡扶正义，替人辩解这条线拍的不错，女主和男主的情感来的莫名其妙，没有一个衔接的地方，尤其是前期女主和男二感情的衔接很流畅，就显得男女主的感情很突兀，男主前期戏份少，并没有刻画出男主的形象，尤其是这部剧还没播完，看的人一头雾水，我实在是不知道，为什么对其他人都是小心提防，偏偏对男主是坚定相信 ，真的是因为有主角光环吗？,▄︻┻┳══━一💯
6,#春荼蘼夜叉约会名场面#荼靡想知道夜大哥更多的事情，更了解他，便提出和他交换，一人说一件，谁知道夜叉直接说，你的事我都知道！你宝贝的是律法书，在意的是家人，想当女讼师，公堂上很凶，私下很温柔！简直太了解啦，我看谁还说夜叉不会说情话！,静呀~🍒
7,为啥评分那么低,青竹_qq2622
8,我能说我看这部剧是因为女主跟肖战拍的电影上热搜。然后被各大营销号拿这部剧的截图照片说女主丑的吗？来看这部电视了吗？看完真香，女主长得真的很漂亮，那些人故意截别人一些崩溃的片段黑的,是初心呀🤙
9,这剧一点进来看半个小时，就知道好不好看了，[应援]，烂剧,薛花雪
10,#春荼蘼夜叉暗糖有点甜#有一次春荼蘼着急上马车，一不小心脚踩空了，夜叉在旁边默默而有力地扶了一下她的胳膊，后来再次上马车的时候，夜叉伸手要扶她，荼蘼没接，反而拍了一下夜叉的手，说这次不会踩空了，然后夜叉看着自己的手，笑了一下，简直不要太宠溺呀！,🎈My欧气满满🐮
11,居然!简直不敢相信[害羞][害羞],白佩格
12,第二部什么时候开始播呢,代静的妈妈
13,怎么还没有第二季啊,姚哇哇Fighting
14,#春荼蘼的语速有多快#春荼蘼说话的速度肯定要快啊，不快怎么让别人反应不过来呢。这速度，非常佩服,喜欢你🌸我也好🌸甜🌸
15,这个第二季什么时候出啊,小莫洗手
16,看韩无畏来的。[色][色][色],守护、唯爱嘉伦🤗
17,#庄达菲空降翻牌#第一季？意思是还有第二季第三季吗,蕾芒德默
18,第二季什么时候出？,海城恋霖✨
19,这上面写的是第一季，是不是还有二季？,影之幻城
20,"第一集1:58-2:02四秒说了35个字，0.75倍速听了好几遍还是觉得很快，平均8.75字/秒，525
字/分，荼靡庄达菲太酷了，等我看看后面还有没有更快的，一次全更太爱了能追个爽，还能并行看一天两集的人生之路[应援]。",YUE安逸
21,第二季什么时候出来，不然都不记得第一季的故事了,艾利达李进
22,刚看一分钟，女主的长相长在我的审美里了，喜欢[色],滋滋滋丶⭐
23,春荼蘼的语速和开了倍速一样,春夏泡泡冻
24,你爸得出多少钱让你造[捂脸笑],银河绘日…
25,庄达菲和樊治欣是二搭了吧？,喜欢吃牛排de淳于元龙
26,转发这个“春荼蘼”普通话一甲,是水下月和眼前人啊
27,这句好看吗 爱情为主 还是破案为主,颖儿1101💜
28,第二季啥时候上映呀,bg20171111
29,#春荼蘼的语速有多快#春荼蘼自己其实也是个小可爱，语速快得人反应不过来，这么快的语速炸别人的时候特别有用,余音绕梁梁
30,美人谋律都翻拍电视剧了？？那必须看一下了，小说看了几遍了。,X.ng…
31,太好看了,seeuul
32,#庄达菲空降翻牌#真不错，一次性更完[色][色][色][色],初珑桑
33,第二季在哪里？,爱拉小提琴の樱雪郡主
34,第二季什么时候出啊,晓晓秋瑜
35,#春荼蘼的语速有多快#春荼蘼说话的样子其实就像是开了倍速一样，虽然我们不是要调0.5倍，但确实也是听得清楚的,喜欢白宇的小宇宙
36,第二季啥时候出,习以为长
37,第二季呢,段嘉许是桑稚的🕊️
38,#春荼蘼的语速有多快#春荼蘼语速快的让人反应不过来，你可能还在想，人家已经说出来，根本反应不过来哈哈哈。,酥脆酥脆小面包
39,男主出现总的时间不长但其实出现的不少，注意看哦  春荼糜父亲被陷害，夜叉当车夫帮助他，6分零3秒荼糜差点捽倒，夜叉一把扶住，并拿钱给她去衙门打点，6分零6秒男主露脸，10分37秒夜叉因荼糜丢了律法书而思量，15分13秒锦衣把取回来的背包和律法书还给荼糜，33分10秒夜叉为荼糜父亲案子担忧并一直旁听，33分52秒韩无畏出现夜叉略有所思，37分40秒再次出发帮荼糜打证据。,陈小茹🙊
40,第二季呢什么出来,段嘉许是桑稚的🕊️
41,#春荼蘼夜叉暗糖有点甜#夜叉在自己身体虚弱的情况下，其实挺需要春荼蘼帮忙的，但为了不拖累，把她赶走，好甜,彩虹の晴天💕💕💘
42,第二部就不打算播放了吧,bg20171111
43,有第二部吗,燕月假面
44,现在看剧先看演员，看剧情，看评论，再决定看或不看，有和我一样的吗？举个小手看看吧！🐰,佳瑞寰
45,什么时候播第二季,瑜璟婼殇
46,第二部啥时候播出呀，第一部已经看完了,bg20171111
47,春小姐在努力背词,一颗卤蛋AA
48,庄达菲她很漂亮，一个女人[大拇指][大拇指][大拇指][大拇指]很好看,加油吧，宝贝😗
49,因为电影宣了所以过来看看剧,拂山河
50,#春荼蘼夜叉约会名场面#荼靡和夜叉乞巧节出去约会，荼靡想帮夜叉赢一块锦帕，便以自己绣的锦帕为注，参加了乞巧穿针大赛，虽然最后没有获得第一名，但是也获得了参与奖一块锦帕，荼靡把奖品拿给夜叉说肯定比自己绣的好，但是夜叉硬是跟活动方交换拿回了荼靡绣的锦帕，还说我觉得这个更好看，太太太宠溺啦！,红雪💯🤩🥰
51,第二季呢什么出来啊,段嘉许是桑稚的🕊️
52,第二季什么时候播啊,不吃酸甜苦辣咸
53,#春荼蘼的语速有多快#春荼蘼本来就擅长说话，特别是在和别人争辩的时候，其他人根本反应不过来，就被套话了,狗🐶里狗🐶气
54,快进看了之后还是觉得不要有第二季了，首先这个剧情，别的都不说了，光是君兰制，君要臣死，臣不能不死，谋逆乱党，斩草除根，作为头牌杀手，就算不是本意，朝廷根本不会放过，天涯海角都逃不掉，男女主天真还是无知，尤其女主那一段激情台词，太尴尬了。其次演员，女主太幼，公堂上无法传达思维敏捷，辩证逼人的气场，男主只适合面无表情，稍复杂的情感根本无法演绎，这部电视剧拍的如小孩过家拉低观众智商，怪不得热度那么低，看剧情介绍题材是律法，还以为可以看看，结果[捂脸笑][捂脸笑],ni629
55,美人谋律？,不漂亮的我520
56,直接更完？真的6啊[捂脸笑]，以后电视剧以此为标杆,唯一逝晨
57,还好吧，女主似乎是第一次演古装戏……,武狼叔
58,看了小说回来，这演员选的真不错，符合原著，演技也不错！只是没想到，小说的男主也是个大酱油,弥、戒
59,#春荼蘼的语速有多快#春荼蘼是一个动脑动嘴的宝贝，让嘴巴跟得上自己的脑子，可以快速反应，脑快嘴也快,狗🐶里狗🐶气
60,没有第二季？？？[爱心][爱心],君九龄391
61,智行火车票很给力，候补特别快，出订单也是非常快,Sunshine.kaka
62,#春荼蘼的语速有多快#春荼蘼作为讼师，语速肯定是快的，不快可能会容易被人打断。不仅仅语速快，脑子也动得快，说的挺有道理的，这就是本事,彩虹の晴天💕💕💘
63,有第二季吗,不想東眠.
64,又一个经典ip被毁了,爱喝红茶de第五乐游
65,#庄达菲空降翻牌#翻翻我，高考加油好不好,Gran heilo
66,[捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑]杀人魔头都有人爱[捂脸笑][捂脸笑][大拇指][666],榜一大表哥
67,#春荼蘼的语速有多快#春荼蘼的语速和开了倍速一样,伶伲
68,春大讼师可以帮我处理一个案件吗？,Waddell
69,第二季什么时候出？？,君九龄391
70,苏虹宇，“虹”和“洪”是不一样的，嘉兴市王江泾镇虹阳和嘉兴市洪合镇可不一样,鳄鱼岛货不对板
71,#庄达菲空降翻牌#春荼蘼翻墙技术没有韩菲好啊，稍微比李进步厉害一点,Blue的叶落
72,这故事一看就知道还没有完结,不吃酸甜苦辣咸
73,美人谋律书很好看，来看下剧，,Lindsey0606
74,荼蘼太不容易了，要背的东西一定很多吧,木子金金金AA
75,喜欢男主，因为他演的小哥追了过来的，但小黄好像胖了不少，还是小哥帅[色],胡绾绾ᵃ
76,确实好看,天在幻想
77,#庄达菲空降翻牌#春小姐可不许翻牌翻着就跑去看电视咯[狗头],要吃个鱼丸吗
78,从我们的客栈过来，支持小庄,Yuan~梦😋
79,人与人差异真大！,悲催跨界
80,迷糊小春 之前游戏玩输了尝的是啥味儿的怪味糖呀哈哈哈哈哈,KeepTender-
81,这小女角终于不演悲角色了,乖乖12345678🏖
82,"本次#春荼蘼夜叉约会名场面#话题活动圆满结束啦！按照互动数（点赞+回复）排名如下，恭喜以下用户抱走我们的奖品！

互动量排名前5的用户，获得签名照的有：
1.	我爱恋恋剧场
2.	静呀~
3.	同珠
4.	红雪
5.	3209雁

领奖流程：私聊官方账号“评论小桃君”发送“领取奖品”即可领取。奖品将在7个工作日内陆续发放，请大家耐心等待。
❗注意：7天内未主动联系“评论小桃君”领取奖励，则视为放弃哦！

谢谢大家支持，希望大家能在这里收获开心！常来互动",评论小桃君
83,要中考了 庄儿可以祝我中考顺利嘛,把庄抱进怀里
