,0,1
0,雪中悍刀行第二部什么时候出来啊？还有庆余年二什么时候啊？什么时候？,manutd124
1,"之前看这电视剧觉得这个县的民众挺惨的
多交了200多年不属于自己负担额外的税
今天空了看了原著
没想到小丑竟是我自己
人丁丝绢案那个县说的就是自己老家[微笑]
府是徽州府  县是歙县
​[捂脸笑][捂脸笑]",胖fish
2,这是大侦探古装版嘛[捂脸笑]我们二哈的主场不能输[奋斗],八倍浓缩咖啡
3,你就说说你过分不过分吧！天天追着你要第二部！[微笑][微笑][微笑]欠钱还钱，欠剧还剧，天经地义！,神评✌
4,为什么张若昀欠剧。能不能赶紧庆余年2。,岁月逢花🥰
5,张若均拍的电视剧千万别看，好几部都是没有结尾的,123455号楼
6,谁能告诉我为什么叫“显微镜下”的大明？,ζ小闹    ꦿ᭄
7,这啥莲花楼的评论在这？,一只小可爱mmc
8,一看这种名字，瞬间没了看的兴趣了，有没有同感的,键莉寶HCJ
9,我真的好喜欢显微镜下的大明的服化道，不是说它有多好，而是它不把观众当傻子。就真的很尊重观众，单单就衣服，帅家默和丰宝玉的衣服一对比，你就知道什么是穷人和富人。真的看太多剧里面那种说着自己是穷人，吃穿用度却比平常人好很多的剧了！,是王瑞
10,"#显微镜下的大明剧评#从剧情节奏上面来说还是很不错的，第一集的开头结尾有点慢，后面就越看越好看，一集比一集好看。台词剧本也很绝！
帅家默就是一个普通的理科生，沉浸在自己的小世界里是内敛的，挺难把握的，也挺好的",彩虹の晴天💕💕💘
11,没有是为了王阳来的吗,爱文美丽人生
12,这个电视剧太烂了,喜欢玩篮球の公冶盼易
13,居然还有人说张若昀演的呆所以演技差的，那只能说明张若昀演的太好了，人设就是有情感障碍，单纯的书呆子的话，谁家书呆子需要攒钱看病，很明显的情感障碍，谁是真正的傻子我不说,寄春君🍀
14,目前感觉是挺好看的，就是缺爆点。全员演技在线，口条好，节奏也不错，运镜质感高级，是合格的剧。但是爽感不强，希望后面讨论度能高一点吧，现在热播剧都讲究爽/狗血，大明这方面有点欠缺了🤣,午夜出動
15,张若昀拍的都是虎头蛇尾，庆余年 雪中悍刀行都是太监了[捂脸笑],用户92cdde59
16,#显微镜下的大明剧评#我不敢看 因为我怕我看了太好看 然后张若宇又欠我们第二部 一等就是等着 没第二步不划算 不如不看 ,不过户不💖
17,啥时候出了这么一部剧[捂脸笑]都不知道。这会儿才刷到。,听，嗨哭的声音
18,#见“微”知著的剧情细节#关键词已触发，小帅正式觉醒。,把果果揣兜里
19,就是喜欢男主的剧，演技真好，希望男主不要去减肥，把自己减成瘦不拉几的,米米米鼠鼠鼠
20,给大家看下丝绢全书,太叔驰鸿
21,张无季赶紧把第二部都补上[发怒],饱饱茶
22,这部剧感到欣喜的是官服料子，不是光滑板正的现代料子，棉麻质感，而且面料不板正，略有松垮，这才是古代官服的样子，而不是古偶里面丝滑光鲜精美的官服。好评～,赵九号
23,在电视上看完了有耐心看进去会觉得很好看对于爱看电视的人很需要这种好剧剧好不在于那些花架子而在于内容这个剧虽不长但将故事讲得很好,随风微扬
24,戚薇这脸是咋了？像女鬼看起来怪吓人的，以前不是这样式的呀,喜欢吹口琴の高堂明德
25,这拍的是个啥玩意啊？书呆子不是傻子吧？,【听雨轩】😝
26,已经点好外卖坐等开播了！一看到是张若昀的新剧就来看，张若昀，品质保证！,瞌睡家jj
27,戚薇的脸怎么了,miumiu吖吖
28,张若昀 期待你的作品太久了,酉己角
29,最大的败笔就是请了戚薇,Y『ang
30,戚薇进门时肩上扛了一个火腿，但是在跟赌场老板谈判时桌面上又多出来一只火腿，一共是两只火腿。请问桌面上的火腿从哪里来的呀。,honey stranger
31,不是穿越呀？,你不是谁的某某！
32,一定要把天才拍成这个鬼样子吗？,喜欢打排球的端木鹏天
33,剧情不错，不过男主演的有点拉跨！,喜欢喝酒的布衣
34,来啦来啦终于开播了！就是说张若昀你欠我们的好多部第二季什么时候还！！这部剧不会也有第二季吧,是个猪咪kk🐱
35,张若昀的演技真是有待提高啊,于小同Noah
36,比较失望吧，冲着男主角来的，虽然勉强看完，但真的感觉不好看,蓝色的天空堂恩
37,张若昀除了一口白牙出戏，演技真的是很可以,呦呦鹿鸣连叶浮萍
38,古装剧好久没有平民主角了，帅家默应该是近些年古装剧最穷的男主了，可是……蛮帅的，宽肩窄腰，长胳膊长腿，一点也不寒酸，馋。,好大的风呼呼
39,拍的很好，没有以往剧里面官府气派的作风，这才是现实,用户4b4f9ba8
40,这里面男的可算没有浓妆艳抹的，看着也挺好的。,阳光宇欣
41,所以少的那四分地到底去哪了？（奸笑,无无无忧忧_qq2589
42,"#显微镜下的大明剧评#全员智商在线，每一个人都有着自己鲜明的特点，展现出来了，人生百态。
张若昀所演的帅家默情感态度不分明，沉浸于自己的小世界，与其他人格格不入，性格内敛。王阳的程仁清，能够审时度势，有着浩然正气。戚薇的丰碧玉，性格泼辣又非常的机敏。",尘缘火火火火火
43,不看，啥时候补了第二部再来,快乐的小孩8
44,话说，庆余年2啥时候能播,黄筱胖
45,我觉得 呆和面瘫应该是两种状态[微笑],半枕空、
46,#见“微”知著的剧情细节#这部剧的点赞按键居然变成放大镜🔍好细节啊[捂脸笑],天若有情天易老TT
47,把那些第二部拍了再来整这些吧，拜托🙏,小Destiny 黑化
48,为何我还是觉得还是滕梓靳,wildcatdxb
49,看这个剧前，谁能先告诉我这有没有第二部，张若昀真的欠了好几个第二部了[捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑]挺怕他拍续集的。,蓝京津冀
50,开一个大明历史科普楼，感兴趣的uu进来看看,年与糕
51,庆余年2 快点上吧 太好看了,索拉嘿嘿
52,庆余年怎么办,abcdhhhhhhh1234567
53,马伯庸作品改编的电视剧的都挺好看，挺不错的。,明興
54,没有粉丝滤镜的人来告诉我一声，好看咩?[狗头],I更辞呈vv薄普本pi古古怪怪长款u
55,哈哈，表情是模仿韦神吧,r、、、、、、、，
56,总是能被张若昀的演技惊艳到 看帅家默的眼神时 我总在想他到底是呆子还是天才 ,艾伦耶格尔°
57,出乎意料之外的一部好剧，张若昀真棒👏🏻,郑家有女叫群英
58,这部剧的演员们都很熟悉哎都好喜欢，演员阵容炸裂剧情炸裂，真的太期待了！绝了！快来查收追剧日历！！！,是个猪咪kk🐱
59,这个费启明[捂脸笑],勇赴
60,张若钧你小子 能不能快拍第二季！！！,毛毛龟耶
61,先别拍其他的了  把庆余年拍出来吧  我看的时候初一现在都当爸爸了还没出来,_你再難遇我°.
62,不懂就问，默默是不是就是大明的北大韦神？,好大的风呼呼
63,主角张和杀猪女的演技真是差强人意！男主角设定是天才，演成了傻子！[呲牙],爱吃鸡蛋的阿童木
64,14集就完了？！,一头老牛1973
65,刚看第一集，丰宝玉和他姐都不是坏人，如果是一般人应该不愿意和算呆子做朋友（纯感叹，纯路人，可能以后你还会看见我，观点不同勿喷，杠精勿扰。话说评论变成这样也挺令人感叹的，有些人不发评论还好，不然只要不是夸的就会被喷。）,孤岛の鲸🏝
66,演技都很细腻，每个人物的立意都有了，从不同的角色有不同的考虑[应援][应援][应援]。推荐,玩笑欢
67,看了雪中悍刀行过来找张若昀的剧，有一样的吗？,宝宝佩佩🍓
68,"#见“微”知著的剧情细节#我也来科普一下，讲个大概。（其实初高中历史都有讲……）
牙刷在宋朝出现雏形，元朝才出现“牙刷”一词，明朝牙刷已逐渐平民化，而且越来越有现代化的模样。
牙刷出现以前多数用盐漱口，然后到杨柳枝或者用手，牙刷出现后牙刷毛是马尾制造，比较昂贵，所以主要是富人使用，到了后期，平民用廉价猪毛代替马尾，一直到明朝牙刷才逐渐平民化。
",YYY鹰
