,0,1
0,看完这部戏后，我面色凝重，深深地低下头，默默的关掉电脑，起身打开冰箱，拿出一瓶伊利酸酸乳，紧紧地握在手里，细细的回忆着刚才的剧情，慢慢的走向窗前，外面的景色有些暗淡，就像我的心情一样，沉重。。。很沉重！渐渐的，外面灰蒙蒙的下起了小雨，为什么会这样？我的视线开始模糊了……不知道是我 流泪了、还是雨太大了！可能都有吧…… 我的心情更忧郁了，我再也无法抑制内心的情感！导演和编剧真的太侮辱观众智商啦！我缓缓的仰起头。。。对着窗外大喊了一声：这到底演的神马玩意啊？,董大的勇哥
1,谍战剧也就黎明之前与伪装者能看看,西风夜渡
2,有和我一样，是先来看了评论就直接弃剧的吗[捂脸笑],云南双双
3,神剧啊！谁都不服就服编剧者哈哈哈[捂脸笑],风吹云动😚😉118
4,个人喜欢的谍战排名：风筝，叛逆者，暗算，北平无战事，敌营十八年，永不消失的电波，黎明之前，潛伏，悬崖，面具，父亲的身份，零下三十八度，邮差,浥尘斗寒
5,为啥手机播放的是小屏？一下子就没心情看了,꧁꫞꯭焦先生꫞꧂
6,神剧，看了开头伏击就弃了,广丰在线
7,这种女人也要？我要笑疯了,用户@dc2549e413f00
8,为什么排谍战剧第一名？想不明白,chengmuwei
9,还用看评论吗？一看主角是谁好剧孬剧不就心中有数了吗[微笑],功夫军仔
10,什么剧情啊，看了七分钟就好几处漏洞，违背常识，违背基本的物理[吐][吐][吐],゛倾妍╰╮
11,好看，喜欢推荐观看，国产的谍战剧简直了，[大拇指][大拇指][大拇指],笑看人生3366
12,第一集就看不下去了，瞎拍的,爱打台球的梁丘飞荷
13,国产的谍战剧简直了，从来也拍不出像样的[捂脸笑],丄癮、🌻
14,又是一部神剧啊   一辆卡车又是炸药又是扫射居然还能存活一卡车人     编剧脑袋进水了[捂脸笑],大宋丹丹
15,谍战剧分数都那么低吗？6.8 分都谍战剧第2 名了？,娶一个好听再个性的名字
16,看了开头就弃了，反复用局部面部特写来制造紧张气氛，先不说剧情，就这拍摄手法也太低劣了。反复出现眼睛，嘴巴，鼻子，让人心里不适。,小超人的妈咪💦
17,谍战剧还得看柳云龙的，那叫一个地道呀[大拇指],Way O
18,"实在看不下去了，怪不得要禁播那么长时间
",patrickpoon
19,这是昨天才拍完就上来的最新剧[捂脸笑],飘来漂去9
20,看见评论明白了，不看了，浪费时间。谢谢大家！,辉煌★★
21,又是神剧，编辑不过脑子的啊,无线网（）
22,不好看一集都没看完弃剧,slyslyslyly
23,第一集看了三次都没看完[捂脸笑],Aღ₅₂₀💋 🐒格格
24,看完评论我走了，再见👋,無名指的等待💍❤️
25,不好看，没耐心看下去了。,船主918888
26,这种水平的剧啊，就别拍了。浪费钱财。就看了几分钟就直接删掉了。,雨中阳光💦
27,看了二集就直接不用看了[捂脸笑],飘来漂去9
28,分享图片,拽了我的耶
29,还是柳哥好看,2337687199
30,先看看再说  [捂脸笑],果实👍
31,把你看的怀疑人生了,大乐江湖
32,评论直接弃剧[捂脸笑][捂脸笑],星星的小屋😘
33,这应该是几年前拍的现在刚出来播放应该看着一般般,茶m9(´∀｀)就是你！
34,李修贤咋来演了[微笑],秋刀鱼🌈
35,还是不错的[大拇指],y d d 7 z
36,还行，虽有漏洞，但也是辛苦,约会百合花
37,什么破剧,爱吃薯条的宇文芮澜
38,这么好看的剧怎么弃咧？？,小汇兔
