,0,1
0,来看杨澄了[应援],m1725 19
1,谁是看张一山搁着里哦[应援][应援],怪不好🥝
2,心动杨澄曾少年[应援][应援][应援],露露啦哩露露碰🎡
3,有谁和我一样是来看关晓彤的，举小手吧！,奔跑在孤傲的路上😚😚
4,来看杨澄咯！,早点睡⁡
5,"爱了爱了
这一次我选空降",又是仲夏
6,想问下，这部剧和《曾少年之小时候》是什么关系，没看过小时候可以直接看这部剧吗？,闲花不厌
7,竟然提前了[色]杨总我来了[应援],丞汁616
8,谁懂，我是被女大学生吃蘑菇食物中毒被安利过来的，看了以后简直停不下来一口气看到凌晨。我看有毒的不是蘑菇而是这部剧吧,帅哥让我看看
9,来看范丞丞啦[应援][应援]丞丞有在好好做演员[色]舞台演戏两不误,椰汁酥芝酪
10,来看杨澄啦[应援],情绪低语.
11,挺好看的，就是最近的剧是流行赶剧情吗，我今天早些时候看尘缘回了个信息男主就躺地上了，晚上看曾少年我上厕所的功夫，秦川多伦多飞北京2次了。,麥ラ嘜
12,开头那个女大学生误食蘑菇进医院的演的太逼真了哈哈哈，我当时就是和舍友一起去玩然后采到菌子吃中毒，后面回忆起来真的很后怕，神经性毒素真会影响智力……这编剧看来有实际经验……,枝上柳绵绵
13,一山 我来看你了,Tyler..
14,#你的青春是否有一个ta#我入学第一天我就喜欢他，后来我俩还成为了同桌，可是我太害羞了不敢和他说话，他想和我交流的时候我也尽量不看他，渐渐的他就不和我说话了。,环保的朋友饼干
15,来看范丞丞的举个爪[色][色][色],返程_🍊
16,在所有人声鼎沸的欢喜里 我唯独望向你,早点睡⁡
17,什么是爱 小船哥和千喜是爱 一辉和茜茜是爱 乔乔想要爱和被爱 她喜欢的怕拒绝 喜欢她的怕拒绝 羊城如果不爱乔乔 也不至于在一起五年 他可以换 换个种风格 他想要纯爱 又怕纯爱怕爱过后像爸妈那样,jx璇璇吖
18,开头女主不小心撞到邮差结果看到录取通知书的，开始我以为是野鸡大学后来发现我靠竟然清北！果然是我想多了，这还是少数人生赢家的少年时代啊QAQ,这是薇仔小号
19,关晓彤嘴碎关谢乔什么事～《我到底要看看谢乔是不是也是大碎嘴子[微笑]》,腼腆小薛
20,我有个问题，前段时间播的那个曾少年之小时候，和这个是什么关系啊，前传？后传？外传？这个是正片，小时候是预告片？,emmmmkkkkA
21,谢桥来看你咯[应援][应援][应援],给关晓彤摘香菜
22,终于可以看张一山的,米&老&鼠&🐭
23,杨澄：看本帅怎么撩遍全世界世界[偷笑],fish112277
24,注意到了一个细节bug，fcc开的那个黄色跑车，在那个年代是不是还没生产出来？,Sthel_
25,期待谢乔，太开心了还在央八黄金档播出,。。njg
26,谢桥上线了,盛夏巨星
27,特别期待张一山的电影电视剧[应援][应援][应援][应援][应援],迷茫的猴子
28,现在看剧，先看演员，看剧情，看评论，最后再决定看或不看，有一样的嘛，举个小手看看吧！,翩然入君怀
29,女2和女主换主角   这一部更好看,艾特！！！-
30,来看漂亮可爱的谢乔了[色][色][应援][应援][应援],乌拉呼💤
31,有谁冲着关晓彤和张一山来的 哈哈哈哈哈哈哈哈哈哈,喜欢玩保龄球的公冶承望
32,来看一山，大帅哥[色][色],唔知改乜嘢名好
33,"好好笑啊我c！男主在加拿大当饭馆服务员，客人点寿司，他：“sushi……苏轼是吧，好嘞，来一份东坡肉！！”
姐姐：“no 啤酒！”
室友：“宿舍就这么大点儿地，我放个屁你都没地儿躲”我真的要被笑死了",欧皇昭昭
34,我的秦川和谢乔终于来了[应援][应援][应援],喜欢骑自行车の北野丹南
35,为什么是关小童不有她不想看,小小小雅熙
36,来喽来喽他真的来喽！ 看杨澄啦！！！,PPYuuuu
37,希望能有曾少年之小时候里的小演员们来客串，上部演得太好了[呲牙],熠言一生
38,姜佩瑶真不错[色]要是换了女主就好了😁,白骨oh
39,曾少年讲的是什么校园爱情古装剧，先期待一波[应援]毕竟有晓彤，还是值得一看的[呲牙],月渊星海🏖
40,看不下去，很尴尬 觉得！！！,素颜795
41,没看过小时候的可以看这个长大版吗  感觉小时候的演员不认识所以不想看,往事随风飘。。😊
42,终于又看到张一山的新剧了[色],雪雪干嘛呢
43,这张照片我有点想吃人，太帅了,你嘴臭的话肠子会烂
44,哇哇，关晓彤饰演的谢乔好可爱[色],emo小关_
45,"杨澄小少年
",又是仲夏
46,谢乔这条裙子好好看,发呆的小绵羊🐑🐣
47,来看谢乔咯[应援][应援],爱潜水的王官雅韵
48,张一山其实演技很好[应援]他演的七个我。我当时还惊艳了一番哈哈,头顶光环
49,来看张一山的给俺点个赞[呲牙][呲牙][呲牙],小浩浩真滴帅
50,谢乔本来就好看,发呆的小绵羊🐑🐣
51,来看杨澄了,℡じづ空 城
52,男女主北京腔很重，但是很自然。一个是演员本身就是北京孩子，再一个我觉得他们都是自然而然带出来的口音不是硬凹出来的人设,一乐niki
53,有张一山和李溪苪,落……三
54,关晓彤张一山原声[爱心][爱心][爱心][爱心][爱心]超级超级超级超级超级超级超级好看,彤心未敏
55,啥情况不是在宿舍吗？咋又在船上了？这集没有看懂？,哼888！
56,爱看关晓彤演的每一部剧,关皖意
57,谢乔下次要注意哟,发呆的小绵羊🐑🐣
58,所以晓彤最后是跟谁在一起？很重要，[呲牙]决定我追不追这部剧？,颜汐汐___
59,看了晓彤的大学生活剧让我好憧憬大学生活，只可惜20年前16岁的我选择了退学外出打工，那时才初一，这是我一直的遗憾，看了乔乔真好，秦川也挺好，一直喜欢一个人，当然丞丞的杨橙也很帅气，太好看了这部剧，等了这么久终于等到了,我必须相信这就是命
60,关晓彤演技可以,喜欢喝纯净水de叔仲芳蔼
61,秦川跟谢乔不是一对？,抹茶米饭酥
62,好喜欢谢乔的眼睛，水汪汪的,发呆的小绵羊🐑🐣
63,一看谢乔就知道是搞笑女[捂脸笑],发呆的小绵羊🐑🐣
64,好可爱啊谢乔[应援][应援][应援],木子帅到没人爱
65,好磕谢乔秦川青梅竹马,晓晓晓懒
66,"那个演员出问题了
",爱嗑瓜子的公广骊萍
67,为什么不能缓存,石门关丹爷
68,希望这部剧大火,关关莫方
69,来看杨澄啦,一杯丞汁儿-Y
70,没有范丞丞就更好了,淘淘妈⭐
71,这船可不稳哪！加上关晓彤的嗓音，一下给我逗笑了！,『幻夜幽霜』
72,来看乔姐咯,墨菲菲子.
73,"[色][色]来了谢乔
",呵呵“
74,哈哈哈，只有我只是冲着长大后的一辉和秦茜来的吧,白敬亭94邢
75,还是喜欢第一部的演员，尤其是谢乔,金牙大①
76,家人们，杨澄和这个发小是真的关系不好，还是说这个发小喜欢他啊,你嘴臭的话肠子会烂
77,来看关晓彤谢乔了，乖乖女,宁夏❤
78,不懂就问，曾少年和曾少年小时候有什么区别吗,恰好97
79,"#你的青春是否有一个ta#没有哎。
之前有看到一句话，说“年少时不能遇见太惊艳的人”
所以一直不敢让自己太沉默，让周围的人就算很惊艳也没有达到我预期中的那个惊艳，那这样我的年少就不会遇见太惊艳的人了。",左耳右东😃
80,哇塞，天知道我有多激动，吃了太多次饼，终于可以看了，杨澄，我来啦,珍爱吃橙
81,来看杨澄啦[色],悲伤的丞汁꒦ິ^꒦ິ
82,张一山终于出新剧了[应援][应援][应援],笙。。。。😝。
83,我是来看张一三的,超爱阅读的女娲曼妮
84,张一山终于露面了,能吃三碗米！￼
85,谢乔来看你了,谢三沈五
86,这个晓彤的发型也是醉了。一点不洋气 发型师也是没水准,喜洋洋 好嗨哦
87,"#你的青春是否有一个ta#都说：念念不忘，必有回响。但是这句话在我和他之间没有灵验。
我们相识于十年之前，只依稀记得当年总角之宴，言笑晏晏，我朦胧的童年只剩下你的欢声笑语；缘分让我们初中时分在同个班，青春懵懂，我不知道什么是情爱，我只是默默的在背后注视着你，最后默默散场，来不及也羞于向你表露心意；高中的你我同校不同班，我偶尔能见到你，仍旧忍不住继续关注着你的消息，情不自禁走到你班级门口看着你认真学习的身影。转眼间又是多年过去，高考之后，各奔东西，我们鲜少见面。我时长在夜深人静时想起你，此时的你过得好吗？身边是否已经有人长相厮守？
或许人生就是这样吧，迷失的人迷失了，相逢的人未必能再相逢。",左耳右东😃
88,#你的青春是否有一个ta#当然有，只不过我和他已经结婚啦[色],marry JK
89,可以先去看看曾少年小时候，真的很好看[爱心][爱心],二十二碗大米饭
90,没想到谢乔吃了蘑菇中毒了,发呆的小绵羊🐑🐣
91,来看那个那个晓彤演的叫什么来着…哦来看谢乔了[色][色][色],KIKI～鞠
92,等了谢乔那么久，终于来了,发呆的小绵羊🐑🐣
93,这部剧这四个人的关系好乱啊，男主想当小三，女主牵扯不清，那个男朋友能忍这样的，还和男主睡一张床，杨成有女朋友还带别的女的回家，都是些啥玩意，尽毁三观啊，里面最正常的还是千禧和小船，他们两的爱情确实让人羡慕，男女主之间，又狗血又毁三观[捂脸笑][捂脸笑],我的llh
94,所以谁是男主[微笑],hcy0311xqn
95,哈哈哈哈，这个开头好好看,喜欢张殷殷
96,谢乔太可爱了吧[偷笑],天空7777777777
97,到底是谈情说爱呢 还是励志创业呢,OK没我在😗
98,丞丞演的杨澄真的让人恨不起来[色],青春荷边草
99,#你的青春是否有一个ta#谈谈我的经历吧！我喜欢了一个男孩子五年了，跟他表白了好几回，都是说以学习为重，直到现在，现在我对他的感情不算喜欢，是一种执念，但从朋友口中听到他的名字还是会心动！！！现在只能做到互不打扰,小橙爱小葵.
100,小时候真的很好看，长大更新了还没有开始看，好看吗,DaCy🌟
101,谢乔感觉真是幸福有秦川这么一个人一直关心陪伴她，又有点不幸两个人兜兜转转那么多年蹉跎那么久。。。,Chris2727
102,大家说，谢乔换成杨紫来演怎样？[微笑],姑娘雨中漫步
103,秦川家不挺有钱的吗？怎么飞机票都买不起,小小的人儿啊-
104,请问好看吗？主要讲的啥啊,叁拾闲客
105,怎么视频下线了,情宝⛳️
106,怎么看着看着没了,许愿金戈铁马
107,男主是谁,🍁晚 风🍂
108,小时候和长大的有关联吗？,LYX.™
109,青少年     青少年之时候  这是两部剧吗？,Acid face sweat
110,快来看谢乔,muran1992
111,爱死谢乔喽[色][色],爱跳远de西门丽珠
112,来看谢乔啦[爱心],啊彤.💖
113,来看杨澄啦,安利范先生
114,关晓彤和我结婚[应援],亿桉桉桉桉桉
115,谢乔我也想吃[委屈],发呆的小绵羊🐑🐣
116,等两年了谢乔,苏荷💕09
117,谢乔怎么那么好看,发呆的小绵羊🐑🐣
118,来看谢乔啦[应援],K0i.
119,来了来了秦川[爱心][爱心][色][色],小西瓜的不拿拿
120,怎么感觉这个剧以前播过啊,团子の夏天🎈
121,"上一部叫啥
",崔家大小姐💘
122,#你的青春是否有一个ta#只有我觉得杨澄是爱谢乔的吗,真的会谢，栓Qy
123,不是这几集，山山怎么演的像个配角啊。[捂脸笑],可惜卟是迩↘
124,太好看了，丞丞拍的电视真好看，有丞丞演的我都看[大拇指],妮妮手游
125,[大哭]我终于等来这俩合作一次了,是萧小五哦
126,#你的青春是否有一个ta#感觉真的好好看，好有代入感，关晓彤演的好好，台词也很有感觉,只是过客mcm👍
127,终于等到关晓彤的剧了[色][色],柠檬球球🎉
128,这是一部青春文艺片！没点文化，还看不去！,爱吃梨的南野依辰
129,这个电视剧真心不错很好看,鲸鱼🐋:)
130,好久没看到这些小童星的演技了[呲牙][呲牙],🍒Veena 🍒
131,我看谢乔脑子挺灵的啊哈哈哈😂,晓晓晓懒
132,谢乔表示太社死了丢死人了,发呆的小绵羊🐑🐣
133,我还以为谢乔穿越了呢,发呆的小绵羊🐑🐣
134,刚刚吓我一跳，还以为谢乔怎么了,发呆的小绵羊🐑🐣
135,2001年 我才20岁。岁月不饶人。。。。。,幸福咫尺天涯1982
136,好喜欢张一山，小时候他演家有儿女，他还是个小孩，我已经长大了，他现在长大了，我却老了，突然有一种想嫁给他的想法[捂脸笑][捂脸笑][捂脸笑],看星星的人_1539
137,#你的青春是否有一个ta#“你的生活就像悬疑小说 反转再反转 你以为要烂尾了 其实下一页 就是幸福来临”,likesleepzZ_
138,"这富家女是佟年闺蜜亚亚吧演过亲爱的热爱的
范丞丞可以呀演的角色把剧中张一山发小青梅竹马追了，另一个角色把刘星姐姐夏雪追了",小谢一分
139,经不住似水流年，逃不过此间少年。即日起让我们跟随谢乔@关晓彤 的脚步『彤』在追梦路上 不负韶华。 ,呵呵%🤩
140,看完五集回来留个足迹这部剧很好看啊 不火没道理！！！！！,烟'花🌈
141,我觉得杨澄心理素质很好啊，撩女生面不改色，撩不红心不跳,你嘴臭的话肠子会烂
142,笑死，第一集就吃蘑菇中毒[偷笑][偷笑]“我怎么看你重影啊？”“这船在晃”[憨笑][憨笑][憨笑],橘子型可爱
143,秦川长大变成张一山我还是有点接受不了[捂脸笑][捂脸笑][捂脸笑] 长大以后骨相都变了 ……尖嘴猴腮的[衰],G925156
144,这个剧不错，开头就跟好看，导演直得表扬！每个人都平等，演员表都在！[大拇指][大拇指][大拇指][大拇指],@水蜜桃呀🌸🌸🌸
145,又能看了,A静静宝宝🤟
146,玩赖啊？我还正在看[捂脸笑],泽汐宝儿💋、
147,很好看，演员演技都在线[爱心][爱心],纯净水yhl
148,看杨澄啦,海带盒饭🌟
149,来看丞丞的举手🙋🏻‍♀️[应援][应援],🦋20XX时间煮雨
150,来看杨澄啦,永远爱丞☁
151,谢乔略略略,高质量男高🍂
152,范总来了,遥不可及12😄
153,来看杨澄啦[应援],今贝錢
154,杨澄终于来啦,我是一个起名废物
155,没杨紫，差评,MomomonsterMan
156,不可以下载观看[捂脸笑],zwg😀＆＆ ꪜiρ⁰¹
157,为什么不能下载[捂脸笑],本座乏了
158,看到这三个人 果断弃剧,奥斯卡刘小泡
159,我全都好爱，每个人的青春都是独一无二的,你嘴臭的话肠子会烂
160,没张一山 他什么都不是,莹～～🎋
161,这怎么又看不了了，搞什么东西啊,逗志青年
162,"为啥突然不让看了啊？好端端的怎么下架了
",子非魚Zoe
163,青春的定义本身就是无数次的遇见与别离,小冉竟折腰
164,为什么范丞丞镜头这么少啊😭😭😭😭😭😭😭,jj121866
165,好喜欢小彤在剧中的旁白,🎈忽然ミ間oΟ
166,看开场时 差点以为点错成长风渡了哈哈哈哈,晓雨🧜‍♀️
167,有没有哪位老婆和我一起来看小关老师的,记住琴a.
168,第一部好看，小孩演的特好,宇薇baby
169,姐弟变情侣，电视剧我劝你善良一点[捂脸笑][捂脸笑][捂脸笑],谭剑(静静)
170,#你的青春是否有一个ta#每个人都是自己青春中的主角,EO90.
171,#你的青春是否有一个ta#我错过了我青春的那个他,沐沐慕慕。
172,演技真的好自然，真的很好啊。关晓彤好纯情啊[色],KaylaAllison
173,这么帅的杨澄谁看了不迷糊,大脸妹的˻˳˯ₑ
174,一口气刷完五集，太好看了[呲牙],阳光颖颖Hailin
175,这么好看的剧，一定要红出去呀？,ying 6161
176,太好看了，第一集就那么好看,在咯是理由是
177,还没看，想知道是不是要先刷一遍曾少年小时候再看这个比较好啊[捂脸笑],三金七七🌼.
178,因为女主 果断弃剧,敢爱敢恨的吉尔莫奥卡福
179,一广告好多,Ms.哇哈哈
180,"#你的青春是否有一个ta#如果说青春是一条跑道，那么知识和友谊将会是最好的燃料，为青春续航。
我的青春里有他！",微尘里的风🌿
181,#你的青春是否有一个ta#和一个学弟有一些交集，然后我好像喜欢上他了，当然我和他也只是朋友关系,夏目耶🙊
182,正是我们那一代人的经历，我02年参加的高考，6月8日开始高考的第一届！,陈锋_qq3515
183,全员演技在线，谢乔的哭戏完全代入了，小杨同学我劝他识趣点，川乔YYDS他超爱,爱乔乔🌈🍓
184,秦川换张一山感觉个子上和角色有点差距不过演技可以弥补，反正这个也没有小时候的戏份[应援][应援][应援],太阳落下，升起月亮
185,彤不是不拍吻戏吗？原来采访不是说亲脸蛋行，亲嘴就不行吗？这里面也有呀。,小璐璐吖°
186,“幸好，我遇见你；幸好，我没弄丢你；幸好，我能到老都陪着你”后，真的庆幸《曾少年》有如此富有诗意且循序渐进的爱情。,福海妹妹
187,"我的天，突然看到曾少年播了，已经更新7集了，曾少年小时候特别喜欢
",爱吃泡面的乖乖
188,什么时候关mm和范丞再合作一下，杨澄太渣了，得下一部女主好好虐他[呲牙][呲牙],t婷tina
189,为什么结局是谢乔和秦川在一起呢？ 还是谢乔和杨澄养眼,大博小奕
190,加拿大用美元？老外不会用这种小冰箱！灶具也完全不对,绿芬达
191,#你的青春是否有一个ta#我的青春有一个我爱了好多年的人 希望她安好吧 青春就应该大胆的去爱 ,活酵母他
192,张一山演的所有剧都几乎30几集真刺激啊，网剧也拍几部也差不多那个级数,刂殇G3心碎
193,还说喜欢小时候的他们  小时候的非常好看  没有看过的可以去看看,丽_qq6528
194,我去这是曾少年之小时候的第二部嘛 我说名字都一样 里边还有小时候回忆,镯子啦啦
195,报社团有用吗？之前上大学的时候两个社团抢我最后吵起来了，一个都没要我[微笑],你嘴臭的话肠子会烂
196,真的没人注意配音这个问题吗？好几次都对不上，是演员和配音演员的台词不一样吗？？？,宝贝＠_＠兔
197,之前朋友给我推的宝藏卡，29块210g，根本用不完，还有200分钟通话，用一年多没发现套路,不咋的_qq1728
198,刚把五集杨澄部分看完，不得不感叹，实在是太会了，我爱上了杨澄,蓝萱•Adam
199,关晓彤演技好棒，剧情也非常好，期待后面剧情，祝曾少年大火。爱了爱了,谢♡乔
200,关晓彤演技好好，好爱剧情也非常好，期待后面的剧情。祝曾少年大火,谢♡乔
201,给我火，给我爆,臧少爷
202,丞丞真的在有效进步,囫囵吞枣糕
203,张一山好久不见[应援],喜欢喝啤酒の刘傅凝芙
204,来看一山哥啦,用户11a6b2543
205,怎么看不了了,余昌鸿
206,怎么看不了啦🤔,择天永念
207,怎么看成了预告啊,渣男錫紙燙☜
208,对这几个人好熟悉。哈哈哈,吃蛋糕的小小麦子😉
209,来看杨澄了[应援],㎡smiling
210,来看谢乔了,Traey  Miley⁰⁹¹⁷
211,"笑死我了
红伞伞、白杆杆",赵老邪
212,来看丞丞咯[应援],尼古拉斯琦🐾
213,更新完再看[色],寒风20190728
214,李溪芮好久不见,热兔兔子单纯
215,#你的青春是否有一个ta#暗恋了两年的白月光,玫瑰葬于火海.
216,来看杨澄啦[色],和返程一起私奔
217,来看杨澄啦[应援],娇猪猪
218,支持转一山,瘋子典范
219,来看杨澄咯[色],ADAM＆F
220,喜欢杨澄霸总[色],Fahy
221,来看杨澄啦，好看爱看[色][色],无薪道长
222,来看杨澄了[应援],黄.焖鸡米范.
223,杨澄：我在大学等你～[应援][应援],fish112277
224,来看杨澄咯,丞味果汁.
