,0,1
0,不是，就现在只有我一个人知道，小时候早就出了吗？[微笑][微笑][微笑],关关莫方
1,受不了一点，长大了为什么要换演员啊？,扑倒弋弋
2,长大了  什么时候播呢？,金星与火星💫
3,到底先看哪个？头大,嫩嫩姐姐姐
4,更新的太慢 跑来看小时侯的 有嘛[微笑][微笑][微笑][微笑][微笑][微笑],Slow 😂heat.
5,说真的如果是第一版的秦川我更磕他和谢桥，但是张一山版的我更磕她和杨澄[色],八点半讲完课🕗
6,新时代看剧，先看演员和导演，看剧情类型，看评论以及热度，最后自我评价值不值得看，有一样的嘛，举个小手看看吧！,天若有情天易老TT
7,先看哪个啊,青泽🌟
8,小时候推广做的不够啊 我现在才看到,Wuli刚某人
9,需要先看小时候吗？,Uaena🍦🍑🍍Abigail
10,奔晓彤来的有没有[爱心][爱心][爱心][爱心],YGN
11,啥？就出续集了？,只要你乖给你买条gai..🐣
12,看到关晓彤和张一山就弃剧了,炒菜忘加盐💫
13,"竟然不知道小时候早就播出了！！！
长大了的张一山关晓彤也很好看啊！！",幸运拥有一个好名字开始🤩
14,看到评论才知道这是个系列剧啊，第一部是小时候，第二部就是长大了[666]是不是还有第三部我老了[呲牙],八倍浓缩咖啡
15,看了看评论，饭圈的恶臭气息扑面而来，尤其那句“关晓彤和张一山谁看啊”，真是点睛之笔。,Jsy.2000
16,看这作品的名字就是语文不及格！！！一般说小时候是指童年~~什么叫曾经少年的童年？？？？,XXF😁
17,这个好看不,浩然之气的威尔海尔姆齐薇格
18,不知道为什么关晓彤的电视剧就看不进去啊[捂脸笑],我是卡迪拉克
19,到底先看小时候还是先看正片啊,囌肉
20,我没看过小时候觉得长大后很好看。,歌后🍀神兽
21,我要看关晓彤演的,澄🐳🐳🐳🐳
22,简介为啥没有范丞丞[微笑],爱追剧的00后阿姨
23,小时候是啥，两部剧吗,汉堡hans翰boos
24,花三天看完咯看噜[呲牙],小葵花爷爷课堂开课啦！
25,这小时候，是一次更完了吗？之前也没见播啊,爱吃肉的君君O_-
26,有范丞丞就不看了,画图匠小猪熊
27,看完才知道那个刘雯雯不是秋雅一直以为是夏洛特烦恼的秋雅,用户@e9eaade41fe80
28,所以先看小时候还是？,Chen2486
29,我去，曾少年居然还有小时候,xiao小.🧀
30,来咯来咯，看完我们的日子就来咯,adgjmlosty
31,说模仿1988的是不是只看过1988啊 是真的不知道1988的剧情在台剧早就有了 1988是仿的台剧啊 孤陋寡闻没事 少说点降智的话吧 1988是挺好的 但是它不是世界起源,Eimoris
32,看了曾少年才发现还有之小时候，索性一起看了，我比较更喜欢小时候的演员，不过长大了也很棒！我都爱看哈哈哈[坏笑][坏笑][坏笑],小葵花爷爷课堂开课啦！
33,有没有人知道长大了的什么时候播？？,lllx7-
34,没有张一山瞎蹭什么,黄康宁
35,这男主也太像易烊千玺了吧  ,为一人动心  护一人一世
36,秦川小时候这男演员身高比长大以后的张一山高吧,脱缰的老马🌈
37,晓彤的剧就没有让我失望过[应援][应援][应援][应援],北冥有鱼Kayla
38,什么时候出的啊,mua宝🤍
39,曾少年之小时候跟曾少年 是连住的吗,BAOL😝
40,好家伙还得先看小时候,夏沫青城love
41,有范就不看了,吧题库
42,我看完长大后的，现在才知道有小时候的[捂脸笑],❤️爱，要么不开始，要么一辈子
43,再过几年二十世纪的片子就不好拍了！,小灰狼886
44,来看看小时候，马上《曾少年》就播放了,追剧ing🎋
45,有关晓彤果断弃剧，,幺幺刘三岁
46,真好，每一集都精彩，必须给好评，是我唯一不舍得快进加速看的电视剧。会二刷的。先睡觉。,Z＆倪
47,只有我觉得少年秦川帅吗,叭叭霸霸🤞
48,不是 居然还有小时候[捂脸笑] 我怎么不知道 我都追她们长大之后啦,忽晚ིྀ
49,当时看余zui的时候 张一山那个我真的入迷了！这里面的人设也是那种痞帅的！我爱了[爱心],芝士小奶瓜
50,居然还有不是从小时候看过去的,名字被占了✨
51,笑死我了，真的很像晓彤和一山小时候，说话也像小时候，样子也有点像小时候,wiooool
52,我喜欢小时候的秦茜，不喜欢长大的秦茜,纯白_wx1599
53,我也想看长大后的曾少年关晓彤谢乔真心爱了[应援][应援][色][色][爱心],ziyi_06
54,我看完长大的 才知道有小时候 草回来看[捂脸笑][捂脸笑],是你的鱼🍓
55,好看吗，刚看完长风渡来的,哲哲妈1990
56,喜欢关晓彤。哈哈哈哈。我居然才知道有小时候,樱桃小丸子的熊猫妈妈
57,好几年了，一山终于开张了[可怜],嗯！呐！LEE
58,长大的没有小时候好看,海龙_qq1302
59,才知道有小时候这部剧，过来看看好看吗,萍🎀 🎀🎪
60,范丞丞哪一集出现,Miss is what
61,没啥演的了吗？？？都是年代剧！关键是我们的日子刚播万！！,🐴🐍🐿疯
62,看完长大版的 才看小时候[捂脸笑][呲牙][呲牙],梦舟几渔
63,配音像关晓彤的声音,南山忠于感情
64,长大后的剧都看到25集了，才发现还有小时候这个,豆-子
65,这个是我初中就看过的，一直没看过下，后来才找到下！贼好看，那个作者叫九叶茴！！！,芝士小奶瓜
66,感觉小时候的秦川比长大的秦川还要大，,一个猪头闷子
67,张泰是谢乔初中的暗恋，因为跟小船后影像，让秦川收拾了,Lilili喵
68,应该先看哪一个？,飘然心香
69,张籽沐妹妹长大了，时间过得真快！当年就觉得她长得非常好看，果然我的眼光没有错！,瞌睡家jj
70,小时候真的好好看,小丸子的爷爷☺
71,看了半天才知道这个是小时候[捂脸笑]我以为她在回忆里[捂脸笑],Dhdinfifn
72,哈哈哈哈😂居然真的有小时候[捂脸笑][捂脸笑],嘻嘻嘻哇哇哇💫
73,没有张一山蹭什么蹭,黄康宁
74,我看完33集  才知道还有 小时候的续集，，，蒙了,阳光与太
75,怎么回事,爱吃麻辣香锅の王叔泽恩
76,来咯来咯,是胖纸的鬼怪
77,"如果是关小姐主角  就果断弃剧
",最后之轻语者
78,曾少年，意难平,海海海海🍦Jack
79,晓彤，张一山演技一流。确实演的好。喜欢。,小黄鱼梓
80,看了长大的，才发现还有小时候，赶紧来补课～[应援][应援][应援],灏灏颢颢chh
81,原来晓彤不是主演啊,懒懒快回家吃饭吧
82,好看，小时候也好看[大拇指][大拇指][大拇指][大拇指],阿门阿前一颗🍇树
83,张一山才看到，表演的挺好,sghcchf
84,长大的播了，才发现还有小时候，恶补一下[捂脸笑],梦好沉
85,"有没有张一山阿？不能只是客串过来吧 主要推新人
",扎扎  .
86,特别好看,怡行🏝
87,张一山啥时候出来,晏龙💯
88,需要互相关注，谢谢你们，动动你们发财的小手，再次谢谢！,闪电⚡⚡⚡🤞
89,这个旁白好像gxt啊[捂脸笑]原来不是她说话有特点，这口音是北京人标配啊[呲牙],八倍浓缩咖啡
90,曾少年看完了 又来个小时候 所以哪个是第一部？？？,张公子…🎡
91,看了第二部来看小时候，,颖偏爱
92,"突然发现有个小时候
",心语4444！
93,等待长大后，张一山的出现,地球半径
94,作为一个80后，怎么这个1997年拍得像80年代，90年代马上要千禧年了 不这样啊,新喜也念旧
95,川的配音是杨天翔,绝望VS恶魔
96,原来还有小时候,喵炊溪鱼🌟
97,不是，关跟山是不能演小时候还是咋的，换个装化个妆的事，为啥换人，[微笑],嗯！呐！LEE
98,追完第二部，才再来看这个小时候。发现没有张一山关晓彤主演，第一次没看完一集就弃了，现在对着第二部的角色，有兴趣了。,爱喝白酒de梁丘晗蕊
99,这个校服裤子太真实了哈哈,汤姆克鲁熊熊
100,大的这么不播？,天生不是聪明的我
101,晓彤：曾少年马上开播了，在别卫视[捂脸笑][捂脸笑][捂脸笑],史铭硕
102,先看哪一部啊,Ghhhh888🧀
103,一看到关晓彤就不想看 再见,159****1155_m1774
104,我比较喜欢少年谢乔。成年谢乔嘛？我只能说 两个字 呵呵。,欧阳雪痕810510
105,关晓彤直接演少女时代都没问题，因为她穿西服也很幼，还是太年轻了[捂脸笑][捂脸笑],紫禁凌霄
106,看完剧觉得自己和千喜的生命历程很像，从小自立自强，为了生活一直努力，不幸患癌，我一直觉得评论里有句话很正确，为了生活努力和奋斗并没有错，只不过我们的运气不好而已，,用户621cb0b0
107,这部剧很好看，最喜欢小时候，这几个小演员演的很好，[大拇指][大拇指][大拇指]不太想看长大[捂脸笑],作家😃
108,怎么曾少年视频下线了是[疑问],黑名单用户的我
109,看之前先问一下是两男争一女么？不是的话就看，是的话就不想看了,滚滚女神
110,从小时候看到长大了，现在的我们二十出头，也不知道未来是啥样，加油[应援],小清风ゞ
111,杨橙最后是跟王莹在一起了吗,用户@e5f55f4402180
