,0,1
0,我是不是有毛病，我都4刷了……我好想看他们二搭 三搭 四搭……,★逍遥殇★
1,高考完了，终于可以追剧[应援],桐华🤞
2,和景琛四目相对的瞬间，司清的整个世界仿佛都安静了下来，那一刻的怦然心动有谁懂啊！！！80元门票换来的一见钟情超值的！,卢洋洋0219
3,刚看完长风渡，不知道看啥，随便找个看看,画芷xh
4,二刷完了剧荒了，谁给我推荐一下还有没有这么温暖的剧啊[捂脸笑],墨弦墨念
5,我觉得男主和周翊然好像   我都以为是周翊然,浪里格浪🥰
6,虽然她拿着手机对着我呆呆的样子很可爱，虽然她分不清大红袍和龙井，但我还是想说......把她手机摔坏那事我真不是故意的!,陈鑫海 Ocean
7,我平时只喜欢看悬疑片的，刚看完不完美受害人剧荒了，大家建议看吗这部剧？,哈哈，小尼子
8,"
“你是归路也是救赎，是一腔的热血与热爱，是撞了南墙也不愿回头的痴迷与喜欢”",星星很闪亮哦
9,为什么这么好看的剧没有热度[捂脸笑][捂脸笑]我不允许还有人不知道这部剧[色],那抹天真丶笑
10,#被坚定选择能多有安全感#被坚定的选择着，不会被抛弃，那么也就注定了，以后会有更加好的人，会一直陪伴着自己，司清景琛，就是这种相处方式,余音绕梁梁
11,问一下？好看吗？, 魅
12,看完了又有一种没看完的感觉，明明那么美好，但是心里有失落感,RT婷宝吖
13,我都不知道看了多少遍了，还没走出来，这部戏对我影响很大[捂脸笑][捂脸笑][捂脸笑],哈伦你看看
14,#司清景琛双向奔赴超好嗑#司清和景琛提出结婚其实是意外的，但其实也水到渠成了，毕竟两个人心里其实都是喜欢的，都在为了彼此努力，真的很好磕,余音绕梁梁
15,一看人名乱七八糟的，溜了,德云一哥于大爷
16,这个男女主真的很好看，而且百看不厌。我是看了无数遍还还看的，一部电视剧。再也找不到这么好看的电视剧了。,暮色伊人✌
17,我有点看不下去了，谁懂啊[大哭][大哭]才第一集，觉得这部剧氛围不是很好[流泪]土里土气的,SoeS_March.4
18,来了来了，一次性更新完真好[666],舞动的茶叶🍂
19,用一生爱你,橙子果冻DW
20,我到现在都还没走出来 已经3刷了 怎么办啊 有没有好看的剧推荐一下呀[捂脸笑],程八方呀
21,好喜欢男主这样的性格，很有气质，温文尔雅，而且也很全能，太温柔了,Double ling 哈哈哈
22,#卢洋洋打工人不像演的#卢洋洋，没房没车没存款，其实是一个典型的社会打工人的形象。为了能够有着自己的小窝而努力着，努力的工作，完美体现了打工人打工魂,狗🐶里狗🐶气
23,千万不能看这剧，看完觉得心空唠唠的,无边海滩
24,反复刷了好几次了，这个剧真的好用心，立意很好：人间烟火气治愈人心，保护非遗！而且在银行工作过的我，真的很能共情司清！景美人美，关键旁边文案写得好美，不是那种俗套的爱情剧，我喜欢，我支持！,上古一一
25,前面20集很好看，后面3集一般般建议不用看！！！,龙王GX
26,#卢洋洋打工人不像演的#卢洋洋所饰演的司清真的和普通人一样，只是在追求房子车子。为了一个小小的家而努力，需要去担心自己的工作没有做好,尘缘火火火火火
27,#被坚定选择能多有安全感#被坚定的选择着，不会被抛弃，那么也就注定了，以后会有更加好的人，会一直陪伴着自己，司清景琛，就是这种相处方式,小涵啦～
28,谁懂啊，我一个几乎不看第二次的人，已经在这里泡了一个半月啦。走不出来，根本走不出来,北港未睛🌸
29,作为一个多年追剧的资深观众，这部剧是我鲜少能够认认真真去看的剧，挺有深度。一开始就是当普通网剧打发打发时间的，没想到才看了几集就令我刮目相看，男女主都将人物诠释得特别好，当代社会的我们又何尝不是像女主那样的打工人呢？演技自然，感觉演员令角色从剧本里走了出来，剧情合理且吸引人，全程没有快进过一次，而且还没有那么多奇奇怪怪的虐点，希望两位演员能够在演艺道路上扶摇直上，平步青云！也希望更多人能够注意到他们[色][应援],不追剧我会S的
30,有谁和我一样为了卢洋洋而来？终于等到了。激动哇。等了好久了，终于等到了。就喜欢这种一次性更完的剧。不吊胃口。[大拇指],七宝茶
31,还有类似的好看的短剧吗[呲牙],简_qq3575
32,我是走了多大运，才能有幸看到一部这么好的剧！！！,安世年
33,最喜欢的角色是司清。她工作认真，敢爱敢恨，处处替别人着想。就算原生家庭给予不了她爱和安全感，她也会通过自己的努力去满足自己。她少女时的爱心也让她拥有一段良缘！她值得被爱！[爱心],超爱弹吉他de端木正祥
34,铁汁们好看吗？说句老实话？,許一世浮华
35,为什么我觉得不仅不好看，还…,安玖f
36,这么好的剧，必须安利，非物遗产是我们国家的国宝，但是保护力度还是不够，应该让更多人去了解,鯨＆雒
37,这部剧看了7遍了，别的剧拜托大家推荐下[应援][应援][应援],法国好吃vvv
