,0,1
0,国民奇探，我觉得还挺好看的，然后又出了一个国民大侦探也还行，为什么又出了一个女侦探呢？越来越拉胯,千纸鹤
1,水军太多了，10分钟一集你确定能好看到哪里？[捂脸笑],y花花.
2,不好看，看了4分钟已经被无语到了，一上来就是女生摔差点摔倒，男生上去抱，差点亲上的桥段，接下来就是男女主还不认识的情况下发生冲突，男主靠近女主，抬女主下巴的挑逗桥段。其次，嘴型和配音对不上，这开头已经弃了,quenouilles
3,就是一看开头。立即对导演和整个剧判死刑，就是那个差点接吻的镜头,糊涂居士🤞
4,这部剧的封面和，良辰美景知几何，一模一样,光明在心里又有什么?_??_??_??_?
5,这种剧看了侮辱智商，第一个镜头就看不下去。,汐汐姐LL
6,有没有悬疑推理群啊,非常厉害  强大
7,怎么回事,👌🏻llinnv
8,这种短剧还不如弄成个电影[捂脸笑][捂脸笑][捂脸笑],卤煮～
9,国民奇探，我觉得还挺好看的，然后又出了一个国民大侦探也还行，为什么又出了一个女侦探呢？越来越拉胯,帅哥王公子
10,打波神探是吧，能不能搞个爱豆区专区，让我们这些正常人看见，受不了,锤爆我狗头
11,本来想看一下的，一翻评论几乎都是模板化的水军模式，就冲这么假的评论，我弃了！,2021时光荏苒
12,拍成电影不好吗？总共一个多小时的剧情非要拍成电视剧[捂脸笑],蝴蝶飞啊2
13,无语😒导演厉害👍🏻 半集都看不完，走人,安流大将军
14,10分钟一集[捂脸笑],大便超人6🏝
15,"海报和良辰好景知几何好像 ，几乎说可以是模仿
",Is the game☁
16,[捂脸笑][捂脸笑][捂脸笑][捂脸笑]不是我不想支持国产剧，但是这个剧是真的给国产剧丢脸，辣眼睛真的没办法看,果児ぃ
17,故事节奏、细节处理和配乐都不错，节奏好剧情紧凑不拖沓,吉祥如意^★
18,看完第二遍悟出了其中环节，有点意思,鑫金谏
19,这是没有好剧拍，临时拿来凑数的嘛。。。。。。,无上元心秋落叶
20,才1个评论？,张亚月月鸟
21,建议别看，降低智商,福福🍓!
22,嘴上没毛，办事不牢,喜欢吃面条的谷梁暄婷
23,李曼的演技越来越好了，扑面而来的悬疑气息,来吃松果
24,这...我都无言以对了,💗💗Yultuz💗💗
25,这个剧的女角色是不是有点龅牙呀[捂脸笑],尼陈大哥
26,民国时期的人，都是小白脸吗，演员有点接受不了,木人居
27,一看都是小鲜肉，就没看头,貌不可相
28,不是女神谈吗，怎么是男的？,好想你一丝
29,李曼不愧是实力派，人物的眼神、角色的设定等都很巧妙,云间一张纸~丿
30,"这个女的官威好大，感觉全部就是她的一样
",ʷʬʷy
31,几分钟一集，瞬间不想追剧了。可以拍长点的吗？为啥都是短剧,糖糖有点酸🍋
32,看的时候情绪都被带动起来了，镜头语言非常的电影化,橘子水的味道~丿
33,好评的怎么都是上海的 这团队不行啊,顽章
34,0514是个啥意思？,桂圆肉🧀
35,演霍青演员好显老哟！比男演员看上去大几岁。,冰姐wx1350
36,为什么我觉得越来越离谱？,千纸鹤
37,我咋感觉烟儿比神探长的好看呢,用户51aa022a
38,一路追着李曼看剧，氛围和情节是够的,保持矜持~丿
39,白看了70秒广告[捂脸笑],就是没有名字怎么啦
40,演太差了，没学过表演的也不能这么演,用户400b31e40270d
41,剧情也是满满的惊喜，每个角色的高光全都显现出来了,迷人带盒5斤
42,一看就没意思,漂亮得玉米肠
43,一群十八线无名小卒，直接弃剧！！！,杨刘颖慧
44,李曼演技真好，希望后面保持这个水准，论是演员，制作团队都很完美,又眠秋雨~丿
45,拍的什么鬼？,153****8085_m1498
