,0,1
0,还是想夸夸端端戏真好，特别共情[鼓掌][鼓掌]这么多年还能让喜欢他的人看到他的演技和进步，会一直支持你，加油啦[应援][应援],猫一吖。
1,怎么一天只有一集呀？不够看,佛山琳
2,演的太夸张了吧,Ann_321
3,人生若觉无作为，劝君多读黄公望！,Ma千俞灬
4,女律师你的上唇被蜜蜂蜇了吗？以前不是这样的啊！,Lucky小言
5,来看美何音老师，戏演的棒[大拇指],花开山香✘✘
6,无限循环的好看,日出于尧Rachel
7,这拍摄地是我们杭州富阳区,追梦向日葵
8,在场口拍的，这些地方我都走过,付姗姗龙女
9,还挺好的，那个爸爸是不是刘老根里的一个演员，怎么老了？,卓然女士
10,男演员这状化的，脂粉气太重了吧！,喜欢喝酒的布衣
11,真应该换个男主,じ☆ve莹宝贝
12,想起来了，二奎,卓然女士
13,这个逆子[捂脸笑],Ann_321
14,好看好看[应援][应援], Fantastic baby~
15,第一个弹幕耶✌,往事如烟(●—●)
16,"好多熟悉的家乡场景
",用户92dcc870
17,太难看了,用户@cbd679c4119c0
18,乱七八糟的事,你无法忘记
19,这儿子是傻吗？,扑蝶🏖
20,怎么没更新,用户3c40d56403cc1
21,太真实了,用户64e6cea1
22,没人看?,。静待花开~💯
23,东梓关,用户8fa1c318
24,好看,冬瓜three
25,打工,喜欢吃烤面包de南门蕴涵
26,你也,Abc 的324427
27,不只是夸张，是太假,金西秀才
28,从父亲的草原母亲的河看着看着就越来越好看，过来看看这个怎么样,乐乐66186
29,白眼狗。。就怎么挣钱的，也是拿来供你上学的，读几天书就说阿爸的钱不干净？？？？,樊凡🌟☀
30,这妈妈眼睛怎么通红？,你的无线网卡
31,男人又没有在外面胡搞,136****3432_m1402
32,为看富阳风景来的。富阳的乡村真的很美[呲牙],云顶亭亭
33,家附近拍的呀，片头是富阳东梓关村的新农居[大拇指][大拇指][大拇指][大拇指][大拇指][大拇指][大拇指],云顶亭亭
34,屋漏偏遇连阴雨太走运了吧端端哈哈,你的无线网卡
35,没人看嘛？,Happy fly
36,好搞笑啊,太阳花🌸开
37,没有人看吗👀,欢欣的橘子💕✨
38,没有看吗,欢欣的橘子💕✨
39,这两父子好搞笑,桅晴💋
40,好看吧，这个电视, 你是我的幸运儿
41,哈哈哈哈😂,*追寻ギ
42,这么漂亮农村,用户58d5a7ee
43,都是熟演员,小圆圆爱吃圆圆的汤圆
44,声音配的不怎么对劲啊,喜欢吃大闸蟹的申屠博达
45,大腿放着我来掐,喜欢吃大闸蟹的申屠博达
46,搞笑吧！脑子坏掉了自来水有纯净水干净！你这面瘫脸脑子被馿踢了吧,用户466c91e4
47,亮剑的段鹏,用户b86674041db00
48,最喜欢看农村励志片，景也美,用户6def089f
49,享受着污染企业带来的红利却还瞧不起污染企业。,用户8c243769
50,传说中没演技的面瘫脸,用户466c91e4
51,别说话了(╬ ‾᷅皿‾᷄ ╬),用户6d973b4c
52,谁敢说话？别发了,用户6d973b4c
53,别说话了,用户6d973b4c
54,谁都别说话,用户6d973b4c
55,神经病！在这胡说八道,用户466c91e4
56,刘端端演技真棒,你的无线网卡
57,欠揍啊这儿子,用户@e506ac241b080
58,这么多年那回追上我，哈哈[吃瓜],用户5d806f53
59,没看头,绝顶聪明的利奥欧瑞洛
60,哈哈哈,👑 ꧁༺蝶舞༻꧂👑
61,白眼狼,德芙说电影
62,那脸,太阳花🌸开
63,没人看,困困困魚🐟-
64,愿意,石从芬1985
65,太作了,用户21db3ca402672
66,不会叫,用户38c720e402134
67,离 赶紧离,用户9ca8ac4418bc0
68,说了多少遍了 开车要注意安全 唉,用户9ca8ac4418bc0
69,好,用户69a67528
70,有志气,用户9ca8ac4418bc0
