,0,1
0,有没有专业人员解释一下 工地发现尸体，不能只封锁发现处方圆百米的区域吗?非要整个工程停工,dicdon
1,[狗头]还要查吗？直接抓他准没错,桃桃酥子🍑
2,这个剧是上来就把底儿交代了？直接解释了为啥叫“消失的十一层”，所以孟川生是大boss吗？,这是薇仔小号
3,有谁和我一样是来看潘粤明的，举小手吧！,奔跑在孤傲的路上😚😚
4,"#悬疑剧圈粉无数的角色#《白夜追凶》关宏峰关宏宇
潘粤明一人同时饰演两个角色，不负众望在这部剧里贡献了他高超的演技，《白夜追凶》也成为了潘粤明的封神之作。",左耳右东😃
5,盲猜一手野人山里有一暗河出口六年前矿难冲出来一个没死,夜语✨💯
6,#悬疑剧圈粉无数的角色#他看起来就不像好人，警察叔叔快抓他。孙岩的角色都好有魅力，明明戏份不多，但是却总能吸引人的眼光[色],亿万富婆(于永义女友版)
7,挺不错的，全员演技基本在线，看剧的时候都不会留意到演技的问题，纯看故事发展。,chicsity
8,#悬疑剧圈粉无数的角色#《胆小鬼》秦理黄姝 两个可怜的人到最后都没有被上天眷顾，坏人毁掉了她们 却依旧过的好好的 最悲惨最让人难过的电视剧,宣欢尼nee
9,家人们 谁懂啊 这种类型我最喜欢了 还是潘老师演的 啊啊啊 一次更新六集 真的好看[大拇指][大拇指],未来beauty
10,看鬼吹灯的时候就觉得潘粤明老师演技一流，冲着潘老师来的[色][色][色]这个剧必定大爆[呲牙][呲牙][呲牙]陈数姐姐铁梨花演的淋漓尽致，又可以刷新姐姐的新剧的，总之一个就是支持[应援][应援][应援][应援]给好演员好剧情打call,欢颜小可爱🍓
11,来看孙岩了芜湖,诸葛钢铁444
12,是根据这本小说改编的，打黑除恶反腐,我又何尝不想心动了
13,不是很严谨，为什么一眼就可以看出来是被人用锤子打死的？就不能是高空石头砸死的？,长草颜子君
14,年轻警员的演员选得真好！有警队年轻人的那种干练劲儿，看着朴素大方、不刻意。便装造型也是实用主义，随时可以在生活工作中切换的感觉。,megaZ
15,第一集果静林说嘴上没个把门的这话时，这变脸的表情绝了啊,犯二的地瓜
16,用魔法打败魔法，所以他才会表现得和哥哥同流合污，在干一件大事,！来了来了来了
17,这个马队长恐怕也是孟总的眼线之一,我喜欢吃糖醋排骨😘😘，
18,看到潘粤明来的，但不知道为啥，近几年这种题材电视剧太泛滥了，看了剧情介绍基本能猜个八九不离十，找幕后黑手为主线，在搞个师徒线跟感情线为支线，制造同质化的反转跟悬疑，最后 徒弟或者师傅最后死一个升华主题，演员没问题，但是真的审美疲劳了。,奥巴没有驴う
19,#悬疑剧圈粉无数的角色#那还得是潘粤明[爱心]，游走于黑白之间，只为还原当初的真相！警弟匪兄的宿命感、战友的信念和相互信任。,朱朋哲
20,这剧警匪，悬疑，兄弟，再加老潘的演技，白夜党绝对可以当提前代餐！而且排播非常友好，连更十天完结！真的很久没有这么痛快的剧了,论文写不完咋办
21,就是来看孙岩的[色],起司我了YAN
22,看完了更新回来给朋友简单说下，前几集把人物的大致关系给交代了一下，期待后续发展感觉曲江河会游走在灰色地带里。,wearnhear
23,来看万鹏姐姐演的盛莉娅[应援][应援][应援]你们呢 一起吗,小九甜甜圈
24,谁懂啊，家人们，一次更新六集,不要太在意🎉
25,剧里有孙岩，孙岩是一个实力派的演员，他一定会火的，尽管现在只是一个配角，但我相信他。,a  」Mr：_
