,0,1
0,没有流量明星的剧指定好看,nshccf
1,没有流量明星，就值得我看看,哈喽哈尼🙊
2,一帮四十多岁的演二十来岁，还谈情说爱😂,跳动de字节
3,没有流量的，第一集看了才20分钟，配音还是怎么的，口型演员说话不对应，还有回声，好多镜头都是先说话，后来镜头才对着人。太烂了[捂脸笑],北京可靠性试验中心（亮）
4,"我们爱看 还不比现在的小鲜肉演的好的多的多啊
",WML
5,不是24点更新的等到现在也没更新,乖乖家家
6,岁数太大了，看着好假。分数高不了,嘉峪关哥哥
7,什么导演，相爱的人不能在一起，,受伤的却是我
8,那个年代的人有这么胖吗,环境检测😆
9,背景是武钢？,脚踏实地一步一个脚印踩死你
10,为了兄弟，父母不是人么，,白美美
11,会炼钢吗？场景都不对,龙过九天🍉
12,不知道好看不好看[狗头],安之若素95588
13,说演员岁数大演年龄小的你可以去看纯偶像剧,刘老九门
14,淬完火再来回个火 再正个火最后退个火 热处理丹心系列 ,胖胖是个大胖狗
15,更新时间不友好 现在很少电视夜间整点更新 除非电视转播或老剧重上线,心中天地 方是至极
16,没流量明星，这剧追的带劲[应援][应援][应援],冯热水
17,如果没太多女生掺合进来演戏估计会更好看[应援],忠心✌🍀
18,都是这种剧情， 烂透了，看都不想看,天涯海角^0^。
19,男主不咋地,茫然！nh
20,有点做作啊,约会百合花
21,第一次看到这么熟悉的电视背景,"dcp0709
dcp0709"
22,良心剧，越看越好看，爱了,项少龙8
23,真心好看[爱心],项少龙8
24,看吕一有美演技也特好[大拇指],花开山香✘✘
25,演员们都那么老还装嫩,用户68adfd7f
26,这年代武钢应该是第二代不应该是第三代人，讲故事都说错了[捂脸笑],用户607b7702
27,支持唐曾 他一直很努力 ,心中天地 方是至极
28,八十年代能够住这房子是市委书记和市长级别,用户66a35f6e
29,喜欢吕一的很多天,*Henry*
30,拽玲报道[应援][应援][应援][应援][应援],直白
31,耿云辉和鞠西雅恋爱事情表白事情,帅哥美男子👪👭👬👭
32,怎么无法下载的,用户a65acd2419180
33,关注度这么低吗？,牟若银（老头儿）
34,好看,情圣诞快乐大本营
35,支持贺秀莲。,西华040
36,几点更新的,用户933948841df00
37,来看唐曾，支持[应援][应援][应援][应援],白浅紫888
38,武汉,喜欢爬山の百里林帆
39,我第二个,用户13ecd124022d7
40,回来,😍😍c cfgh
41,第四个,小白是兔子🐰
42,第三个看[阴险],被唱歌耽误的相声大师
43,有四十几了吧,禁区
44,整个剧情太拖拉,喜欢玩篮球の叱利志专
45,雷电火花,喜欢玩皮化艇de公上耘志
46,我是看《娘亲舅大》认识唐曾的，喜欢听他的声音，更欣赏他的演技。,田园禾苗
47,水渣里把铁锭拉出！石头上面掩一层矿粉入车间！,用户8a2eb27f
48,看得人好少,雪，化了
49,喜欢他们,雪，化了
50,就喜欢这样的年代剧，都是老演员真好[大拇指],超级无敌大露露
51,西雅爸爸太坏了，以爱的名义绑架自已女儿,蓝夕_qq1650
52,选角很大问题，做儿女的偏老，而且演技很差。,686d9aa4
53,工业家庭就是比农业强啊，,国粹传承的
54,这娘们不能要，不像自己亲哥哥,鬼谷下山555
55,搞个按钮放那一按出火不行还人上去笨蛋,爱吃香蕉的尉迟天菱
56,你把赵丽颖丢哪里去了,你的无线网卡
57,穿帮了有摄像头,奋斗《安馨予》
58,医护妆容不严谨,The one day🍂
59,利用闪电,132****5198
60,这是发明了煤气吗,蓝夕_qq1650
61,自动伞那个时候有吗,喜欢跨栏の主父志用
62,打球都不流汗,喜欢跳街舞的端木琦珍
63,来看秀连,ლ^_^__^_^ლ
64,这个假发,伊样挂得
65,两个夫人都不好看,伊样挂得
66,墓园边上的菜苔,郑wx1749
67,40.到50还演大学生,新世纪海螺战士
68,还西撒洗不利,丽托姐姐
69,西北垂王老婆秀莲,李友谊8108
70,知识的重要性,小老头.
71,技不如人，莫欺少年穷,爱喝龙井de公伯绿蕊
72,打火机原理不会,爱吃香蕉的尉迟天菱
73,溜子这名字起的,你的无线网卡
74,大宝也在,你的无线网卡
75,我居然是第一个看的[呲牙][呲牙][呲牙],还发v个
76,跟宋运辉的电视差不多就是买别人的设备,喜欢玩保龄球的南野映雁
77,董晴可惜了！没有好本子火不了了,温厚的哎哟呀
78,我叫傅坤朋,走到最后才是最好😃
79,那个啤酒一瓶一块钱的,151****9217_m1994
80,对啊是崔大可,愚公塞翁
81,找男人找马栓,Follow zhe feeling
82,妹妹好美啊,小糖豆（琪琪）🍧 🍧
83,喜欢看唐曾,喜欢吃红豆沙の公孙昌燎
84,[大拇指][大拇指][大拇指][大拇指][大拇指][大拇指],徐百慧的粉丝
85,这小子这么烦，看到,用户7abeea8401680
86,青山红钢城,用户456c8864
87,喜欢看吕一,李友谊8108
88,应该用武汉话,匿名用户
89,没人看吗？,用户97e64ae419440
90,这有点假的，太狠了吧,用户7abeea8401680
91,我擦，又是四十多岁装愣演二十岁[捂脸笑],用户@ccae89041af00
92,那个年代的年轻人更老气[捂脸笑],用户4995180403252
93,男女主角长的太着急了,用户1258240403264
94,为了学习先进技术，父辈铁橄腰身不耻下问辛苦了,用户b0cd89c418c00
95,腊肉菜苔,用户456c8864
96,这个是武科大拍的吗,用户456c8864
97,现在的武科大,用户456c8864
98,良心好剧,用户@e4d3f9a419340
99,日本人会送她,用户60e448ae
100,这部电视剧好看,用户9bd965c41fa00
101,就知道撑,用户65527368
102,场面好看[呲牙],用户82a4084402700
103,这女的岁数太大了吧,用户2b525404021df
104,为唐曾来,伊样挂得
105,还有我呢,用户6e879c6401f40
106,唐僧悟空帅父？,小妖怪°°°°°°°°°
107,江汉。隶属于武汉。江钢应该就是武钢吧。,用户6c18f207
108,那年代有水泥地就不错了,用户65e03db2
109,那时候就有鱼骨拼地板？,用户65e03db2
110,蛮搞笑，一帮四十多岁的老青年演得蛮有味道[大拇指][大拇指][大拇指],用户834b8bc400280
111,是啊这还是鱼骨拼地板,用户65e03db2
112,小芹最漂亮,用户a869b5c418b00
113,那你没看到龙百川吗？,用户89a6e9e426800
114,我真无语了,用户6808a523
115,不知好看否？,用户@e462c18411600
116,还鹅蛋来,用户8bcdae8c
117,哪有丫蛋,用户8bcdae8c
118,那个年代怎么那么笨,用户b0cd89c418c00
119,唐曾，来了,用户97e655e419200
120,吗去了,喜欢玩皮化艇de公上耘志
121,可以,喜欢打网球de夏侯灵寒
122,早24秒了,用户61815391
123,这假发,你的无线网卡
124,法西斯,喜欢玩皮化艇de公上耘志
125,伏地,豆瓣酱～fai
126,佟嘉庚,用户6de7256c
127,可以,用户6a9e0259
128,[大拇指][大拇指]喜欢,用户@c4aa992418800
129,你,EchoDoris
130,爱了,用户68e51b8f
