,0,1
0,烽火铁骑,坏东西安娜
1,这剧也能第一，太荒了,crazydew
2,这么好看的剧 为什么看的人那么少？[捂脸笑],逸晨想要点一杯Mojito
3,圣诞红包啊啊啊啊啊啊吧我说了[呲牙][呲牙][疑问][疑问][疑问][悠闲][悠闲][666][666][666][拍手][大拇指],兔叽蜜桃俱乐部
4,这配音是真的差,菜菜菜闪
5,只要是抗日剧我都喜欢看,用户55ad98f2
6,又是一部神剧,用户6c293c2c
7,这配音是真的差，不如80年代,278135860
8,这是我看过最差的战争片[大拇指],喜欢旅游的万俟倩秀
9,还有我帅吗？,用户a93f3fa41fcc0
10,俺们沧州,用户90565f841abc0
11,战争时代真的有人笑得如封面这般灿烂吗,梁梁祝你一路
12,奴才现在都厉害了,北京男人
13,真胡天岗哨放的这么近又是神剧[捂脸笑],用户@c58b08841da80
14,这部剧啥时候的？没听说过呢,似水柔情9999
15,严屹宽这么年轻？,用户570cce33
16,战争剧第一？怎么来的,萧山文玩
17,刚看见团长排第二，想着看看第一是啥巅峰之作，啧啧啧，求求了爱奇艺快把团长下架吧，别让团长在你这儿受这委屈,你的懿达_
18,那个年代能有台照相机，太难得了,爱喝西瓜汁.
19,都是什么跟什么呀，作为战争题材，演的很差劲！尤其是又写女演员表现顽劣，太不严肃了！嬉皮笑脸的跟国家家一样，抗日战争就是这样取得胜利的吗？,用户6c293c2c
20,人呢人呢人呢人呢,如果时光倒流😆0322
21,演的有意思，用老目视取景胶卷像机，拍法确是看像机背后的数码取景法，高！实在是高！穿越！,哈哈😃坨坨
22,为什么是这个颜色,爱吃汉堡de子桑采珊
23,为什么出现的一直是伪军，小日本呢，哈哈,.......小清风
24,看这个还不如看抗日奇侠[捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑],鸭肉炒啤酒
25,子弹出膛的声音好假！,潘锡波_qq1677
26,刚看第一集，救弃剧了，看看女的化妆，救知道，神剧来了,时雅瑜
27,啰哩啰嗦,永远的江南好
28,还是实景好看,仙心藏玄 玉逍遥🍂
29,总共就几个人打的热火朝天[捂脸笑][捂脸笑][捂脸笑],[为你画地为牢]
30,不太好看,辰辰😉🙏2014
31,主要是不忙国仇,他不听JAY
32,又是神剧吧？台词，画面都不怎么样。,王小屁.
33,开局十来分钟怕是念叨了上百遍“司令员”，这也喊的太频繁了吧！115师的司令员是谁没数么？一个劲的多频次念叨啥意思呦？,bodhi 菩提
34,应该好看哦,龙少爷香港
35,驳壳枪是从上面按压式上子弹的，不是从下面插上去的，这电视剧看了让人出戏,james9272
36,听说这部剧压了10年 现如今才放映 [应援],吟夏星空
37,照相机像这种两军发生战争起码相距几百米距离拍的到,枫林例子
38,严宽不像好人，不看了。,自我期许
39,这能和我的团长我的团比？,小余不会吐泡泡
40,我的老部队115师,喜欢吃蛋糕de百里逸仙
41,倾世皇妃里面的孟启佑,明月沣
42,拍的好粗糙，还不算抗日神剧，就是很尬[捂脸笑][捂脸笑][捂脸笑],喜欢玩排球de男人
43,第一级就是傻子导演遇见高科技了，话音也不对,五星好评🍄
44,一点战斗常识都没有,爱跨栏的高堂波峻
45,你们看0308秒 士兵那个笑容笑得好开心 打仗呢 你跟我玩呢,曾经一游
46,这不是燕十三吗,请叫我秦先生！
47,不吹会死,张红升小绵羊
48,更新得慢,有情歲月
49,又是神剧,用户8c036668
50,打个半分赶紧撤，连神剧都不如,纯良的大爷我是
51,看不下去了，居然能把团长挤到第二，呵呵…不敢苟同,굴리다.
52,群演都请不起吗？多请几个啊！,倾城yi小伙
53,这枪炮声实在看不下去了，拜拜,大方的戴尔文
54,排名第一 是不是很好看啊,ヾじぇ宝ǒ
55,主演镜头少，演员本身没问题，导演编剧有问题，,EN691
56,好看也得有随时观看的地方想看就能随时看到   哈哈,追剧小界💋
57,这样的剧情还排名第一，醉了醉了,彼岸花，载
58,现在的梦想，只有在抗日神剧中找到点影子。,爱喝红酒の羊角新语
59,总共也没打死几个鬼子[捂脸笑],余本中198110
60,啥声音哟，还是第一次看打仗枪炮声是这样的,匿名用户
61,还不如在刷一遍我的团长我的团和永不磨灭的番号,电信vip🏝
62,花这么多钱，拍这种剧干嘛呢！浪费,嘉俊11
63,这枪炮配音也太差劲了吧,徐徐向上＆
64,这个男演员的剧都不怎么样,@666雨过天晴
65,我看了第一集，一半[捂脸笑][捂脸笑][捂脸笑]然后走了[大拇指],活着不如去浪
66,此片看演员表便断定无看头。,独孤者来也
67,主角看着都好老，不能找些年轻人吗,匿名用户
68,请尊重历史，八路军出师山西时，有伪军吗？,剧爷🎋
69,看到一男两女，又是神剧吗,黄河惊涛
70,才一集不能看 起码得二十集之后再看,阿哦灬
71,同志们冲啊,158****1263_m2627
72,是不是神剧？,爱购物de褚师惜萱
73,这部剧凭啥拍第一？,猪九戒86
74,枪声太假了,啦啦啦啦啦啦啦啦132
75,烂剧一部,张雨辰5777
76,人民群众当炮灰[捂脸笑],淡定从容，坦然面对
77,又是他吗神剧,江骄115
78,又是一部抗日神剧,我心飞扬_qq2416
79,战斗场面拍的不行,独狼8🍄
80,"战争剧第一名？
闹呢",炖了肥波
81,用什么投屏,投屏🌈
82,就看个开头，走人了,爱跨栏的高堂波峻
83,好的好的好的好,奥特曼打怪兽就浴火银河
84,还傻乎乎,奥特曼打怪兽就浴火银河
85,古古怪怪,奥特曼打怪兽就浴火银河
86,亚西给给,&prime;南浔ѵ
87,没有宽哥哪个看哟,北门吹风💫
88,这么狗血的 没什么看的,颜小潴
89,这是武侠片吧？,记得九一八
90,排名第一？,ღ 家辉
91,台词太烂！屁话多！,Seven初心
92,这剧怎么排上来的，,哈哈哈哈姐姐刚刚好
93,排第一名的剧，好看不？,滇南柠檬
94,仗还没打就一脸黑了……,清河水河清
95,怎么现在还在拍神剧啊,三景页💦
96,小打小闹,许连强🍭
97,老剧还是新剧啊,孤品🐣
98,一个打一个师那种吗？,洗面奶..
99,哈哈剃刀反了吧,赵萬民
100,更新太晚了,M为你M守候
101,演的好尬[捂脸笑],Wwrew12
102,音调都不匹配,匿名用户
103,保定啊  县大队 ,匿名用户
104,刚看只有一集,我找不到从前，
105,是神剧吗,上九天揽月＃＃
106,[色][色][色]玩是第一个,匿名用户
107,现代的人都是打游戏不看电视的。[捂脸笑][捂脸笑],用户add029c418b80
108,导演你这拍的有点过了啊，打个伪军你好意思吹冲锋号，太高看了伪军吧，翻篇整个抗日剧也没有向伪军吹冲锋号的,匿名用户
109,拍摄的太粗糙，台词是同学们，下面站着的群演还有些中老年人，,用户65123f80
110,看着特别扭，口型对不上，表情生硬！,用户55868a8402700
111,清一色的白衬衫打底，不知先烈们是啥感觉…,用户67c94438
112,烂剧排第一。。。,匿名用户
113,导演同姓,匿名用户
114,嫩删,匿名用户
115,煤油灯,1238866699887455
116,超时代,言  午＆扌辰♛☞
117,叉烧,袁世臣_qq1707
118,哈哈哈,匿名用户
119,顾茜茜,奥特曼打怪兽就浴火银河
120,神剧！,漪稚7358336
121,好烂啊,爱玩乒乓球的公孙运鹏
122,烂大街,A六鑫福珠宝
123,大杂烩,赵萬民
124,神剧[捂脸笑],wkkg734460092
125,是lan片吗？,sky567899
126,第一[应援],你要加油！。🍂
127,关闭弹幕,匿名用户
128,现在国态民安，也不能忠孝两全,徐茵谊💓
129,出了判头,龙口天下
130,这女儿太老了吧怎么都不像大学生啊,鹅56
131,还是抗战片好看,187****2958_m3470
132,26集太少了,sujkljkl
133,现在导演拍的那有不是神剧的，都是牛逼吹的比天大,风雪前哨🍻
134,看全屏有点模糊，剧情还不错，好片,范大🌟
135,这剧应该拍了有好几年了，今年才审批过,喜串串
136,花姑娘来了[色],傲骨V龍魂
137,这拍的是什么东西啊？我走了，不看了,爱吃橘子的北野令璟
138,景岗山不会演坏人,狐狸猫咪🧀
139,周卫国呢,匿名用户
140,打开附近的,匿名用户
141,愣头青相机也不认识,夢中情😋0915
142,那时候汪精卫还没投靠日本呢？怎么就曲线救国了？？,修J
143,感谢导演，终于又看到神剧了,杨筱筠
144,又是一神剧，9分钟果断弃了,凡人1127
145,[爱心],喜欢举重的高堂正卿
146,又一部神剧,走完过去未走完的路
