,0,1
0,🈶宋丹丹呀，果断不看,小小de幸福🐾
1,说到家庭责任家庭成员所有成员都有占比多少而已,AA &温柔一刀&
2,现在看剧，先看演员，看剧情，看评论，最后再决定看或不看，有一样的嘛，举个小手看看吧！,翩然入君怀
3,电视剧《熟年》谢美琪饰倪书艺,可爱的小天使17
4,哈哈哈哈哈,再酷一丢就很奈斯的哇赞
5,#熟年家庭问题谁责任大#熟年家庭问题很多，二虎想要孩子没错，艳红想要房子去努力工作没错，伟强想要追求自由没错，春梅把一切安排得明明白白也没错，他们的主要问题是没有好好沟通，敞开天窗说亮话，一家人坐在一起，好好说出自己的诉求，彼此体谅，能够解决很多的问题。,慕达夫绝对不是真凶
6,看剧情怎么有点《人世间》现代版的味道[捂脸笑],棉花糖蓝海
7,"#说说生活和工作中的压力#三十多了被催婚催的受不了结了，婚礼前几天被亲妈催生，怀孕跟老公异地都是一个人独自上下班和产检，35周需要住院保胎自己一个人背着包拉着行李箱打了车自己去了医院，好不容易生了以为婆婆来了可以帮忙了结果说住不惯出了月子就走了，现在房子没买自己没有收入带着孩子租房住，老公一个月五千多根本养不起要吃奶粉的娃，老家又回不去，感觉过的压抑又没希望[捂脸笑]
",用户94d9cc39
8,讨厌小姨，感觉这个角色是强行植入的，每次都跳过，长得不好看，还强行出戏,哎呀呀158
9,#熟年家庭问题谁责任大#熟年家庭问题男人的责任大一些，男人所拥有的能力、处理事情的决断力、社交圈子、抗打击力都比较强，遇到问题的可能也比较大，作为男人，应该肩负起需要承担的责任，不能任性妄为。,故里1213💤
10,换了个行业，新工作的工资待遇都不如第一份工作，但是确实不喜欢之前的工作，担心新的行业也做不下去，迷茫,小鱼儿429
11,真好看，有爱的电视剧看哭好多次,K morning I&prime;m sorry
12,这剧太爱装，全苹果手机？不值得追,🐰 🐰  
13,#熟年家庭问题谁责任大#熟年家庭需要多点理解，体谅，大家都不容易，遇到问题的话，相对来说没有责任比较大的一方，需要共同努力去解决问题。,燃燃然然🌻
14,#说说生活和工作中的压力#我主要的是结婚后压力变得更大了，本来是我和老公两个人一起打工，存个首付供房没有问题的，现在我不能理解他拿着首付去创业去了，现在都没有回本，没存款，还有一个小孩要养，生活费只能我自己扛，不敢辞工，没房没车，我想还得靠我自己，打工风险低，慢慢存，总能买到属于自己的房子🏠,魅雅℡
15,有小姨的片段，果断跳过,杨帆只爱最爱许欣怡
16,二胎之前两人一直打工生活很好夫妻感情也好！二胎之后没人带他创业我家庭主妇有时间会去厂里帮忙！一直创业没什么起色总是心情不好！也总嫌我不能帮他！两人感情越来越不好！也欠着债！未来很迷茫,　　上　L
17,#熟年家庭问题谁责任大#熟年需要多点理解和体谅.既然成了一家人肯定要相互包容啊,🍍菠萝味的凤梨.
18,#说说生活和工作中的压力#母胎单身24年，表白过几个女孩子 但是都被拒绝了，好怕以后找不到媳妇儿[捂脸笑],燃燃然然🌻
19,所有的分手都是蓄谋已久，这怎么毫无征兆？把人急疯吗？,渝软软
20,#熟年家庭问题谁责任大#熟年家庭问题不在于谁的责任大，谁的责任轻，而是遇到困难一家人要一起面对，一起解决，这是大家共同的责任，既然成为了一家人，就要同荣辱共进退,小晓笑
21,我是会员，换了新的手机，怎么就不是会员了，这个谁给解释一下,超爱吃拉面de哥舒学林
22,#说说生活和工作中的压力#找到工作了，但是工资不到三千，而且没有五险一金。不敢和父母说，压力好大[捂脸笑]。同学们的工作包五险一金，工作六千打底，多的有一万多…,尘封的秘密终将被揭开
23,书好看，我六个多小时一口气看完。电视剧感觉差了些。,大飞一号☔
24,这电视剧还播不播了，更新越来越慢,Jojer-Z
25,#说说生活和工作中的压力#其实每个人都有着生活和工作中的压力，只是大家都把压力隐藏在心底，很少有人释放出来而已。似乎感觉将生活中的压力说出来就很丢人一样，其实真的没什么。在日常不敢生病，害怕生病，害怕请假，害怕还不上房贷，害怕还不上车贷，害怕付不起下个月的生活费。这些压力其实挺大的，说出来也没什么，毕竟人人都有,🌸奢😄🌷
26,谁的婚姻会是一帆风顺呢，都是相互争吵中慢慢成长，最幸运的是在茫茫人海中遇见你。,A ོོ 、吕会军（不借钱）
27,家庭成员是无法选择和回避的，在一个家庭里更多的是要用爱和包容来相处，家人之间没有对错原则问题，不犯法的情况下，都是以时间为目的，慢慢消化吸收彼此之间不和睦。,好运🍀兔🐰
