,0,1
0,来看演员孙旸,重走去年来时路
1,来看看孙旸[色]哈哈哈哈哈,朵朵睡着了.
2,来给我们继伟哥捧场,w归有
3,一直关注李泓良老师，也希望所有付出真心的作品都能有个好结果。,wxfgs
4,莫成名太老了,爱喝啤酒de小丫头不行吗
5,2023年的新剧怎么会有谢园呢？,Luosakong
6,好久没有看电视剧了。今天特意搜了一下康洪雷导演的电视剧。发现了这个。还没看。很是期待。康导的 我的团长我的团 看了很多遍了[666][大拇指],钟爱你一生🏖
7,来看阿云嘎,生命绽放💤
8,[应援]还不错哦,WJF553191
9,来看肠肠[色],Mr.Serendipity
10,孙旸嘿嘿,王-Kim
11,带这感情来看。父亲的草原母亲是主要描写的，歌颂内蒙古草原的那一段历史。,风中三叉几
12,来看演员孙旸,真的很困呜呜呜
13,莫成名的父亲演员叫什么名字？,诚馨（陈莹珍）
14,什么时候的剧？？？  还有谢园,金鼠⭐
15,这片头运镜真的像团长,他的国✨
16,为李泓良来的。,莱克星敦的枪声
17,z这样的电视剧好看,生命之灯
18,期待着能好看[爱心],卡罗之心
19,图门大叔演的好[大拇指],猴子如
20,好剧，真实[大拇指],猴子如
21,好看，真实[大拇指],樊姿嫣
22,好看，朴素的良心好剧[大拇指],小洁姐🌷
23,朴素的好剧！[爱心],priscilla hu
24,我来看看肠哥,我是法老颜粉
25,孙旸老师继续演下去！,桃之夭夭2021🥥
26,来看银色发光带鱼,panta.q的饲养员
27,终于播了！,windHandy.
28,南京话我喜欢。,圈圈0310
29,[应援][应援]我最爱看,黄景瑜小娇妻。。
30,有幸参演[捂脸笑],苏力德v5
31,为什么我评论被吞了,反方向的钟ivy
32,我也来看看怎么样。,只看喜欢的演员
33,哈哈，我第一个看[应援][应援][应援],禾厺、禾從。
34,谢园不是2022年已经仙逝了吗？？,用户@e4bc81241fd80
35,来看孙旸+1 哈哈哈哈哈哈哈,用户@e780984413940
36,来看孙肠,不知道用什么名👻
37,过去就没有初三，只有初一初二高一高二小学五年制[捂脸笑],用户9413376402100
38,继伟我来了[悠闲],记得看我¹眼
39,肠肠加油[应援],百媚羞月
40,冲康导作品而来！,观sina微博晓天下
41,好剧！拍的精良，演员整体水平都不错！,用户9e7b16c3
42,来看阿云嘎[色],海 底 两 万 里
43,来看安子哥,Υing
44,支持鸿良,战神奥利给2022
45,来看孙旸了,Piwrix.08
46,来看旸旸,用户7442ab8402541
47,来看李泓良[色][色][色],sanzo323
48,来看孙旸hh[色],用户b371c9a418b80
49,aka西海岸邹继伟,用户@e780984413940
50,李泓良老师！！！[爱心][爱心][爱心],用户73a59ec400800
51,呵呵,能里能能啊
52,还不错,爱吃水果摘子草苺西瓜
53,李泓良老师新剧终于播了,🌸苏幕遮
54,比消失的十一层好看[大拇指]值得追,芒果冰amazing
55,我也觉得儿子比妈都老,家庭∨iP
56,人家绿军装你卡其色，特殊？炮兵？,超爱打乒乓球de仲长勇毅
57,印小天怎没在？他最会跳这个,超爱打乒乓球de仲长勇毅
58,为啥讲英语？？？,流云137❤️
59,这片没看点,135****5446_m1702
60,以前有这么好的吃啊,裂缝中的男人
61,这个爹啥也不是,双儿l
62,母子同龄呀,超爱打乒乓球de仲长勇毅
63,汽水瓶好像不是那个年代的,小老头.
64,谢园演的真好，可惜了，走的太早了,小老头.
65,小孩子演的人世间的光明（殷桃的弟弟）,破碎的心林
66,老片新放吗？谢园早就过世了,小老头.
67,没有这十年，现在早就现代化了,王胜传媒
68,看起来年纪那么大，还扎两个辫子,Jdazjm
69,妈太年轻了，以为是他媳妇,"小桃子0
小桃子🍑"
