,0,1
0,笑死我了，国内已经沦落到翻拍日漫了？[大拇指][大拇指],洛实叔
1,现在以胖为美了吗,乐天派😍97
2,有谁和我一样是来看吴佳怡的，举小手吧！,奔跑在孤傲的路上😚😚
3,翻拍日漫？,＆听风々
4,男主哪里胖了 三庭五眼都很精致 有点肉肉 很可爱好吧！拜托不要一味的追求骨感[奋斗],不会吃酸的傲娇小公举
5,看了评论，原来是曲漫婷，还是网友眼力好，在这要是有曲漫婷那么自信果敢就好了,妞妞好嗨
6,这不会是日漫改编的吧[捂脸笑],挥挥手的
7,原型不会是东南大学叭,羽天落幕
8,魔改真的能不能不要那么夸张？真的很让人反感啊，真的感觉很无脑[微笑],桃子qaq💘
9,男主怎么感觉比以前古装胖，是换脸吗？,瞎逼逼啥😝
10,有没有人来看佳怡的呀？,nog憨憨
11,怎么感觉男主好胖哦 肚子都有,爱吃沙拉de公孟烨煜
12,被吴佳怡烈火军校圈粉，喜欢她原声[爱心][爱心][爱心],阳_qq4953
13,#谈谈你的表白经历#是挺紧张的，发消息表白知道他有女朋友了，但就是想亲自跟他说喜欢过他，后面没有得到回应再后面他把我删了,77666✨
14,男主入剧组之前导演不让他身材管理的吗[疑问],April_Lee
15,#谈谈你的表白经历#没有主动表白过啊，被表白蒜么，小学同班， 中学隔壁班，高中又同班，兜兜转转，然后就是一整个大暧昧状态，下课我去他旁边问题，突然按耐不住了说做我女朋友就教你啊！不甜，但是周围那么吵，但是他的眼神就只有你，也说着只有你能听见的话，还是蛮心动滴☺️,大橙子呀°
16,但是人物怎么差别那么大，原番粉狂恐,格调Ella
17,"本次#谈谈你的表白经历#话题活动圆满结束啦！按照互动数（点赞+回复）排名如下，恭喜以下用户抱走我们的奖品！

互动量排名前5的用户，获得爱奇艺黄金VIP月卡的有：
1.	望春尽
2.	亲爱的现男友LOVE
3.	狗里狗气
4.	大橙子呀°
5.	cici欧尼＆

领奖流程：私聊官方账号“评论小桃君”发送“领取奖品”即可领取。奖品将在7个工作日内陆续发放，请大家耐心等待。
❗注意：7天内未主动联系“评论小桃君”领取奖励，则视为放弃哦！

谢谢大家支持，希望大家能在这里收获开心！常来互动",评论小桃君
18,原来小时候他们就认识了，女主不记得男主了,幸运之星200312
19,#谈谈你的表白经历#同一个人表白两次都被拒了[大哭][难过],一只芽芽诺134
20,[色][色][色][色][色][色]粉红色女孩我来了,肖南星⭐
21,#谈谈你的表白经历#有被表白的经历，他把一盒心形巧克力放在储物柜里然后把柜卡给我告诉我有东西给我哈哈哈，我打开柜门当时觉得很惊喜，还会给我讲化学题算是双向奔赴了～,cici欧尼＆
22,#谈谈你的表白经历#可算是更新了呀，就像第一次胆怯表白的时候，胆怯的等待着对方给出的结果。要是第一次表白，也能够等到最后的成果，该有多开心，可惜还是失败了,，，与
23,#谈谈你的表白经历#就高中表过一次白，结果还被拒绝了哈哈哈有点小尴尬，主要是被朋友刺激的，本来只想暗恋，然后朋友都有男朋友了，然后就向暗恋的男生表白了。,酥脆酥脆小面包
24,男主为什么那么胖,RnOrange
25,谁还没有胖的时候，好好看剧吧，男主颜值，演技全都在线，看后特别开心[爱心][爱心][爱心],代雨鑫😝
26,为什么总要把女生塑造成不学习的花痴恋爱脑…2023年了真有人喜欢看嘛,2301686409
27,"很不错的剧 非常甜又好笑，故事线超有逻辑
甜的合理，几个虐心的剧情也很引人泪目
但男女主相互治愈显得全剧都很积极温馨
虽然基于青梅竹马叠加天降的角色关系，但几条感情线都发展的清晰合理，没有不合逻辑的槽点
同时该剧的细节都做的很到位，每条线的道具，动作上都有做出非常符合情节和人物心理的设置
有人说这部剧漫改的很差，但其实这部剧只是用了相似的题材，要说情节有相似的，毕竟是涉及到证明恋爱的题材，有一两个画面是一样的又咋样，
下面算是有点剧透
解释下男女主的关系，男女主童年都因为父母离异而害怕失去，在幼时就互相治愈，在性格方面男主更脆弱，因家庭原因出现的回避依恋型人格在小学就发生作用误会女主不辞而别，女主性格更开朗，但在小学她父母突然离异男主不辞而别，接连被最亲的人不告而别使她不愿面对这一童年阴影，父母离异后都有了新的家庭而她却只能寄人篱下的过往使她在大一时将不告而别后也不予任何邮箱回复的男主作为童年阴影的主体，“像是忘掉他就能忘掉不愿想起的童年”。可儿时的回忆在误会澄清之后更加珍贵和重要，长大后的博士生男主发现自己爱上女主后积极克服回避型依恋人格，女主表面上对男主是“一天多见所以钟情”，实际上可以看出是因为在他身上看到了幼时男主的影子而不自觉靠近他，也有在之后提到，可以说双向奔赴有理有据，温馨点很甜，虐时也非常引人感触",真刘旭
28,吴佳怡姐姐 能不能多拍点剧,日向雏田tt
29,喜欢小甜剧，喜欢甜甜的剧情，有一样的嘛，举个小手看看吧！,翩然入君怀
30,"其实也不是巧 只是你留意到他了 
",逍遥ん ⁶⁶⁶
