,0,1
0,这是郭晓婷什么时候拍的啊 突然上线了 都不知道,星空文乔
1,本来是冲着郭晓婷来的   没有想到郭晓婷居然会演这种小成本的网剧 看起来不错 就是没热度,郭琛
2,爱情片还是搞笑剧，背景还配笑声，无语,2368621787
3,烂剧，浪费我时间 ！！！,邪翼
4,这啥时候拍的看着很老却刚上线,鸢子吃啥也不加糖
5,作为下饭剧，还可以[微笑][微笑][微笑],宇宙法则
6,挺好看，挺搞笑，突然上映意想不到[捂脸笑][捂脸笑][捂脸笑],完美世界完美人生😝
7,笑死我了,郭琛
8,看到郭晓婷打开一看，还挺搞笑的。切错音效演雷雨那段爆笑[应援]还有一些小笑点：倒杯子水比喻戏的收支情况、男主被电、男主剪发型等。,剧情演技服化道滤镜音乐
9,来看晓婷啦[应援],悲橙.
10,刚看了第一集背景笑声太大了,夜送归客🍓
11,不太喜欢看这种 类型的电视剧,寻仙之地
12,我趣新剧哎,宝贝丫头片子
13,稻草熊出品的欸,爱吃坚果的梅子
14,这是情景剧吧？哪是电视剧啊！,用户@cb2b1e0418e40
15,演的好尬,晴川雪
16,很突然   让我发现了 这个  好看哦  ,老師老失戀ヽ
17,毫无宣传突然袭击啊，好看好看,匿名用户
18,背景声为什么那么多笑声[捂脸笑],甜甜子嘻嘻
19,好好笑，在众多剧里拼出不一样的精彩[大拇指][应援],美好的时光168
20,新剧不喜欢 最近新剧太少了 [捂脸笑],。。。。😊AlexandeMia
21,"就是这么突然，刚刷新就看到新剧了
",狠丿想你
22,这是小品还是情景喜剧,carol-🌝
23,来啦来啦[色],北国雪茫茫
24,为什么评论这么少,迷己已
25,没看懂嘞,无语了.你
26,有点像爱情公寓,用户b09ff104001c0
27,这是什么剧呀,用户b09ff104001c0
28,好尬[微笑],玊笛
29,这怼脸拍好尴尬,-_-苏💕
30,笑死我了哈哈哈,-_-苏💕
31,好好看，有意思,烟雨蒙蒙2015
32,咋没有弹幕啊,精神小妹.🤩
33,看来，误会你啦,鹅鱼03
34,不分手才怪,鹅鱼03
35,这男的，服啦,鹅鱼03
36,你,Abc 的324427
37,我又来了一个,用户@d4b6e5c41b040
38,笑死了,宇崽*
39,雷雨,184****2942_m1637
