,0,1
0,为啥这么老土的剧情，我还是想看呢[捂脸笑],想唱歌的张强123
1,hey bro，你这下凡历的劫有点特色啊哈哈哈,冲动消费98这一年要把爱奇艺看烂
2,我去一上映就是全集，刺激,只是看看电视电影
3,hey bro哈哈哈哈哈来看大黑龙的小甜剧了,奶茶自由！
4,开始把男主看成姜潮了,A  蕾蕾 🌸
5,大黑龙这历劫的不错啊[大拇指],皓研666
6,男女主的颜很可哦，耐看,历竹韵000
7,"看到女主的嘴
，算了，我退，哈哈",我的小草宝
8,各位都是跟我一样是从抖音里看到来追剧的嘛[呲牙],水兰水
9,这不是白衣校花和大长腿的男女主名字吗 古早玛丽苏神剧[捂脸笑],Cheryl是个大美女
10,全集？？这么厉害！,哈秋K
11,期待演员林柏叡～一路走来真的不容易，大剧小剧都演，任何角色都矜矜业业！一定会越来越好[应援][应援][应援]陪你走花路,怪味玻璃软糖
12,大黑龙混的不错嘛,🍒咩咩.
13,我的大黑龙[色],早点睡晚安宝
14,竟然十五集全部更[色][色][色],紫墙不息
15,一集只有十分钟吗？太短了,幸福从这一刻开始223
16,陈垛朵在不在,落叶惊残梦♤
17,来见大黑龙来了[色][色][色][色],好无聊¹
18,[微笑]来看看林bro[微笑],千咒⭐
19,一天就看完了，在来一遍,谈笑风生的一个人的伤
20,我爱看我是土狗哈哈哈好久没遇见这种剧了,(龍缘)
21,这部大黑龙吗,吴倩的梦中老公
22,还是比较喜欢看短剧,多喝果汁呀！
23,我去一上映就是全集，刺激[色][色],张岳🤞
24,这个电视有点跳,月月@一
25,严智超好漂亮好灵动呀，简直是绝配。,充电五分钟_装逼两小时w
26,商阙变少爷了，有意思[应援][应援],6妹′00
27,大黑龙变霸总，尊上变奴隶哈哈哈哈哈哈[捂脸笑],兔兔爱波波
28,林柏叡电视剧台词都有很大提升，特别贴近生活，接地气,动漫迷i_小说控i
29,大黑龙，我来了[色][色]刚看了东方青苍，现在来看你了哦，好幸福[色][色][色],가장
30,停不下来，林柏叡演的很不错，比以前演的的那些好看多了，暧昧期的那种让人悸动的感觉,范二菇凉不年少vv
31,任浩铭好让人心疼，剧里的年轻演员们都表现的不错,灰太狼_红太郎
32,就喜欢这样一次性更完的[色],蝶恋鱼.
33,严智超真是因为颜值被低估了电视剧的演员，服化道也精致,萌酱_小可爱_e
34,严智超不仅身材好而且还这么有气质，拍摄手法很符合年轻人的口味,全宇宙少年萌主
35,"苍兰决主演都下凡历结了，小兰花（虞美人）
东方青苍的(肖铎)[呲牙]
大黑龙的(任浩铭)[捂脸笑]",樱桃味的安雅吖
36,严智超真的有进步 眼神以及内容都很到位 期待他的继续发展，剧情很新鲜,请叫我小祸害e
37,林柏叡电视剧不错，从一开始关注他，导演真的很会调教演员,人心凉薄cd
38,来了来了我是土狗我爱看[色],李子嘎嘎
39,谁不想拥有一个严智超大大这样的女朋友呢，期待接下来的剧情,祭岛黎梦
40,严智超好漂亮好灵动呀，这部剧比小说的故事情节还要精彩呢,卡尔27连击
41,本来不看短剧，一看是大黑龙打算看看,浪漫空气🎁
42,严智超电视剧很好，期待下一期，这简直就是今日份快乐源泉,梦想拼不过现实_w
43,看了目前所有更新的集数，挺好看的，编剧好会写代入感的剧情,鉴标师
