,0,1
0,不打十分对不起我对这部剧的喜爱，希望能有第三季第四季,抹茶甜点
1,一定要有第三季啊！！！！！！！真的很喜欢（哭）！！！好久没有这么喜欢的国内电视剧了！！！一定要坚持拍下去！！！求求[大哭][大哭][大哭][大哭],冷漠无情的菇凉芯子
2,兄弟们推上热搜有机会看破四[应援][应援],.酒笙🍦
3,第二季。韦正就是我的神！前10年看公寓，以后破事就是我反复刷的电子榨菜了[大哭],是泡泡🦆🏖
4,我怎么看不懂，也觉得不好笑[捂脸笑],润喉糖💞
5,啥时候出的2？今天刚知道,喜欢举重の漆雕2
6,韦正：“我决定了，如果我这辈子还有希望拍破3，我要在破3里重搭公寓，把两个宇宙打通 ”,✔烟花易冷か
7,小时候看爱情公寓，长大就看破事精英了，希望今年能开拍破事三，韦导加油，豆瓣评分8.6应该不低了吧！,不会的克里斯💝
8,导演 看到十多集了还没看完  忍不住来给你评价  制作非常用心  特别是看到非黑即白这里 小时候看爱情公寓长大  导演  你是不是没钱买流量 都出第二季了不声不响的qwq  我好想狠狠的支持你  可是不知道该怎么支持你 给爱奇艺充会员能落到你手里吗？ 我希望你能得到应有的报酬   你真的太棒啦！！！！！！！[应援][应援]希望优秀的电视剧能让更多人看到,小欧妮2016
9,没看第一部能接上吗？,朝阳必将东升♥
10,没做宣传嘛，上了我都不知道[大哭],酥蟹君
11,非常好，三刷了，还是觉得好看,追逐流星之人
12,救命啊我好像脱离这个世界了，为什么2出了我一点不知道，我还是今天才点进来才发现的，热度呐，短视频呐[捂脸笑],喜欢吃锅巴的诸葛绍钧
13,看了十来分钟看不进去了，就像之前爱情公寓，武林外传，从来没看过，个人感觉没意思,爱吃火锅de南荣云溪
14,有谁和我一样是来看李佳航的，举小手吧！,奔跑在孤傲的路上😚😚
15,[应援][应援][应援]等待破三！,1004275709
16,这个电视是唯一一个让我专门来写评论的一个电视剧，内容有喜有悲人生意义深重角色选配非常完美，希望能拍第三季[爱心][爱心],完颜亮🏖
17,宣发有点………………播出了很久我才知道出第二部了，，，来迟了！！！！啊啊啊啊啊啊啊啊啊啊啊！真的质量高，可惜没什么热度，，，欸，希望大家都顶顶,王王今SAMA
18,看过第一季的集合了！,奔跑在孤傲的路上😚😚
19,梦回那个花瓣飞舞的地方，和那5季不变的橘子[大哭],用户8e4ce6841fa80
20,专门为了破事冲会员 有第三季吧[应援][应援][应援][应援][应援][爱心][爱心][爱心][爱心],萱萱0415
21,怎么打分？？？这么好看的剧！[大拇指][呲牙],初五川
22,看过第一季，为第二季而来的请举手，看看有多少人啊！,翩然入君怀
23,破三什么时候出啊[色],啊哈哈哈23333
24,看了四分钟不到，确定这剧能看下去.受不了，什么鬼,亩域
25,第一次评价电视剧，爱情公寓刷烂了，破事精英简直更上一层楼！韦导牛逼！期待第三季！[大拇指],ycmlwhw1985_bd1682
26,"因为喜欢爱情公寓和破事精英很久了，所以自己写了一本同人小说，《某不正经的破事经理》
请大家多多捧场",应是缘未了
27,好久没有看过这么好看的情景喜剧了,qzuser_qqw05r1
28,热度怎么搞啊！我想看破3,重生之都市仙尊龙傲天
29,"看了几集，真心看不进去，继续拍爱情公寓6吧
",用户@41fc392f
30,一起开头让我想起了群星里面的一段话:巨型企业可以保证其雇员永远不会没有工作。永远。在他们的生命燃尽之后，尸体会被分配到一些简单的工作。这样他们就可以继续养活自己的家庭，并偿还自己的债务。,陈嘉龙🍧
31,超好看！！！希望能有破三！！！[应援],尹殇灵
32,这剧诙谐，又带有一些讽刺，到底还得是有点社会经历的人，才能看懂其中内涵了些什么,ctrlc潸然
33,三天刷完整部剧，它真的太搞笑太好看，根本停不下来,造梦机🎐
34,这就开始逼他们离职了，破一让集团硬生生止住裁员，然后董事会就开始了，你们不愿走，可以逼你们走，呵！老套路！,拥护啥意思嘛🍡
35,这也能出来？？？？,冰封之心.
36,谁懂啊兄弟们，喜剧之光应当如此！,咖喱辣椒▲
37,宣发怎么回事，我等了好长时间，以为暑假出，要不是今天刷视频意外发现，我都不知道已经出了，完结都俩月了。,孤独变成习惯
38,和破事精英二合影留念,潞潞吖
39,我就想看炸掉万兽的视频,克丽奥的驾车人
40,为什么有2不知道[捂脸笑][捂脸笑][捂脸笑]看了小红书才知道……心中了苦说不出靠这部剧,看书呆呆
41,不是 几乎没有123星 你告诉我8.3分 271你脑子有点问题吧？,150****1562_m2630
42,让我看看有多少人是来看狗哥的[狗头],努力小铭
43,大力的发型不适合她[捂脸笑][捂脸笑][捂脸笑],橙子先生爱你哟
44,加油加油希望有第三季好喜欢破事精英[应援][应援][应援][应援][应援][应援][应援],萱萱0415
45,从第一季追过来的，当时就和身边的人强力推荐了，有梗有主题有爆点，能给人带来欢乐但又不是单纯的喜剧，很有意义，我的快乐源泉，这一季来的悄无声息（至少对于我来说[捂脸笑]），听说之后就立马来看了，已经成功带动周围的人一起看了，大家都很喜欢。良心好剧不怕没人看，希望出破三，继续往下出，我会一直追下去的！[呲牙][大拇指][应援],酷盖的帝国女孩
46,看微博，导演说这剧热度不够。特地发评论增加一下热度，还是希望看到第三季的。我平时都不充会员，这个APP也是为了看这部剧才下的。希望能有第三季吧,emilia2018
47,真的很用心，艺术方面和思想内容方面，都可以说是至少第二梯队的,Decemberier
48,轻松还又脑洞大开，还是熟悉的感觉，超爱情景喜剧，希望破事精英34567快快上线[应援][应援][应援][应援],wenwen雯儿~
