,0,1
0,要是没有女主的话可能会更好点,@垃圾人物
1,"#洛星星身兼数业惹人心疼#本次话题活动圆满结束啦！按照互动数（点赞+回复）排名如下，恭喜以下用户抱走我们的奖品！

1-5位的用户获得随机主演签名照有：
1、＆`Miss、you＇
2、吸氧气的懂事
3、木子那个李
4、氧气满满
5、教练我想打篮球

6-10位的用户获得周边T恤1件的有：
1、会吸氧飞的鱼
2、大虾大虾大虾
3、松粟酒有五十度甜
4、同珠
5、3209雁

11-15位的用户获得黄金VIP会员月卡1张的有：
1、静呀~
2、咯叽咯
3、大李的小懂事儿
4、炸毛可乐
5、帅哥13141526

领奖流程：私聊官方账号“评论小桃君”发送“领取奖品”即可领取。奖品将在7个工作日内陆续发放，请大家耐心等待。
❗注意：7天内未主动联系“评论小桃君”领取奖励，则视为放弃哦！

谢谢大家支持，希望大家能在这里收获开心！常来互动！
折叠
#洛星星身兼数业惹人心疼#",评论小桃君
2,木子洋的帅气可不止一点，那可是帅气爆表[应援],大虾大虾大虾
3,#洛星星身兼数业惹人心疼#身兼数业的星星让人心疼也让人佩服更让人羡慕！心疼他每天早出晚归的挣钱，佩服他的不怕苦不怕累，羡慕他有何阳光和一群好伙伴！,同珠🤗
4,看到中间我还紧张死有女朋友。看到后面笑死了，女主真的只是工具人，我只能感叹导演真的很会，真的很会[大拇指],CrisKaa
5,#嘴强王者木子洋是有点帅气在的#有被木子洋惊艳到！好帅[色],木子那个李🍑
6,这是双男主吗[色],杨玉环飞天
7,cp是不是双男主 不是就不看了,雷咯路
8,#嘴强王者木子洋是有点帅气在的#不光帅气，木子洋还很温暖善良啊[可怜],氧气满满
9,嘿嘿就喜欢这种双男主的剧[应援]刚看完棋魂,皮皮子💯
10,心疼星星，真的太不容易了,咯叽咯
11,来一个木子洋这样的大帅哥！我可是非常专一的人，爱男人只爱李洋,Dasy呆兮
12,这是爱情剧，这不是两个男主吗？[呲牙][呲牙],紫泪无痕love薰衣草
13,#洛星星身兼数业惹人心疼#这个我一天内全部看完了，给我感觉还是很不错的，大家可以看看[色],帅哥13141526
14,有谁是磕cp来的吗[应援]？,夜木木夕！
15,#嘴强王者木子洋是有点帅气在的#木子洋超帅的，演技也棒棒哒！,喵喵喵喵喵🐾🐾🐾~
16,"#嘴强王者木子洋是有点帅气在的##嘴强王者木子洋是有点帅气在的#本次话题活动圆满结束啦！按照互动数（点赞+回复）排名如下，恭喜以下用户抱走我们的奖品！

1-5位的用户获得随机主演签名照有：
1、教练我想打篮球
2、吸氧气的懂事
3、＆`Miss、you＇
4、木子那个李
5、氧气满满

6-10位的用户获得周边T恤1件的有：
1、大虾大虾大虾
2、喝水楠
3、海底小呼呼oO
4、McHdtls
5、My欧气满满

11-15位的用户获得黄金VIP会员月卡1张的有：
1、喵喵喵喵喵~
2、用户449d1e3e
3、一头肥美的牛
4、irissssooo
5、有一只可爱的小羊

领奖流程：私聊官方账号“评论小桃君”发送“领取奖品”即可领取。奖品将在7个工作日内陆续发放，请大家耐心等待。
❗注意：7天内未主动联系“评论小桃君”领取奖励，则视为放弃哦！

谢谢大家支持，希望大家能在这里收获开心！常来互动！",评论小桃君
17,#洛星星身兼数业惹人心疼#心疼星星，还好有何阳光在一直陪伴他，还有一群好伙伴,＆`Miss、you＇
18,为周楠来的,好名字一次就够
19,[应援][应援]真的很好看具有文化艺术气息，集聚正能量[爱心],დ与樱花祈愿ˡᵒᵛᵉ✨
20,"何阳光这嘴欠的样子，真的让我觉得是木子洋在本色出演哈哈哈哈
",阿童voA
21,这部剧怎么这么不火，感觉挺好的[捂脸笑],时迁月.
22,二刷了，小吴真的很上头[捂脸笑][捂脸笑],用户1f9498a420841
23,#洛星星身兼数业惹人心疼#新的一年，积极的生活吧！[奋斗],木子那个李🍑
24,懂不懂规矩呀，狮角不能用手拿的！[咒骂],Killer－澤
25,是不是双男主cp,莫炅梅
26,#洛星星身兼数业惹人心疼#积极的心态去积极的生活，加油！,氧气满满
27,"是双男主吗
",风一样的人生，水一样的性格
28,封面双男主,哎呀0123🍭
29,#洛星星身兼数业惹人心疼#真的很辛苦，心疼,教练我想打篮球🏀🏀🏀
30,是周楠啊，又出国啦，这是阳光励志的剧吧给他一个好结局哈[大拇指],麽麼糖小钰
31,哪有那么神经病的人，我还投诉你呢,点了个点儿😁
32,何阳光贼聪明！,-脆脆鲨.
33,是双男主吗？,Johnson_小白
34,"＃被木子洋墨镜造型帅到＃
冲浪了这么多年，这是我第一次这么认真的对待。我怀着忐忑的心情拿着手机盯着屏幕，迟迟不敢下手。我怕我一旦说出来，有人会觉得我在拍马屁，又怕我的评论会误导后来的网友。为了写这次评价，我鼓起勇气喝了999瓶忘崽牛奶有信心。我客观，公正，如实的写下自己的评价：木子洋是我见过最帅的男人！谢谢！",海底小呼呼oO
35,这里面的洛星星和人世间里周楠人设差别好大，吴幸键角色塑造力还是可的,珂Jessica
36,夏天和黄轩那种气质真的还有点像的,麽麼糖小钰
37,木子洋这么帅不多拍戏真是可惜了！,海底小呼呼oO
38,木子洋是我的天菜无疑，看起来很潇洒，但实际上很温柔的一人呀,桾梨4.4
39,来4刷了吸吸,拾祺睡不着_.💤
40,#被木子洋墨镜造型帅到#洋哥戴墨镜超帅的,昊哥的 na宝
41,"有被狠狠拿捏到,李洋你照镜子真的不会被自己的脸帅到吗？",軟妹文文
42,"谁能不说个洛星星惨！跟奶奶相依为命，没有父母，身兼数业来回奔波，幸好他有一群好朋友
",南凉小姐姐
43,啊哈哈他们两个在一起真的好嗑啊，感觉你们才最般配,1简单低调1
44,超喜欢热烈阳光的人！喜欢木子洋就是这个原因，总是笑得很开心,六曰的安
45,双男主剧情？,是禾禾呀.
46,谁不想要一个竹马？从小玩到大，最后长成一个大帅哥！今晚就做这个梦!,杰儿的猴
47,来了来了提前开播一次性看完全集不错,笑呵呵的暮雪流年
48,何阳光大聪明[应援],给自己的所有心事
49,木子洋真的好适合演戏[色][色]喜欢！！！,kkkkk子
50,双男主吗,Sariel_qi
51,能一次性看完是我没想到的[色],木貔貅.05
52,除了奶奶和盈盈，星星又多了一个号哥们儿，这样的生活还是值得期待的,小陳很奈斯_
53,木子洋[应援][应援][应援]干啥都好厉害啊！,kkkkk子
54,可爱又温柔 谁会不喜欢呢[色],海底小呼呼oO
55,木子洋帅气温柔身材好 每天看剧都好享受 要二刷三刷四刷[亲亲][亲亲],海底小呼呼oO
56,#洛星星身兼数业惹人心疼#用积极的心态来治愈心中的伤痛，还好有阳光陪在身边，从未远离。,森林里有个女巫
57,何阳光和星星一起出现的画面，我怎么觉得特别养眼呢,我的宝贝微微
58,#木子洋是何阳光本人吧#来一个木子洋这样的大帅哥！我可是非常专一的人，爱男人只爱李洋,逸晨想要点一杯Mojito
59,谁不想拥有一个这样的竹马！李洋你下辈子投胎到我邻居家里吧，我们做青梅竹马呜呜呜,温礼恭谦让
60,听说有在我们大英县取景,LiaoAxc
61,两男孩子都挺帅的，好喜欢呀,，，，，，2🤟
62,#木子洋是何阳光本人吧#来看何阳光啦，竟然能一次看全集，爽诶！,卢江宁
63,#嘴强王者木子洋是有点帅气在的#木子洋好帅啊，还幽默风趣,教练我想打篮球🏀🏀🏀
64,冲着封面双男主进来的，没带很大希望，但[大拇指]没想到把我拿捏了，不错不错,诺宝儿崽
65,确实是有一些的吧 不过肯定是跟我们的小吴相比还是差点的[大拇指],tomorrowKaitlyn
66,为了屠芷莹来看的，难道没有人觉得这个女生长得非常可爱吗，五官这么精致，演技也很自然，而且年龄还很小，我太喜欢她了，可她就是不火，人气不够，拍的剧都是小成本制作的，微博评论少的可怜，期待她被更多人喜欢，我要为她充会员去了,雪莲冰帝
67,洛星星是不是演过他在逆光中告白？ 感觉看着有点像呢🤔,Aurora.！😄
68,那么多年不见，还能一眼就认出来，这样的友情让人羡慕,敖梦彬
69,夏天好优秀，把舞狮都带到外国去了，人还那么帅气，身材还那么好,哟哈哈哈@
70,夏天这个名字就很好啊，主要是现在正冷的时候看着很温暖,二木成林🎀
71,奶奶不记得星星了，看着就难受，毕竟她那么疼爱自己的孙子,瓜皮紫云阁主
72,有时候真的看不得老人家生一点病 也好心疼星星啊 交换生的机会也放弃了,养一只猫。💤
73,看看还有谁不服我们中国舞狮的，就是要这样发扬,魔仙堡小仙女🌻
74,不得不说这个还是很有特色的，比较我们传统文化可不是吹的,零玲玲啦
75,我就说很脸熟，原来是人世间的周楠，楠楠你懂事点，别让你爸妈操心,sky森烯
76,看多了舞台造型，第一次感受到青春版木子洋~这个男人可塑性有的说的！,ShoshanaI
77,一次性看完好爽！,海底小呼呼oO
78,何阳光贼聪明！,海底小呼呼oO
79,竟然可以一次性看完[应援][应援],Lee~_qq1209
80,#嘴强王者木子洋是有点帅气在的#木子洋！！他不帅谁帅！！,＆`Miss、you＇
81,为啥都是全集啊[流泪]没会员,西瓜味的奶昔✨
