,0,1
0,宋佳这位演员真的不怎么样[捂脸笑],麒宁😊
1,有宋佳就弃剧 没颜值没气质 没有高级感 永远不如赵丽颖………,阿佳拉🍭
2,"今年“风”字电视剧真多   
风吹半夏，
我要逆风去，
纵有疾风起，
向风而行
不知道哪部剧会大火  只有一部还没播了[应援]",momo~!
3,皇族不言弃[666],只是、罢了
4,救命🆘还有什么电视好看呀各位[色],Aries^🍒
5,宋佳的脸是不是整过容了？显得僵硬的很。,_丛中笑_
6,谁和我一样是为了靳东来的，举小手吧！,奔跑在孤傲的路上😚😚
7,赵丽颖有气质有高级感认真的吗？有点甜有点小可爱而已吧。,꧁开心果果꧂
8,靳东现在演技都固化了，千篇一律,Miss郑好好
9,哇，那英版 出现又离开！好好听,明逾
10,狂飙后还有什么好看的吗？,931813728
11,《人生之路》特别好看,爱热巴宝宝~
12,个人感觉从琅琊榜和伪装者以后靳东接的本子都不咋样了,淡然一笑_qq4159
13,马伊琍取代宋佳这部剧就会无懈可击,六码看去
14,刚来，问下这剧好看吗？,上纲上线110
15,怎么回事的，最近上映的都是青春爱情片，看不下去，能不能上点缉毒片，警匪片，古装穿越，悬疑推理的,゜拿破仑
16,主提开始的歌曲谁知道呢回一下,foreverca
17,不喜欢这个宋佳演的任何影视！,爱上网的延陵烨伟
18,"很妙啊，片头不舍得快进啊。很好听
而且首播wu集啊啊啊啊啊[666][666][666][666][666]",北山移动 季长姣🌈
19,看了几集，就觉得，你们要真的没有好的剧本，做点别的，要凑数的话，就不怕前面的好口碑被这几部凑数的给毁掉了，,爷们QQ🐾
20,这剧都不知道怎么说，怎么看都看不进去,华哥/玲姐
21,感觉靳东在这部剧里的发型不好看吖,wulianyway
22,宋佳人很好啊，她人好戏好，就是喜欢她！,Archangel灬彦
23,还是喜欢明楼,李根儿
24,贺涵，下雨了，你在哪儿？[捂脸笑][捂脸笑],奔跑在孤傲的路上😚😚
25,靳东演技不如以前了，表演痕迹重了！,牛牛牛202003
26,这传播到底是正能量还是负能量？,小勇哥789
27,宋佳和靳东！都是实力派演员谁懂！终于合作了！,飘到了彼岸去
28,很想说片头曲那英唱的，很想弃剧，不喜欢她的声音。,姑娘雨中漫步
29,我着么觉得挺好看的…,墨西柯
30,我是来听歌的，来自于梁博的《出现又离开》,听梁博的歌最幸福
31,有田雨做配角的剧，我都追，错不了,就叫我洋洋吧･᷅ὢ･᷄
32,各位大神，好看吗？其他剧更新太慢了，实在没什么看的啦[捂脸笑],爱赛跑的的仲长项明
33,靳东的戏路太窄，总演类似的霸道总裁，真是看够了。如果没有新的突破，就早点退休，不看好你…,飞鸟阿果H
34,东叔就不能来点新剧了吗，模式化了呀,KiNo-NaWa
35,我是看完回响专门来看宋佳的,饭饭芳芳莹莹
36,片头曲真心太好听了[应援][大拇指][大拇指],听梁博的歌最幸福
37,出现又离开不是梁博的歌吗,小米🍦🍍🎂0127
38,这部剧太有年代感了！太好看了，,爱吃桔子的兰芝
39,此句简直惊动人生观，[捂脸笑]这部剧的结局不好，背后捅刀子，到最后还走到一起，不管什么借口，恶人就是恶人，真毒,余额宝💯ྀི
40,宋佳的演技还是有目共睹的，不得不承认不错[大拇指],不是当混子的料
41,黑黑黑的屏幕，就不能亮堂一点[睡],爱操心的女娃
42,看宋佳来的[爱心][爱心][爱心],紫一画
43,看了两集，没看出名堂，不好看,69fe4709
44,东哥老啦，肚子也起来啦，大背头不好看,憨田莎莎
45,谁和我一样是为了小宋佳来的，举小手吧！,温馨的老家
46,片头曲用那英这烂嗓破歌好违合好突兀 差,Mr_安先生28
47,还是贺函最经典  这个发型有点油腻,爱喝龙井的你大爷
48,喜欢看宋佳演的剧,风的样子222
49,看完高启强安欣来的[呲牙],小杨 男装 西街绅士馆
50,这些人听见加班两字，像打了鸡血一样,哦哦立体库
51,田雨，靳东两个好基友，[捂脸笑]，有他两的电视剧绝对完美,旧情绵绵-🎀
52,宋佳演技太差了,就这个调调专属mi
53,龟田一郎别以为我不知道你在这,Xuplian
54,有靳东的剧就不会差吖,韩韩-韩大宝
55,我看山海情或者老农民去,g1439
56,看了第一集 我尴尬癌犯了,胖胖胖胖不乐
57,社会我东哥，老总范十足！[应援][应援],奔跑在孤傲的路上😚😚
58,科学就的有这些奋发图强的人,聪敏的哈哈哈@
59,这首英文歌曲名叫什么,喜欢看书の左丘平凡
60,靳东只会演这种类型的,化风行万里。。
61,唐尘妈妈谁演的,闲云(徐东林）
62,纵有疾风起,如意安好🍎
63,这剧简直可笑！完全没有任何逻辑，一个背叛背后捅刀的爱人造成辛辛苦苦打拼的公司破产，最后又走到一起简直是高手编剧[赞],Litte Dragon
64,人性可以这么伟大了？看来是我格局小，这局编导是小孩子？根本没什么逻辑。,啊柳🍓
65,知道这部剧是因为片尾曲的出现又离开,如影随光
66,火起来2023年的第一部剧[大拇指][大拇指][大拇指][大拇指][大拇指]顶起来,路过♍
67,某天99贴膜突然说他沒有 通 ,请别错过我.
68,一郎和鲜儿重逢了。闯关东转眼十五年了！不敢相信。那时的靳东，跟现在判若两人，真是俊美少年，眼眸单纯清澈，深情款款，风度翩翩，一身贵气，一出场就是惊艳！相信很多人至今难忘，千金难买少年时啊。宋佳经历岁月沉淀，女强人的气场越来越强，大气美人。,留守儿童CC
69,纵有疾风起，人生不言弃,breachmotten
70,四。宋佳漂亮+气质,chi tar
71,受不了了… 一个pr危机需要15个人出主意！！？？,152****0771_m1156
72,那姐的歌声可以的,你的强哥ge
73,摩托罗拉,狐狸未成精~只怪太年轻
74,为了听那英唱的出现又离开也是拼了,几何jihe😄
75,宋佳演什么都是一个表情,丫丫 123456
76,说好的刘亦菲在哪儿呢？,羊掌柜🎁
77,贺涵胖了嘛[捂脸笑],追个大头
78,家人们是一下子更新六集嘛[捂脸笑],面条面条机
79,团长大人能放下架子给你们拍戏看就不错了 还挑三拣四的 他演一演现在的职场 带着见识一下不同职业 不挺有意思的么,九世皇帝1718
80,看图门牌号,请别错过我.
81,一直扮演这种角色，不能演个别的嘛，看腻了，里面的人都差不多，唉，这两年靳东是高产，而且都差不多，,嗨，好久不见
82,某去 魔女,请别错过我.
83,我哦去通掏钱,请别错过我.
84,终于来了[应援],风过寒楼—JD
85,某说 我们 ,请别错过我.
86,墨绿色tuum目前868 同谋怕了,请别错过我.
87,这个简介就把我劝退了，开局背叛结尾和好？绿帽狗剧情被？[666],蜡笔丶老旧
88,恶魔猎手,请别错过我.
89,都是能吃素我哦你是866,请别错过我.
90,开始的英文歌曲叫什么？,182****9470_m1187
91,哦陌生的,请别错过我.
92,客服拉诺,请别错过我.
93,片头曲 好听。有可以追剧了,嘿嘿坏弟弟
94,[666]了[大拇指]我无论[呲牙],请别错过我.
95,努力弄 头 他沒有,请别错过我.
96,这滤镜，我的妈，悬疑片吗[捂脸笑],闹闹闹✌
97,额摸摸恳求 ,请别错过我.
98,为什么不能下载,还吃这呢
99,这个演员阵容太强大了吧？,婠婠2048
100,演员是没有问题的，几个主要演员都在水准。导演编剧能力有限，最后的反击拍的怕是导演编剧自己都懵逼了，严重拉垮。如果让正午阳光来拍，起码在剧情推进，逻辑梳理，节奏把控上会有保证。,佳木🎪
101,都是制式方案[捂脸笑],梦中的片段
102,靳东的电视剧产量是真的高，不过类型有些单一,小柔和狗婆
103,开局不好！看不进去,林一诺的帅爸爸
104,看到这一集我算是看明白了，宋佳饰演的角色为了升职加薪和自己的发展，背后狠狠阴了自己的未婚夫是吧？千万别告诉我最后这两人又在一起了。如果是这个结局我就不想看了。有看过的给我个回复吧,静看潇湘雨
105,来听博哥呜呜,一个好听的昵称123
106,都是公关效果,飞扬老师🍭
107,东哥可以演令狐冲了,金^O^哥🎐
108,今年的风好大，有《终有疾风起》《向风而行》《风吹半夏》等电视剧[捂脸笑],范塔斯特
109,搞不懂关系，暔兴是处在什么关系？怎么每个公司都跟它有关系？,还是那&海洋
110,我很喜欢看靳东老师演电视剧,喜欢举重的王叔涵育
111,现实中在我生意失利，资金十分紧缺时，她带着儿子把我绝情的抛弃了[捂脸笑][捂脸笑][捂脸笑],用户@525d1f45
112,是有靳东演的电视剧，我都喜欢看,喜欢举重的王叔涵育
113,有人对演员指手划脚，不知是何居心，居然乱发威，不要靳东演电视剧浮出水面，你权力有多大，我们来领教一下，请你不要招惹我们广大粉丝观众，否则把你踢出局,yexm_2822
