,0,1
0,看了陈鑫海的最食人间烟火来的[呲牙][呲牙],我💕檀宝贝
1,我是看陈鑫海的最食人间烟火味来的,王雪然.
2,新时代看剧，先看演员和导演，看剧情类型，看评论以及热度，最后自我评价值不值得看，有一样的嘛，举个小手看看吧！,天若有情天易老TT
3,谁是看了陈鑫海的最食人间烟火来的呀[应援][应援][应援],馨儿🍉Isabel
4,一博的宣传图竟然是种地吧的照片哈哈哈,be/qq1695
5,好像很多都是从人间烟火色过来看陈鑫海的！[色][应援],纪念裁判50
6,女主太美啦这是吧！请问芳名？,一路平安0603
7,不是男主  果断走了,那就夢裡见💤
8,啾咪博这么会接剧本 你不要命啦[捂脸笑],百变小叮当..
9,男一号是关系户吧，颜值被男2秒了[捂脸笑][捂脸笑],ا‎؟اد؛
10,太喜欢这种小甜剧了[爱心]唐苏我来啦,我问了问
11,从人间烟火过来，发现了赵啾咪[爱心][爱心][爱心],P  Boy
12,我才大家都是来看陈鑫海的吧,笨小孩的love.🎀
13,我准备看种地吧的赵一博,钱小乖。
14,就喜欢这种短剧，节奏感很强！[应援][应援],奔跑在孤傲的路上😚😚
15,赵啾咪你真的很会接剧本，刚刚看了妈咪的反攻,187****5176_m2033
16,从最食人间烟火过来[色],Delphineaths
17,从人间烟火来的[呲牙],qwqw✨q
18,女主这台词绝了这剧追了，胖酥嗓音都不一样，划重点啊，唐苏和胖酥[666]的声音不同哦,爱探险的胖苏苏
19,赵啾咪，我来咯[应援][应援][应援][色],韬韬🐣
20,来看看赵一博哈哈哈哈哈,忄翌澜
21,140多能看起来这么胖？,呦西，大宝贝🤔
22,就算我只有七秒钟记忆，就算遗忘了世界🌍，我的海马仍铭记着你的名字-王艺瑾。@王艺瑾[大拇指],198风信子
23,赵一博，我来看看你到底演了什么,刨杨梅冰
24,哈哈，看了最食人间烟火色，而来,1142852284
25,看了最食人间烟火色来的，被陈鑫海圈粉了！太喜欢他了，真帅！,百友走召火页
26,王艺瑾唱的心爱的人太好听啦,我问了问
27,我是从烟火色过来的[呲牙],豆豆1024
28,什么鬼，看这封面我还以为是杨幂和罗云熙演的,小森小森不困不困
29,哈哈哈哈真的很好看诶,一斤快乐⭐
30,无语啊，那么好看的漫画就被改成这个样子，又是一部烂剧[微笑],超爱看电视の宇文昊
31,从最食人间烟火过来的,(♡⌂♡)优雅最美的瞬间(♡⌂♡)
32,来了来了超期待唐苏,浩浩风起波，冥冥日沈夕😁
33,竟然有赵一博[惊讶]来自种地吧，照片够朴实[捂脸笑],橙子🍊皮皮橘子
34,一博一博,凤╮（╯＿╰）
35,唐苏和王艺瑾一样啊 都有绿茶队友哦,小丸子°Q
36,来看一博[应援][应援][应援],开欣噗噗
37,来看公主[色],L'Tracy🧸
38,每集时长太短，还不如正常时长。今日宜加油每集也是这个时长但是人家是40集！,二胖家的King
39,海子和一博双厨狂喜啊啊啊啊啊哈哈哈哈,方华公子
40,为了海子来的,一哪儿
41,开局一座山的漂亮女主[呲牙], 针尖 麦芒
42,来看海儿的,辰亦🌸🙊
43,我靠男主那么帅的不明显 我还是去看其他剧吧 毕竟开会员的钱不能浪费,sunlight and sky
44,也太可以了吧，好喜欢王艺瑾唐苏，演的真不错，绝配酥心唐让更多人看到吧！[应援],之宇文中
45,为陈鑫海而来,是xi茜不是qian啊
46,虽然男主颜值不是我喜欢的类型，但是女主是王艺瑾诶，好喜欢她,北极深海鱼
47,为王艺瑾来看的，结果感觉很好看哎，我平时看剧很挑的,Ayi大怡
48,目测又会火一个男主。陈鑫海,单曲循…
49,人间烟火男主，还有种地的一博，都是最近喜欢的,李桂花冲呀
50,为什么男主角是寸头[捂脸笑],就这样吧拜拜👌
51,为什么赵一博不是男主[捂脸笑][捂脸笑][捂脸笑],用户4f4bc0a1
52,导演是没东西拍了吗,꧁热劣꧂
53,剧荒的有路看啦，胖苏太可爱了就是说唐苏真的很喜欢[大拇指][666],爱探险的胖苏苏
54,今天看了两三部电视剧里都有帅小伙陈鑫海[大拇指][大拇指]支持他拍男主角爱情戏[爱心][666],谦让的馨元
55,一博这么潮你不要命了[偷笑][偷笑],我爱十个勤天！💫
56,我宣布绝配酥心唐成为我的新晋电子榨菜[色],既酷又帅的麦莉布兰卡缇小野菊
57,为了看海子哥[色][色][色][色],森屿111🎊
58,胖大海俺来喽[应援],保持开心^_^👍
59,王艺瑾台词真不错，唐苏演的也好，绝配酥心唐爱上了[爱心],之宇文中
60,来看陈鑫海咯，因为爱上了最食人间烟火色的景琛[呲牙][呲牙][呲牙],w吴小妮
61,这部剧你现在播啊，肯定能有热度,_Nanayya_
62,太喜欢小甜剧了，唐苏冲啊,只愿为你疯狂h
63,陈鑫海有一种眼神魅力[火][火],蚊仔
64,不太吃男主的颜，不过男二还挺好,肖怡琑
65,才找了3000个人刷评论吗？   还有人重复刷评论？[捂脸笑],用户494f89bc
66,只爱王艺谨,不塔 女
67,培养和栽培,段大侠💦
68,[微笑][微笑][微笑]小胖丫台词还挺好,刘诉诉i
69,这个男主真的不咋滴，如果换陈鑫海来演，肯定不一样[呲牙][呲牙][呲牙]景琛[色][色],阿七，柒
70,来看女主的,幸运小和尚ii丷
71,唐苏太可爱啦,一斤八宝粥
72,为小海来的 男主好像是少年歌行里的老七,用户a03517b2
73,其实蛮好看的，只不过有些镜头太清晰了，看了之后就不想看了,我家小妞楠
74,互联网没记忆了？,舞舞☺
75,超喜欢这一对，超好看，不知道还会不会在合作，希望下次的剧本还是一样好,皇冠小笨鸭
76,这个电视剧为啥连评分都没有，没人看吗[捂脸笑][捂脸笑][捂脸笑],小猪13990
77,不够看啊不够看啊，王艺瑾唐苏没有你我怎么活[捂脸笑],.....哦啊
78,71公斤肚子怎么可能这么大，不现实,小妤龙嫲嫲11683
79,唐苏只是变胖了，变胖了之后怎么变傻了。,囿你、比蜜甜
80,小甜剧+轻喜剧，还是个原声台词，太好啦[呲牙],匿名用户
81,王艺瑾演的不错,梅瑰竹菊
82,这不是陈宝嘉吗,舍不得动脑
83,胖苏的声音都不一样耶,RRRRengar
84,好看吗，？？陈鑫海戏份多吗[色][色][色],用户53f29084036b0
85,冲着人间烟火色景琛来的,多包露露啦
86,看到后面回过头来评论，真的不错，希望更多人能看到这部剧,☆ZQZ☆
87,"看了陈鑫海的最食人间烟火色来的   
陈鑫海   陈鑫海",匿名用户
88,男主是胡一天版橘生淮南的渣男戈壁,心若安好都是晴天
89,来看饺子姐[色],HGL.无疏
90,一博呢，去哪里了,紅太阳.
91,我是看完陈鑫海的《最食人间烟火》过来的，继续追陈鑫海的剧，发现他今年才22岁，好小啊，好帅，治愈系男友[爱心],遇見 椛開
92,哈哈，你的美食呢,幻风1986
93,海子我来啦[色],巴克56
94,可以可以,广西老铁杆
95,女主是不是那个参加过创造营的那个？？杨幂公司的艺人 是不是那个？,婷婷轩轩哈哈
96,我之前好像看过类似的漫画,爱懒床de相里宏伟
97,男主像个劳改犯一样[捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑],鱼88⭐
98,哈哈哈哈,匿名用户
99,陈鑫海是男二啊[捂脸笑],半夏萧萧
100,哈哈哈为海子来[应援][应援][应援],晨晨_46796
101,又是这种泡沫爱情剧吗，[捂脸笑][捂脸笑][捂脸笑]剧荒了,Ann_321
102,为了看鑫海[应援][应援][应援][应援],小沈厉害哇
103,有陈松林的弃剧,嘻嘻哈哈拖拖拉拉
104,好喜欢王艺瑾，来看看她出演的女主剧[应援],水余木子
105,陈鑫海戏份好少,半夏萧萧
106,男主太瘦，形象不好,大笑笑哈
