,0,1
0,有这个病吗？,最高境界的彼方🌙
1,天呐 回来了 回来了 我要重新开始看 上回看的第三集就没了 之后一定要补完 ,韩晨光熹微
2,段奥娟演的？感觉不错啊,不知道叫什么好呢_
3,这不是稷泽神君吗，转世为现代人了[呲牙],梦想的旋律_qq1683
4,我脸盲，但并不是看不清人脸，而是看到人联系不到该人的资料。看靓仔靓女都记不住，看到名字才能对上资料。有次和同学相谈甚欢，次日换一身就忘了，别人以为多高冷，实际就一脸盲。所以和面盲交朋友，见面报名就行。,云起月暗流星隐现风微熏
5,来啦来啦[色][色],浅陌初心~💯
6,直接出全集啊[大拇指][大拇指][大拇指],帅哥是渣男！
7,看名字我想到了一个韩剧,Engoi
8,这个剧是不是播过,云小易呀
9,我也是脸盲+路痴，认人全靠声音体型发型穿衣打扮，出门全靠导航,妲麗安
10,现在看剧，先看演员，看剧情，看评论，最后再决定看或不看，有一样的嘛，举个小手看看吧！,帅哥是渣男！
11,路痴+脸盲+记忆力都有问题的我有治么,跟清晨说早安
12,播放过的剧再拿来播放,X玖少爷
13,这个不是去年播放过了吗？,疯狂攻击功夫
14,VIP就是爽 15集全看完[色],棣欣引力_Dylan.
15,很不错的下饭剧，小成本剧，甜甜的，还不错,心心daj
16,播过又播，我还以为自己脸盲了[捂脸笑],亦又草田又一小
17,这不是播过了吗,噜啦哼
18,我是土狗我就爱看这种[色][色][色],卑微小摊啊
19,天，段奥娟，她的歌好好听！,爱吃面条de南宫孤容
20,更惨是脸盲加路痴，太难了,雪语说
21,看完特地回到第一集来评论观看感受，很久没有看完一整部的电视剧了，这部剧雷点不多，在我看了四集后还能让我在第二天继续看，说明这部剧是成功的，人设和剧情都可以，不好的就是有几处剧情有点尬，但幸好是还能忍受，大家的颜值呢感觉有时忽高忽低，但有问题不大，总的来说就是能看，剧里的三对CP最喜欢的是江郑，男一和男二比的话我个人觉得男二更让我喜欢（但感觉他和女二在一起以后就没有那么好看让我喜欢了）女二的发型让我觉得很出戏，一点都不适合她，如果造型师给女二好的发型的话我可能会更喜欢江郑，三对CP让我最舒服的是朗郭，没有什么大问题。果然剧情不尴尬的起飞的话而且人设OK，剧情不长的话我都是能看的。,小狮唱rap记
22,脸盲就是看别人都是马赛克呀哈哈,赵小小睡
23,是我学校取景✌️[应援][应援][应援],喜欢喝汽水的猫🐣
24,来了，上次没看完，这次终于看到结局了[捂脸笑],段奥娟叔叔粉江流
25,我有脸盲症,践行涧远
26,大娟真可爱，是我期待的校园剧女主角,梓灵🍧
27,段奥娟通过细微的表情和动作传递情感，导演叙事牛！镜头剪辑牛！,alacer更爱你
28,[大拇指][大拇指][大拇指]终于回来,知梦南时
29,现在男团女团都开始演网剧了[捂脸笑],馨爷啦啦啦
30,好家伙真不错 全集,黛珊珊💖
31,段奥娟的演技是一种天赋，我就是为了这个冲了会员,何必笑red尘
32,段奥娟还是胖脸好看[色][爱心]肉嘟嘟的，可爱,娜比～～～
33,我是人脸和名字无法对应起来，脸盲真的痛苦,汀上白杀
34,脸盲少女设定太新奇了。[大拇指],菜🌲🍥
35,段奥娟也算是很有实力的一个新人演员了吧，氛围感拉满,who抚平lauhe
36,男女主都是歌手啊哈哈哈哈主题曲不用请别人了,第二十五次下雨
37,我就是脸盲症。就是记不住美女的脸,汪烈_qq3923
38,段奥娟真的很适合这种校园青春剧,冰薇gutd
39,段奥娟是无法代替的，主演演技全在线，故事也很引人入胜,山水有情︶
40,哇哇！回来啦！直接会员看全集！真的太棒啦！,是小田啊💚
41,天啦噜 段奥娟都演电视了[笑哭],zll@ytt
42,太喜欢爱奇艺了，每次都出全集[大拇指],逸檀
43,段奥娟能够将角色的情感和内心状态表现得非常深刻和细腻，这种好剧真的是越来越少了,已风干的迷茫~丿
44,就喜欢爱奇艺这种能一下看全集的感觉[色],Sweet girl！💝
45,陈博豪从偶像转变成演员了。有些慢镜头的拍摄我很喜欢，越追越上头,路遥遥一起走吗^★
46,为什么只有15集！！！,Aurora.！😄
47,段奥娟的表演让人感受到角色的内心情感和复杂性，运镜很专业,夜漫漫牵我手吗︶
48,陈博豪真的演的好棒！！路转粉，剧情发展完全猜不透了,温酒相随~丿
49,陈博豪这次的表演也还挺细腻的，把人物在面对正义与现实的纠结演的很好，全员演技在线！看着太舒服了,划船进你心~丿
50,28分钟，会不会有点短呀？不够看啊～～,卡卡樰🌙💤
51,段奥娟演技精湛，情感细腻，人物的眼神、角色的设定等都很巧妙,虚与萎蛇^★
52,剧情写的我都感同身受闭眼了，整体氛围很高级,在劫难逃~丿
53,陈博豪眼神里还能闪耀着初入职场立志大干一场的兴奋，真了不起，真的值得看,陷入星河^★
54,段奥娟首部校园剧很喜欢,细品岁月dgyy
55,陈博豪这次的表演也还挺细腻的，把人物在面对正义与现实的纠结演的很好，这是我看过最好的剧了,坠入星河︶
56,段奥娟能够引起观众共鸣和情感共振，节奏好剧情紧凑不拖沓,陪你卖萌~丿
57,节奏紧凑没有一点拖沓，这个剧太好看了，一定要好好宣传,陪你耍帅^★
58,段奥娟好可爱呀，是我期待的校园剧女主,婉茹姐
59,男主的脸和身材真的是我的菜，细节要素众多，希望能继续保持,他会笑只是在她人之时^★
60,陈博豪电视剧真挺好的，反正就是好好看！看他就完事，应激反应也看得人一颤,雾都浪漫~丿
61,让观众沉浸在段奥娟角色的情感中， 爱奇艺也是好眼光,惹人的小哭包
62,又发现一部新剧太好了,5春天！！！🧀
63,实话实说，陈博豪的电视剧大幅提升了，论是演员，制作团队都很完美,梦想短句家
64,段奥娟能够深刻地理解和刻画角色的内心世界，是难得的好剧,海边浪漫幻象~丿
65,被段奥娟惊艳到了是真的好帅啊！，看了一集之后根本停不下来,吉祥如意︶
66,来看小段第一部女主剧了,心心daj
67,演员阵容强大都是妥妥的演技派，剧情和质感完全上等,樱花树维纳斯︶
68,女主角好漂亮，又可爱又乖的，剧情发展完全猜不透了,夏眠毁灭者~丿
69,段奥娟是当之无愧的一位演技派女演员，从剧情到镜头都很自然,抱素甜甜圈
70,这种一口气更新完毕的剧能不能多来点，寒假实在太过于无聊，就等着看电视剧呢[捂脸笑],八倍浓缩咖啡
71,段奥娟的角色让人产生强烈的共鸣，演技让每个观众折服,Flipped︶
72,实话实说，陈博豪的电视剧大幅提升了，很符合我的预期,诺贝尔可爱奖︶
73,段奥娟能够轻松地切换不同的情绪和状态，人物的眼神、角色的设定等都很巧妙,这个名字真的有十个字︶
74,一起来看鹿回啦！,玩球的师傅
75,段奥娟对角色和剧情的深入理解和把握，里面每个演员我都好喜欢,爱嘤嘤嘤斯坦^★
76,太有cp感了，没有为了衬托男主弱化女主，这个剧我看着还行啊,元气少女郭德纲^★
77,段奥娟好灵动，前期一些小表情和小动作把握得很好，气氛紧张兮兮的,加里敦大学学生︶
78,江易鸣的颜值是我喜欢的类型,欧阳雨
79,实话实说，陈博豪的电视剧大幅提升了，一个多小时下来没有任何多余片段,魔仙堡楼下的小卖部^★
80,段奥娟的演技已经达到了一个非常高的水平，各方面都很有质感的一部剧,^★光与你
81,段奥娟真的是一个很有自己想法和追求的一个演员！，会讲故事，导演组会拍,电竞林品如︶
82,脸盲症的少女，又让人心疼，又搞笑,春光灿烂千阳🍄
83,剧情蛮吸引人的，人物说话好接地气，觉得节奏滤镜都很好,月亮邮递员︶
84,段奥娟成为了一位备受关注的演员，我觉得挺好看的呀,百变少女猪刚鬣︶
85,剧情越来越上头，开头就好甜啊，演技让每个观众折服,~丿心摆渡
86,真的太甜了，先看演员再看剧,秋天的梦y
87,陈博豪电视剧不错，从一开始关注他，演员演技都很好,元气少女谢广坤~丿
88,段奥娟这次电视剧又到达了一个新的高度，很符合我的预期,百事可爱^★
89,段奥娟能够深刻地理解和刻画角色的内心世界，神仙剧,美少女壮士︶
90,就喜欢你的不准时[呲牙],07小番薯
91,段奥娟令观众产生强烈的共鸣和情感共振，又有了追剧的动力,古tm黑暗之神^★
92,段奥娟能够用自己的方式创造出一个非常鲜活和生动的角色形象，对人心的描写很细腻,网上邻居~丿
93,主演们的互动方式也太有意思了，任何层面来讲都是最好的剧,我的电脑^★
94,大娟 炒粉来啦,🐝十一～
95,段奥娟能够深入角色，将其演绎得淋漓尽致，剧情还OK，就是觉得好像还没高潮就结束了,不是你的微信好友~丿
96,陈博豪的电视剧真的很好而且越来越好，感觉落入俗套了，不过还是强烈推荐,吃瓜路人~丿
97,陈博豪电视剧一直不错，主要也是长得帅，我是挺喜欢的，暗流涌动,小北的小花
98,哇哇哇，提前播了么[应援][应援][应援],，，别在乎
99,陈博豪的眼神戏很有层次，剧情和质感完全上等,公子长源
