,0,1
0,这个电视剧不错，很新颖。很少见有女主一开始是小丫鬟什么都不懂的，励志剧，这个女主颜值也出众，喜欢哦！,心病99
1,女主每部戏同一妆容，同一表情，同一服装,一二三三二一@🤩
2,#鞠婧祎空降翻牌#看你骨骼惊奇，是块和我恋爱的好材料[色][色],偷了月亮的猫-chen
3,不好看，这很没代入感，鞠婧祎演技差,恶在
4,这女的演的差远了，如果是丽颖就好了,刘香姐1
5,鞠婧祎吓人，这打扮好像小姐，根本就不像一个下人,猫.🦋
6,#鞠婧祎空降翻牌#什么你也喜欢鞠姐？你也爱看花戎？那可真是....泰裤辣[应援],祎颗酸橘子
7,男女主颜很好磕，鞠婧祎是真的美[色],橘紫Y.
8,这是穷人家丫鬟装扮？真是演啥角色都不忘扮美，演技再好，装扮不符合演也会很出戏…,一天天在乎
9,"#鞠婧祎空降翻牌23集#“如果我负了你，你会怎么办”
“往你奶茶里放三勺盐”
“师尊～”
怎么可以拥有情侣款纹身，气死me了气死me了[微笑]
来来来，来给朕解释一下要到6.18咯笑笑，6.17我先过生日哈哈哈哈哈哈哈哈哈哈哈",岁岁祎¹
10,"#凤凰和太阳神的CP名#①.枝越一人（只悦一人）
②炎炎荔枝
③阳枝夫妇
④枝上阳
⑤胭脂夫妇/颜值夫妇（炎枝夫妇）
⑥越枝夫妇
⑦凤乐夫妇（凤越夫妇）
⑧炎日夏枝（炎热荔枝）
⑨夏日微风
⑩微阳初照（魏阳初照）
①①东枝魏挂
",时不待过往
11,我个人认为鞠婧祎不怎么好看。请蜜橘勿喷,雷神吃鸡11
12,我老婆说鞠婧祎古装不太行[应援],芬梅卡尼卡Finmeccanica
13,可能她好看吧所以你们觉得看她啥都一样我非粉都看不下去了一直喷一直喷烦不烦人做个善良的人好不好[微笑][微笑][微笑],奥利给给
14,带着师尊逛街枝枝出息了,Jennifer爱血拼
15,真是，全是带节奏的，是黑子就是黑子嘛，真心喜欢鞠婧祎的人，根本就不在乎你们那些陈词滥调。说造型的那些人，听好了，人家就两部剧有链子《嘉南传》《花戎》。下一部花间令没链子，而且还是淡妆，我真怕你们到时候闲得无聊却没处喷！[捂脸笑],焱焱有鱼-
16,这个女主演技这么烂怎么火的。妆容也是每个剧都一样。,看海的女孩9966
17,你们可真是服了啊！人家公司要求导演要求演员能决定得了？小鞠演技很好啊！比很多女主强太多了好不,無極尊不是无敌尊
18,姐姐我也想要钱,卷卷Fanny
19,郭俊辰长得真的很精致，演技也好，眼神戏特别出众，未来可期啊,俊辰G
20,女主角还没配角好看[捂脸笑],飞飞若惜
21,为啥要用这个女主啊。不会大火的。不信走着瞧吧,我喜欢成毅😄崽淇淇
22,买文具吗？我这有,never-share-food
23,"我觉得她挺好的，为什么那么多人喷她，我看她好几部都不错，人也漂亮，就算整了，也比很多人都好看啊。而且人家唱歌特别好，有这个演技也不错了
",最后一颗木糖醇
24,发现个问题鞠婧祎演电视剧总会带几个丝芭的,狄飞惊lc
25,鞠婧祎这个做作女，果然演戏也差，直接拉低8个档次,135****7177_m2099
26,遇事不要慌,nutsSunny
27,第一次见拖剧情拖得那么牛的剧，,雪奈viog
28,第一次看女主满头叮当造型觉得可爱，多部造型雷同就有些看厌了，难道就找不到好的造型师了吗,2021时光荏苒
29,剧情一般，演技一般，不好看女主为什么会是鞠婧祎，要不是他我还可以考虑，但是是她我只能忍痛割爱，仙侠剧是我最喜欢的一部剧，但是有鞠婧祎演的那就不看了,秋秋子ぁ
30,出门遇到老师怎么办,杨芸是个宝儿_
31,好看 鞠婧祎演技也进步啦[应援][应援][应援][应援],婧蜜爱鞠
32,菊婧祎是整容了吗？,孙洋洋_qq1388
33,演啥都一个造型，喜欢不来,小小琪琪琪哈
34,银两我这有，枝枝来拿！,Hans吃瓜ing
35,只有我喜欢大尊和凤凰吗[微笑],云๓
36,这女一的漂亮程度排第五都排不上，怎么看她那张脸都感觉不对劲[捂脸笑][捂脸笑][捂脸笑][捂脸笑],阿帅0770
