,0,1
0,"给我打！国产剧都应该像莲花楼这样打！
东海大战这一段真的太燃了！ 动作戏流畅有力，打击感十足。看到🍠姐妹说，这段还运用了“子弹时间”这样的高科技来实现高难度动作的瞬间定格！！运镜10分，在快速的动作戏下，观赏性和节奏感都拉满！！",若风少女ABB
1,"第一集就把我震惊了！他真的会武功！李相夷就是我心中的天下第一bking李相夷啊！
",傅贝拉
2,莲络人追剧动力来源于？,笙箫可知君意否
3,第一 ！欢迎莲花楼[呲牙],wwwwww112
4,必须是李相夷，他是天下第一[色][大拇指],清水出芙蓉之恍然一梦
5,等了一年的剧终于开播了。怀着激动的心，颤抖的手点开爱奇艺《莲花楼》。片头这飒爽的身影李相夷就吸引我的目光，江湖就该属于这随性恣意的侠客们的天下!,ˇ拾柒☆
6,居然提前,楼主夫人
7,哇哦，前排，前排,深海鱼子酱↕
8,为成毅而来的请举手，看看有多少人啊！这部剧的打戏也太好看了吧！,翩然入君怀
9,开头震撼到我了，李相夷出场自带霸主气质，决战之巅，东海之滨，少年门主，但场景一变却又是李莲花被人打倒在饭桌上，上一秒霸气侧漏，下一秒就孱弱不堪，到底怎么一回事？,媛可儿
10,李相夷好厉害呀[爱心],弗清清清
11,是谁跟我一样在蹲莲花楼[色],1心碎小猫、
12,有谁是来看成毅的！！！举小手吧,弗清清清
13,我没看错吧，不是说八点吗，这就播了,手残星人
14,终等到了[色],@嘎嘣
15,终于等到了。快乐回来了，一整个激动状态,七宝茶
16,没有因为曾舜晞来看的吗,jjjjosie
17,"谁和我一样是来看陈都灵的，但是成毅打戏也好帅 啊，一定会追完
",陈都灵天选古人
18,白月光在心里某个地方[色][色][色]乔婉娩当之无愧白月光[应援][应援],l古月
19,提前了，喜欢你的不准时[应援][666],覃某人☀
20,真的提前半小时,晶淇💫
21,《莲花楼》武侠➕悬疑➕探案➕轻喜你想看什么莲花楼这里都有！快来成为莲络人吧[应援][应援][应援],拙魇
22,对我这种武侠悬疑极度爱好者来说，莲花楼太合胃口了,呼兰篱
23,从沉香琉璃来的，成毅还真是剧抛脸！！！气质完全不一样了，这里的打戏好绝,弗清清清
24,红绸随剑舞，心莲伴花开。白衣远帆去，青衫复归来。恭迎四顾门主李相夷[爱心],冰珞  ๓
25,真给力，提前播出啦，整一个期待[应援][应援][应援],小冰冰¥¥¥
