,0,1
0,胡冰卿女一号是此剧最大的败笔,真诚(*^__^*) 不变的┏ (^ω^)=☞  爱
1,有小鲜肉的剧坚决不看,。。。。。。东旭
2,现在看剧，先看演员，看剧情，看评论，最后再决定看或不看，有一样的嘛，举个小手看看吧！,翩然入君怀
3,这个好看不？,宋祁年.🐟
4,这两人现在这么明目张胆了吗  替徐璐感到不值,X—天道酬勤
5,女人们干嘛非要把下巴整成那样啊，不觉得怪怪的吗？,张和华ach
6,互联网是没有记忆的吗，这样的主演，，，,无雾🍂
7,这是人皮手札作者写的的另一本小说翻拍的电视剧么,坡顶山红茶COCO☁️﹡☠
8,副官是我心中的神，所以我还是要来看看这个剧,三生三世爱的轮回
9,胡冰卿不是发出聊天记录嘛，是男的告诉她单身的，后面拆穿了还教她怎么搞女方,嘉尔圈外女友
10,不要喷我，不喜欢女主,罗来斌_qq1172
11,对剧不对人,🍓和啵啵虎
12,本来我想看这剧的，我喜欢看悬疑片，一看到演员是这两个我放弃了。什么玩意儿[微笑],钢铁侠说戴维斯
13,可能就是因为在拍这部剧才有两人的事吧   压了那么久才终于能播也不容易   ,亿婉
14,有多少是看过老九门爱上关于民国时期的悬疑探宝剧的[色],天若有情天易老TT
15,不认识这俩人，片还不错[微笑],yes.Lee
16,出轨纪录片？[捂脸笑],竹林竹公子
17,换个女主角，收视率更好。,纯良的春天春天😘
18,为什么区里都在舆论男女主，我倒是觉得女主演技颜值都很好，我只看剧 不谈论任何绯闻话题！她饰演的杨语初 还有洛枳 真的演技超赞！,君君的心意
19,啥录音，我还停留在老九门，张副官，或者新月饭店张日山，咋的了？他是塌房了吗？[微笑][微笑][微笑][微笑],案艾
20,自从爆出男主那个录音，看到他就。。厌恶[捂脸笑][捂脸笑][捂脸笑],Lisa.のGY
21,看了个寂寞，太烂的片了，不知道这个评分怎么来的！讲来讲去啥也没讲明白在玩小朋友过家家呢。[骷髅][骷髅][骷髅][骷髅],蜂蜜味的油菜花
22,我想问一下，谢园老师不是早几年去世了吗？这个剧是2023年的，谢园老师怎么出演的啊？,Vitamin、 ℠
23,为胡冰卿而来，感觉剧情会很好看[应援],哦了2
24,这种男的 当男主 恶心,可鲁可亚
25,瞎看吧主要找不到剧了[捂脸笑][捂脸笑][捂脸笑],*瑶☜
26,男主人品[捂脸笑]看不下去。,俊美小白龍
27,把实力老演员排后面呢,阿 瞄瞄
28,还是女二演的好，这女一……,二货222……
29,"纯喜欢这类题材，看剧吧，不过张铭恩演的张副官还是不错的
",一只🐑两只羊🐏三只羊🐐
30,等了两年,七舅他姥爷
31,看不下去了,蕾-秋
32,纯看剧，不讨论人品，,晴仔de妈咪
33,我觉得谁演都无所谓，只要演技好！剧情好！再来看演员！毕竟人无完人！人家有人家的私生活，只不过他们是影视明星所以倍感关注！有些话一句话可以救人，有的一句话可以导致别人死亡，所以理性评价,玫瑰@清香
34,真的很难看，演技也尬，这俩jfyf还能凑一块[微笑],zero two✌
35,这都还能上映，服了,莽子@176033356
36,白瞎这女演员了！！！,什么名都用了啊
37,[捂脸笑][捂脸笑][捂脸笑]第一集都没看完，弃了,奇怪的坏品味
38,"看完了6集来说一下具体情况
评剧不评人 是个很好看的剧，剧情不拖沓节奏属于快的类型不墨迹。可以推荐大家看一下。[应援]",满眼星辰皆是任嘉伦
39,这里两个人谈过几个月恋爱,你有个消息请注意
40,为什么评分那么高？,土豆线报
41,他俩剧还播[捂脸笑][捂脸笑]  一看演员 这啥呀 不看了,刘 欢
42,好看吗？值得追吗,娇～娇🍑
43,我记得小时候买过原著。。。我以前很少买书。这个书确实好看。,HEI BOY I
44,又有剧追了，为张副官而来[666],忘笙🙊🎀
45,淼淼应该换位美女，最差的地方就是时淼淼,真诚(*^__^*) 不变的┏ (^ω^)=☞  爱
46,张教唆胡攻击徐，记得录音是让胡先下手，特别喜欢张的剧但他做出来让人很恶心挑战人们道德底线的事，失败啊，可惜了，人品刚刚差，胡本来就不好看，这个事出了对她影响也很大啊，出轨事件太可怕,夏💕天⭐
47,从《爱上北斗星男友》知道男主的，张铭恩演技是真的好[应援][应援],奔跑在孤傲的路上😚😚
48,所以这是定情之作？,哈哈哈哈high哈哈
49,只要拍的电视剧电影好看，其它的重要吗,佳锜玲
50,我还以为这男的已经凉凉凉,阳光之下才是真
51,这个男主是副官吗.不错哦[爱心],姜善美123
52,这男的真的当初事办的事不咋的！,你有个消息请注意
53,本来想看，一看演员表是这俩货，算了,2257975675
54,完全看不进去[捂脸笑][捂脸笑][捂脸笑],*瑶☜
55,我现在都还在刷老九门，可惜没有第二部。,Jian思婷
56,就不能多几个自己能说话的演员吗。一个演员表情不到位就算了，还要配音。台词功底不是一个演员最基本的技巧吗。,你明知道⭐
57,本来想看的，看见男女主角，就不想看了。[捂脸笑][捂脸笑][捂脸笑],轩仔的胖妈
58,这是什么时间拍的，谢园老师还在,爱吃红豆沙de公冶欣嘉
59,为张铭恩而来、虽然人品差点、但是演技还是可以的[大拇指],Doc.H.c
60,没换鞋么？,用户6435939e
61,都是怎么选角的我无语？,勿扰😙️😙️😙️😙️😙️
62,有谁和我一样为了张铭恩，胡冰卿而来？终于等到了。新剧一堆，快乐加倍。[大拇指][大拇指],七宝茶
63,这是个给日本人配音的吧,昵称昵称1980
64,超级好看这部剧,喜欢潜水的钟晓楠
65,好喜欢看盗墓这样的电视剧,VJ娇娇小盆友
66,是这部剧出的轨？,尹小马
67,进来只为看评论不看剧,专属一人🍁☀
68,有没有和我一样喜欢男主才看的，至于女主换一个会不会更好看[捂脸笑][捂脸笑][捂脸笑],@浪痞～丫头
69,看了结局特地跑回来评论，没看的友友们，千万别看，结局很辣鸡，后面几集真的没眼看，千万别踩坑,"…
……☀"
70,这不就是我有史以来最不想看的,勿扰😙️😙️😙️😙️😙️
71,希望观众们不要在评论演员的人品了，娱乐圈的事情真的很难说清楚，往事重提是折磨，何况铭恩已经道歉了，观众朋友们给个机会吧，好好看剧,妖孽、Dracula
72,咋个是这个女主，弃剧,小黄卷毛
73,张珉恩怎么没有沙海里面帅了[捂脸笑],陨石*之吻
74,换个女主男主会比较好[捂脸笑],💭 LiKR.
75,演员的私生活关你们啥事！你能保证你真的有多高尚吗？演技在线就行,独狼 竣丞
76,唉 算了  走了  不看了,七月😌半夏
