,0,1
0,她为啥是谍战剧第一名  [捂脸笑][捂脸笑] 谁能告诉我[捂脸笑][捂脸笑],傻狗wy
1,刷完孟宴臣来看看今年竟然还播了这么一部，有点不好看[捂脸笑]怕是雷剧,橘子味布丁11
2,每当看到抗战时期，剧中人物男人西装革履，油头粉面，皮鞋锃亮，女人胭脂口红，衣着暴露，无论剧情再好，我只给7分。简直不尊重历史！,炮哥牛🐮
3,看出来了 大勋花一路走来真的不容易 就像他说的 不接综艺没流量就没人找他演戏 以前接不到好剧本 现在终于火了 希望以后能演到自己想演的角色,什么神么鬼
4,我是从叛逆者排名过来的，据说这个第一，我来看看评论[捂脸笑],渐入佳境郭郭郭
5,有魏大勋的片还能排第一…真是瞎说。这种小鲜肉还是去拍爱情片去吧。[大拇指],我是刘家大少爷
6,这是新片，还是库存还是今年才许可播出啊[呲牙][呲牙][呲牙][呲牙],追剧♥青年
7,希望大勋以后能接到好的剧本,什么神么鬼
8,我来看大勋花了,💫清梦
9,第一印象就是演员，看了几秒放弃,柔道五段
10,张若昀的 后妈[应援] 冯越  哈哈  长得还蛮带劲  就是捧不红  奇怪了,爱的春天华尔兹
11,妆容还行，那时候的大上海确实很现代,溯源之
12,我也怀疑这片怎么排的第一[呲牙],炫002022
13,女主路人甲，走后门了吗？弃剧,福宝冷瞳
14,又是这种抗日神剧，弃了,品貌非凡的平凡之路
15,放下对于作品的评价，我只为大勋哥哥来的[大哭][大哭][大哭],幻乐情隽
16,这俩年轻人演的什么玩应,嘎嘎哈哈呵呵哈哈
17,假、烂、无聊.......,A ᠲᠦᠬᠦᠷᠡᠩᠵᠠᠭᠠᠨ
18,来看魏大勋张子墨，压了7，8年的剧终于能看到啦[应援],晴天勋仔
19,15年的大勋花，好嫩哈哈哈[色][应援]民国大勋扮相好帅,久谷🌸
20,抗日神剧怎么了？不比你们那些无脑偶像剧好看? ,aBillll☀
21,第一次看 还不错[色],crickers
22,刀影、光影、刀光枪影、风影、狐影、蝶影，一看剧名，有抗日神剧那味儿了[呲牙],金水鲤鱼
23,我也喜欢和冯越牵手[爱心],我是冯越老公
24,这是今年的新片？还排名第一？！[捂脸笑],W水晶夙愿
25,有谁记得特工别闹[狗头]尤其是特工别闹的结尾[狗头][狗头][狗头],段明霄
26,wdx魏大勋八年前的剧都上了 还有什么是等不来的  [捂脸笑][捂脸笑][捂脸笑]期待嫩勋,川沙妲己。🎡
27,鉴定完毕，神剧无疑,韦韦+卞卞
28,天上 下雨，下水道一滴水没有，神剧[大拇指],入江琴子971127
29,好端端的还整个慢动作[捂脸笑],👮爱理不理👷
30,导演好色吧！就这开场白，女的化妆成现代人，怎么看都和当时的年代不符合，果断放弃！,天外天，人外人。
31,这剧压了那么多年今年才播[捂脸笑],我只是会煲汤
32,女主角演得要死不活的，一部好好的抗日大剧，演得没一点激情！,子燕 🌺
33,一点都不好看,爱玩乒乓球de公坚幼珊
34,演员画的失真，磨皮太白了，弃剧,瓜瓜龟龟
35,魏大勋怎么就牺牲[捂脸笑][捂脸笑][捂脸笑],爱玩帆船の令狐敏思
36,看到井这么干净，衣服这么干净，果断放弃了。,wdm3000
37,前阵刚看了螳螂俩女主挺精彩的，看了这个觉得内容简介太类似了，可是这里演的，原谅我没看下去,好久不贱....
38,南京沦陷，上海朝不保夕，你这是剧用的布景那是一尘不染，一个个西装革履，吃西餐，喝洋酒，好一派战时景象哈哈,catcher99
39,大勋花，我来看你啦[色][色][爱心][爱心],九思？。115687
40,还不如看柳云龙的谍战剧！！！,合家欢乐*^_^*幸福安康
41,哪有大户人家小姐半夜在街上晃悠的,郭郭炖大鹅🎉🌻
42,没想到有生之年还能看到灰雁的播出[捂脸笑][捂脸笑],缘分天空首席红娘魏了爱
43,又是一部神剧,不更新的电视剧就不要放第一集
44,啥玩意 ，发生枪战还傻子一样站那，不是蠢就是傻。弃剧,星空上的小王子
45,看着大勋我好出戏[捂脸笑],沐白纯子.
46,这个片也能排第一第二，看来大家的审美水平见底了。,清风_qqq2h81
47,好看好看，推荐推荐,妮妮1234567💘
48,这是今年新出的，怪不得我没看过,柯南4869🌽
49,来看魏大勋的张子墨，压了这么多年的剧，总算播了，还以为看不到了,虾饺😘❄
50,"以前佩服张晨光，现在看到张晨光的影视剧就一个字：躲？
",落落无尘870220
51,从光荣时代过来看看排第一的剧，第一是怎么评出来的,lzwAthena
52,今晚一下冒四个新片出来，太多了，看不过来,爱阅读的梁丘弘盛
53,风筝排了第四，刚看完，看看第一怎么样,jacksi1983
54,浓妆艳抹，挑战我的智商,硕果的妈咪
