,0,1
0,怎么这么少人看？都只爱看情情爱爱的片吗？,e雪铃儿
1,我要重新再看一遍，太振奋了，终于知道当时我弟弟从连云港核电转入参与华龙1号的内心。,零度王爵卍
2,现在看剧，先看演员，看剧情，看评论，最后再决定看或不看，有一样的嘛，举个小手看看吧！,翩然入君怀
3,先把产业园的工资发一下，不然没流量看电视剧,一生足矣慰风尘🏝
4,中核二三，什么时候才能发工资[大哭]，快饿死了,睿睿观剧记
5,第一部描写我们核电公司的电视剧，必须追[大拇指],杯中水0616
6,不是昨天才上映嘛 一下子全放完了嘛,小笼包爱旅行
7,看的我流泪了,135****4702_m1774
8,有幸成为华龙一号建设者[呲牙][呲牙],凉城丶浪子
9,化学和生物必将毁灭人类,牛牛牛的牛⭐
10,螺丝生 锈是那集,幸福⑧啊杜
11,预告就热血沸腾的，并且里面有我喜欢的演员郑业成饰演的林奇，必须赞起来[应援][应援][应援][应援],恒达制冷售后服务
12,大学生来了,蕉太狼哦😀
13,很棒的剧,Hana Alice qin
14,林奇小时候好调皮，不过我喜欢[色][色][色]这孩子有爆发力,D冰糖橙C
15,剧很好看，老一辈人无私奉献甘愿牺牲的精神很感人，很热血，林奇很帅，郑业成演技真的好好！,158******16
16,我去这部剧当过群演[捂脸笑][捂脸笑][捂脸笑],浪漫而激进
17,拍的时候有幸看路过现场[捂脸笑],迷路的文某
18,第一集真的太显摆啦，有点成绩就向外国展示。,柯贤望
19,这宣传也太不到位了，我都不知道播了，今天一看播完了[捂脸笑],孤独的人都会唱歌
20,我与我女朋友登着同一个账号，我希望你们能点赞，她能收到通知消息，通知我女朋友，我爱她，我真的很爱她!谢谢了[爱心][爱心][爱心],胡萝卜Ding
21,请问是时代剧还是披着时代剧外衣的言情剧？,乐弈LY
22,爱比不爱广阔 无爱者比有情人洒脱 如果谁都可以的话 不必是我,邱大胆👍
23,霞浦核电报到[大拇指],二时灰尽
24,不应该有字,布鲁斯的惆怅
25,螺丝出问题被清洁工看到第几集,꧁༺ ཌ 玄天神龍ད༻꧂
26,郭晓东演得真有激情[大拇指][大拇指],草原的孩子🏋🏻
27,这个题材真的很好，喜欢,天现523NM
28,福清核电报道,﻿玉树临风的苏乔伊艾尔丝沃斯
29,感谢前辈为祖国的核电事业奉献[大拇指],♥依然芳心
30,好看，演员演技都好,丹丹淘1987
31,来看大成子了,最爱老谭子
32,大茂在这是正面的吧,爱嗑瓜子de呼延自强
33,这是什么时候上的剧啊，不是看到推荐都不知道,扣费的我怀疑人生
34,太平岭核电报到[呲牙],Diansten_
35,题材很好，怎么没什么人看，多多宣传啊,用户6ad5bd3c
36,霞浦项目部什么时候才能出粮，快饿死了[捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑],用户202313a40256e
37,听说有大橙子，来看看他演的啥！话说他啥时候出来啊？,你别玩了？
38,一个关于魅力核电美丽中国的故事！林奇，加油！,羊那个羊111
39,你是在搞笑吗，正在更新的剧3000+热度，趁早埋了吧,shapiwanyier
40,[应援]演員們都很👍難得有這麼好的正劇[爱心]愛了愛了[大拇指]還有我喜歡的美人師兄！不錯不錯👍他居然能變化這麼大！判若兩人！[666],🌊逝水🌳星空兔🐰
41,为大成子来的,光头强1979
42,好爱林奇,用户1371ba037
43,看完两集了，好看,心控控』
44,中核二四,堕落花之色
45,昨晚怎么没更新,🎊😘菓子
46,各位想进入核电行业的毕业生，千万不要去施工单位，安装单位和吊装单位。尽量进公司本部，尽量硕士毕业,捂女乃长衫罩子隆
47,落子无悔，抉择本身就是向前,邱大胆👍
48,八二一报到[拍手],桃子夭夭，灼灼其华✨
49,山东核电报道,怎么个东西💦
50,"我的二哥二嫂
",Amilesx
51,喜欢郑业成，但有李兰迪就果断弃剧,用户4f4407ac
52,剧情紧凑，看了两集能体会到老一辈人为祖国事业发展的热情，还有那个年代我们国家的不容易，现在我们的祖国已经强大了，向那些为祖国建设付出的一代又一代前辈致敬！,是你的小仙女🧚🍁
53,兰迪我来了[色],灰太狼爱平底锅🤟
54,青春正当燃，“核”力筑未来！中国核电，我们林奇来了！,羊那个羊111
55,"[应援] 鑄大國重器，挺民族脊梁👍
看《許你萬家燈火》[大拇指]
感受林奇等硬核世代砥礪前行的故事！[666]",🌊逝水🌳星空兔🐰
56,奋斗在当下，今晚看林奇,羊那个羊111
57,很好看，都没排名，看的人这么少,yg因为遇见你
58,那个年代的科研人员不容易啊,顾家小桔子
59,大成的戏这么少吗？，不好看吧[微笑][微笑],1676风景下的
60,请把字取消再看,布鲁斯的惆怅
61,很专业的剧，很有年代感,不爱橘子爱橙子
62,有字没法看,布鲁斯的惆怅
63,字取消才能看,布鲁斯的惆怅
64,啥时候发工资,湫明⭐
65,字取消再看,布鲁斯的惆怅
66,一一去字,布鲁斯的惆怅
67,核电人真心辛苦,mr.zhaixi
68,那个时候有木模板了。,祁优秀的会员👏
69,配音太别扭了,驭弖、🍧
70,作为一名操纵员看这个太有感了,齊锶rayray
71,go卡了卡了,用户6cdeab41
72,我是来看海一天的[应援][应援][应援],亲爱的宝贝-2021😍
73,这么多好演员，这么燃的剧情必须支持[应援][应援][应援]林奇，林奇,"晴,有时多云🥝"
74,致敬核电人,羊那个羊111
75,为了郭晓冬看看这部剧，他演技派,用户@cbb1a5241ad80
76,期待了好久的剧，终于开播了[应援][应援][应援],匿名用户
77,今天不更新吗,匿名用户
78,超级好看。喜欢郑业成李兰迪[应援],旧人难忘☞
79,特别特别值得看，题材很好，回味无穷 关键懂得了一些核知识，终于可以和我老公一起追剧了,铮儿宝贝
80,特别好看。喜欢郑业成李兰迪,旧人难忘☞
81,以前看李兰迪的剧觉得小姑娘挺好的，自从看了亲爱的客栈凡是她的剧看不进去了[捂脸笑],用户783b050402b00皮皮灬闹
82,兰迪的新剧[爱心][爱心][爱心],匿名用户
83,喜欢大成子,匿名用户
84,有没有因为李兰迪来看的,夜昙青葵
85,[色][色]终于等到了奇奇,D冰糖橙C
86,喜欢兰迪,。。无-
87,西北第一项目机械队钳工路过,匿名用户
88,"清风绕峨眉，川水咏时代。
硬核许灯火，华龙撼九州。
",D. C🍃
